#NTIMES: 265
#NSTAGES: 3
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Mg0 Mg1 Mg2
6.998e+09 1.783233e-04 9.998217e-01 1.960978e-12
7.000e+09 1.783214e-04 9.998217e-01 1.955655e-12
#TIME: 1.180960
#NVEL: 114
#vel_mid[km/s] Mg0 Mg1 Mg2
4.401e+07 3.314051e-13 2.022846e-05 9.999798e-01
8.862e+07 4.352255e-13 2.184022e-05 9.999782e-01
9.061e+07 4.216034e-13 2.164753e-05 9.999784e-01
9.444e+07 3.943024e-13 2.124586e-05 9.999788e-01
9.991e+07 3.588834e-13 2.069032e-05 9.999793e-01
1.061e+08 3.565587e-13 2.065280e-05 9.999793e-01
1.126e+08 3.540546e-13 2.061610e-05 9.999794e-01
1.194e+08 3.388949e-13 2.038377e-05 9.999796e-01
1.267e+08 2.969650e-13 1.968174e-05 9.999803e-01
1.345e+08 2.354869e-13 1.854096e-05 9.999815e-01
1.427e+08 1.723675e-13 1.708774e-05 9.999829e-01
1.514e+08 1.392302e-13 1.603234e-05 9.999840e-01
1.607e+08 1.079119e-13 1.468508e-05 9.999853e-01
1.705e+08 7.916606e-14 1.326505e-05 9.999867e-01
1.809e+08 6.210890e-14 1.225747e-05 9.999877e-01
1.919e+08 4.758596e-14 1.119396e-05 9.999888e-01
2.037e+08 3.544577e-14 1.011129e-05 9.999899e-01
2.161e+08 2.594048e-14 9.021215e-06 9.999910e-01
2.293e+08 1.778659e-14 7.780038e-06 9.999922e-01
2.433e+08 1.205601e-14 6.664517e-06 9.999933e-01
2.582e+08 9.140997e-15 5.962026e-06 9.999940e-01
2.739e+08 7.577046e-15 5.521571e-06 9.999945e-01
2.907e+08 6.583796e-15 5.181577e-06 9.999948e-01
3.084e+08 5.814955e-15 4.839400e-06 9.999952e-01
3.273e+08 5.252065e-15 4.516729e-06 9.999955e-01
3.472e+08 4.848426e-15 4.232278e-06 9.999958e-01
3.685e+08 4.561193e-15 3.960988e-06 9.999960e-01
3.910e+08 3.816666e-15 3.508582e-06 9.999965e-01
4.148e+08 3.428655e-15 3.275195e-06 9.999967e-01
4.402e+08 3.560869e-15 3.335801e-06 9.999967e-01
4.671e+08 3.275344e-15 3.213833e-06 9.999968e-01
4.956e+08 2.407327e-15 2.765579e-06 9.999972e-01
5.259e+08 1.763072e-15 2.366629e-06 9.999976e-01
5.580e+08 1.504512e-15 2.172241e-06 9.999978e-01
5.921e+08 1.326947e-15 2.021173e-06 9.999980e-01
6.282e+08 1.191075e-15 1.890497e-06 9.999981e-01
6.666e+08 1.165662e-15 1.836197e-06 9.999982e-01
7.074e+08 1.173784e-15 1.797434e-06 9.999982e-01
7.506e+08 1.101984e-15 1.691028e-06 9.999983e-01
7.964e+08 1.080494e-15 1.617576e-06 9.999984e-01
8.451e+08 1.228171e-15 1.646507e-06 9.999984e-01
8.967e+08 1.480948e-15 1.696301e-06 9.999983e-01
9.514e+08 1.950849e-15 1.776832e-06 9.999982e-01
1.010e+09 3.123515e-15 1.970748e-06 9.999980e-01
1.071e+09 5.929958e-15 2.231992e-06 9.999978e-01
1.137e+09 1.266456e-14 2.462974e-06 9.999975e-01
1.206e+09 2.713168e-14 2.531132e-06 9.999975e-01
1.279e+09 6.416761e-14 2.604361e-06 9.999974e-01
1.353e+09 1.756029e-13 2.733171e-06 9.999973e-01
1.419e+09 5.161727e-13 2.785008e-06 9.999972e-01
1.476e+09 2.018920e-12 3.857638e-06 9.999961e-01
1.524e+09 1.066099e-11 1.019698e-05 9.999898e-01
1.565e+09 8.223042e-11 4.969828e-05 9.999503e-01
1.596e+09 1.431379e-09 4.573930e-04 9.995426e-01
1.619e+09 1.237280e-08 2.862324e-03 9.971377e-01
1.635e+09 7.075598e-08 1.317308e-02 9.868268e-01
1.648e+09 6.735461e-07 9.603523e-02 9.039641e-01
1.659e+09 4.572863e-06 4.372014e-01 5.627940e-01
1.669e+09 1.080445e-05 7.406877e-01 2.593014e-01
1.679e+09 1.906749e-05 9.108854e-01 8.909553e-02
1.689e+09 2.748811e-05 9.667592e-01 3.321334e-02
1.700e+09 3.837889e-05 9.871046e-01 1.285703e-02
1.715e+09 7.284083e-05 9.972265e-01 2.700707e-03
1.742e+09 2.830167e-04 9.995710e-01 1.459356e-04
1.789e+09 1.068392e-03 9.989240e-01 7.614260e-06
1.853e+09 1.701328e-03 9.982964e-01 2.285620e-06
1.926e+09 3.006216e-03 9.969932e-01 5.536002e-07
2.003e+09 1.515843e-02 9.848416e-01 1.565742e-08
2.084e+09 2.056503e-02 9.794350e-01 5.992535e-09
2.165e+09 5.722084e-02 9.427792e-01 4.816451e-10
2.245e+09 6.664935e-03 9.933350e-01 3.400805e-08
2.325e+09 1.818428e-01 8.181572e-01 1.355842e-11
2.405e+09 8.306038e-02 9.169396e-01 8.307656e-11
2.487e+09 3.249149e-02 9.675085e-01 5.377784e-10
2.570e+09 4.772126e-02 9.522787e-01 1.702508e-10
2.659e+09 1.421730e-01 8.578270e-01 8.358582e-12
2.764e+09 9.893392e-01 1.066080e-02 4.919813e-21
2.899e+09 9.387775e-01 6.122249e-02 1.974457e-18
3.065e+09 9.807970e-01 1.920296e-02 5.781323e-21
3.252e+09 9.997052e-01 2.948233e-04 1.053050e-27
3.446e+09 9.999974e-01 2.555564e-06 7.731289e-35
3.637e+09 9.999995e-01 4.848545e-07 1.372935e-37
3.815e+09 9.999954e-01 4.607258e-06 2.614601e-34
3.975e+09 9.984361e-01 1.563886e-03 2.877991e-26
4.117e+09 9.999998e-01 1.541534e-07 9.244965e-40
4.247e+09 1.000000e+00 3.664727e-09 1.050597e-45
4.369e+09 1.000000e+00 1.937679e-08 2.868139e-43
4.488e+09 9.836358e-01 1.636415e-02 9.155803e-24
4.608e+09 9.999991e-01 9.413415e-07 1.494332e-37
4.729e+09 1.000000e+00 2.136923e-11 2.744815e-54
4.852e+09 1.000000e+00 1.243088e-12 6.135298e-59
4.975e+09 1.000000e+00 3.052285e-12 1.615447e-57
5.101e+09 9.984985e-01 1.501463e-03 9.535651e-28
5.229e+09 9.999999e-01 6.864087e-08 3.030937e-42
5.360e+09 1.000000e+00 1.073159e-11 4.864483e-56
5.492e+09 1.000000e+00 1.472095e-09 1.814793e-48
5.627e+09 9.999999e-01 6.620527e-08 1.115514e-42
5.762e+09 9.999996e-01 3.751315e-07 3.973963e-40
5.899e+09 9.999990e-01 9.550822e-07 8.003423e-39
6.034e+09 9.991150e-01 8.849964e-04 1.858323e-29
6.168e+09 9.989236e-01 1.076367e-03 2.463160e-29
6.297e+09 9.999866e-01 1.337786e-05 2.637770e-35
6.422e+09 9.992459e-01 7.540730e-04 4.797273e-30
6.539e+09 1.000000e+00 6.600363e-11 2.616470e-54
6.646e+09 1.000000e+00 5.790913e-13 1.583872e-60
6.742e+09 1.000000e+00 1.438241e-15 2.981992e-68
6.826e+09 1.000000e+00 1.750309e-15 4.416441e-68
6.896e+09 1.000000e+00 1.754596e-15 4.438103e-68
6.948e+09 1.000000e+00 1.757571e-15 4.453163e-68
6.976e+09 1.000000e+00 1.758662e-15 4.458694e-68
6.989e+09 1.000000e+00 1.759189e-15 4.461364e-68
6.995e+09 1.000000e+00 1.759447e-15 4.462674e-68
6.998e+09 1.000000e+00 1.759575e-15 4.463325e-68
7.000e+09 1.000000e+00 1.759635e-15 4.463631e-68
#TIME: 1.299056
#NVEL: 114
#vel_mid[km/s] Mg0 Mg1 Mg2
4.401e+07 2.606027e-13 1.668051e-05 9.999833e-01
8.862e+07 2.778905e-13 1.697934e-05 9.999830e-01
9.061e+07 3.219822e-13 1.767896e-05 9.999823e-01
9.444e+07 2.829760e-13 1.706440e-05 9.999829e-01
9.991e+07 2.827183e-13 1.706012e-05 9.999829e-01
1.061e+08 3.064873e-13 1.744279e-05 9.999826e-01
1.126e+08 2.662830e-13 1.678448e-05 9.999832e-01
1.194e+08 2.676700e-13 1.682714e-05 9.999832e-01
1.267e+08 2.314061e-13 1.620334e-05 9.999838e-01
1.345e+08 1.755066e-13 1.509935e-05 9.999849e-01
1.427e+08 1.280435e-13 1.393429e-05 9.999861e-01
1.514e+08 1.109936e-13 1.337130e-05 9.999866e-01
1.607e+08 8.036583e-14 1.201657e-05 9.999880e-01
1.705e+08 6.192052e-14 1.104182e-05 9.999890e-01
1.809e+08 4.839895e-14 1.020965e-05 9.999898e-01
1.919e+08 3.739254e-14 9.366368e-06 9.999906e-01
2.037e+08 2.766314e-14 8.459645e-06 9.999915e-01
2.161e+08 2.046441e-14 7.590231e-06 9.999924e-01
2.293e+08 1.398360e-14 6.552050e-06 9.999934e-01
2.433e+08 9.654493e-15 5.660535e-06 9.999943e-01
2.582e+08 7.245213e-15 5.053555e-06 9.999949e-01
2.739e+08 5.977816e-15 4.677146e-06 9.999953e-01
2.907e+08 5.140463e-15 4.374639e-06 9.999956e-01
3.084e+08 4.502359e-15 4.072225e-06 9.999959e-01
3.273e+08 3.963413e-15 3.762824e-06 9.999962e-01
3.472e+08 3.674457e-15 3.526815e-06 9.999965e-01
3.685e+08 3.409658e-15 3.279689e-06 9.999967e-01
