#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    1.668676E+04   1.0000E-099   2.1809E-001   7.8191E-001   1.1923E-007   3.4033E-023   1.5337E-050   2.3901E-075   6.7415E-103
    1.713874E+04   1.0000E-099   9.9744E-001   2.5554E-003   9.6222E-017   1.4223E-042   2.1228E-068   1.8447E-094   2.0018E-120
    1.771854E+04   1.0000E-099   9.9999E-001   7.2828E-006   1.1513E-024   3.1555E-057   4.2659E-076   6.7058E-109   7.1350E-128
    1.838692E+04   1.0000E-099   9.9999E-001   9.0208E-006   1.6945E-024   4.2414E-057   6.7586E-076   9.6863E-109   1.2147E-127
    1.903533E+04   1.0000E-099   9.9999E-001   1.2990E-005   3.4243E-024   6.5813E-057   1.4398E-075   1.5853E-108   2.7291E-127
    1.976116E+04   1.0000E-099   9.9998E-001   1.6498E-005   5.3744E-024   8.9459E-057   2.3694E-075   2.2611E-108   4.7144E-127
    2.046516E+04   1.0000E-099   9.9998E-001   2.2059E-005   9.2915E-024   1.2850E-056   4.2316E-075   3.3580E-108   8.7095E-127
    2.125594E+04   1.0000E-099   9.9997E-001   2.9063E-005   1.5431E-023   1.8421E-056   7.2476E-075   4.9667E-108   1.5402E-126
    2.202587E+04   1.0000E-099   9.9997E-001   3.3690E-005   1.9839E-023   2.2481E-056   9.5313E-075   6.1898E-108   2.0691E-126
    2.285981E+04   1.0000E-099   9.9995E-001   4.7674E-005   3.6647E-023   3.6252E-056   1.7875E-074   1.0080E-107   3.9216E-126
    2.372435E+04   1.0000E-099   9.9995E-001   4.7141E-005   3.3952E-023   3.5552E-056   1.7082E-074   1.0025E-107   3.7994E-126
    2.455466E+04   1.0000E-099   9.9993E-001   7.1869E-005   6.8458E-023   6.4645E-056   3.4689E-074   1.7941E-107   7.5978E-126
    2.552174E+04   1.0000E-099   9.9992E-001   7.5458E-005   6.8986E-023   6.9557E-056   3.7044E-074   1.9316E-107   8.1186E-126
    2.640440E+04   1.0000E-099   9.9991E-001   9.1073E-005   8.9215E-023   8.9905E-056   4.8643E-074   2.4495E-107   1.0469E-125
    2.741295E+04   1.0000E-099   9.9990E-001   9.9232E-005   9.6735E-023   9.7415E-056   5.1393E-074   2.5512E-107   1.0646E-125
    2.838201E+04   1.0000E-099   9.9992E-001   7.6642E-005   6.0490E-023   6.5164E-056   3.0653E-074   1.6558E-107   6.1734E-126
    2.923203E+04   1.0000E-099   9.9991E-001   8.5526E-005   6.9994E-023   7.1690E-056   3.2401E-074   1.7199E-107   6.1777E-126
    3.013295E+04   1.0000E-099   9.9994E-001   6.4671E-005   3.9791E-023   4.7471E-056   1.8424E-074   1.1710E-107   3.6167E-126
    3.094669E+04   1.0000E-099   9.9993E-001   6.9476E-005   4.1660E-023   4.9766E-056   1.8625E-074   1.2106E-107   3.6109E-126
