#NTIMES: 200
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
3.6371e+04 3.0619e+03 2.2506e-14 1.2287e+06 9.8057e+08
3.8150e+04 3.0436e+03 1.3752e-14 7.3646e+05 5.9928e+08
3.9750e+04 3.0638e+03 9.8090e-15 5.3522e+05 4.2748e+08
4.1174e+04 2.9460e+03 7.0128e-15 3.7467e+05 3.0562e+08
4.2468e+04 2.8339e+03 4.6569e-15 2.3543e+05 2.0295e+08
4.3688e+04 2.8340e+03 2.9998e-15 1.4253e+05 1.3073e+08
4.4884e+04 2.6838e+03 1.9428e-15 8.4182e+04 8.4668e+07
4.6084e+04 2.8644e+03 1.2991e-15 4.9871e+04 5.6614e+07
4.7294e+04 2.8234e+03 8.8022e-16 3.3777e+04 3.8361e+07
4.8516e+04 2.5274e+03 6.0083e-16 2.3678e+04 2.6185e+07
4.9754e+04 2.6478e+03 4.1187e-16 1.6720e+04 1.7949e+07
5.1012e+04 2.6758e+03 2.8309e-16 1.1858e+04 1.2337e+07
5.2292e+04 2.2524e+03 1.9536e-16 8.4329e+03 8.5141e+06
5.3596e+04 2.2747e+03 1.3492e-16 5.9851e+03 5.8798e+06
5.4921e+04 2.0772e+03 9.3551e-17 4.2515e+03 4.0770e+06
5.6265e+04 2.1459e+03 6.5085e-17 3.0200e+03 2.8364e+06
5.7622e+04 2.4036e+03 4.5473e-17 2.1473e+03 1.9818e+06
5.8985e+04 2.8987e+03 3.2003e-17 1.5331e+03 1.3947e+06
6.0341e+04 2.3240e+03 2.2733e-17 1.1018e+03 9.9072e+05
6.1676e+04 2.5605e+03 1.6366e-17 8.0068e+02 7.1325e+05
6.2975e+04 2.6932e+03 1.1954e-17 5.8929e+02 5.2095e+05
6.4219e+04 2.5939e+03 8.9052e-18 4.4178e+02 3.8810e+05
6.5388e+04 2.9175e+03 6.7901e-18 3.3862e+02 2.9592e+05
6.6461e+04 2.8249e+03 5.3115e-18 2.6607e+02 2.3148e+05
6.7422e+04 3.1099e+03 4.2792e-18 2.1519e+02 1.8649e+05
6.8257e+04 2.7250e+03 3.5568e-18 1.7946e+02 1.5501e+05
6.8960e+04 3.0181e+03 3.0528e-18 1.5447e+02 1.3304e+05
6.9475e+04 2.2370e+03 2.6990e-18 1.3688e+02 1.1763e+05
6.9758e+04 2.1771e+03 2.5587e-18 1.2990e+02 1.1151e+05
6.9886e+04 2.1152e+03 2.5168e-18 1.2781e+02 1.0969e+05
6.9950e+04 2.0963e+03 2.4599e-18 1.2497e+02 1.0720e+05
6.9982e+04 2.1027e+03 2.5858e-18 1.3119e+02 1.1269e+05
6.9996e+04 2.1039e+03 2.1855e-18 1.1134e+02 9.5245e+04
7.0000e+04 2.1038e+03 8.7484e-19 4.6052e+01 3.8126e+04
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
4.4010e+02 7.3193e+04 3.8394e-11 2.9851e+12 4.2069e+11
8.8623e+02 7.3816e+04 3.7905e-09 2.5444e+14 4.1533e+13
9.0614e+02 7.3881e+04 3.7888e-09 2.5428e+14 4.1514e+13
9.4442e+02 7.3880e+04 3.7888e-09 2.5429e+14 4.1515e+13
9.9911e+02 7.3867e+04 3.7886e-09 2.5426e+14 4.1512e+13
1.0608e+03 7.3898e+04 3.7867e-09 2.5417e+14 4.1492e+13
1.1257e+03 7.3914e+04 3.7917e-09 2.5455e+14 4.1547e+13
1.1944e+03 7.4055e+04 3.7998e-09 2.5529e+14 4.1635e+13
1.2673e+03 7.4537e+04 3.8249e-09 2.5777e+14 4.1910e+13
1.3448e+03 7.6636e+04 3.8963e-09 2.6649e+14 4.2667e+13
1.4269e+03 8.1047e+04 4.0116e-09 2.8517e+14 4.3840e+13
1.5140e+03 8.6045e+04 4.0387e-09 3.0129e+14 4.4004e+13
1.6065e+03 9.0270e+04 3.9503e-09 3.0652e+14 4.2916e+13
1.7047e+03 9.4349e+04 3.9195e-09 3.1460e+14 4.2477e+13
1.8088e+03 9.9032e+04 3.9150e-09 3.2400e+14 4.2326e+13
1.9193e+03 1.0434e+05 3.8795e-09 3.2804e+14 4.1840e+13
2.0365e+03 1.1032e+05 3.8458e-09 3.2918e+14 4.1384e+13
2.1609e+03 1.1685e+05 3.7540e-09 3.2460e+14 4.0328e+13
2.2929e+03 1.2373e+05 3.5486e-09 3.1245e+14 3.8090e+13
2.4330e+03 1.3116e+05 3.3387e-09 3.0310e+14 3.5853e+13
2.5816e+03 1.3847e+05 3.1907e-09 2.9799e+14 3.4326e+13
2.7393e+03 1.4449e+05 3.0791e-09 2.9223e+14 3.3237e+13
2.9067e+03 1.4844e+05 2.9282e-09 2.8030e+14 3.1777e+13
3.0842e+03 1.4953e+05 2.6710e-09 2.5706e+14 2.9227e+13
3.2726e+03 1.4761e+05 2.3501e-09 2.2713e+14 2.6058e+13
3.4725e+03 1.4356e+05 2.0268e-09 1.9679e+14 2.2982e+13
3.6846e+03 1.3742e+05 1.6795e-09 1.6407e+14 1.9804e+13
3.9097e+03 1.2997e+05 1.3065e-09 1.2866e+14 1.6359e+13
4.1484e+03 1.2432e+05 1.1061e-09 1.1005e+14 1.4795e+13
4.4019e+03 1.2215e+05 1.0821e-09 1.0858e+14 1.5061e+13
4.6708e+03 1.2274e+05 1.0616e-09 1.0658e+14 1.4666e+13
4.9561e+03 1.2383e+05 9.6633e-10 9.5967e+13 1.2740e+13
5.2588e+03 1.2450e+05 8.7574e-10 8.5608e+13 1.0897e+13
5.5800e+03 1.2464e+05 8.2891e-10 7.9901e+13 9.8490e+12
5.9209e+03 1.2363e+05 7.7648e-10 7.4005e+13 8.9745e+12
