#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           v0           v1
    6.821143E+04   1.3454E-005   9.9999E-001
    6.893337E+04   1.2413E-005   9.9999E-001
    6.953439E+04   1.1692E-005   9.9999E-001
    6.977430E+04   1.1751E-005   9.9999E-001
    6.989457E+04   1.1519E-005   9.9999E-001
    6.995478E+04   1.1607E-005   9.9999E-001
    6.998490E+04   1.1506E-005   9.9999E-001
    6.999922E+04   1.1485E-005   9.9999E-001
    6.999997E+04   1.1486E-005   9.9999E-001
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.772128E+02   4.0329E-007   1.0000E+000
    8.833155E+02   4.0329E-007   1.0000E+000
    9.018795E+02   4.0329E-007   1.0000E+000
    9.401862E+02   4.0329E-007   1.0000E+000
    1.001110E+03   4.0329E-007   1.0000E+000
    1.062646E+03   4.0327E-007   1.0000E+000
    1.127988E+03   4.0327E-007   1.0000E+000
    1.197348E+03   4.0375E-007   1.0000E+000
    1.270973E+03   4.0503E-007   1.0000E+000
    1.349125E+03   4.0250E-007   1.0000E+000
    1.432083E+03   3.6290E-007   1.0000E+000
    1.520141E+03   3.1612E-007   1.0000E+000
    1.613615E+03   2.8461E-007   1.0000E+000
    1.712836E+03   2.6359E-007   1.0000E+000
    1.818158E+03   2.4077E-007   1.0000E+000
    1.929957E+03   2.1419E-007   1.0000E+000
    2.048630E+03   1.9239E-007   1.0000E+000
    2.174600E+03   1.6674E-007   1.0000E+000
    2.308316E+03   1.4117E-007   1.0000E+000
    2.450254E+03   1.1778E-007   1.0000E+000
    2.600920E+03   1.0028E-007   1.0000E+000
    2.760850E+03   8.9435E-008   1.0000E+000
    2.930615E+03   8.0767E-008   1.0000E+000
    3.110818E+03   7.2226E-008   1.0000E+000
    3.302102E+03   6.5165E-008   1.0000E+000
    3.505148E+03   5.9342E-008   1.0000E+000
    3.720679E+03   5.3473E-008   1.0000E+000
    3.949463E+03   4.6566E-008   1.0000E+000
    4.192316E+03   4.3719E-008   1.0000E+000
    4.450101E+03   4.4422E-008   1.0000E+000
    4.723737E+03   4.2091E-008   1.0000E+000
    5.014199E+03   3.5863E-008   1.0000E+000
    5.322522E+03   3.2473E-008   1.0000E+000
    5.649804E+03   3.1043E-008   1.0000E+000
    5.997210E+03   2.9621E-008   1.0000E+000
    6.365978E+03   2.8137E-008   1.0000E+000
    6.757421E+03   2.7276E-008   1.0000E+000
    7.172935E+03   2.6251E-008   1.0000E+000
    7.613998E+03   2.4348E-008   1.0000E+000
    8.082182E+03   2.3048E-008   1.0000E+000
    8.579155E+03   2.2579E-008   1.0000E+000
    9.106686E+03   2.1995E-008   1.0000E+000
    9.666656E+03   2.2048E-008   1.0000E+000
    1.026106E+04   2.3739E-008   1.0000E+000
    1.089201E+04   2.7036E-008   1.0000E+000
    1.156176E+04   3.3206E-008   1.0000E+000
    1.227269E+04   4.3414E-008   1.0000E+000
    1.302734E+04   5.7815E-008   1.0000E+000
    1.382861E+04   7.6195E-008   1.0000E+000
    1.462901E+04   1.2730E-007   1.0000E+000
    1.525056E+04   3.0450E-007   1.0000E+000
    1.570852E+04   1.1110E-006   1.0000E+000
    1.603933E+04   7.4131E-006   9.9999E-001
    1.626493E+04   1.8873E-005   9.9998E-001
    1.642900E+04   3.3671E-005   9.9997E-001
    1.655927E+04   5.2406E-005   9.9995E-001
