#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
3909.64 5.07e-28 1.47e-19 2.92e-11 6.02e-05 1.00e+00 
4148.46 5.56e-28 1.72e-19 3.39e-11 6.53e-05 1.00e+00 
4401.86 9.36e-28 2.74e-19 4.90e-11 7.97e-05 1.00e+00 
4670.75 1.54e-27 4.38e-19 7.19e-11 9.94e-05 1.00e+00 
4956.05 1.49e-27 4.73e-19 7.84e-11 1.06e-04 1.00e+00 
5258.79 1.35e-27 4.67e-19 8.16e-11 1.10e-04 1.00e+00 
5580.02 1.66e-27 5.93e-19 1.03e-10 1.28e-04 1.00e+00 
5920.87 2.07e-27 7.87e-19 1.31e-10 1.48e-04 1.00e+00 
6282.54 2.67e-27 1.04e-18 1.70e-10 1.73e-04 1.00e+00 
6666.30 4.36e-27 1.74e-18 2.56e-10 2.19e-04 1.00e+00 
7073.50 8.42e-27 3.31e-18 4.40e-10 2.97e-04 1.00e+00 
7505.58 1.45e-26 5.92e-18 6.90e-10 3.67e-04 1.00e+00 
7964.05 4.15e-26 1.70e-17 1.60e-09 5.81e-04 9.99e-01 
8450.53 2.31e-25 8.96e-17 5.82e-09 1.22e-03 9.99e-01 
8966.72 1.57e-24 5.88e-16 2.52e-08 2.79e-03 9.97e-01 
9514.44 2.59e-23 9.16e-15 2.09e-07 9.08e-03 9.91e-01 
10095.62 1.53e-21 4.77e-13 4.13e-06 4.58e-02 9.54e-01 
10712.30 2.56e-19 7.57e-11 1.88e-04 3.34e-01 6.66e-01 
11366.65 5.07e-17 1.49e-08 6.58e-03 9.23e-01 7.01e-02 
12061.10 1.27e-14 4.12e-06 1.81e-01 8.18e-01 6.71e-04 
12793.43 9.07e-13 3.41e-04 9.25e-01 7.42e-02 1.33e-07 
13528.61 2.74e-11 1.09e-02 9.89e-01 4.67e-04 9.88e-13 
14194.74 5.83e-10 2.70e-01 7.30e-01 1.62e-06 3.75e-18 
14757.77 1.77e-09 8.78e-01 1.22e-01 3.31e-09 1.89e-23 
15240.48 2.37e-09 9.92e-01 7.50e-03 4.37e-12 7.45e-29 
15646.99 3.62e-09 9.99e-01 6.39e-04 1.14e-14 9.61e-34 
15960.30 6.48e-09 1.00e+00 6.67e-05 4.75e-17 3.73e-37 
16187.41 9.28e-09 1.00e+00 7.58e-06 2.25e-19 4.09e-37 
16354.17 1.16e-08 1.00e+00 1.20e-06 2.29e-21 4.97e-37 
16484.18 1.22e-08 1.00e+00 4.13e-07 2.13e-22 6.59e-37 
16593.12 1.09e-08 1.00e+00 1.62e-07 1.53e-23 9.14e-37 
16691.99 1.11e-08 1.00e+00 6.51e-08 2.18e-24 1.22e-36 
16788.59 1.10e-08 1.00e+00 3.15e-08 2.33e-25 1.59e-36 
16888.37 1.17e-08 1.00e+00 9.66e-09 1.24e-26 2.07e-36 
16998.79 1.17e-08 1.00e+00 4.83e-09 4.30e-27 2.84e-36 
17146.37 1.28e-08 1.00e+00 1.49e-09 9.64e-29 4.17e-36 
17415.23 1.44e-08 1.00e+00 1.57e-10 6.17e-31 7.30e-36 
17888.12 1.67e-08 1.00e+00 6.45e-12 7.55e-31 1.98e-35 
18532.37 1.89e-08 1.00e+00 1.35e-13 1.37e-30 5.29e-35 
19260.76 2.31e-08 1.00e+00 2.05e-15 8.90e-31 1.06e-34 
20034.10 2.18e-08 1.00e+00 9.02e-17 3.41e-30 1.24e-34 
20838.00 1.91e-08 1.00e+00 4.51e-18 1.55e-30 8.40e-35 
21647.97 2.00e-08 1.00e+00 6.00e-19 2.88e-30 5.43e-35 
22447.94 2.06e-08 1.00e+00 7.08e-21 1.45e-32 5.25e-35 
23245.88 2.11e-08 1.00e+00 1.84e-22 9.57e-35 6.57e-35 
24052.47 2.79e-08 1.00e+00 7.26e-23 2.65e-31 9.06e-35 
24867.72 2.88e-08 1.00e+00 2.08e-24 1.85e-34 1.29e-34 
25698.86 3.01e-08 1.00e+00 3.28e-25 2.68e-34 1.87e-34 
26587.16 2.79e-08 1.00e+00 1.71e-26 4.15e-34 2.92e-34 
27637.54 3.17e-08 1.00e+00 2.65e-27 3.13e-33 5.14e-34 
28986.97 1.69e-08 1.00e+00 7.39e-27 1.59e-33 1.13e-33 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 1.41e-17 7.30e-10 7.84e-04 5.05e-01 4.94e-01 
999.11 1.97e-19 1.04e-11 3.60e-05 1.26e-01 8.74e-01 
1267.34 2.59e-21 1.47e-13 1.47e-06 2.37e-02 9.76e-01 
1514.05 1.49e-22 8.75e-15 1.66e-07 7.57e-03 9.92e-01 
1808.80 1.33e-23 7.86e-16 2.67e-08 2.84e-03 9.97e-01 
1919.29 1.62e-24 1.07e-16 5.50e-09 1.14e-03 9.99e-01 
2160.92 1.36e-25 1.30e-17 9.59e-10 4.07e-04 1.00e+00 
2292.92 3.38e-26 2.93e-18 3.09e-10 2.00e-04 1.00e+00 
2432.98 1.30e-26 1.41e-18 1.71e-10 1.49e-04 1.00e+00 
2581.60 6.64e-27 8.18e-19 1.10e-10 1.20e-04 1.00e+00 
2739.29 3.66e-27 5.19e-19 7.56e-11 9.96e-05 1.00e+00 
2906.62 2.45e-27 4.04e-19 6.13e-11 9.09e-05 1.00e+00 
3084.17 1.75e-27 3.10e-19 5.09e-11 8.32e-05 1.00e+00 
3272.56 1.18e-27 2.36e-19 4.18e-11 7.54e-05 1.00e+00 
3472.46 9.83e-28 2.18e-19 4.01e-11 7.43e-05 1.00e+00 
3684.57 7.90e-28 2.00e-19 3.80e-11 7.20e-05 1.00e+00 
3909.64 6.09e-28 1.81e-19 3.60e-11 6.91e-05 1.00e+00 
4148.46 6.54e-28 2.03e-19 4.06e-11 7.34e-05 1.00e+00 
4401.86 1.11e-27 3.32e-19 5.92e-11 9.02e-05 1.00e+00 
4670.75 1.80e-27 5.31e-19 8.66e-11 1.12e-04 1.00e+00 
4956.05 1.78e-27 5.59e-19 9.48e-11 1.20e-04 1.00e+00 
5258.79 1.58e-27 5.49e-19 9.74e-11 1.24e-04 1.00e+00 
5580.02 1.99e-27 7.38e-19 1.26e-10 1.46e-04 1.00e+00 
5920.87 2.44e-27 9.16e-19 1.56e-10 1.66e-04 1.00e+00 
6282.54 3.22e-27 1.29e-18 2.07e-10 1.95e-04 1.00e+00 
6666.30 5.32e-27 2.15e-18 3.16e-10 2.50e-04 1.00e+00 
7073.50 1.05e-26 4.27e-18 5.48e-10 3.38e-04 1.00e+00 
7505.58 1.83e-26 7.71e-18 8.73e-10 4.24e-04 1.00e+00 
7964.05 5.37e-26 2.29e-17 2.06e-09 6.75e-04 9.99e-01 
8450.53 3.41e-25 1.37e-16 8.29e-09 1.53e-03 9.98e-01 
8966.72 2.29e-24 8.89e-16 3.57e-08 3.44e-03 9.97e-01 
9514.44 3.93e-23 1.43e-14 2.94e-07 1.09e-02 9.89e-01 
10095.62 2.52e-21 8.19e-13 6.35e-06 5.86e-02 9.41e-01 
10712.30 4.27e-19 1.32e-10 2.86e-04 4.07e-01 5.93e-01 
11366.65 7.59e-17 2.32e-08 8.69e-03 9.41e-01 5.03e-02 
12061.10 1.93e-14 6.51e-06 2.32e-01 7.67e-01 3.94e-04 
12793.43 1.08e-12 4.24e-04 9.45e-01 5.47e-02 6.23e-08 
13528.61 3.12e-11 1.32e-02 9.86e-01 3.52e-04 4.27e-13 
14194.74 6.35e-10 3.08e-01 6.92e-01 1.16e-06 1.24e-18 
14757.77 1.71e-09 8.98e-01 1.02e-01 1.94e-09 7.37e-24 
15240.48 2.24e-09 9.91e-01 8.59e-03 3.61e-12 4.07e-29 
15646.99 3.51e-09 9.99e-01 5.46e-04 7.81e-15 5.43e-34 
15960.30 6.44e-09 1.00e+00 4.98e-05 2.22e-17 3.97e-37 
16187.41 8.78e-09 1.00e+00 6.36e-06 1.90e-19 4.35e-37 
16354.17 1.07e-08 1.00e+00 1.26e-06 3.24e-21 5.28e-37 
16484.18 1.10e-08 1.00e+00 3.84e-07 1.38e-22 7.01e-37 
16593.12 1.06e-08 1.00e+00 1.44e-07 8.78e-24 9.72e-37 
16691.99 1.12e-08 1.00e+00 4.51e-08 3.55e-25 1.30e-36 
16788.59 1.03e-08 1.00e+00 2.37e-08 7.84e-26 1.69e-36 
16888.37 1.03e-08 1.00e+00 9.16e-09 1.43e-26 2.21e-36 
16998.79 1.28e-08 1.00e+00 2.89e-09 7.10e-28 3.02e-36 
17146.37 1.08e-08 1.00e+00 1.44e-09 7.12e-29 4.43e-36 
17415.23 1.25e-08 1.00e+00 1.65e-10 7.48e-31 7.76e-36 
17888.12 1.46e-08 1.00e+00 6.73e-12 6.87e-31 2.11e-35 
18532.37 1.95e-08 1.00e+00 9.13e-14 6.75e-31 5.62e-35 
19260.76 2.29e-08 1.00e+00 5.21e-15 3.71e-30 1.13e-34 
20034.10 1.65e-08 1.00e+00 3.12e-17 2.08e-31 1.31e-34 
20838.00 1.77e-08 1.00e+00 3.34e-19 5.78e-33 8.93e-35 
21647.97 2.20e-08 1.00e+00 5.23e-20 9.51e-33 5.77e-35 
22447.94 2.08e-08 1.00e+00 1.52e-20 4.88e-31 5.59e-35 
23245.88 2.49e-08 1.00e+00 4.14e-22 1.03e-31 6.99e-35 
24052.47 2.46e-08 1.00e+00 1.94e-23 2.24e-33 9.64e-35 
24867.72 2.85e-08 1.00e+00 1.29e-23 5.91e-31 1.37e-34 
25698.86 2.79e-08 1.00e+00 1.17e-25 2.85e-34 1.99e-34 
26587.16 2.62e-08 1.00e+00 2.53e-26 4.41e-34 3.10e-34 
27637.54 2.42e-08 1.00e+00 1.52e-27 7.72e-34 5.46e-34 
28986.97 2.24e-08 1.00e+00 4.15e-27 1.69e-33 1.21e-33 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 1.38e-17 7.52e-10 8.06e-04 4.71e-01 5.28e-01 
999.11 1.82e-19 9.28e-12 3.52e-05 1.30e-01 8.70e-01 
1267.34 2.19e-21 1.24e-13 1.37e-06 2.41e-02 9.76e-01 
1514.05 1.48e-22 8.29e-15 1.71e-07 8.03e-03 9.92e-01 
1808.80 1.35e-23 8.07e-16 2.87e-08 3.09e-03 9.97e-01 
1919.29 2.18e-24 1.26e-16 6.62e-09 1.33e-03 9.99e-01 
2160.92 2.42e-25 1.73e-17 1.35e-09 5.49e-04 9.99e-01 
2292.92 4.06e-26 3.03e-18 3.32e-10 2.08e-04 1.00e+00 
2432.98 1.71e-26 1.55e-18 1.95e-10 1.60e-04 1.00e+00 
2581.60 7.88e-27 9.09e-19 1.26e-10 1.31e-04 1.00e+00 
2739.29 4.52e-27 5.83e-19 8.85e-11 1.10e-04 1.00e+00 
2906.62 3.25e-27 4.59e-19 7.37e-11 1.02e-04 1.00e+00 
3084.17 2.20e-27 3.67e-19 6.17e-11 9.40e-05 1.00e+00 
3272.56 1.45e-27 2.88e-19 5.13e-11 8.61e-05 1.00e+00 
3472.46 1.18e-27 2.65e-19 4.89e-11 8.45e-05 1.00e+00 
3684.57 9.52e-28 2.41e-19 4.61e-11 8.14e-05 1.00e+00 
3909.64 7.25e-28 2.10e-19 4.27e-11 7.70e-05 1.00e+00 
4148.46 7.58e-28 2.37e-19 4.77e-11 8.13e-05 1.00e+00 
4401.86 1.29e-27 3.93e-19 7.01e-11 1.00e-04 1.00e+00 
4670.75 2.11e-27 6.05e-19 1.01e-10 1.24e-04 1.00e+00 
4956.05 2.08e-27 6.65e-19 1.12e-10 1.33e-04 1.00e+00 
5258.79 1.84e-27 6.67e-19 1.16e-10 1.38e-04 1.00e+00 
5580.02 2.36e-27 8.59e-19 1.49e-10 1.62e-04 1.00e+00 
5920.87 2.86e-27 1.11e-18 1.86e-10 1.85e-04 1.00e+00 
6282.54 3.86e-27 1.59e-18 2.51e-10 2.20e-04 1.00e+00 
6666.30 6.42e-27 2.63e-18 3.83e-10 2.79e-04 1.00e+00 
7073.50 1.20e-26 4.86e-18 6.30e-10 3.62e-04 1.00e+00 
7505.58 2.26e-26 9.70e-18 1.08e-09 4.80e-04 1.00e+00 
7964.05 6.89e-26 3.01e-17 2.63e-09 7.80e-04 9.99e-01 
8450.53 4.70e-25 1.95e-16 1.14e-08 1.87e-03 9.98e-01 
8966.72 3.37e-24 1.35e-15 5.01e-08 4.21e-03 9.96e-01 
9514.44 5.88e-23 2.20e-14 4.17e-07 1.33e-02 9.87e-01 
10095.62 4.15e-21 1.39e-12 9.62e-06 7.34e-02 9.27e-01 
10712.30 6.81e-19 2.19e-10 4.16e-04 4.76e-01 5.23e-01 
11366.65 1.16e-16 3.66e-08 1.15e-02 9.52e-01 3.61e-02 
12061.10 2.78e-14 9.85e-06 2.91e-01 7.09e-01 2.63e-04 
12793.43 1.26e-12 5.13e-04 9.58e-01 4.17e-02 3.21e-08 
13528.61 3.75e-11 1.64e-02 9.83e-01 2.15e-04 1.91e-13 
14194.74 6.76e-10 3.46e-01 6.54e-01 8.19e-07 5.54e-19 
14757.77 1.73e-09 9.22e-01 7.82e-02 1.09e-09 2.70e-24 
15240.48 2.21e-09 9.95e-01 5.29e-03 1.67e-12 1.79e-29 
15646.99 3.41e-09 1.00e+00 4.45e-04 4.61e-15 4.55e-34 
15960.30 6.17e-09 1.00e+00 4.54e-05 2.09e-17 4.22e-37 
16187.41 8.10e-09 1.00e+00 6.59e-06 1.62e-19 4.63e-37 
16354.17 1.08e-08 1.00e+00 9.69e-07 1.31e-21 5.61e-37 
16484.18 1.11e-08 1.00e+00 2.86e-07 9.66e-23 7.46e-37 
16593.12 1.10e-08 1.00e+00 1.03e-07 4.47e-24 1.03e-36 
16691.99 9.41e-09 1.00e+00 5.95e-08 1.09e-24 1.38e-36 
16788.59 9.47e-09 1.00e+00 2.51e-08 1.05e-25 1.80e-36 
16888.37 9.80e-09 1.00e+00 9.20e-09 8.93e-27 2.34e-36 
16998.79 1.07e-08 1.00e+00 3.36e-09 5.93e-28 3.21e-36 
17146.37 1.24e-08 1.00e+00 8.77e-10 2.75e-29 4.71e-36 
17415.23 1.27e-08 1.00e+00 1.51e-10 7.56e-31 8.26e-36 
17888.12 1.34e-08 1.00e+00 6.57e-12 8.23e-31 2.24e-35 
18532.37 1.78e-08 1.00e+00 9.68e-14 9.93e-31 5.98e-35 
19260.76 1.78e-08 1.00e+00 1.91e-15 3.09e-31 1.20e-34 
20034.10 1.59e-08 1.00e+00 1.46e-16 1.53e-29 1.40e-34 
20838.00 1.53e-08 1.00e+00 1.13e-18 6.67e-31 9.50e-35 
21647.97 1.63e-08 1.00e+00 9.40e-20 1.50e-31 6.14e-35 
22447.94 1.69e-08 1.00e+00 1.81e-20 1.76e-31 5.94e-35 
23245.88 2.02e-08 1.00e+00 1.87e-22 1.14e-33 7.43e-35 
24052.47 2.18e-08 1.00e+00 8.17e-22 3.22e-29 1.02e-34 
24867.72 2.62e-08 1.00e+00 1.04e-22 6.07e-30 1.45e-34 
25698.86 2.60e-08 1.00e+00 3.63e-25 3.04e-34 2.12e-34 
26587.16 2.95e-08 1.00e+00 2.90e-26 4.71e-34 3.30e-34 
27637.54 2.19e-08 1.00e+00 4.13e-27 8.23e-34 5.81e-34 
28986.97 1.72e-08 1.00e+00 1.82e-27 1.80e-33 1.28e-33 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 6.10e-18 3.71e-10 5.04e-04 3.96e-01 6.04e-01 
999.11 9.04e-20 5.34e-12 2.38e-05 1.04e-01 8.96e-01 
1267.34 1.52e-21 9.69e-14 1.14e-06 2.14e-02 9.79e-01 
1514.05 1.12e-22 6.82e-15 1.49e-07 7.30e-03 9.93e-01 
1808.80 1.17e-23 7.78e-16 2.83e-08 3.07e-03 9.97e-01 
1919.29 1.86e-24 1.24e-16 6.48e-09 1.26e-03 9.99e-01 
2160.92 2.39e-25 2.15e-17 1.58e-09 5.79e-04 9.99e-01 
2292.92 3.96e-26 3.21e-18 3.49e-10 2.11e-04 1.00e+00 
2432.98 1.72e-26 1.77e-18 2.16e-10 1.69e-04 1.00e+00 
2581.60 9.00e-27 1.04e-18 1.44e-10 1.40e-04 1.00e+00 
2739.29 5.10e-27 7.06e-19 1.05e-10 1.21e-04 1.00e+00 
2906.62 3.66e-27 5.43e-19 8.65e-11 1.12e-04 1.00e+00 
3084.17 2.60e-27 4.31e-19 7.31e-11 1.04e-04 1.00e+00 
3272.56 1.78e-27 3.33e-19 6.07e-11 9.51e-05 1.00e+00 
3472.46 1.45e-27 3.14e-19 5.85e-11 9.41e-05 1.00e+00 
3684.57 1.14e-27 2.94e-19 5.56e-11 9.14e-05 1.00e+00 
3909.64 8.23e-28 2.49e-19 5.00e-11 8.50e-05 1.00e+00 
4148.46 8.73e-28 2.86e-19 5.63e-11 9.01e-05 1.00e+00 
4401.86 1.50e-27 4.56e-19 8.16e-11 1.10e-04 1.00e+00 
4670.75 2.39e-27 7.08e-19 1.17e-10 1.35e-04 1.00e+00 
4956.05 2.38e-27 7.87e-19 1.31e-10 1.47e-04 1.00e+00 
5258.79 2.15e-27 7.72e-19 1.36e-10 1.52e-04 1.00e+00 
5580.02 2.72e-27 1.02e-18 1.75e-10 1.77e-04 1.00e+00 
5920.87 3.41e-27 1.38e-18 2.25e-10 2.07e-04 1.00e+00 
6282.54 4.67e-27 1.93e-18 3.03e-10 2.46e-04 1.00e+00 
6666.30 7.77e-27 3.29e-18 4.65e-10 3.13e-04 1.00e+00 
7073.50 1.41e-26 5.95e-18 7.42e-10 3.94e-04 1.00e+00 
7505.58 2.84e-26 1.26e-17 1.34e-09 5.43e-04 9.99e-01 
7964.05 9.78e-26 4.38e-17 3.58e-09 9.62e-04 9.99e-01 
8450.53 6.40e-25 2.75e-16 1.50e-08 2.19e-03 9.98e-01 
8966.72 4.92e-24 2.03e-15 6.91e-08 5.05e-03 9.95e-01 
9514.44 8.45e-23 3.28e-14 5.70e-07 1.58e-02 9.84e-01 
10095.62 7.03e-21 2.43e-12 1.48e-05 9.32e-02 9.07e-01 
10712.30 1.11e-18 3.70e-10 6.09e-04 5.54e-01 4.46e-01 
11366.65 1.73e-16 5.67e-08 1.51e-02 9.59e-01 2.61e-02 
12061.10 3.87e-14 1.44e-05 3.56e-01 6.44e-01 1.26e-04 
12793.43 1.49e-12 6.36e-04 9.69e-01 3.05e-02 1.54e-08 
13528.61 4.40e-11 2.02e-02 9.80e-01 1.60e-04 1.68e-13 
14194.74 7.60e-10 4.00e-01 6.00e-01 5.18e-07 2.49e-19 
14757.77 1.71e-09 9.27e-01 7.30e-02 7.68e-10 1.44e-24 
15240.48 2.15e-09 9.95e-01 4.91e-03 1.18e-12 8.87e-30 
15646.99 3.18e-09 1.00e+00 4.03e-04 3.71e-15 1.19e-34 
15960.30 5.79e-09 1.00e+00 4.16e-05 1.49e-17 4.49e-37 
16187.41 8.05e-09 1.00e+00 5.01e-06 9.44e-20 4.92e-37 
16354.17 1.00e-08 1.00e+00 7.83e-07 9.90e-22 5.97e-37 
16484.18 1.03e-08 1.00e+00 2.46e-07 4.97e-23 7.93e-37 
16593.12 1.01e-08 1.00e+00 1.09e-07 6.32e-24 1.10e-36 
16691.99 1.02e-08 1.00e+00 4.13e-08 4.74e-25 1.47e-36 
16788.59 1.03e-08 1.00e+00 1.54e-08 3.68e-26 1.91e-36 
16888.37 1.02e-08 1.00e+00 8.12e-09 8.57e-27 2.49e-36 
16998.79 1.04e-08 1.00e+00 3.01e-09 6.20e-28 3.42e-36 
17146.37 1.02e-08 1.00e+00 9.87e-10 5.31e-29 5.01e-36 
17415.23 1.18e-08 1.00e+00 9.61e-11 2.77e-31 8.78e-36 
17888.12 1.36e-08 1.00e+00 4.68e-12 5.82e-31 2.38e-35 
18532.37 1.74e-08 1.00e+00 1.02e-13 1.73e-30 6.36e-35 
19260.76 1.69e-08 1.00e+00 1.83e-15 1.40e-30 1.28e-34 
20034.10 1.47e-08 1.00e+00 1.27e-16 1.75e-30 1.49e-34 
20838.00 1.66e-08 1.00e+00 3.08e-18 1.72e-30 1.01e-34 
21647.97 1.55e-08 1.00e+00 1.27e-19 2.30e-31 6.53e-35 
22447.94 2.18e-08 1.00e+00 4.58e-20 1.48e-30 6.32e-35 
23245.88 1.74e-08 1.00e+00 6.38e-22 9.98e-32 7.90e-35 
24052.47 1.85e-08 1.00e+00 2.65e-21 6.62e-30 1.09e-34 
24867.72 2.28e-08 1.00e+00 8.24e-24 2.23e-34 1.55e-34 
25698.86 2.28e-08 1.00e+00 3.52e-25 3.23e-34 2.25e-34 
26587.16 2.26e-08 1.00e+00 5.88e-26 5.00e-34 3.51e-34 
27637.54 1.89e-08 1.00e+00 7.61e-27 8.75e-34 6.18e-34 
28986.97 1.52e-08 1.00e+00 5.04e-27 1.92e-33 1.36e-33 
#TIME: 4.49 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 4.39e-18 2.72e-10 3.98e-04 3.39e-01 6.60e-01 
999.11 6.70e-20 4.01e-12 2.01e-05 9.93e-02 9.01e-01 
1267.34 1.35e-21 8.65e-14 1.08e-06 2.15e-02 9.78e-01 
1514.05 1.00e-22 6.20e-15 1.43e-07 7.32e-03 9.93e-01 
1808.80 1.20e-23 7.92e-16 2.97e-08 3.23e-03 9.97e-01 
1919.29 2.20e-24 1.32e-16 7.06e-09 1.36e-03 9.99e-01 
2160.92 3.47e-25 2.59e-17 1.97e-09 6.95e-04 9.99e-01 
2292.92 4.16e-26 3.34e-18 3.66e-10 2.17e-04 1.00e+00 
2432.98 2.00e-26 1.80e-18 2.29e-10 1.74e-04 1.00e+00 
2581.60 1.06e-26 1.16e-18 1.62e-10 1.49e-04 1.00e+00 
2739.29 6.33e-27 7.87e-19 1.20e-10 1.30e-04 1.00e+00 
2906.62 4.31e-27 6.12e-19 9.87e-11 1.21e-04 1.00e+00 
3084.17 3.09e-27 5.10e-19 8.60e-11 1.14e-04 1.00e+00 
3272.56 2.08e-27 3.90e-19 7.07e-11 1.04e-04 1.00e+00 
3472.46 1.72e-27 3.64e-19 6.81e-11 1.03e-04 1.00e+00 
3684.57 1.38e-27 3.42e-19 6.54e-11 1.00e-04 1.00e+00 
3909.64 9.59e-28 2.91e-19 5.84e-11 9.35e-05 1.00e+00 
4148.46 1.02e-27 3.37e-19 6.61e-11 9.94e-05 1.00e+00 
4401.86 1.73e-27 5.32e-19 9.47e-11 1.20e-04 1.00e+00 
4670.75 2.73e-27 8.39e-19 1.36e-10 1.48e-04 1.00e+00 
4956.05 2.75e-27 9.09e-19 1.52e-10 1.60e-04 1.00e+00 
5258.79 2.47e-27 9.09e-19 1.58e-10 1.66e-04 1.00e+00 
5580.02 3.13e-27 1.23e-18 2.05e-10 1.95e-04 1.00e+00 
5920.87 4.08e-27 1.65e-18 2.67e-10 2.29e-04 1.00e+00 
6282.54 5.54e-27 2.36e-18 3.61e-10 2.72e-04 1.00e+00 
6666.30 8.89e-27 3.77e-18 5.29e-10 3.32e-04 1.00e+00 
7073.50 1.71e-26 7.37e-18 8.94e-10 4.38e-04 1.00e+00 
7505.58 3.62e-26 1.67e-17 1.69e-09 6.21e-04 9.99e-01 
7964.05 1.33e-25 6.18e-17 4.74e-09 1.14e-03 9.99e-01 
8450.53 8.83e-25 3.93e-16 2.00e-08 2.58e-03 9.97e-01 
8966.72 7.06e-24 3.01e-15 9.49e-08 6.04e-03 9.94e-01 
9514.44 1.32e-22 5.25e-14 8.17e-07 1.92e-02 9.81e-01 
10095.62 1.17e-20 4.20e-12 2.30e-05 1.19e-01 8.81e-01 
10712.30 1.78e-18 6.17e-10 8.79e-04 6.31e-01 3.68e-01 
11366.65 2.50e-16 8.58e-08 1.96e-02 9.62e-01 1.84e-02 
12061.10 5.19e-14 2.05e-05 4.21e-01 5.78e-01 8.62e-05 
