#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    4.962544E+04   1.0000E-099   4.0313E-001   5.9687E-001   9.4429E-033   4.4055E-052
    5.058305E+04   1.0000E-099   4.2998E-001   5.7002E-001   8.4269E-033   4.2504E-052
    5.155912E+04   1.0000E-099   4.5350E-001   5.4650E-001   7.5637E-033   4.1166E-052
    5.255403E+04   1.0000E-099   4.7144E-001   5.2856E-001   6.8821E-033   4.0205E-052
    5.356816E+04   1.0000E-099   4.8306E-001   5.1694E-001   6.3813E-033   3.9676E-052
    5.460189E+04   1.0000E-099   4.8713E-001   5.1287E-001   6.0581E-033   3.9675E-052
    5.565558E+04   1.0000E-099   4.8209E-001   5.1791E-001   5.9149E-033   4.0324E-052
    5.672959E+04   1.0000E-099   4.6784E-001   5.3216E-001   5.9381E-033   4.1638E-052
    5.782432E+04   1.0000E-099   4.4689E-001   5.5311E-001   6.0874E-033   4.3426E-052
    5.894013E+04   1.0000E-099   4.2367E-001   5.7633E-001   6.2960E-033   4.5362E-052
    6.007747E+04   1.0000E-099   4.0109E-001   5.9891E-001   6.4975E-033   4.7253E-052
    6.123675E+04   1.0000E-099   3.8044E-001   6.1956E-001   6.6607E-033   4.9042E-052
    6.241838E+04   1.0000E-099   3.6661E-001   6.3339E-001   6.7154E-033   5.0379E-052
    6.362274E+04   1.0000E-099   3.6257E-001   6.3743E-001   6.6433E-033   5.1056E-052
    6.485024E+04   1.0000E-099   3.7178E-001   6.2822E-001   6.3881E-033   5.0807E-052
    6.610128E+04   1.0000E-099   3.9324E-001   6.0676E-001   5.9813E-033   4.9674E-052
    6.737631E+04   1.0000E-099   4.2453E-001   5.7547E-001   5.4777E-033   4.7792E-052
    6.867574E+04   1.0000E-099   4.7178E-001   5.2822E-001   4.7622E-033   4.4066E-052
    6.935606E+04   1.0000E-099   4.9729E-001   5.0271E-001   4.4122E-033   4.0612E-052
    6.969874E+04   1.0000E-099   5.2459E-001   4.7541E-001   4.0282E-033   3.6321E-052
    6.987071E+04   1.0000E-099   5.3649E-001   4.6351E-001   3.6544E-033   3.3340E-052
    6.995686E+04   1.0000E-099   5.5138E-001   4.4862E-001   3.0758E-033   3.0676E-052
    6.999782E+04   1.0000E-099   5.6306E-001   4.3694E-001   2.0510E-033   2.8774E-052
    6.999997E+04   1.0000E-099   5.6499E-001   4.3501E-001   1.8188E-033   2.8588E-052
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    8.772128E+02   1.0000E-099   1.4271E-016   3.3152E-011   2.7186E-005   9.9997E-001
    8.825108E+02   1.0000E-099   1.4271E-016   3.3152E-011   2.7186E-005   9.9997E-001
    8.985975E+02   1.0000E-099   1.4271E-016   3.3152E-011   2.7186E-005   9.9997E-001
    9.316560E+02   1.0000E-099   1.4271E-016   3.3153E-011   2.7186E-005   9.9997E-001
    9.893707E+02   1.0000E-099   1.4271E-016   3.3153E-011   2.7186E-005   9.9997E-001
    1.050609E+03   1.0000E-099   1.4269E-016   3.3149E-011   2.7184E-005   9.9997E-001
    1.115637E+03   1.0000E-099   1.4252E-016   3.3120E-011   2.7171E-005   9.9997E-001
    1.184691E+03   1.0000E-099   1.4174E-016   3.2988E-011   2.7109E-005   9.9997E-001
    1.258018E+03   1.0000E-099   1.4004E-016   3.2696E-011   2.6973E-005   9.9997E-001
    1.335885E+03   1.0000E-099   1.3638E-016   3.2069E-011   2.6677E-005   9.9997E-001
    1.418571E+03   1.0000E-099   1.0620E-016   2.6623E-011   2.4154E-005   9.9998E-001
    1.506375E+03   1.0000E-099   1.0038E-017   4.7116E-012   9.9166E-006   9.9999E-001
    1.599613E+03   1.0000E-099   8.0116E-018   3.9948E-012   9.1310E-006   9.9999E-001
