#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] co0 co1 co2 co3 co4 co5 co6 co7 co8
2.820477e+03 7.955618e+04 2.847283e+13 1.568817e-38 9.326252e-30 1.160651e-21 1.737556e-14 1.420600e-08 3.351978e-04 1.539174e-01 8.140518e-01 3.169558e-02 
2.992763e+03 8.104266e+04 2.618756e+13 2.846893e-39 1.924329e-30 2.782678e-22 5.051630e-15 5.180062e-09 1.624656e-04 1.055277e-01 8.412249e-01 5.308493e-02 
3.175573e+03 8.099163e+04 2.310320e+13 1.321072e-39 1.011002e-30 1.650794e-22 3.340893e-15 3.843119e-09 1.340724e-04 9.651468e-02 8.450494e-01 5.830186e-02 
3.369550e+03 7.932224e+04 1.991503e+13 1.422846e-39 1.204868e-30 2.134269e-22 4.551191e-15 5.269801e-09 1.751011e-04 1.133007e-01 8.407727e-01 4.575145e-02 
3.575375e+03 7.599184e+04 1.643340e+13 5.168664e-39 4.762140e-30 8.682194e-22 1.762572e-14 1.768380e-08 4.442728e-04 1.890337e-01 7.898183e-01 2.070369e-02 
3.793773e+03 7.094847e+04 1.262645e+13 6.251652e-38 6.251652e-29 1.130106e-20 1.991712e-13 1.458719e-07 2.099914e-03 4.047544e-01 5.890980e-01 4.047544e-03 
4.025512e+03 6.640247e+04 1.058494e+13 1.051657e-36 1.046318e-27 1.718951e-19 2.402261e-12 1.163762e-06 8.701524e-03 6.833098e-01 3.074894e-01 4.980688e-04 
4.271406e+03 6.391214e+04 1.036013e+13 8.250223e-36 7.532813e-27 1.076116e-18 1.207641e-11 4.190874e-06 1.942987e-02 8.130655e-01 1.673958e-01 1.046224e-04 
4.532320e+03 6.342009e+04 1.010890e+13 1.070916e-35 9.880829e-27 1.396333e-18 1.532416e-11 5.088331e-06 2.189166e-02 8.283330e-01 1.496916e-01 7.869163e-05 
4.809172e+03 6.386716e+04 9.035089e+12 4.357574e-36 4.530265e-27 7.310593e-19 9.152632e-12 3.528656e-06 1.784476e-02 8.058922e-01 1.761450e-01 1.145518e-04 
5.102936e+03 6.434705e+04 8.030419e+12 1.416298e-36 1.685003e-27 3.146086e-19 4.651952e-12 2.149639e-06 1.343524e-02 7.669283e-01 2.194423e-01 1.920120e-04 
