#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
1.699880E+04 2.481558E-14 1.843762E-05 9.999816E-01 2.939829E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.714640E+04 2.373986E-14 1.853922E-05 9.999815E-01 2.125535E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.741525E+04 2.248547E-14 1.890917E-05 9.999811E-01 1.236963E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.788812E+04 1.886275E-14 1.848681E-05 9.999815E-01 6.368340E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.853238E+04 1.946924E-14 2.031480E-05 9.999797E-01 2.524889E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.926078E+04 1.957087E-14 2.208777E-05 9.999779E-01 9.818210E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.003410E+04 1.781691E-14 2.291777E-05 9.999771E-01 3.740547E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.083800E+04 1.661242E-14 2.405141E-05 9.999759E-01 1.392609E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.164798E+04 1.761391E-14 2.690947E-05 9.999731E-01 4.758654E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.244795E+04 1.583164E-14 2.749272E-05 9.999725E-01 1.976919E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.324590E+04 1.293374E-14 2.653078E-05 9.999735E-01 9.861216E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.405250E+04 1.122655E-14 2.638404E-05 9.999736E-01 4.687334E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.486775E+04 1.019950E-14 2.670527E-05 9.999733E-01 2.348701E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 9.255381E-15 2.694483E-05 9.999731E-01 1.223263E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.658715E+04 8.343011E-15 2.734313E-05 9.999727E-01 5.518537E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.763753E+04 6.963964E-15 2.668395E-05 9.999733E-01 2.708694E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.898698E+04 5.991748E-15 2.683154E-05 9.999732E-01 1.090646E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.065218E+04 4.406896E-15 2.507579E-05 9.999749E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.251555E+04 2.476103E-15 2.049045E-05 9.999795E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
