#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8
1.469181e+03 1.535376e-25 2.213228e-17 1.617045e-10 4.548960e-05 1.069863e-01 8.820246e-01 1.094364e-02 1.208700e-10 8.330232e-22 
1.558925e+03 2.048262e-26 3.453351e-18 3.126816e-11 1.256663e-05 5.165183e-02 9.172653e-01 3.107026e-02 1.919628e-09 9.608033e-20 
1.654150e+03 1.663320e-27 3.385623e-19 3.928267e-12 2.418302e-06 1.946439e-02 8.800261e-01 1.005070e-01 5.072537e-08 2.842980e-17 
1.755192e+03 3.135061e-28 7.139388e-20 9.633186e-13 7.780650e-07 9.604686e-03 7.923153e-01 1.980788e-01 3.904575e-07 1.051670e-15 
1.862406e+03 2.380079e-29 6.364908e-21 1.067429e-13 1.265769e-07 2.884944e-03 5.625641e-01 4.345447e-01 6.058383e-06 1.559673e-13 
1.976169e+03 1.663794e-30 5.150405e-22 1.058562e-14 1.789588e-08 7.144110e-04 3.109231e-01 6.883029e-01 5.957381e-05 1.262680e-11 
2.096881e+03 8.029095e-32 2.963585e-23 7.637432e-16 1.896303e-09 1.361030e-04 1.344710e-01 8.649229e-01 4.699958e-04 8.224927e-10 
2.224967e+03 3.012504e-33 1.383869e-24 4.659968e-17 1.741604e-10 2.264085e-05 5.083601e-02 9.461147e-01 3.026626e-03 4.085709e-08 
2.360877e+03 1.398738e-34 7.854983e-26 3.403826e-18 1.853500e-11 4.161763e-06 1.977526e-02 9.646471e-01 1.557216e-02 1.343616e-06 
2.505088e+03 7.543122e-36 5.064668e-27 2.723361e-19 2.096400e-12 7.797825e-07 7.503937e-03 9.228079e-01 6.965142e-02 3.595228e-05 
2.658109e+03 6.413568e-37 4.982441e-28 3.206784e-20 3.273040e-13 1.815411e-07 3.074272e-03 7.924202e-01 2.040681e-01 4.372887e-04 
2.820477e+03 7.171833e-38 6.418705e-29 4.878216e-21 6.350238e-14 4.895332e-08 1.300857e-03 6.007908e-01 3.953922e-01 2.516132e-03 
2.992763e+03 1.738163e-38 1.768811e-29 1.543331e-21 2.386144e-14 2.254796e-08 7.749494e-04 4.881743e-01 5.056873e-01 5.363350e-03 
3.175573e+03 7.676048e-39 8.844143e-30 8.760707e-22 1.535210e-14 1.649238e-08 6.396707e-04 4.561130e-01 5.367672e-01 6.480142e-03 
3.369550e+03 8.349225e-39 1.058682e-29 1.138834e-21 2.090646e-14 2.260970e-08 8.315828e-04 5.276710e-01 4.675566e-01 3.940834e-03 
3.575375e+03 2.059066e-38 2.831678e-29 3.216135e-21 5.766863e-14 5.545061e-08 1.611764e-03 7.023744e-01 2.949972e-01 1.016594e-03 
3.793773e+03 1.377150e-37 2.021943e-28 2.336379e-20 3.685668e-13 2.634894e-07 4.497629e-03 9.074863e-01 8.796249e-02 5.333472e-05 
4.025512e+03 1.686117e-36 2.397509e-27 2.542932e-19 3.148205e-12 1.450297e-06 1.249849e-02 9.707948e-01 1.670396e-02 1.332386e-06 
4.271406e+03 1.164760e-35 1.497549e-26 1.393553e-18 1.379686e-11 4.506514e-06 2.381519e-02 9.706337e-01 5.546478e-03 1.230625e-07 
4.532320e+03 1.256306e-35 1.635045e-26 1.533432e-18 1.511878e-11 4.865107e-06 2.500296e-02 9.699422e-01 5.049858e-03 1.000734e-07 
4.809172e+03 4.745686e-36 7.043911e-27 7.551311e-19 8.625806e-12 3.283179e-06 2.029601e-02 9.730148e-01 6.685746e-03 1.796794e-07 
5.102936e+03 1.522670e-36 2.600345e-27 3.239079e-19 4.389406e-12 2.025181e-06 1.571105e-02 9.747509e-01 9.535607e-03 3.783971e-07 
5.414644e+03 7.286239e-37 1.358868e-27 1.856915e-19 2.800744e-12 1.466471e-06 1.321976e-02 9.745729e-01 1.220522e-02 6.394674e-07 
5.745391e+03 5.165279e-37 1.029827e-27 1.507616e-19 2.424453e-12 1.342973e-06 1.268722e-02 9.749464e-01 1.236439e-02 6.521165e-07 
6.096342e+03 5.905842e-37 1.243701e-27 1.896817e-19 3.084934e-12 1.660584e-06 1.448668e-02 9.762009e-01 9.310386e-03 3.467077e-07 
6.468731e+03 9.208620e-37 1.992144e-27 3.067094e-19 4.842780e-12 2.388371e-06 1.797699e-02 9.758936e-01 6.126851e-03 1.394134e-07 
6.863867e+03 1.889540e-36 4.138248e-27 6.324492e-19 9.369618e-12 4.060168e-06 2.451717e-02 9.720979e-01 3.380870e-03 3.841543e-08 
7.283139e+03 6.773547e-36 1.507661e-26 2.276786e-18 3.015321e-11 1.026957e-05 4.177749e-02 9.570367e-01 1.175538e-03 3.954878e-09 
7.728022e+03 4.425561e-35 9.736234e-26 1.381758e-17 1.519443e-10 3.619125e-05 8.506911e-02 9.146159e-01 2.788103e-04 1.843984e-10 
8.200081e+03 3.813968e-34 7.954847e-25 1.024323e-16 8.935582e-10 1.405720e-04 1.770771e-01 8.227273e-01 5.503011e-05 6.265804e-12 
8.700974e+03 6.214632e-33 1.205536e-23 1.347363e-15 8.509662e-09 7.542655e-04 4.035643e-01 5.956764e-01 5.054224e-06 5.228285e-14 
9.232464e+03 2.376861e-31 3.986455e-22 3.544442e-14 1.351058e-07 5.053958e-03 7.781093e-01 2.168365e-01 9.424047e-08 3.127449e-17 
9.796417e+03 2.073136e-29 2.725358e-20 1.677144e-12 3.086410e-06 3.435815e-02 9.387346e-01 2.690418e-02 2.096430e-10 6.743515e-22 
1.039482e+04 4.099663e-27 4.099663e-18 1.598868e-10 1.146042e-04 2.608876e-01 7.379393e-01 1.058458e-03 4.043758e-14 2.795225e-28 
1.102978e+04 1.019885e-24 7.490879e-16 1.645883e-08 3.323418e-03 8.827280e-01 1.139458e-01 2.743139e-06 7.104027e-20 1.069121e-37 
1.170352e+04 2.352114e-22 1.225535e-13 1.324491e-06 5.358862e-02 9.438905e-01 2.519579e-03 3.516753e-10 9.210544e-28 3.356901e-50 
1.241868e+04 5.087755e-20 1.893865e-11 9.116229e-05 5.681594e-01 4.317369e-01 1.255087e-05 4.381568e-15 2.519803e-37 3.771679e-65 
1.316817e+04 1.748912e-18 5.223146e-10 1.132243e-03 9.738640e-01 2.500371e-02 5.324239e-09 2.668859e-21 1.125504e-48 1.934249e-82 
1.388905e+04 4.637791e-17 1.050961e-08 9.289143e-03 9.899379e-01 7.729652e-04 1.078083e-12 6.848200e-28 1.817146e-60 3.037618e-100 
1.450043e+04 1.734211e-15 2.741928e-07 8.600749e-02 9.139761e-01 1.617035e-05 9.948278e-17 4.909692e-35 3.562163e-73 2.261505e-119 
1.501511e+04 1.431882e-13 1.202494e-05 7.437186e-01 2.562693e-01 1.761628e-08 4.085972e-23 6.397772e-46 4.641521e-92 1.756251e-147 
1.546584e+04 1.364336e-10 1.403882e-03 9.985356e-01 6.055476e-05 5.536435e-18 7.439584e-41 2.175028e-74 2.155255e-139 1.581839e-216 
1.582815e+04 1.304984e-05 9.931733e-01 6.813631e-03 6.611532e-17 1.801570e-45 2.973746e-90 2.188446e-152 5.572164e-268 0.000000e+00 
1.609245e+04 3.536231e-03 9.964638e-01 7.655758e-09 3.370154e-34 9.073491e-81 5.589919e-151 2.689642e-246 0.000000e+00 0.000000e+00 
1.628237e+04 1.114884e-01 8.885116e-01 8.771930e-14 5.308432e-49 1.199774e-111 7.300509e-205 0.000000e+00 0.000000e+00 0.000000e+00 
1.642596e+04 6.517214e-01 3.482786e-01 2.922338e-18 7.902322e-62 3.330665e-138 3.803042e-251 0.000000e+00 0.000000e+00 0.000000e+00 
1.654240e+04 9.528954e-01 4.710458e-02 2.906223e-22 4.570009e-72 1.415298e-158 5.347882e-286 0.000000e+00 0.000000e+00 0.000000e+00 
1.664385e+04 9.992584e-01 7.416051e-04 3.830718e-30 2.617430e-92 4.280588e-199 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.674015e+04 9.995704e-01 4.295954e-04 2.503154e-31 1.691320e-95 1.304008e-205 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.683704e+04 9.998971e-01 1.028701e-04 3.065528e-34 3.682749e-103 3.950211e-221 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.693972e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.705788e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.723487e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.759558e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.818065e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.888408e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.963744e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.043076e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.124524e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.205069e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.284519e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.364658e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.445835e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.527708e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.612065e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.705367e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.822140e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.975253e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.155178e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.347929e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.543911e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.730307e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.899822e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.050110e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.184592e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.308864e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.428714e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.548226e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.668639e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.790207e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.913111e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.037838e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.164686e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.293843e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.425290e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.558886e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.694142e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.830411e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.966620e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.101550e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.233719e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.361286e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.482466e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.595016e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.697182e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.787199e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.864160e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.927720e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.967325e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.984350e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.992880e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.997149e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.999249e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.999962e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
#
#TIME: 2.112455e+00 
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8
4.386064e+02 6.247775e-26 1.124278e-17 1.019881e-10 3.477232e-05 9.636671e-02 8.913921e-01 1.220645e-02 1.317012e-10 8.512393e-22 
8.801961e+02 9.537329e-25 9.022867e-17 4.392712e-10 8.429257e-05 1.408834e-01 8.508405e-01 8.191813e-03 7.993944e-11 5.105043e-22 
8.922517e+02 1.358651e-25 1.743175e-17 1.168953e-10 3.281271e-05 8.664605e-02 8.972224e-01 1.609873e-02 3.870874e-10 6.767620e-21 
9.200313e+02 4.333155e-26 6.593931e-18 5.316357e-11 1.854543e-05 6.358434e-02 9.125530e-01 2.384413e-02 9.949771e-10 3.208654e-20 
9.688202e+02 1.313377e-26 2.543244e-18 2.619162e-11 1.161541e-05 5.086488e-02 9.186046e-01 3.051893e-02 1.601864e-09 6.506150e-20 
1.029396e+03 1.972212e-25 3.117129e-17 2.422792e-10 6.633133e-05 1.359127e-01 8.568412e-01 7.179738e-03 3.516004e-11 9.307068e-23 
1.092261e+03 3.677758e-25 5.564543e-17 4.075751e-10 9.949845e-05 1.695159e-01 8.254687e-01 4.915961e-03 1.326646e-11 1.776232e-23 
1.158981e+03 1.655605e-25 2.638620e-17 2.084288e-10 5.898092e-05 1.271268e-01 8.647579e-01 8.056292e-03 4.708126e-11 1.529956e-22 
1.229776e+03 4.336197e-26 7.582823e-18 6.809817e-11 2.444172e-05 7.730062e-02 9.055216e-01 1.715338e-02 3.489571e-10 4.748467e-21 
1.304896e+03 5.409162e-27 1.084784e-18 1.188097e-11 6.080695e-06 3.446219e-02 9.150560e-01 5.047567e-02 6.671054e-09 7.896048e-19 
1.384604e+03 1.222951e-27 2.673246e-19 3.316079e-12 2.179362e-06 1.850106e-02 8.780162e-01 1.034805e-01 5.236740e-08 2.908429e-17 
1.469181e+03 1.723318e-28 4.267265e-20 6.309716e-13 5.662332e-07 7.950972e-03 7.640957e-01 2.279522e-01 5.799103e-07 2.069806e-15 
1.558925e+03 1.214037e-29 3.553818e-21 6.588910e-14 8.741067e-08 2.273560e-03 5.187249e-01 4.789928e-01 8.608627e-06 2.935762e-13 
1.654150e+03 1.048025e-30 3.515362e-22 7.833859e-15 1.435110e-08 6.227589e-04 2.936051e-01 7.057056e-01 6.648905e-05 1.527273e-11 
1.755192e+03 6.967565e-32 2.698146e-23 7.300865e-16 1.872831e-09 1.369706e-04 1.360183e-01 8.634067e-01 4.380519e-04 7.031051e-10 
1.862406e+03 4.730894e-33 2.133935e-24 7.046012e-17 2.496301e-10 2.999588e-05 5.958913e-02 9.381261e-01 2.254724e-03 2.154066e-08 
1.976169e+03 2.366739e-34 1.264205e-25 5.168132e-18 2.615870e-11 5.353655e-06 2.271328e-02 9.647180e-01 1.256254e-02 8.534044e-07 
2.096881e+03 1.340683e-35 8.415698e-27 4.189633e-19 2.983747e-12 1.005512e-06 8.670719e-03 9.326487e-01 5.865486e-02 2.466419e-05 
2.224967e+03 5.741646e-37 4.351009e-28 2.754937e-20 2.818147e-13 1.590805e-07 2.802345e-03 7.690645e-01 2.275588e-01 5.741646e-04 
2.360877e+03 1.757719e-38 1.642584e-29 1.327884e-21 1.957285e-14 1.819124e-08 6.409149e-04 4.367432e-01 5.549479e-01 7.667952e-03 
2.505088e+03 5.330991e-40 5.931820e-31 5.931820e-23 1.201658e-15 1.736942e-09 1.114265e-04 1.704169e-01 7.810776e-01 4.839404e-02 
2.658109e+03 2.987654e-41 3.786334e-32 4.422320e-24 1.143295e-16 2.277717e-10 2.322088e-05 6.522552e-02 7.838895e-01 1.508618e-01 
2.820477e+03 2.745455e-42 3.908460e-33 5.262122e-25 1.658712e-17 4.289773e-11 6.177274e-06 2.764521e-02 6.730178e-01 2.993308e-01 
2.992763e+03 5.612615e-43 9.028989e-34 1.383632e-25 5.100159e-18 1.576413e-11 2.830710e-06 1.656942e-02 5.856642e-01 3.977636e-01 
3.175573e+03 3.038829e-43 5.477319e-34 9.407372e-26 3.837218e-18 1.305892e-11 2.546798e-06 1.593683e-02 5.817717e-01 4.022889e-01 
3.369550e+03 5.876415e-43 1.152968e-33 2.116253e-25 8.851815e-18 2.938208e-11 5.206950e-06 2.703895e-02 6.806228e-01 2.923331e-01 
3.575375e+03 3.113610e-42 6.589652e-33 1.264389e-24 5.065795e-17 1.486790e-10 2.034555e-05 6.919134e-02 7.989953e-01 1.317930e-01 
3.793773e+03 3.586992e-41 8.257184e-32 1.646997e-23 6.037511e-16 1.411712e-09 1.260774e-04 2.215234e-01 7.502495e-01 2.810106e-02 
4.025512e+03 4.692427e-40 1.083205e-30 2.069930e-22 6.402750e-15 1.105132e-08 6.008060e-04 5.130971e-01 4.823990e-01 3.903047e-03 
4.271406e+03 2.412942e-39 5.189956e-30 9.024327e-22 2.401323e-14 3.280517e-08 1.270377e-03 6.932852e-01 3.044258e-01 1.018626e-03 
4.532320e+03 2.744318e-39 5.942015e-30 1.040711e-21 2.751187e-14 3.675119e-08 1.384180e-03 7.144157e-01 2.833620e-01 8.380646e-04 
4.809172e+03 1.044202e-39 2.547322e-30 5.054737e-22 1.533049e-14 2.391024e-08 1.060830e-03 6.617715e-01 3.358740e-01 1.293614e-03 
5.102936e+03 3.549144e-40 9.903801e-31 2.254551e-22 7.909520e-15 1.453459e-08 7.774315e-04 5.982842e-01 3.988562e-01 2.082164e-03 
