#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
16691.99 8.6980e-03 2.3350e+01 9.2200e+00 5.5060e+00
16788.59 5.2010e-01 2.0050e+01 8.9240e+00 5.5430e+00
16888.37 4.9670e-02 1.7850e+01 8.8890e+00 5.8480e+00
16998.79 7.5870e-02 1.5710e+01 8.5610e+00 5.8970e+00
17146.37 6.1190e-01 1.3760e+01 7.8450e+00 5.3290e+00
17415.23 2.1720e-03 1.1490e+01 6.7920e+00 4.8480e+00
17888.12 1.1030e-03 6.8990e+00 5.3710e+00 4.4760e+00
18532.37 1.1340e-03 4.6370e+00 4.0680e+00 3.6370e+00
19260.76 2.0580e-04 2.7590e+00 2.9280e+00 2.9710e+00
20034.10 2.2880e-04 1.6060e+00 1.9610e+00 2.1480e+00
20838.00 1.4840e-04 9.4420e-01 1.3350e+00 1.5430e+00
21647.97 5.0410e-05 5.2880e-01 9.1090e-01 1.2390e+00
22447.94 1.7670e-03 2.7670e-01 5.9910e-01 9.1120e-01
23245.88 1.6170e-03 1.1250e-01 3.4080e-01 7.3220e-01
24052.47 2.5760e-04 5.1520e-02 2.0000e-01 5.5940e-01
24867.72 2.0090e-04 2.7080e-02 1.2900e-01 4.1060e-01
25698.86 3.1470e-04 1.5050e-02 8.1200e-02 2.9060e-01
26587.16 5.7080e-04 6.1270e-03 4.3630e-02 1.9320e-01
27637.54 1.3240e-04 2.2620e-03 2.0500e-02 1.0970e-01
28986.97 8.9040e-06 7.8280e-04 7.9120e-03 4.9420e-02
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.6030e+05 1.3340e+05 5.2620e+04 2.1430e+04
1919.29 3.6490e+05 1.7640e+05 8.2240e+04 3.0390e+04
2581.60 2.4890e+05 2.2260e+05 1.0750e+05 4.8450e+04
3084.17 2.8300e+04 1.6290e+05 7.0090e+04 3.8660e+04
3472.46 3.4210e+02 7.6970e+04 3.8420e+04 2.3320e+04
3909.64 2.2910e+01 2.4010e+04 1.5810e+04 1.0780e+04
4148.46 1.3960e+01 1.3220e+04 9.0280e+03 6.4230e+03
4670.75 5.5340e+00 5.6970e+03 3.7980e+03 2.6760e+03
4956.05 2.0070e+00 3.8110e+03 2.8870e+03 2.1600e+03
5258.79 7.4980e-01 2.8250e+03 2.5250e+03 1.9670e+03
5580.02 1.9750e-01 2.3630e+03 2.4490e+03 1.9580e+03
5920.87 8.8840e-02 2.0020e+03 2.3650e+03 1.9720e+03
6282.54 5.7150e-02 1.6790e+03 2.2110e+03 1.9380e+03
6666.30 5.3820e-02 1.4830e+03 2.0680e+03 1.8410e+03
7073.50 4.8480e-02 1.3100e+03 1.8560e+03 1.7060e+03
7505.58 3.5680e-02 1.0260e+03 1.5810e+03 1.5160e+03
7964.05 3.8520e-02 8.4390e+02 1.3070e+03 1.2940e+03
8450.53 5.4320e-02 7.8170e+02 1.0880e+03 1.0670e+03
8966.72 1.1170e-01 6.7790e+02 8.8000e+02 8.5230e+02
9514.44 1.8940e-01 5.6340e+02 6.6720e+02 6.5060e+02
10095.62 4.0300e-01 4.6710e+02 4.9650e+02 4.7200e+02
10712.30 4.5380e-01 3.5420e+02 3.4770e+02 3.2270e+02
11366.65 4.2700e-01 2.3920e+02 2.2340e+02 2.0590e+02
12061.10 6.5360e-01 1.4430e+02 1.3560e+02 1.2670e+02
12793.43 4.1640e-01 9.2150e+01 8.6820e+01 8.1730e+01
13528.61 6.1610e-01 5.9040e+01 5.8790e+01 5.7410e+01
14194.74 1.4020e-01 3.9210e+01 3.9030e+01 3.8150e+01
14757.77 5.6790e-02 2.4940e+01 2.5880e+01 2.5930e+01
15240.48 5.6990e-02 2.2100e+01 1.9920e+01 1.8170e+01
15646.99 2.8510e-02 2.7170e+01 1.6560e+01 1.2120e+01
15960.30 3.8490e-02 3.8260e+01 1.5010e+01 8.9050e+00
16187.41 7.5680e-02 3.8850e+01 1.2970e+01 7.2180e+00
16354.17 3.4690e-02 3.6910e+01 1.1580e+01 6.3160e+00
16484.18 1.7220e-02 3.1740e+01 1.0560e+01 5.9140e+00
16593.12 3.6040e-02 2.5810e+01 9.6520e+00 5.6300e+00
16691.99 1.0270e-01 2.2340e+01 8.8120e+00 5.2300e+00
16788.59 2.7170e-03 2.0820e+01 8.0950e+00 4.6550e+00
16888.37 1.0800e-02 1.6990e+01 8.6150e+00 5.6480e+00
16998.79 1.9030e-02 1.5290e+01 8.1190e+00 5.5440e+00
17146.37 3.6160e-02 1.3320e+01 7.6210e+00 5.4120e+00
17415.23 2.6020e-03 1.0720e+01 6.5970e+00 4.8410e+00
17888.12 2.0440e-03 6.7130e+00 5.1140e+00 4.2160e+00
18532.37 3.1360e-04 4.4770e+00 3.9110e+00 3.4390e+00
19260.76 1.3910e-04 2.9880e+00 2.7650e+00 2.5430e+00
20034.10 7.4210e-05 1.4270e+00 1.8720e+00 2.1770e+00
20838.00 2.5210e-05 8.2240e-01 1.2680e+00 1.5710e+00
21647.97 3.4420e-05 4.6350e-01 8.5300e-01 1.2500e+00
