#NTIMES: 50
#NSTAGES 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
21647.97 1.1921e-04 2.3133e-01 7.6855e-01
22447.94 1.3988e-04 1.8879e-01 8.1107e-01
23245.88 1.0153e-04 1.5923e-01 8.4067e-01
24052.47 8.6194e-05 1.1035e-01 8.8956e-01
24867.72 3.3745e-05 6.6566e-02 9.3340e-01
25698.86 2.9740e-05 9.1778e-02 9.0819e-01
26587.16 3.9020e-05 5.9717e-02 9.4024e-01
27637.54 1.9276e-05 2.7772e-02 9.7221e-01
28986.97 6.5149e-05 5.1511e-02 9.4842e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.1570e-01 6.2343e-01 2.6087e-01
886.22 1.4137e-01 6.3516e-01 2.2347e-01
906.14 1.2995e-01 6.2439e-01 2.4566e-01
944.43 1.1327e-01 6.1053e-01 2.7620e-01
999.11 1.1890e-01 6.1947e-01 2.6163e-01
1060.83 1.0770e-01 6.2587e-01 2.6643e-01
1125.62 1.1853e-01 6.2789e-01 2.5358e-01
1194.38 1.1823e-01 6.2898e-01 2.5279e-01
1267.34 1.2257e-01 6.2272e-01 2.5471e-01
1344.75 1.1446e-01 6.1808e-01 2.6746e-01
1426.89 1.2242e-01 6.2297e-01 2.5461e-01
1514.05 1.3307e-01 6.3385e-01 2.3308e-01
1606.54 1.3417e-01 6.2810e-01 2.3772e-01
1704.67 1.2834e-01 6.2922e-01 2.4244e-01
1808.80 1.3783e-01 6.2939e-01 2.3278e-01
1919.29 1.2935e-01 6.2770e-01 2.4295e-01
2036.53 1.3491e-01 6.2827e-01 2.3682e-01
2160.92 1.2785e-01 6.2689e-01 2.4526e-01
2292.92 1.1647e-01 6.1970e-01 2.6382e-01
2432.98 1.0281e-01 6.0915e-01 2.8804e-01
2581.60 8.6756e-02 5.9481e-01 3.1844e-01
2739.29 7.2637e-02 5.7625e-01 3.5111e-01
2906.62 5.8303e-02 5.5310e-01 3.8860e-01
3084.17 3.9789e-02 5.0934e-01 4.5087e-01
3272.56 2.4852e-02 4.6467e-01 5.1048e-01
3472.46 1.5558e-02 4.1559e-01 5.6885e-01
3684.57 8.5862e-03 3.5831e-01 6.3310e-01
3909.64 5.3683e-03 3.2892e-01 6.6571e-01
4148.46 5.4404e-03 3.1740e-01 6.7716e-01
4401.86 7.8940e-03 3.6062e-01 6.3148e-01
4670.75 6.6114e-03 3.4000e-01 6.5339e-01
4956.05 3.5757e-03 2.9208e-01 7.0435e-01
5258.79 1.0619e-03 2.1455e-01 7.8438e-01
5580.02 2.7287e-04 1.6304e-01 8.3668e-01
5920.87 1.2014e-04 1.3462e-01 8.6526e-01
6282.54 7.2807e-05 1.1508e-01 8.8484e-01
6666.30 6.4683e-05 1.1096e-01 8.8898e-01
7073.50 6.5552e-05 1.0673e-01 8.9321e-01
7505.58 6.3615e-05 1.0115e-01 8.9879e-01
7964.05 8.9691e-05 1.1320e-01 8.8671e-01
8450.53 1.6174e-04 1.3016e-01 8.6968e-01
8966.72 4.6079e-04 1.6618e-01 8.3336e-01
9514.44 1.1516e-03 2.0201e-01 7.9684e-01
10095.62 2.5373e-03 2.5973e-01 7.3774e-01
10712.30 4.5371e-03 3.0269e-01 6.9277e-01
11366.65 7.0529e-03 3.4013e-01 6.5282e-01
12061.10 8.4083e-03 3.6069e-01 6.3090e-01
12793.43 8.8317e-03 3.5248e-01 6.3869e-01
13528.61 8.4654e-03 3.6013e-01 6.3141e-01
14194.74 6.5870e-03 3.4612e-01 6.4729e-01
14757.77 5.2033e-03 3.4557e-01 6.4923e-01
15240.48 5.4155e-03 3.8427e-01 6.1031e-01
15646.99 7.6733e-03 4.7013e-01 5.2219e-01
15960.30 8.3256e-03 5.9587e-01 3.9581e-01
16187.41 6.6022e-03 6.4078e-01 3.5262e-01
16354.17 7.0639e-03 6.4737e-01 3.4557e-01
16484.18 4.2417e-03 6.2046e-01 3.7529e-01
16593.12 3.2587e-03 6.0191e-01 3.9484e-01
16691.99 3.4109e-03 5.6171e-01 4.3488e-01
16788.59 2.4021e-03 5.5332e-01 4.4428e-01
16888.37 1.5915e-03 5.4632e-01 4.5209e-01
16998.79 1.3728e-03 5.2463e-01 4.7399e-01
17146.37 1.3138e-03 4.9518e-01 5.0350e-01
17415.23 1.1881e-03 4.7215e-01 5.2667e-01
17888.12 5.7527e-04 4.3046e-01 5.6896e-01
18532.37 4.5840e-04 3.9307e-01 6.0647e-01
19260.76 2.8571e-04 3.4362e-01 6.5610e-01
20034.10 1.9131e-04 2.9716e-01 7.0265e-01
20838.00 1.5778e-04 2.4902e-01 7.5083e-01
21647.97 1.0100e-04 2.3337e-01 7.6653e-01
22447.94 1.0910e-04 1.7889e-01 8.2100e-01
23245.88 1.3028e-04 1.4426e-01 8.5561e-01
24052.47 1.1262e-04 1.4091e-01 8.5897e-01
24867.72 1.1889e-04 1.0823e-01 8.9165e-01
25698.86 2.6631e-05 5.3270e-02 9.4670e-01
26587.16 3.6227e-05 4.2953e-02 9.5701e-01
27637.54 1.3905e-04 5.9222e-02 9.4064e-01
28986.97 2.5064e-05 2.0266e-02 9.7971e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.2107e-01 6.3320e-01 2.4573e-01
886.22 1.1067e-01 6.0979e-01 2.7954e-01
906.14 1.0987e-01 6.1809e-01 2.7204e-01
944.43 1.1233e-01 6.3145e-01 2.5622e-01
999.11 1.2403e-01 6.1814e-01 2.5783e-01
1060.83 1.2195e-01 6.2811e-01 2.4994e-01
1125.62 1.1665e-01 6.2384e-01 2.5952e-01
1194.38 1.0953e-01 6.2344e-01 2.6702e-01
1267.34 1.2895e-01 6.2363e-01 2.4742e-01
1344.75 1.2429e-01 6.2900e-01 2.4671e-01
1426.89 1.2734e-01 6.2450e-01 2.4816e-01
1514.05 1.3702e-01 6.2887e-01 2.3411e-01
1606.54 1.2632e-01 6.2927e-01 2.4440e-01
1704.67 1.3607e-01 6.2952e-01 2.3441e-01
1808.80 1.3691e-01 6.2865e-01 2.3444e-01
1919.29 1.3023e-01 6.2985e-01 2.3991e-01
2036.53 1.3629e-01 6.2833e-01 2.3538e-01
2160.92 1.2440e-01 6.2751e-01 2.4810e-01
2292.92 1.0977e-01 6.1755e-01 2.7268e-01
2432.98 9.8278e-02 6.0681e-01 2.9491e-01
2581.60 8.5311e-02 5.9466e-01 3.2003e-01
2739.29 7.2341e-02 5.7997e-01 3.4769e-01
2906.62 5.8439e-02 5.5577e-01 3.8579e-01
3084.17 4.1146e-02 5.1535e-01 4.4351e-01
3272.56 2.5539e-02 4.6039e-01 5.1407e-01
3472.46 1.4865e-02 4.1412e-01 5.7101e-01
3684.57 8.8835e-03 3.6753e-01 6.2359e-01
3909.64 5.1848e-03 3.2249e-01 6.7232e-01
4148.46 5.6466e-03 3.2202e-01 6.7233e-01
4401.86 7.4169e-03 3.4946e-01 6.4313e-01
4670.75 6.6661e-03 3.4254e-01 6.5079e-01
4956.05 3.6150e-03 2.9537e-01 7.0102e-01
5258.79 1.1897e-03 2.2191e-01 7.7690e-01
5580.02 2.7950e-04 1.6569e-01 8.3403e-01
5920.87 1.0307e-04 1.2407e-01 8.7582e-01
6282.54 7.0956e-05 1.1228e-01 8.8765e-01
6666.30 6.2113e-05 1.0452e-01 8.9542e-01
7073.50 6.2864e-05 1.0964e-01 8.9029e-01
7505.58 6.4820e-05 1.0462e-01 8.9531e-01
7964.05 9.1342e-05 1.1707e-01 8.8284e-01
8450.53 1.6154e-04 1.3814e-01 8.6170e-01
8966.72 4.8493e-04 1.7217e-01 8.2734e-01
9514.44 1.0881e-03 2.0372e-01 7.9519e-01
10095.62 2.8403e-03 2.7012e-01 7.2704e-01
10712.30 4.7037e-03 3.0340e-01 6.9189e-01
11366.65 6.5250e-03 3.4403e-01 6.4944e-01
12061.10 8.1144e-03 3.5621e-01 6.3567e-01
12793.43 8.9604e-03 3.6495e-01 6.2609e-01
13528.61 8.7984e-03 3.6493e-01 6.2627e-01
14194.74 8.1581e-03 3.5923e-01 6.3261e-01
14757.77 5.6254e-03 3.4394e-01 6.5043e-01
15240.48 5.7290e-03 3.9013e-01 6.0414e-01
15646.99 5.1007e-03 4.9375e-01 5.0115e-01
15960.30 8.9613e-03 5.9330e-01 3.9774e-01
16187.41 7.9257e-03 6.3794e-01 3.5414e-01
16354.17 5.3871e-03 6.5469e-01 3.3992e-01
16484.18 5.5231e-03 6.3189e-01 3.6258e-01
16593.12 4.4830e-03 5.8969e-01 4.0583e-01
16691.99 2.6667e-03 5.7600e-01 4.2134e-01
16788.59 2.2126e-03 5.7498e-01 4.2281e-01
16888.37 2.1085e-03 5.5192e-01 4.4597e-01
16998.79 1.8500e-03 5.2281e-01 4.7534e-01
17146.37 1.7651e-03 5.0043e-01 4.9781e-01
17415.23 1.2507e-03 4.8131e-01 5.1744e-01
17888.12 6.4735e-04 4.2749e-01 5.7187e-01
18532.37 3.6025e-04 3.9402e-01 6.0562e-01
19260.76 2.6556e-04 3.4012e-01 6.5962e-01
20034.10 2.1421e-04 2.9572e-01 7.0407e-01
20838.00 2.3286e-04 2.5592e-01 7.4384e-01
21647.97 1.1848e-04 2.1069e-01 7.8919e-01
22447.94 1.5695e-04 1.8449e-01 8.1535e-01
23245.88 9.9998e-05 1.4660e-01 8.5330e-01
24052.47 6.6825e-05 1.0876e-01 8.9118e-01
24867.72 1.0138e-04 9.8153e-02 9.0175e-01
25698.86 3.8470e-05 7.0112e-02 9.2985e-01
26587.16 1.4800e-05 4.7677e-02 9.5231e-01
27637.54 2.7391e-05 4.8304e-02 9.5167e-01
28986.97 1.6913e-05 4.1276e-02 9.5871e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.1882e-01 6.3068e-01 2.5050e-01
886.22 1.2771e-01 6.4053e-01 2.3176e-01
906.14 1.3294e-01 6.2933e-01 2.3774e-01
944.43 1.0655e-01 6.3406e-01 2.5940e-01
999.11 1.2479e-01 6.2164e-01 2.5357e-01
1060.83 1.0762e-01 6.1824e-01 2.7415e-01
1125.62 1.2374e-01 6.2531e-01 2.5095e-01
1194.38 1.1971e-01 6.2409e-01 2.5620e-01
1267.34 1.1355e-01 6.1671e-01 2.6974e-01
1344.75 1.2507e-01 6.3983e-01 2.3511e-01
1426.89 1.2068e-01 6.2408e-01 2.5524e-01
1514.05 1.3309e-01 6.2907e-01 2.3784e-01
1606.54 1.3813e-01 6.3242e-01 2.2945e-01
1704.67 1.3209e-01 6.2983e-01 2.3807e-01
1808.80 1.3507e-01 6.2776e-01 2.3718e-01
1919.29 1.3819e-01 6.3156e-01 2.3025e-01
2036.53 1.3051e-01 6.2615e-01 2.4334e-01
2160.92 1.3077e-01 6.2796e-01 2.4127e-01
2292.92 1.2161e-01 6.2171e-01 2.5668e-01
2432.98 1.0362e-01 6.1309e-01 2.8329e-01
2581.60 8.9016e-02 5.9901e-01 3.1197e-01
2739.29 7.3449e-02 5.7877e-01 3.4778e-01
2906.62 5.7415e-02 5.5129e-01 3.9130e-01
3084.17 4.1461e-02 5.0984e-01 4.4870e-01
3272.56 2.6435e-02 4.6594e-01 5.0763e-01
3472.46 1.5250e-02 4.1458e-01 5.7017e-01
3684.57 8.6608e-03 3.5797e-01 6.3337e-01
3909.64 5.3589e-03 3.1980e-01 6.7484e-01
4148.46 5.5968e-03 3.2776e-01 6.6664e-01
4401.86 7.5181e-03 3.5183e-01 6.4065e-01
4670.75 6.6154e-03 3.4860e-01 6.4478e-01
4956.05 3.5535e-03 2.9269e-01 7.0376e-01
5258.79 1.1156e-03 2.1508e-01 7.8380e-01
5580.02 2.7373e-04 1.6401e-01 8.3572e-01
5920.87 1.0282e-04 1.2410e-01 8.7580e-01
6282.54 7.2033e-05 1.1171e-01 8.8822e-01
6666.30 5.7580e-05 1.0275e-01 8.9720e-01
7073.50 6.1941e-05 1.0378e-01 8.9615e-01
7505.58 6.4686e-05 1.0334e-01 8.9659e-01
7964.05 8.1088e-05 1.1129e-01 8.8863e-01
8450.53 1.6155e-04 1.3342e-01 8.6642e-01
8966.72 4.8657e-04 1.7071e-01 8.2880e-01
9514.44 1.0560e-03 2.0563e-01 7.9332e-01
10095.62 2.6730e-03 2.5830e-01 7.3903e-01
10712.30 4.8925e-03 3.1187e-01 6.8324e-01
11366.65 6.6840e-03 3.4522e-01 6.4809e-01
12061.10 8.2362e-03 3.6564e-01 6.2612e-01
12793.43 1.0467e-02 3.7774e-01 6.1179e-01
13528.61 7.8892e-03 3.6510e-01 6.2701e-01
14194.74 7.0172e-03 3.5834e-01 6.3465e-01
14757.77 6.8614e-03 3.5317e-01 6.3997e-01
15240.48 5.4601e-03 3.8783e-01 6.0671e-01
15646.99 6.1656e-03 4.8858e-01 5.0526e-01
15960.30 8.9758e-03 6.0001e-01 3.9101e-01
16187.41 8.0237e-03 6.4630e-01 3.4568e-01
16354.17 6.0208e-03 6.5540e-01 3.3858e-01
16484.18 5.4525e-03 6.3870e-01 3.5584e-01
16593.12 4.0899e-03 5.9809e-01 3.9782e-01
16691.99 3.4871e-03 5.8333e-01 4.1318e-01
16788.59 2.3137e-03 5.6570e-01 4.3199e-01
16888.37 3.0785e-03 5.3634e-01 4.6058e-01
16998.79 2.4752e-03 5.5440e-01 4.4313e-01
17146.37 2.0104e-03 5.0209e-01 4.9590e-01
17415.23 1.2436e-03 4.8812e-01 5.1064e-01
17888.12 6.1217e-04 4.2357e-01 5.7582e-01
18532.37 4.7374e-04 3.8511e-01 6.1442e-01
19260.76 2.5536e-04 3.5034e-01 6.4941e-01
20034.10 2.9943e-04 3.0555e-01 6.9415e-01
20838.00 1.6439e-04 2.3660e-01 7.6323e-01
21647.97 1.2703e-04 2.1334e-01 7.8653e-01
22447.94 1.4234e-04 1.9457e-01 8.0529e-01
23245.88 1.1967e-04 1.2685e-01 8.7303e-01
24052.47 5.0319e-05 1.0203e-01 8.9792e-01
24867.72 4.8908e-05 1.0253e-01 8.9742e-01
25698.86 3.5801e-05 6.4239e-02 9.3573e-01
26587.16 1.6738e-05 6.0436e-02 9.3955e-01
27637.54 2.5546e-05 7.3386e-02 9.2659e-01
28986.97 2.8870e-05 5.2983e-02 9.4699e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.2445e-01 6.2873e-01 2.4682e-01
886.22 1.1216e-01 6.5391e-01 2.3393e-01
906.14 1.2635e-01 6.2856e-01 2.4509e-01
944.43 1.0688e-01 6.3243e-01 2.6070e-01
999.11 1.2810e-01 6.2429e-01 2.4762e-01
1060.83 1.2169e-01 6.2255e-01 2.5576e-01
1125.62 1.2819e-01 6.2884e-01 2.4297e-01
1194.38 1.1483e-01 6.2424e-01 2.6092e-01
1267.34 1.1432e-01 6.2410e-01 2.6158e-01
1344.75 1.2364e-01 6.2336e-01 2.5300e-01
1426.89 1.3164e-01 6.3167e-01 2.3669e-01
1514.05 1.4069e-01 6.2960e-01 2.2971e-01
1606.54 1.3534e-01 6.3196e-01 2.3270e-01
1704.67 1.2980e-01 6.2922e-01 2.4098e-01
1808.80 1.4041e-01 6.3224e-01 2.2735e-01
1919.29 1.3446e-01 6.3135e-01 2.3418e-01
2036.53 1.3089e-01 6.2846e-01 2.4065e-01
2160.92 1.3398e-01 6.2799e-01 2.3804e-01
2292.92 1.1342e-01 6.1709e-01 2.6950e-01
2432.98 1.0107e-01 6.0874e-01 2.9019e-01
2581.60 8.7382e-02 5.9635e-01 3.1627e-01
2739.29 7.4592e-02 5.8067e-01 3.4474e-01
2906.62 5.7222e-02 5.5282e-01 3.8996e-01
3084.17 4.2738e-02 5.1743e-01 4.3983e-01
3272.56 2.6197e-02 4.6655e-01 5.0725e-01
3472.46 1.5606e-02 4.1728e-01 5.6712e-01
3684.57 8.8170e-03 3.6392e-01 6.2726e-01
3909.64 5.7860e-03 3.3038e-01 6.6384e-01
4148.46 5.7103e-03 3.2702e-01 6.6727e-01
4401.86 7.0906e-03 3.4296e-01 6.4995e-01
4670.75 6.5724e-03 3.3960e-01 6.5382e-01
4956.05 3.5001e-03 2.9144e-01 7.0506e-01
5258.79 1.1257e-03 2.1723e-01 7.8164e-01
5580.02 2.6095e-04 1.6545e-01 8.3429e-01
5920.87 1.1239e-04 1.3173e-01 8.6816e-01
6282.54 6.8883e-05 1.0996e-01 8.8998e-01
6666.30 5.8145e-05 1.0411e-01 8.9583e-01
7073.50 6.0630e-05 1.0113e-01 8.9881e-01
7505.58 6.9381e-05 1.0818e-01 8.9175e-01
7964.05 7.9753e-05 1.1039e-01 8.8953e-01
8450.53 1.5378e-04 1.3484e-01 8.6500e-01
8966.72 5.0169e-04 1.7015e-01 8.2935e-01
9514.44 1.0936e-03 2.0791e-01 7.9099e-01
10095.62 2.7035e-03 2.6262e-01 7.3467e-01
10712.30 4.8573e-03 3.0818e-01 6.8696e-01
11366.65 7.2270e-03 3.4848e-01 6.4429e-01
12061.10 8.8089e-03 3.6493e-01 6.2626e-01
12793.43 9.0419e-03 3.6954e-01 6.2141e-01
13528.61 8.4158e-03 3.6617e-01 6.2541e-01
14194.74 7.9860e-03 3.5793e-01 6.3409e-01
14757.77 5.1862e-03 3.5888e-01 6.3594e-01
15240.48 3.4791e-03 4.1244e-01 5.8408e-01
15646.99 6.3846e-03 4.9498e-01 4.9864e-01
15960.30 7.6423e-03 6.0948e-01 3.8288e-01
16187.41 9.6953e-03 6.4121e-01 3.4909e-01
16354.17 7.3828e-03 6.5347e-01 3.3915e-01
16484.18 4.5277e-03 6.4215e-01 3.5332e-01
16593.12 4.6770e-03 6.0386e-01 3.9146e-01
16691.99 3.0695e-03 5.8554e-01 4.1139e-01
16788.59 2.7877e-03 5.5834e-01 4.3887e-01
16888.37 1.9898e-03 5.6234e-01 4.3567e-01
16998.79 1.9364e-03 5.2278e-01 4.7529e-01
17146.37 2.0593e-03 5.3998e-01 4.5797e-01
17415.23 9.9778e-04 4.7956e-01 5.1944e-01
17888.12 6.2886e-04 4.3243e-01 5.6694e-01
18532.37 4.2489e-04 3.9660e-01 6.0297e-01
19260.76 2.7522e-04 3.4440e-01 6.5532e-01
