#NTIMES: 49
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
5920.87 7.2778e+03 8.9602e-17 2.6244e+06 9.8842e+05
6282.54 7.5447e+03 8.2490e-17 2.4376e+06 8.9833e+05
6666.30 7.6124e+03 7.7173e-17 2.2936e+06 8.3982e+05
7073.50 7.6325e+03 7.1321e-17 2.1371e+06 7.8261e+05
7505.58 7.6980e+03 6.2381e-17 1.9006e+06 6.9629e+05
7964.05 7.5531e+03 5.4512e-17 1.6809e+06 6.2594e+05
8450.53 7.1778e+03 4.9135e-17 1.5266e+06 5.8863e+05
8966.72 6.7595e+03 4.3086e-17 1.3412e+06 5.4684e+05
9514.44 6.3181e+03 3.6537e-17 1.1358e+06 4.9878e+05
10095.62 5.8450e+03 3.1072e-17 9.4653e+05 4.6094e+05
10712.30 5.4374e+03 2.5454e-17 7.5815e+05 4.1059e+05
11366.65 5.1531e+03 1.9479e-17 5.7007e+05 3.3782e+05
12061.10 5.0059e+03 1.3918e-17 4.0706e+05 2.5432e+05
12793.43 4.8898e+03 1.0249e-17 2.9978e+05 1.9360e+05
13528.61 4.8546e+03 7.7506e-18 2.2919e+05 1.5009e+05
14194.74 4.8224e+03 5.7871e-18 1.7734e+05 1.1534e+05
14757.77 4.8242e+03 4.4294e-18 1.4288e+05 9.1923e+04
15240.48 4.7025e+03 4.2810e-18 1.4510e+05 9.5352e+04
15646.99 4.5701e+03 5.1064e-18 1.7565e+05 1.2524e+05
15960.30 4.6616e+03 7.1108e-18 2.4013e+05 1.9020e+05
16187.41 4.8290e+03 7.7985e-18 2.7186e+05 2.2104e+05
16354.17 4.9234e+03 7.6531e-18 2.7519e+05 2.2401e+05
16484.18 4.9827e+03 6.7293e-18 2.5019e+05 2.0044e+05
16593.12 5.2365e+03 5.5952e-18 2.1430e+05 1.6838e+05
16691.99 5.4999e+03 4.8147e-18 1.8547e+05 1.4601e+05
16788.59 5.3969e+03 4.3010e-18 1.7457e+05 1.3136e+05
16888.37 5.4921e+03 3.8923e-18 1.5904e+05 1.1970e+05
16998.79 5.5526e+03 3.5035e-18 1.4842e+05 1.0852e+05
17146.37 5.6025e+03 3.1051e-18 1.3388e+05 9.6875e+04
17415.23 5.7752e+03 2.5482e-18 1.1181e+05 8.0104e+04
17888.12 5.7770e+03 1.8244e-18 8.6186e+04 5.7868e+04
