#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8 cr9
6.2825e+03 0.0000e+00 6.3408e-40 1.7031e-31 4.6522e-24 1.9653e-17 1.1583e-11 1.1924e-06 3.5866e-03 6.5254e-01 3.4387e-01
6.6663e+03 0.0000e+00 1.2985e-39 3.4994e-31 9.4281e-24 3.9080e-17 2.1634e-11 2.0144e-06 4.9715e-03 7.0988e-01 2.8514e-01
7.0735e+03 0.0000e+00 3.7103e-39 9.9020e-31 2.5837e-23 1.0304e-16 5.1623e-11 4.1396e-06 7.6932e-03 7.7912e-01 2.1318e-01
7.5056e+03 0.0000e+00 1.5428e-38 4.1179e-30 1.0411e-22 3.9867e-16 1.7422e-10 1.1348e-05 1.3938e-02 8.5339e-01 1.3266e-01
7.9641e+03 0.0000e+00 9.4635e-38 2.4624e-29 5.8629e-22 2.0923e-15 7.5657e-10 3.7639e-05 2.7499e-02 9.0270e-01 6.9768e-02
8.4505e+03 0.0000e+00 9.1560e-37 2.2107e-28 4.7205e-21 1.4924e-14 4.1717e-09 1.4760e-04 5.7870e-02 9.1097e-01 3.1016e-02
8.9668e+03 5.6052e-45 2.0650e-35 4.4566e-27 8.1672e-20 2.1707e-13 4.1943e-08 9.1959e-04 1.4977e-01 8.4027e-01 9.0421e-03
9.5145e+03 4.6383e-43 1.5522e-33 2.8126e-25 4.1349e-18 8.4383e-12 9.3425e-07 1.0094e-02 4.4521e-01 5.4363e-01 1.0642e-03
1.0096e+04 1.1092e-40 3.2154e-31 4.4140e-23 4.7284e-16 6.3520e-10 3.0693e-05 1.1783e-01 7.7723e-01 1.0489e-01 1.7521e-05
1.0712e+04 6.4906e-38 1.5140e-28 1.3930e-20 9.8241e-14 6.7284e-08 9.2259e-04 7.3373e-01 2.6411e-01 1.2364e-03 4.8030e-09
1.1367e+04 1.3610e-34 2.1722e-25 1.0856e-17 4.1344e-11 8.4655e-06 1.5545e-02 9.8100e-01 3.4505e-03 7.7559e-08 7.6570e-16
1.2062e+04 5.1800e-30 4.7460e-21 1.1013e-13 1.6485e-07 4.6949e-03 4.2659e-01 5.6872e-01 1.8775e-06 1.3418e-14 1.6021e-26
1.2794e+04 4.8138e-26 2.4096e-17 2.7545e-10 1.1658e-04 2.8372e-01 7.0747e-01 8.6875e-03 6.4122e-12 2.7200e-24 5.9161e-41
1.3528e+04 2.9139e-23 8.4010e-15 5.1762e-08 5.1403e-03 9.3869e-01 5.6168e-02 5.1092e-06 5.9341e-19 9.8526e-36 0.0000e+00
1.4194e+04 1.1347e-20 1.8776e-12 5.7204e-06 9.7967e-02 9.0127e-01 7.5274e-04 2.4470e-10 1.2632e-27 0.0000e+00 0.0000e+00
1.4758e+04 3.6747e-18 3.5458e-10 4.4202e-04 8.1794e-01 1.8161e-01 7.3526e-07 2.0723e-16 3.7618e-39 0.0000e+00 0.0000e+00
1.5240e+04 6.4865e-16 2.9536e-08 9.4752e-03 9.8832e-01 2.2082e-03 1.3765e-11 7.9801e-25 0.0000e+00 0.0000e+00 0.0000e+00
1.5647e+04 1.5092e-13 2.9416e-06 1.8716e-01 8.1283e-01 1.2577e-05 7.5277e-17 5.0764e-34 0.0000e+00 0.0000e+00 0.0000e+00
1.5960e+04 1.3518e-11 9.7454e-05 8.9887e-01 1.0103e-01 5.5036e-09 1.2700e-23 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.6187e+04 3.7867e-10 9.5815e-04 9.9732e-01 1.7197e-03 1.4110e-13 3.7059e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 1.1993e-08 1.0464e-02 9.8952e-01 1.5570e-05 7.9504e-19 6.5118e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 4.3342e-07 1.2712e-01 8.7288e-01 7.3470e-08 9.3360e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 4.7582e-06 5.9744e-01 4.0256e-01 2.7989e-10 1.5616e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 1.2972e-05 9.0014e-01 9.9849e-02 1.5382e-12 1.7309e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 1.9556e-05 9.6939e-01 3.0594e-02 2.9769e-14 3.4644e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 2.5077e-05 9.8779e-01 1.2188e-02 1.4708e-15 5.3067e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 3.1030e-05 9.9457e-01 5.4006e-03 1.0690e-16 1.9618e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 3.8578e-05 9.9758e-01 2.3844e-03 7.9074e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 5.4429e-05 9.9923e-01 7.1691e-04 1.8294e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.0922e-04 9.9981e-01 8.0822e-05 2.2743e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 2.5160e-04 9.9974e-01 7.1271e-06 1.5158e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 5.2482e-04 9.9947e-01 7.5652e-07 1.7157e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 9.9881e-04 9.9900e-01 9.2919e-08 2.8785e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 1.7752e-03 9.9822e-01 1.3570e-08 8.1093e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 3.0244e-03 9.9698e-01 2.3156e-09 3.7352e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 4.7161e-03 9.9528e-01 4.4761e-10 2.3481e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 6.9786e-03 9.9302e-01 9.6196e-11 1.9893e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 1.0054e-02 9.8995e-01 2.3397e-11 2.5097e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 1.3650e-02 9.8635e-01 6.9263e-12 5.7453e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 1.6955e-02 9.8304e-01 2.5077e-12 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 1.9573e-02 9.8043e-01 9.6347e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 2.3854e-02 9.7615e-01 2.4780e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 3.3406e-02 9.6659e-01 2.8007e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 1.9784e-02 9.8022e-01 1.8367e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 6.3875e-03 9.9361e-01 3.0766e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.3193e-03 9.9868e-01 1.4468e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 3.7494e-04 9.9963e-01 7.4010e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 1.5163e-04 9.9985e-01 3.1539e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 9.9677e-05 9.9990e-01 5.5117e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 9.4508e-05 9.9991e-01 3.8234e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 1.2761e-04 9.9987e-01 9.8388e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 2.4021e-04 9.9976e-01 1.0883e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 5.4494e-04 9.9946e-01 7.4399e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 1.1748e-03 9.9883e-01 5.7533e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 1.1076e-03 9.9889e-01 3.8587e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 8.8007e-04 9.9912e-01 4.0855e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
