#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
3909.64 2.3019e-04 6.1327e-01 3.7900e-01 7.4964e-03
4148.46 2.2847e-04 6.4993e-01 3.4308e-01 6.7661e-03
4670.75 2.2456e-04 6.6661e-01 3.2689e-01 6.2698e-03
4956.05 1.4922e-04 5.3928e-01 4.4954e-01 1.1035e-02
5258.79 6.4637e-05 3.5551e-01 6.2285e-01 2.1582e-02
5580.02 1.6412e-05 1.4771e-01 8.1336e-01 3.8911e-02
5920.87 5.4114e-06 7.6908e-02 8.7326e-01 4.9831e-02
6282.54 2.9718e-06 5.7733e-02 8.7749e-01 6.4775e-02
6666.30 2.7233e-06 5.7137e-02 8.7301e-01 6.9855e-02
7073.50 2.7017e-06 5.8728e-02 8.7169e-01 6.9581e-02
7505.58 2.6083e-06 5.9574e-02 8.6621e-01 7.4216e-02
7964.05 3.5907e-06 7.4955e-02 8.6166e-01 6.3382e-02
8450.53 9.4273e-06 1.3284e-01 8.1686e-01 5.0286e-02
8966.72 2.6707e-05 2.6958e-01 6.9510e-01 3.5286e-02
9514.44 5.8392e-05 4.2104e-01 5.5762e-01 2.1284e-02
10095.62 1.1147e-04 5.5846e-01 4.2910e-01 1.2328e-02
10712.30 1.7929e-04 6.4718e-01 3.4488e-01 7.7613e-03
11366.65 1.9335e-04 7.1686e-01 2.7730e-01 5.6472e-03
12061.10 1.6539e-04 7.5233e-01 2.4286e-01 4.6440e-03
12793.43 1.7675e-04 7.7904e-01 2.1698e-01 3.8038e-03
13528.61 1.0295e-04 7.5107e-01 2.4457e-01 4.2575e-03
14194.74 7.6403e-05 7.2325e-01 2.7097e-01 5.7003e-03
14757.77 6.0928e-05 6.6398e-01 3.2977e-01 6.1863e-03
15240.48 4.6617e-05 5.2368e-01 4.6933e-01 6.9393e-03
15646.99 6.2779e-05 5.2983e-01 4.6510e-01 5.0028e-03
15960.30 1.0061e-04 6.4109e-01 3.5632e-01 2.4847e-03
16187.41 1.0164e-04 5.7250e-01 4.2490e-01 2.5021e-03
16354.17 8.0396e-05 4.5860e-01 5.3857e-01 2.7559e-03
16484.18 4.8075e-05 3.4269e-01 6.5374e-01 3.5191e-03
16593.12 4.5386e-05 4.1560e-01 5.8019e-01 4.1724e-03
16691.99 5.4314e-05 5.3050e-01 4.6568e-01 3.7670e-03
16788.59 2.6350e-05 2.8435e-01 7.1006e-01 5.5596e-03
16888.37 2.9207e-05 2.1134e-01 7.8166e-01 6.9653e-03
16998.79 2.2529e-05 2.2919e-01 7.6376e-01 7.0261e-03
17146.37 1.9812e-05 1.8668e-01 8.0492e-01 8.3810e-03
17415.23 1.3896e-05 2.2546e-01 7.6569e-01 8.8371e-03
17888.12 5.3456e-06 9.5741e-02 8.9228e-01 1.1971e-02
18532.37 1.0109e-05 1.5898e-01 8.2838e-01 1.2632e-02
19260.76 3.2647e-06 7.2963e-02 9.0873e-01 1.8307e-02
20034.10 2.3342e-06 5.5010e-02 9.1854e-01 2.6445e-02
20838.00 2.3325e-06 6.1959e-02 8.8935e-01 4.8685e-02
21647.97 2.4415e-06 5.3727e-02 9.1483e-01 3.1437e-02
22447.94 1.2530e-06 3.8549e-02 9.2065e-01 4.0797e-02
23245.88 2.6566e-06 7.0046e-02 8.7453e-01 5.5417e-02
24052.47 1.5085e-06 5.0536e-02 8.8896e-01 6.0505e-02
24867.72 4.5469e-06 1.7394e-01 7.5842e-01 6.7634e-02
25698.86 2.9394e-06 1.1111e-01 8.0177e-01 8.7112e-02
26587.16 7.2594e-06 2.7465e-01 5.9153e-01 1.3381e-01
27637.54 3.8277e-06 2.0279e-01 5.6372e-01 2.3349e-01
28986.97 1.6817e-06 7.9748e-02 6.9300e-01 2.2725e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 7.7329e-04 9.3677e-01 6.2154e-02 2.9819e-04
1919.29 8.7400e-04 9.4389e-01 5.5003e-02 2.3184e-04
2581.60 6.6183e-04 9.2319e-01 7.5709e-02 4.3508e-04
3084.17 6.3592e-04 8.8126e-01 1.1707e-01 1.0324e-03
3472.46 4.2046e-04 7.7313e-01 2.2347e-01 2.9745e-03
3909.64 2.1233e-04 6.3194e-01 3.6144e-01 6.4105e-03
4148.46 2.2120e-04 6.5442e-01 3.3860e-01 6.7547e-03
4670.75 2.2614e-04 6.6037e-01 3.3327e-01 6.1388e-03
4956.05 1.5394e-04 5.4351e-01 4.4582e-01 1.0515e-02
5258.79 5.7960e-05 3.5311e-01 6.2548e-01 2.1348e-02
5580.02 1.8154e-05 1.6244e-01 7.9933e-01 3.8209e-02
5920.87 6.7299e-06 8.0217e-02 8.6310e-01 5.6679e-02
6282.54 3.2353e-06 5.9776e-02 8.7576e-01 6.4461e-02
6666.30 2.6599e-06 5.3765e-02 8.7692e-01 6.9310e-02
7073.50 2.6348e-06 5.4825e-02 8.7478e-01 7.0388e-02
7505.58 2.4146e-06 5.7996e-02 8.7595e-01 6.6049e-02
7964.05 3.7758e-06 7.6773e-02 8.5522e-01 6.8006e-02
8450.53 9.6892e-06 1.3278e-01 8.1641e-01 5.0805e-02
8966.72 2.6620e-05 2.7371e-01 6.9175e-01 3.4504e-02
9514.44 6.1423e-05 4.1910e-01 5.5934e-01 2.1504e-02
10095.62 1.0955e-04 5.6064e-01 4.2693e-01 1.2317e-02
10712.30 1.5764e-04 6.6803e-01 3.2416e-01 7.6475e-03
11366.65 1.9282e-04 7.2362e-01 2.7079e-01 5.3976e-03
12061.10 1.9029e-04 7.5437e-01 2.4122e-01 4.2150e-03
12793.43 1.7016e-04 7.5413e-01 2.4136e-01 4.3395e-03
13528.61 1.2928e-04 7.9578e-01 2.0045e-01 3.6344e-03
14194.74 9.0086e-05 7.4864e-01 2.4661e-01 4.6613e-03
14757.77 6.1397e-05 6.4758e-01 3.4583e-01 6.5228e-03
15240.48 4.9993e-05 5.6599e-01 4.2757e-01 6.3866e-03
15646.99 6.9832e-05 5.7594e-01 4.1940e-01 4.5866e-03
15960.30 1.1295e-04 6.1386e-01 3.8356e-01 2.4676e-03
16187.41 1.0583e-04 5.6856e-01 4.2888e-01 2.4511e-03
16354.17 8.9120e-05 5.3886e-01 4.5848e-01 2.5646e-03
16484.18 6.8774e-05 3.6726e-01 6.2894e-01 3.7344e-03
16593.12 4.2310e-05 3.7628e-01 6.1947e-01 4.2155e-03
16691.99 2.9841e-05 3.5403e-01 6.4097e-01 4.9664e-03
16788.59 2.7035e-05 2.2575e-01 7.6878e-01 5.4496e-03
16888.37 2.1568e-05 2.7008e-01 7.2368e-01 6.2172e-03
16998.79 2.5144e-05 2.9299e-01 7.0057e-01 6.4212e-03
17146.37 1.1780e-05 1.3747e-01 8.5531e-01 7.2108e-03
17415.23 1.9711e-05 2.3534e-01 7.5642e-01 8.2177e-03
17888.12 4.6189e-06 8.5826e-02 9.0169e-01 1.2482e-02
18532.37 4.3325e-06 7.7231e-02 9.0844e-01 1.4322e-02
19260.76 4.2412e-06 8.2259e-02 9.0057e-01 1.7169e-02
20034.10 2.1704e-06 5.3051e-02 9.2678e-01 2.0168e-02
20838.00 1.6711e-06 4.4954e-02 9.2927e-01 2.5778e-02
21647.97 2.6875e-06 6.9293e-02 8.9872e-01 3.1987e-02
22447.94 3.1897e-06 6.7579e-02 8.9223e-01 4.0184e-02
23245.88 1.6064e-05 3.7878e-01 5.9032e-01 3.0879e-02
24052.47 1.1136e-06 3.6713e-02 8.9956e-01 6.3723e-02
24867.72 2.4972e-06 7.6828e-02 8.4855e-01 7.4619e-02
25698.86 3.4034e-06 9.7670e-02 8.1446e-01 8.7870e-02
26587.16 1.1748e-05 3.3034e-01 5.9396e-01 7.5684e-02
27637.54 3.2582e-06 9.9086e-02 7.9246e-01 1.0845e-01
28986.97 5.2572e-06 2.6299e-01 6.1321e-01 1.2380e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 9.3160e-04 9.3627e-01 6.2496e-02 2.9964e-04
1919.29 8.0253e-04 9.4476e-01 5.4210e-02 2.2322e-04
2581.60 6.8399e-04 9.2361e-01 7.5272e-02 4.2932e-04
3084.17 6.2305e-04 8.8072e-01 1.1763e-01 1.0326e-03
3472.46 4.5434e-04 7.8441e-01 2.1244e-01 2.6973e-03
3909.64 2.6317e-04 6.2391e-01 3.6864e-01 7.1885e-03
4148.46 2.4313e-04 6.5621e-01 3.3661e-01 6.9403e-03
4670.75 2.3161e-04 6.7410e-01 3.1986e-01 5.8146e-03
4956.05 1.4702e-04 5.7117e-01 4.1813e-01 1.0554e-02
5258.79 7.2487e-05 3.7769e-01 6.0048e-01 2.1759e-02
5580.02 1.8782e-05 1.5785e-01 8.0269e-01 3.9439e-02
5920.87 6.1432e-06 8.1654e-02 8.6746e-01 5.0879e-02
6282.54 3.0843e-06 5.9114e-02 8.7454e-01 6.6344e-02
6666.30 2.9945e-06 5.7830e-02 8.7234e-01 6.9828e-02
7073.50 2.8323e-06 5.9561e-02 8.7381e-01 6.6626e-02
7505.58 2.3978e-06 5.4742e-02 8.7696e-01 6.8300e-02
7964.05 3.5195e-06 7.0115e-02 8.6167e-01 6.8216e-02
8450.53 9.2405e-06 1.3299e-01 8.1612e-01 5.0883e-02
8966.72 2.5610e-05 2.6153e-01 7.0453e-01 3.3913e-02
9514.44 5.6221e-05 4.2376e-01 5.5499e-01 2.1193e-02
10095.62 1.1755e-04 5.8481e-01 4.0385e-01 1.1224e-02
10712.30 1.6185e-04 6.7350e-01 3.1914e-01 7.2055e-03
11366.65 2.2107e-04 7.3167e-01 2.6265e-01 5.4579e-03
12061.10 2.2916e-04 7.6586e-01 2.2998e-01 3.9378e-03
12793.43 1.9535e-04 7.6785e-01 2.2792e-01 4.0325e-03
13528.61 1.2008e-04 7.7956e-01 2.1664e-01 3.6816e-03
14194.74 9.3481e-05 7.4857e-01 2.4678e-01 4.5551e-03
14757.77 6.1603e-05 6.8732e-01 3.0643e-01 6.1867e-03
15240.48 5.2451e-05 6.0190e-01 3.9229e-01 5.7558e-03
15646.99 8.0772e-05 5.6474e-01 4.3087e-01 4.3114e-03
15960.30 9.2657e-05 5.3434e-01 4.6250e-01 3.0660e-03
16187.41 8.7212e-05 5.8149e-01 4.1592e-01 2.4948e-03
16354.17 8.6444e-05 4.0605e-01 5.9081e-01 3.0491e-03
16484.18 7.0599e-05 4.0486e-01 5.9185e-01 3.2163e-03
16593.12 6.1231e-05 4.8546e-01 5.1145e-01 3.0279e-03
16691.99 2.8623e-05 2.4533e-01 7.4961e-01 5.0332e-03
16788.59 3.9177e-05 2.3819e-01 7.5485e-01 6.9199e-03
16888.37 3.0349e-05 2.6858e-01 7.2400e-01 7.3828e-03
16998.79 3.6323e-05 3.6706e-01 6.2702e-01 5.8811e-03
17146.37 2.9183e-05 3.0706e-01 6.8648e-01 6.4250e-03
17415.23 1.1566e-05 1.4280e-01 8.4769e-01 9.5041e-03
17888.12 1.0071e-05 1.7963e-01 8.0899e-01 1.1366e-02
18532.37 5.4904e-06 9.1385e-02 8.9379e-01 1.4823e-02
19260.76 3.4064e-06 6.5076e-02 9.1740e-01 1.7517e-02
20034.10 2.6014e-06 5.5805e-02 9.2467e-01 1.9519e-02
20838.00 1.7808e-06 4.4279e-02 9.3301e-01 2.2707e-02
21647.97 2.4596e-06 6.9021e-02 9.0499e-01 2.5988e-02
22447.94 3.8615e-06 7.0875e-02 8.8060e-01 4.8524e-02
23245.88 1.2025e-05 3.6053e-01 5.8918e-01 5.0276e-02
24052.47 2.6252e-06 7.2682e-02 8.6521e-01 6.2107e-02
24867.72 8.2371e-06 2.7395e-01 6.6955e-01 5.6490e-02
25698.86 1.3396e-05 3.8235e-01 5.3167e-01 8.5967e-02
26587.16 6.8553e-06 3.2194e-01 5.6228e-01 1.1577e-01
27637.54 8.0723e-06 2.4549e-01 6.5441e-01 1.0009e-01
28986.97 6.3534e-06 1.9593e-01 6.8248e-01 1.2158e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 1.0830e-03 9.3959e-01 5.9067e-02 2.6069e-04
1919.29 8.7331e-04 9.4711e-01 5.1807e-02 2.0549e-04
2581.60 7.0060e-04 9.2323e-01 7.5642e-02 4.3174e-04
3084.17 5.9359e-04 8.8250e-01 1.1591e-01 9.9670e-04
3472.46 4.1351e-04 7.7641e-01 2.2025e-01 2.9261e-03
3909.64 2.4439e-04 6.2524e-01 3.6691e-01 7.6106e-03
4148.46 2.6801e-04 6.5461e-01 3.3868e-01 6.4393e-03
4670.75 2.5504e-04 6.4334e-01 3.4978e-01 6.6187e-03
4956.05 1.5451e-04 5.7866e-01 4.1154e-01 9.6427e-03
5258.79 7.1078e-05 3.6991e-01 6.1081e-01 1.9214e-02
5580.02 1.8636e-05 1.6630e-01 7.9590e-01 3.7784e-02
5920.87 5.7576e-06 7.8591e-02 8.6948e-01 5.1923e-02
6282.54 2.8472e-06 5.4646e-02 8.7955e-01 6.5797e-02
6666.30 2.7741e-06 5.4326e-02 8.7336e-01 7.2310e-02
7073.50 2.9320e-06 5.7633e-02 8.7346e-01 6.8901e-02
7505.58 2.6592e-06 6.0724e-02 8.6295e-01 7.6320e-02
7964.05 3.9284e-06 7.7198e-02 8.5321e-01 6.9592e-02
8450.53 9.3328e-06 1.3163e-01 8.1540e-01 5.2966e-02
8966.72 2.5887e-05 2.5909e-01 7.0495e-01 3.5935e-02
9514.44 5.4083e-05 4.1040e-01 5.6722e-01 2.2324e-02
10095.62 1.2020e-04 5.7534e-01 4.1201e-01 1.2533e-02
10712.30 1.6894e-04 6.6467e-01 3.2749e-01 7.6737e-03
11366.65 1.8966e-04 7.2144e-01 2.7312e-01 5.2485e-03
12061.10 2.0406e-04 7.6002e-01 2.3557e-01 4.2036e-03
12793.43 2.0969e-04 7.7338e-01 2.2227e-01 4.1419e-03
13528.61 1.1383e-04 7.5820e-01 2.3724e-01 4.4521e-03
14194.74 8.7857e-05 7.3339e-01 2.6137e-01 5.1469e-03
14757.77 6.2368e-05 6.6423e-01 3.2979e-01 5.9139e-03
15240.48 7.3098e-05 6.5641e-01 3.3785e-01 5.6647e-03
15646.99 5.5555e-05 5.5305e-01 4.4222e-01 4.6750e-03
15960.30 1.1304e-04 5.5824e-01 4.3867e-01 2.9716e-03
16187.41 1.0190e-04 5.6264e-01 4.3471e-01 2.5526e-03
16354.17 6.7452e-05 4.4206e-01 5.5493e-01 2.9443e-03
16484.18 7.7406e-05 4.1288e-01 5.8373e-01 3.3139e-03
16593.12 2.7996e-05 3.0256e-01 6.9264e-01 4.7643e-03
16691.99 3.0033e-05 2.4747e-01 7.4750e-01 4.9931e-03
16788.59 1.0514e-05 1.6811e-01 8.2663e-01 5.2496e-03
16888.37 3.9466e-05 3.5065e-01 6.4382e-01 5.4917e-03
16998.79 1.8053e-05 2.2795e-01 7.6502e-01 7.0161e-03
17146.37 1.8566e-05 2.1672e-01 7.7554e-01 7.7225e-03
17415.23 1.0353e-05 1.5541e-01 8.3476e-01 9.8126e-03
17888.12 8.9665e-06 1.3375e-01 8.5446e-01 1.1775e-02
18532.37 3.9181e-06 7.7961e-02 9.0866e-01 1.3377e-02
19260.76 2.6599e-06 6.0602e-02 9.2240e-01 1.6991e-02
20034.10 2.3324e-06 6.4308e-02 9.1341e-01 2.2277e-02
20838.00 1.7676e-06 4.5973e-02 9.2050e-01 3.3528e-02
21647.97 2.6800e-06 6.2607e-02 9.0369e-01 3.3699e-02
22447.94 3.6196e-06 9.4347e-02 8.6975e-01 3.5901e-02
23245.88 4.6410e-06 1.3011e-01 7.5997e-01 1.0991e-01
24052.47 1.1304e-05 3.1783e-01 6.2476e-01 5.7397e-02
24867.72 2.9341e-06 1.1782e-01 8.1366e-01 6.8510e-02
25698.86 1.1351e-06 2.8058e-02 8.9244e-01 7.9500e-02
26587.16 1.1897e-06 4.2366e-02 8.6478e-01 9.2856e-02
27637.54 4.4501e-06 1.3536e-01 7.5031e-01 1.1433e-01
28986.97 3.5586e-06 8.3277e-02 7.0949e-01 2.0723e-01
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 1.3077e-03 9.3832e-01 6.0107e-02 2.7043e-04
1919.29 8.9247e-04 9.4544e-01 5.3452e-02 2.1517e-04
2581.60 7.8177e-04 9.2515e-01 7.3648e-02 4.1603e-04
3084.17 6.5357e-04 8.8364e-01 1.1471e-01 9.8984e-04
3472.46 4.2598e-04 7.8115e-01 2.1569e-01 2.7377e-03
3909.64 2.2670e-04 6.3157e-01 3.6077e-01 7.4272e-03
4148.46 2.3427e-04 6.6772e-01 3.2603e-01 6.0115e-03
4670.75 2.5989e-04 6.7033e-01 3.2319e-01 6.2191e-03
4956.05 1.7934e-04 5.5823e-01 4.3157e-01 1.0028e-02
5258.79 6.2307e-05 3.5590e-01 6.2261e-01 2.1425e-02
5580.02 1.6339e-05 1.5538e-01 8.0403e-01 4.0581e-02
5920.87 6.0545e-06 8.0220e-02 8.6553e-01 5.4244e-02
6282.54 3.2670e-06 5.9432e-02 8.7078e-01 6.9784e-02
6666.30 2.9094e-06 5.6645e-02 8.7142e-01 7.1935e-02
7073.50 2.8179e-06 5.7386e-02 8.7141e-01 7.1202e-02
7505.58 2.7059e-06 6.2131e-02 8.6774e-01 7.0128e-02
7964.05 3.9371e-06 7.9762e-02 8.4981e-01 7.0424e-02
8450.53 8.4014e-06 1.2944e-01 8.1854e-01 5.2011e-02
8966.72 2.4746e-05 2.4941e-01 7.1341e-01 3.7152e-02
