#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    1.302734E+04   1.6003E-006   1.0000E+000
    1.382861E+04   1.7587E-006   1.0000E+000
    1.462901E+04   2.0680E-006   1.0000E+000
    1.525056E+04   2.6977E-006   1.0000E+000
    1.570852E+04   4.2530E-006   1.0000E+000
    1.603933E+04   6.6436E-006   9.9999E-001
    1.626493E+04   9.1575E-006   9.9999E-001
    1.642900E+04   1.1397E-005   9.9999E-001
    1.655927E+04   1.2405E-005   9.9999E-001
    1.666808E+04   1.3208E-005   9.9999E-001
    1.676387E+04   1.3457E-005   9.9999E-001
    1.685344E+04   1.2695E-005   9.9999E-001
    1.694048E+04   1.1837E-005   9.9999E-001
    1.702877E+04   1.1299E-005   9.9999E-001
    1.712364E+04   1.1082E-005   9.9999E-001
    1.723140E+04   1.1170E-005   9.9999E-001
    1.736849E+04   1.1611E-005   9.9999E-001
    1.764428E+04   1.3274E-005   9.9999E-001
    1.825185E+04   2.2233E-005   9.9998E-001
    1.898577E+04   4.3260E-005   9.9996E-001
    1.978625E+04   7.9098E-005   9.9992E-001
    2.065037E+04   1.2820E-004   9.9987E-001
    2.155095E+04   2.0660E-004   9.9979E-001
    2.245768E+04   2.8098E-004   9.9972E-001
    2.340027E+04   3.3478E-004   9.9967E-001
    2.441765E+04   3.7065E-004   9.9963E-001
    2.552663E+04   3.6826E-004   9.9963E-001
    2.678810E+04   2.8066E-004   9.9972E-001
    2.832661E+04   1.8061E-004   9.9982E-001
    3.001704E+04   1.9256E-004   9.9981E-001
    3.165601E+04   2.2924E-004   9.9977E-001
    3.325288E+04   2.3154E-004   9.9977E-001
    3.484169E+04   2.5866E-004   9.9974E-001
    3.639765E+04   2.7599E-004   9.9972E-001
    3.790349E+04   2.5399E-004   9.9975E-001
    3.933015E+04   2.4950E-004   9.9975E-001
    4.064946E+04   2.5987E-004   9.9974E-001
    4.183748E+04   2.5268E-004   9.9975E-001
