#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    4.320753E+04   1.0000E-099   9.7305E-001   2.6952E-002   2.7412E-016
    4.423621E+04   1.0000E-099   9.6934E-001   3.0664E-002   3.4604E-016
    4.529664E+04   1.0000E-099   9.6702E-001   3.2976E-002   3.9957E-016
    4.639486E+04   1.0000E-099   9.6696E-001   3.3035E-002   4.1810E-016
    4.752261E+04   1.0000E-099   9.6837E-001   3.1632E-002   4.1519E-016
    4.867617E+04   1.0000E-099   9.7066E-001   2.9339E-002   3.9622E-016
    4.985675E+04   1.0000E-099   9.7335E-001   2.6652E-002   3.6595E-016
    5.106564E+04   1.0000E-099   9.7603E-001   2.3973E-002   3.3005E-016
    5.230378E+04   1.0000E-099   9.7838E-001   2.1615E-002   2.9488E-016
    5.357136E+04   1.0000E-099   9.8021E-001   1.9790E-002   2.6593E-016
    5.486695E+04   1.0000E-099   9.8147E-001   1.8530E-002   2.4537E-016
    5.618695E+04   1.0000E-099   9.8214E-001   1.7855E-002   2.3443E-016
    5.752536E+04   1.0000E-099   9.8225E-001   1.7754E-002   2.3327E-016
    5.887450E+04   1.0000E-099   9.8191E-001   1.8094E-002   2.3948E-016
    6.022291E+04   1.0000E-099   9.8131E-001   1.8689E-002   2.4922E-016
    6.155592E+04   1.0000E-099   9.8078E-001   1.9219E-002   2.5693E-016
    6.285824E+04   1.0000E-099   9.8036E-001   1.9642E-002   2.6185E-016
    6.411280E+04   1.0000E-099   9.8012E-001   1.9878E-002   2.6330E-016
    6.529403E+04   1.0000E-099   9.7995E-001   2.0053E-002   2.6352E-016
    6.638404E+04   1.0000E-099   9.7994E-001   2.0055E-002   2.6071E-016
    6.736672E+04   1.0000E-099   9.8001E-001   1.9991E-002   2.5545E-016
    6.821143E+04   1.0000E-099   9.8030E-001   1.9703E-002   2.4748E-016
    6.893337E+04   1.0000E-099   9.8064E-001   1.9361E-002   2.3908E-016
    6.953439E+04   1.0000E-099   9.8155E-001   1.8450E-002   2.2251E-016
    6.977430E+04   1.0000E-099   9.8277E-001   1.7233E-002   1.9887E-016
    6.989457E+04   1.0000E-099   9.8433E-001   1.5667E-002   1.6934E-016
    6.995478E+04   1.0000E-099   9.8601E-001   1.3992E-002   1.3379E-016
    6.998490E+04   1.0000E-099   9.8727E-001   1.2733E-002   9.9413E-017
    6.999922E+04   1.0000E-099   9.8857E-001   1.1433E-002   6.8053E-017
    6.999997E+04   1.0000E-099   9.8875E-001   1.1248E-002   6.3681E-017
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.772128E+02   1.0000E-099   3.2447E-013   2.8622E-006   1.0000E+000
    8.833155E+02   1.0000E-099   3.2447E-013   2.8622E-006   1.0000E+000
    9.018795E+02   1.0000E-099   3.2447E-013   2.8622E-006   1.0000E+000
    9.401862E+02   1.0000E-099   3.2448E-013   2.8622E-006   1.0000E+000
    1.001110E+03   1.0000E-099   3.2448E-013   2.8622E-006   1.0000E+000
