#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    8.095229E+03   9.1979E-031   3.7281E-022   1.0689E-013   1.2350E-005   9.9999E-001
    8.596292E+03   1.1068E-030   4.4865E-022   1.1926E-013   1.2184E-005   9.9999E-001
    9.128368E+03   1.6601E-030   6.6615E-022   1.5156E-013   1.1919E-005   9.9999E-001
    9.693378E+03   3.7282E-030   1.4113E-021   2.4310E-013   1.1953E-005   9.9999E-001
    1.029336E+04   1.4676E-029   4.7517E-021   5.3651E-013   1.3121E-005   9.9999E-001
    1.093048E+04   1.7589E-028   4.3727E-020   2.4164E-012   1.6755E-005   9.9998E-001
    1.160703E+04   8.4372E-027   1.3930E-018   2.9075E-011   3.7033E-005   9.9996E-001
    1.232546E+04   1.9043E-024   1.9553E-016   1.3012E-009   2.5837E-004   9.9974E-001
    1.308836E+04   2.2604E-022   1.5503E-014   4.1511E-008   1.8982E-003   9.9810E-001
    1.389955E+04   6.2944E-020   2.8459E-012   2.7373E-006   2.1695E-002   9.7830E-001
    1.474312E+04   1.1231E-015   2.1130E-008   2.7366E-003   7.1181E-001   2.8545E-001
    1.540367E+04   1.5393E-010   4.5617E-004   8.6782E-001   1.3172E-001   1.8482E-006
    1.581332E+04   3.2891E-008   1.6315E-002   9.8331E-001   3.7163E-004   1.6852E-012
    1.611284E+04   4.2001E-006   3.5581E-001   6.4419E-001   4.2179E-007   3.8225E-019
    1.636570E+04   9.1899E-005   9.7542E-001   2.4486E-002   5.1016E-012   9.4178E-029
    1.654730E+04   3.4121E-004   9.9839E-001   1.2650E-003   6.8319E-016   3.9133E-036
    1.669441E+04   1.0721E-003   9.9884E-001   8.6861E-005   2.1568E-019   8.3862E-043
    1.681682E+04   3.9041E-003   9.9609E-001   4.4931E-006   3.0492E-023   4.1957E-050
    1.692241E+04   1.3360E-002   9.8664E-001   2.3441E-007   4.0811E-027   2.5025E-057
    1.702116E+04   3.3461E-002   9.6654E-001   2.0051E-008   2.1264E-030   1.2070E-060
    1.711664E+04   6.2514E-002   9.3749E-001   3.2940E-009   8.0794E-033   3.0803E-061
    1.721561E+04   1.0148E-001   8.9852E-001   7.7242E-010   9.6640E-035   9.7562E-062
    1.732334E+04   1.5875E-001   8.4125E-001   1.9257E-010   1.5157E-036   3.0085E-062
    1.744562E+04   2.3794E-001   7.6206E-001   4.9353E-011   2.8381E-038   8.9781E-063
    1.759425E+04   3.4085E-001   6.5915E-001   1.2289E-011   5.4155E-040   2.5197E-063
    1.788224E+04   5.2532E-001   4.7468E-001   1.4323E-012   1.5309E-042   3.3126E-064
    1.867332E+04   7.9645E-001   2.0355E-001   2.9132E-014   6.3020E-047   7.8980E-066
    1.962851E+04   8.7639E-001   1.2361E-001   3.2687E-015   1.2422E-047   1.0453E-066
    2.067444E+04   8.8368E-001   1.1632E-001   1.8892E-015   5.0044E-047   7.4153E-067
