#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
11366.65 7.29e-14 1.24e-05 8.86e-01 1.14e-01 1.16e-12 3.19e-33 3.96e-38 
12061.10 5.95e-13 6.32e-05 9.94e-01 5.82e-03 1.17e-15 3.74e-37 5.53e-38 
12793.43 3.60e-12 2.53e-04 9.99e-01 3.43e-04 2.81e-20 4.86e-37 7.50e-38 
13528.61 1.94e-11 9.20e-04 9.99e-01 1.78e-05 4.48e-24 6.34e-37 1.01e-37 
14194.74 7.94e-11 2.73e-03 9.97e-01 1.36e-06 5.25e-28 8.88e-37 1.45e-37 
14757.77 2.12e-10 5.93e-03 9.94e-01 4.58e-07 1.81e-28 1.30e-36 2.16e-37 
15240.48 7.40e-10 1.41e-02 9.86e-01 4.21e-08 1.57e-32 1.67e-36 2.82e-37 
15646.99 3.59e-09 3.84e-02 9.62e-01 6.14e-09 1.73e-35 2.03e-36 3.47e-37 
15960.30 2.16e-08 1.12e-01 8.88e-01 9.32e-10 9.20e-36 2.43e-36 4.19e-37 
16187.41 6.56e-08 2.19e-01 7.81e-01 2.25e-10 1.50e-35 3.94e-36 6.87e-37 
16354.17 1.42e-07 3.53e-01 6.47e-01 4.82e-11 2.58e-35 6.79e-36 1.19e-36 
16484.18 1.82e-07 4.25e-01 5.75e-01 1.55e-11 4.27e-35 1.12e-35 1.98e-36 
16593.12 2.15e-07 4.90e-01 5.10e-01 5.46e-12 6.27e-35 1.64e-35 2.92e-36 
16691.99 2.12e-07 5.05e-01 4.95e-01 6.40e-12 8.23e-35 2.16e-35 3.84e-36 
16788.59 2.74e-07 6.10e-01 3.90e-01 1.10e-12 1.03e-34 2.70e-35 4.83e-36 
16888.37 2.95e-07 6.14e-01 3.86e-01 1.31e-12 1.29e-34 3.38e-35 6.06e-36 
16998.79 3.56e-07 7.02e-01 2.98e-01 3.17e-13 1.67e-34 4.36e-35 7.86e-36 
17146.37 4.29e-07 7.58e-01 2.42e-01 1.47e-13 2.26e-34 5.89e-35 1.07e-35 
17415.23 5.38e-07 8.34e-01 1.66e-01 5.11e-14 3.48e-34 9.07e-35 1.65e-35 
17888.12 7.03e-07 9.08e-01 9.22e-02 5.85e-15 7.16e-34 1.86e-34 3.42e-35 
18532.37 1.01e-06 9.68e-01 3.19e-02 1.06e-16 1.31e-33 3.38e-34 6.31e-35 
19260.76 1.30e-06 9.84e-01 1.56e-02 2.92e-17 2.06e-33 5.31e-34 1.00e-34 
20034.10 1.27e-06 9.93e-01 6.54e-03 2.73e-19 2.88e-33 7.40e-34 1.42e-34 
20838.00 1.33e-06 9.97e-01 3.43e-03 2.74e-20 3.41e-33 8.74e-34 1.69e-34 
21647.97 1.77e-06 9.97e-01 3.14e-03 4.61e-20 3.48e-33 8.89e-34 1.73e-34 
22447.94 1.31e-06 9.97e-01 2.79e-03 3.19e-21 4.02e-33 1.02e-33 2.02e-34 
23245.88 1.21e-06 9.98e-01 1.91e-03 4.90e-22 5.02e-33 1.28e-33 2.53e-34 
24052.47 1.26e-06 1.00e+00 3.22e-04 4.08e-24 6.16e-33 1.56e-33 3.12e-34 
24867.72 1.24e-06 1.00e+00 2.00e-04 2.10e-24 7.17e-33 1.81e-33 3.66e-34 
25698.86 2.35e-06 1.00e+00 1.41e-04 2.32e-24 8.10e-33 2.04e-33 4.15e-34 
26587.16 1.98e-06 1.00e+00 4.11e-05 2.72e-24 9.21e-33 2.32e-33 4.75e-34 
27637.54 2.83e-06 1.00e+00 1.59e-05 2.63e-24 1.08e-32 2.72e-33 5.63e-34 
28986.97 3.49e-06 1.00e+00 4.88e-06 6.87e-24 1.36e-32 3.41e-33 7.14e-34 
#TIME: 13.29 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 2.81e-21 6.82e-13 1.07e-05 5.58e-01 4.41e-01 1.10e-04 4.12e-13 
999.11 2.00e-21 4.98e-13 8.41e-06 5.01e-01 4.99e-01 1.46e-04 7.64e-13 
1267.34 1.63e-21 4.11e-13 7.40e-06 4.74e-01 5.26e-01 1.73e-04 1.06e-12 
1514.05 1.66e-21 4.08e-13 7.33e-06 4.70e-01 5.29e-01 1.93e-04 1.31e-12 
1808.80 1.11e-21 2.89e-13 5.69e-06 4.16e-01 5.84e-01 2.70e-04 2.66e-12 
1919.29 8.99e-22 2.39e-13 4.96e-06 3.89e-01 6.11e-01 3.24e-04 1.34e-11 
2160.92 7.34e-22 2.02e-13 4.35e-06 3.64e-01 6.36e-01 3.67e-04 5.14e-12 
2292.92 4.88e-22 1.42e-13 3.35e-06 3.17e-01 6.82e-01 4.95e-04 7.93e-12 
2432.98 3.43e-22 1.07e-13 2.75e-06 2.88e-01 7.11e-01 5.79e-04 9.60e-12 
2581.60 2.91e-22 9.45e-14 2.55e-06 2.78e-01 7.21e-01 5.99e-04 9.71e-12 
2739.29 2.62e-22 8.75e-14 2.44e-06 2.74e-01 7.26e-01 6.12e-04 1.11e-11 
2906.62 2.62e-22 9.00e-14 2.53e-06 2.81e-01 7.18e-01 5.52e-04 7.65e-12 
3084.17 2.21e-22 8.16e-14 2.43e-06 2.79e-01 7.20e-01 5.52e-04 7.70e-12 
3272.56 1.78e-22 7.24e-14 2.34e-06 2.79e-01 7.20e-01 5.51e-04 6.79e-12 
3472.46 1.72e-22 7.58e-14 2.55e-06 3.00e-01 7.00e-01 4.13e-04 3.63e-12 
3684.57 1.85e-22 8.86e-14 2.91e-06 3.25e-01 6.74e-01 3.32e-04 2.12e-12 
3909.64 1.68e-22 9.17e-14 3.22e-06 3.53e-01 6.47e-01 2.57e-04 1.35e-12 
4148.46 2.03e-22 1.17e-13 4.03e-06 4.02e-01 5.98e-01 1.68e-04 5.15e-13 
4401.86 4.00e-22 2.13e-13 6.19e-06 4.89e-01 5.11e-01 8.66e-05 1.49e-13 
4670.75 6.21e-22 3.26e-13 8.70e-06 5.72e-01 4.28e-01 4.59e-05 4.47e-14 
4956.05 7.06e-22 4.03e-13 1.07e-05 6.37e-01 3.63e-01 2.54e-05 1.24e-14 
5258.79 7.19e-22 4.57e-13 1.26e-05 6.92e-01 3.08e-01 1.42e-05 4.16e-15 
5580.02 1.06e-21 7.00e-13 1.79e-05 7.81e-01 2.19e-01 5.18e-06 5.71e-16 
5920.87 1.58e-21 1.07e-12 2.50e-05 8.52e-01 1.48e-01 1.73e-06 7.52e-17 
6282.54 2.56e-21 1.79e-12 3.63e-05 9.12e-01 8.83e-02 3.56e-07 4.43e-18 
6666.30 4.85e-21 3.37e-12 5.71e-05 9.56e-01 4.37e-02 9.01e-08 3.56e-19 
7073.50 1.05e-20 7.18e-12 9.87e-05 9.83e-01 1.67e-02 5.32e-09 3.34e-21 
7505.58 2.34e-20 1.61e-11 1.79e-04 9.95e-01 5.25e-03 3.35e-10 2.83e-23 
7964.05 7.61e-20 4.98e-11 3.99e-04 9.98e-01 1.17e-03 6.80e-12 2.10e-26 
8450.53 3.78e-19 2.17e-10 1.09e-03 9.99e-01 1.86e-04 8.27e-14 5.08e-30 
8966.72 2.07e-18 1.04e-09 3.12e-03 9.97e-01 2.71e-05 8.68e-16 1.85e-33 
9514.44 1.78e-17 7.49e-09 1.19e-02 9.88e-01 3.03e-06 4.08e-18 1.81e-36 
10095.62 3.08e-16 1.01e-07 6.79e-02 9.32e-01 6.43e-08 7.37e-22 1.70e-37 
10712.30 7.27e-15 1.77e-06 4.10e-01 5.90e-01 5.27e-10 1.04e-26 3.12e-38 
11366.65 9.13e-14 1.51e-05 9.22e-01 7.84e-02 3.07e-13 2.18e-34 4.17e-38 
12061.10 7.17e-13 7.40e-05 9.96e-01 3.91e-03 3.36e-17 3.93e-37 5.85e-38 
12793.43 4.22e-12 2.89e-04 1.00e+00 2.09e-04 5.16e-21 5.13e-37 7.95e-38 
13528.61 2.27e-11 1.05e-03 9.99e-01 1.45e-05 3.15e-24 6.70e-37 1.07e-37 
14194.74 8.96e-11 3.05e-03 9.97e-01 1.09e-06 4.77e-28 9.40e-37 1.54e-37 
14757.77 2.43e-10 6.69e-03 9.93e-01 1.82e-07 4.19e-31 1.37e-36 2.29e-37 
15240.48 8.22e-10 1.54e-02 9.85e-01 4.01e-08 4.36e-33 1.77e-36 3.00e-37 
15646.99 4.11e-09 4.32e-02 9.57e-01 4.88e-09 8.16e-36 2.16e-36 3.69e-37 
15960.30 2.56e-08 1.29e-01 8.71e-01 5.98e-10 9.77e-36 2.58e-36 4.46e-37 
16187.41 8.01e-08 2.60e-01 7.40e-01 9.59e-11 1.59e-35 4.18e-36 7.31e-37 
16354.17 1.50e-07 3.69e-01 6.31e-01 2.76e-11 2.74e-35 7.20e-36 1.27e-36 
16484.18 2.08e-07 4.67e-01 5.33e-01 9.25e-12 4.53e-35 1.19e-35 2.10e-36 
16593.12 2.43e-07 5.37e-01 4.63e-01 3.71e-12 6.66e-35 1.74e-35 3.10e-36 
16691.99 2.38e-07 5.36e-01 4.64e-01 3.24e-12 8.74e-35 2.29e-35 4.08e-36 
16788.59 3.14e-07 6.62e-01 3.38e-01 5.85e-13 1.10e-34 2.86e-35 5.13e-36 
16888.37 3.32e-07 6.59e-01 3.41e-01 6.04e-13 1.37e-34 3.59e-35 6.45e-36 
16998.79 3.67e-07 6.81e-01 3.19e-01 4.99e-13 1.77e-34 4.63e-35 8.36e-36 
17146.37 4.56e-07 7.96e-01 2.04e-01 7.12e-14 2.40e-34 6.25e-35 1.13e-35 
17415.23 5.62e-07 8.28e-01 1.72e-01 8.78e-14 3.70e-34 9.62e-35 1.76e-35 
17888.12 7.49e-07 9.25e-01 7.53e-02 2.22e-15 7.60e-34 1.97e-34 3.64e-35 
18532.37 9.95e-07 9.70e-01 3.02e-02 7.72e-17 1.39e-33 3.59e-34 6.71e-35 
19260.76 1.18e-06 9.88e-01 1.20e-02 2.96e-18 2.19e-33 5.63e-34 1.07e-34 
20034.10 1.55e-06 9.94e-01 5.66e-03 2.87e-19 3.06e-33 7.86e-34 1.51e-34 
20838.00 1.30e-06 9.97e-01 2.89e-03 1.38e-20 3.63e-33 9.28e-34 1.80e-34 
21647.97 1.49e-06 9.98e-01 1.64e-03 3.45e-21 3.70e-33 9.44e-34 1.84e-34 
22447.94 2.45e-06 9.99e-01 1.49e-03 3.22e-21 4.27e-33 1.09e-33 2.14e-34 
23245.88 1.21e-06 9.99e-01 6.91e-04 6.58e-23 5.33e-33 1.35e-33 2.69e-34 
24052.47 1.23e-06 1.00e+00 2.99e-04 3.41e-24 6.54e-33 1.66e-33 3.32e-34 
24867.72 1.19e-06 1.00e+00 2.17e-04 3.23e-24 7.62e-33 1.93e-33 3.89e-34 
25698.86 1.37e-06 1.00e+00 1.33e-04 3.24e-24 8.60e-33 2.17e-33 4.41e-34 
26587.16 1.67e-06 1.00e+00 5.60e-05 5.91e-24 9.78e-33 2.46e-33 5.05e-34 
27637.54 2.55e-06 1.00e+00 1.51e-05 5.39e-24 1.15e-32 2.89e-33 5.99e-34 
28986.97 4.32e-06 1.00e+00 4.25e-06 6.83e-24 1.45e-32 3.62e-33 7.59e-34 
#TIME: 13.56 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 3.07e-21 7.72e-13 1.20e-05 5.94e-01 4.06e-01 8.02e-05 2.20e-13 
999.11 2.21e-21 5.72e-13 9.79e-06 5.44e-01 4.56e-01 1.02e-04 3.71e-13 
1267.34 2.00e-21 5.15e-13 8.93e-06 5.21e-01 4.79e-01 1.17e-04 4.73e-13 
1514.05 2.09e-21 5.24e-13 8.89e-06 5.17e-01 4.83e-01 1.25e-04 5.34e-13 
1808.80 1.39e-21 3.71e-13 7.06e-06 4.68e-01 5.32e-01 1.64e-04 9.27e-13 
1919.29 1.14e-21 3.13e-13 6.27e-06 4.43e-01 5.57e-01 2.03e-04 1.67e-12 
2160.92 9.07e-22 2.57e-13 5.47e-06 4.16e-01 5.84e-01 2.31e-04 1.68e-12 
2292.92 6.00e-22 1.82e-13 4.35e-06 3.73e-01 6.26e-01 3.04e-04 2.71e-12 
2432.98 4.42e-22 1.43e-13 3.66e-06 3.43e-01 6.56e-01 3.61e-04 3.64e-12 
2581.60 3.87e-22 1.29e-13 3.44e-06 3.35e-01 6.65e-01 3.89e-04 4.39e-12 
2739.29 3.57e-22 1.22e-13 3.35e-06 3.31e-01 6.68e-01 3.73e-04 3.50e-12 
2906.62 3.45e-22 1.23e-13 3.45e-06 3.40e-01 6.60e-01 3.39e-04 3.79e-12 
3084.17 3.02e-22 1.15e-13 3.37e-06 3.41e-01 6.59e-01 3.38e-04 2.57e-12 
3272.56 2.64e-22 1.09e-13 3.31e-06 3.42e-01 6.58e-01 3.11e-04 1.99e-12 
3472.46 2.65e-22 1.18e-13 3.64e-06 3.65e-01 6.35e-01 2.35e-04 1.09e-12 
3684.57 2.49e-22 1.22e-13 3.95e-06 3.89e-01 6.11e-01 2.03e-04 7.86e-13 
3909.64 2.38e-22 1.33e-13 4.47e-06 4.25e-01 5.75e-01 1.43e-04 3.57e-13 
4148.46 3.13e-22 1.81e-13 5.70e-06 4.80e-01 5.20e-01 9.03e-05 1.52e-13 
4401.86 5.44e-22 2.97e-13 8.26e-06 5.63e-01 4.37e-01 5.07e-05 4.79e-14 
4670.75 8.82e-22 4.69e-13 1.17e-05 6.50e-01 3.50e-01 2.20e-05 1.06e-14 
4956.05 9.46e-22 5.50e-13 1.39e-05 7.04e-01 2.96e-01 1.32e-05 3.57e-15 
5258.79 9.67e-22 6.26e-13 1.64e-05 7.59e-01 2.41e-01 7.36e-06 1.09e-15 
5580.02 1.43e-21 9.58e-13 2.27e-05 8.33e-01 1.67e-01 2.29e-06 1.35e-16 
5920.87 2.11e-21 1.46e-12 3.15e-05 8.92e-01 1.08e-01 7.49e-07 1.57e-17 
6282.54 3.37e-21 2.41e-12 4.57e-05 9.38e-01 6.16e-02 2.40e-07 1.78e-18 
6666.30 6.40e-21 4.54e-12 7.15e-05 9.70e-01 2.95e-02 4.66e-08 8.39e-20 
7073.50 1.41e-20 9.81e-12 1.25e-04 9.89e-01 1.06e-02 3.59e-09 1.15e-21 
7505.58 3.22e-20 2.23e-11 2.28e-04 9.96e-01 3.30e-03 1.97e-10 1.19e-23 
7964.05 1.07e-19 7.01e-11 5.12e-04 9.99e-01 7.07e-04 2.77e-12 5.04e-27 
8450.53 5.37e-19 3.09e-10 1.40e-03 9.98e-01 1.09e-04 2.33e-14 4.58e-31 
8966.72 2.94e-18 1.47e-09 4.00e-03 9.96e-01 1.88e-05 3.55e-16 3.43e-34 
9514.44 2.62e-17 1.10e-08 1.56e-02 9.84e-01 1.74e-06 1.15e-18 1.13e-36 
10095.62 4.52e-16 1.48e-07 8.86e-02 9.11e-01 3.43e-08 1.35e-22 2.13e-37 
10712.30 1.01e-14 2.44e-06 4.93e-01 5.07e-01 2.33e-10 1.36e-27 3.27e-38 
11366.65 1.15e-13 1.83e-05 9.42e-01 5.84e-02 1.16e-13 2.93e-35 4.39e-38 
12061.10 8.50e-13 8.57e-05 9.97e-01 2.91e-03 5.59e-17 4.14e-37 6.19e-38 
12793.43 4.81e-12 3.27e-04 9.99e-01 2.44e-04 6.71e-20 5.41e-37 8.43e-38 
13528.61 2.69e-11 1.22e-03 9.99e-01 7.61e-06 1.48e-25 7.09e-37 1.14e-37 
14194.74 1.05e-10 3.47e-03 9.97e-01 9.22e-07 1.87e-28 9.95e-37 1.64e-37 
14757.77 2.77e-10 7.45e-03 9.93e-01 1.58e-07 2.06e-30 1.45e-36 2.44e-37 
15240.48 9.80e-10 1.81e-02 9.82e-01 1.98e-08 7.08e-36 1.87e-36 3.18e-37 
15646.99 4.59e-09 4.76e-02 9.52e-01 4.71e-09 1.47e-35 2.29e-36 3.93e-37 
15960.30 2.96e-08 1.47e-01 8.53e-01 4.95e-10 1.04e-35 2.73e-36 4.74e-37 
16187.41 8.52e-08 2.72e-01 7.28e-01 6.97e-11 1.69e-35 4.44e-36 7.77e-37 
16354.17 1.61e-07 4.05e-01 5.95e-01 1.59e-11 2.91e-35 7.64e-36 1.35e-36 
16484.18 2.29e-07 5.12e-01 4.88e-01 5.10e-12 4.81e-35 1.26e-35 2.24e-36 
16593.12 2.31e-07 5.09e-01 4.91e-01 5.96e-12 7.07e-35 1.85e-35 3.30e-36 
16691.99 2.79e-07 5.91e-01 4.09e-01 2.37e-12 9.27e-35 2.43e-35 4.34e-36 
16788.59 3.19e-07 6.64e-01 3.36e-01 5.77e-13 1.16e-34 3.04e-35 5.46e-36 
16888.37 3.58e-07 7.04e-01 2.96e-01 2.82e-13 1.46e-34 3.80e-35 6.86e-36 
16998.79 4.21e-07 7.42e-01 2.58e-01 2.55e-13 1.88e-34 4.91e-35 8.89e-36 
17146.37 4.86e-07 7.82e-01 2.18e-01 1.50e-13 2.54e-34 6.62e-35 1.20e-35 
17415.23 6.21e-07 8.83e-01 1.17e-01 7.69e-15 3.93e-34 1.02e-34 1.87e-35 
17888.12 7.45e-07 9.40e-01 5.95e-02 7.26e-16 8.07e-34 2.09e-34 3.87e-35 
18532.37 1.07e-06 9.76e-01 2.43e-02 4.29e-17 1.47e-33 3.81e-34 7.13e-35 
19260.76 1.23e-06 9.87e-01 1.35e-02 4.20e-18 2.32e-33 5.98e-34 1.13e-34 
20034.10 1.39e-06 9.86e-01 1.42e-02 6.74e-18 3.25e-33 8.34e-34 1.60e-34 
20838.00 1.71e-06 9.97e-01 2.54e-03 1.91e-20 3.85e-33 9.86e-34 1.91e-34 
21647.97 1.29e-06 9.98e-01 1.59e-03 1.23e-21 3.93e-33 1.00e-33 1.96e-34 
22447.94 1.31e-06 9.99e-01 7.76e-04 8.80e-23 4.54e-33 1.15e-33 2.28e-34 
23245.88 1.27e-06 1.00e+00 4.48e-04 1.01e-23 5.66e-33 1.44e-33 2.86e-34 
24052.47 1.01e-06 1.00e+00 4.82e-04 1.43e-23 6.95e-33 1.76e-33 3.53e-34 
24867.72 1.17e-06 1.00e+00 2.10e-04 3.18e-24 8.09e-33 2.04e-33 4.14e-34 
25698.86 1.33e-06 1.00e+00 1.25e-04 3.64e-24 9.13e-33 2.30e-33 4.69e-34 
26587.16 1.45e-06 1.00e+00 6.80e-05 5.91e-24 1.04e-32 2.61e-33 5.37e-34 
27637.54 2.15e-06 1.00e+00 1.71e-05 7.12e-24 1.22e-32 3.07e-33 6.37e-34 
28986.97 3.97e-06 1.00e+00 4.07e-06 8.44e-24 1.54e-32 3.84e-33 8.07e-34 
#TIME: 13.84 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 3.21e-21 8.49e-13 1.36e-05 6.32e-01 3.68e-01 4.99e-05 9.14e-14 
999.11 2.56e-21 6.89e-13 1.16e-05 5.93e-01 4.07e-01 6.44e-05 4.51e-13 
1267.34 2.28e-21 6.10e-13 1.05e-05 5.67e-01 4.33e-01 8.08e-05 2.17e-13 
1514.05 2.39e-21 6.21e-13 1.05e-05 5.61e-01 4.39e-01 8.75e-05 2.63e-13 
1808.80 1.75e-21 4.76e-13 8.67e-06 5.18e-01 4.82e-01 1.10e-04 4.21e-13 
1919.29 1.48e-21 4.12e-13 7.84e-06 4.97e-01 5.03e-01 1.27e-04 5.11e-13 
2160.92 1.17e-21 3.41e-13 6.90e-06 4.70e-01 5.30e-01 1.47e-04 4.08e-12 
2292.92 8.47e-22 2.62e-13 5.86e-06 4.39e-01 5.61e-01 1.71e-04 1.54e-12 
2432.98 6.13e-22 2.03e-13 5.04e-06 4.13e-01 5.87e-01 2.08e-04 1.08e-12 
2581.60 5.51e-22 1.88e-13 4.74e-06 4.01e-01 5.99e-01 2.16e-04 1.13e-12 
2739.29 5.06e-22 1.78e-13 4.60e-06 3.97e-01 6.03e-01 2.14e-04 1.65e-12 
2906.62 5.20e-22 1.87e-13 4.82e-06 4.08e-01 5.92e-01 1.92e-04 2.07e-12 
3084.17 4.60e-22 1.76e-13 4.73e-06 4.08e-01 5.91e-01 1.85e-04 7.47e-13 
3272.56 3.72e-22 1.57e-13 4.53e-06 4.07e-01 5.93e-01 1.81e-04 6.63e-13 
3472.46 3.58e-22 1.64e-13 4.90e-06 4.31e-01 5.69e-01 1.47e-04 4.18e-13 
3684.57 3.60e-22 1.80e-13 5.47e-06 4.62e-01 5.38e-01 1.05e-04 2.00e-13 
3909.64 3.51e-22 1.98e-13 6.17e-06 4.99e-01 5.01e-01 7.42e-05 1.01e-13 
4148.46 4.20e-22 2.50e-13 7.62e-06 5.56e-01 4.44e-01 5.23e-05 5.12e-14 
4401.86 7.82e-22 4.32e-13 1.11e-05 6.41e-01 3.59e-01 2.50e-05 2.57e-14 
4670.75 1.20e-21 6.50e-13 1.52e-05 7.19e-01 2.81e-01 1.34e-05 3.52e-15 
4956.05 1.27e-21 7.49e-13 1.80e-05 7.70e-01 2.30e-01 6.54e-06 9.37e-16 
5258.79 1.34e-21 8.78e-13 2.12e-05 8.17e-01 1.83e-01 2.79e-06 2.01e-16 
5580.02 1.83e-21 1.25e-12 2.83e-05 8.75e-01 1.25e-01 1.46e-06 4.49e-17 
5920.87 2.80e-21 1.97e-12 3.93e-05 9.22e-01 7.79e-02 3.07e-07 3.47e-18 
6282.54 4.64e-21 3.37e-12 5.83e-05 9.59e-01 4.06e-02 5.18e-08 1.63e-19 
6666.30 8.68e-21 6.26e-12 9.09e-05 9.81e-01 1.89e-02 2.07e-08 1.86e-20 
7073.50 1.90e-20 1.34e-11 1.57e-04 9.93e-01 6.75e-03 1.72e-09 2.50e-22 
7505.58 4.49e-20 3.13e-11 2.90e-04 9.98e-01 2.05e-03 2.35e-11 1.33e-25 
7964.05 1.55e-19 1.01e-10 6.66e-04 9.99e-01 4.28e-04 5.55e-13 1.37e-28 
8450.53 7.65e-19 4.40e-10 1.80e-03 9.98e-01 7.27e-05 8.67e-15 1.26e-31 
8966.72 4.22e-18 2.11e-09 5.18e-03 9.95e-01 1.19e-05 1.12e-16 2.20e-35 
9514.44 3.80e-17 1.59e-08 2.03e-02 9.80e-01 8.59e-07 2.33e-19 6.92e-37 
10095.62 6.79e-16 2.21e-07 1.17e-01 8.83e-01 1.61e-08 2.19e-23 1.55e-37 
10712.30 1.40e-14 3.32e-06 5.78e-01 4.22e-01 1.04e-10 2.39e-28 3.43e-38 
11366.65 1.43e-13 2.19e-05 9.58e-01 4.17e-02 5.78e-14 8.29e-36 4.62e-38 
12061.10 1.04e-12 1.02e-04 9.98e-01 2.07e-03 9.89e-18 4.35e-37 6.55e-38 
12793.43 5.68e-12 3.75e-04 1.00e+00 1.12e-04 6.32e-22 5.71e-37 8.93e-38 
13528.61 3.02e-11 1.35e-03 9.99e-01 7.71e-06 4.52e-25 7.50e-37 1.21e-37 
14194.74 1.18e-10 3.85e-03 9.96e-01 8.18e-07 4.32e-28 1.05e-36 1.74e-37 
14757.77 3.32e-10 8.74e-03 9.91e-01 8.15e-08 2.69e-32 1.54e-36 2.59e-37 
15240.48 1.12e-09 2.02e-02 9.80e-01 1.56e-08 1.40e-35 1.99e-36 3.38e-37 
15646.99 5.17e-09 5.29e-02 9.47e-01 3.08e-09 9.17e-36 2.42e-36 4.17e-37 
15960.30 2.99e-08 1.47e-01 8.53e-01 3.76e-10 1.10e-35 2.89e-36 5.04e-37 
16187.41 9.47e-08 3.00e-01 7.00e-01 5.83e-11 1.79e-35 4.71e-36 8.26e-37 
16354.17 1.79e-07 4.26e-01 5.74e-01 1.51e-11 3.09e-35 8.10e-36 1.43e-36 
16484.18 2.38e-07 5.15e-01 4.85e-01 6.58e-12 5.10e-35 1.34e-35 2.38e-36 
16593.12 2.57e-07 5.52e-01 4.48e-01 3.79e-12 7.49e-35 1.96e-35 3.51e-36 
16691.99 2.88e-07 6.18e-01 3.82e-01 1.53e-12 9.84e-35 2.57e-35 4.62e-36 
16788.59 3.43e-07 6.96e-01 3.04e-01 2.97e-13 1.23e-34 3.22e-35 5.80e-36 
16888.37 3.95e-07 7.33e-01 2.67e-01 7.02e-13 1.55e-34 4.03e-35 7.29e-36 
16998.79 4.15e-07 7.50e-01 2.50e-01 2.11e-13 2.00e-34 5.21e-35 9.45e-36 
17146.37 5.08e-07 8.25e-01 1.75e-01 4.24e-14 2.70e-34 7.03e-35 1.28e-35 
17415.23 6.23e-07 8.85e-01 1.15e-01 8.51e-15 4.17e-34 1.08e-34 1.99e-35 
17888.12 7.71e-07 9.41e-01 5.89e-02 8.71e-16 8.57e-34 2.22e-34 4.12e-35 
18532.37 1.02e-06 9.78e-01 2.18e-02 3.14e-17 1.56e-33 4.04e-34 7.58e-35 
19260.76 1.15e-06 9.90e-01 1.02e-02 1.66e-18 2.47e-33 6.34e-34 1.21e-34 
20034.10 1.47e-06 9.95e-01 5.20e-03 1.68e-19 3.45e-33 8.86e-34 1.70e-34 
20838.00 1.19e-06 9.97e-01 3.28e-03 2.55e-20 4.09e-33 1.05e-33 2.03e-34 
21647.97 1.21e-06 9.99e-01 1.35e-03 7.90e-22 4.17e-33 1.06e-33 2.09e-34 
22447.94 1.23e-06 9.99e-01 7.53e-04 8.54e-23 4.82e-33 1.23e-33 2.42e-34 
23245.88 1.20e-06 9.99e-01 5.35e-04 2.08e-23 6.02e-33 1.53e-33 3.04e-34 
24052.47 1.16e-06 1.00e+00 2.90e-04 2.97e-24 7.38e-33 1.87e-33 3.76e-34 
24867.72 1.31e-06 1.00e+00 2.34e-04 4.52e-24 8.59e-33 2.17e-33 4.40e-34 
25698.86 1.44e-06 1.00e+00 1.04e-04 3.57e-24 9.70e-33 2.44e-33 4.99e-34 
26587.16 4.77e-06 1.00e+00 4.39e-04 1.61e-23 1.10e-32 2.77e-33 5.71e-34 
27637.54 1.88e-06 1.00e+00 1.46e-05 6.10e-24 1.30e-32 3.26e-33 6.77e-34 
28986.97 3.17e-06 1.00e+00 4.15e-06 1.00e-23 1.63e-32 4.08e-33 8.59e-34 
#TIME: 14.13 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 3.89e-21 1.05e-12 1.60e-05 6.75e-01 3.25e-01 3.42e-05 3.88e-14 
999.11 3.15e-21 8.63e-13 1.41e-05 6.44e-01 3.55e-01 4.15e-05 5.58e-14 
1267.34 2.63e-21 7.32e-13 1.25e-05 6.17e-01 3.83e-01 5.15e-05 5.64e-13 
