#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
20838.00 2.56e-05 1.00e+00 1.77e-04 7.31e-23 1.10e-34 2.81e-35 5.42e-36 
21647.97 3.11e-05 1.00e+00 7.83e-05 4.38e-24 1.11e-34 2.84e-35 5.57e-36 
22447.94 5.19e-05 1.00e+00 1.54e-05 2.31e-26 1.29e-34 3.27e-35 6.47e-36 
23245.88 7.97e-05 1.00e+00 5.55e-06 1.14e-27 1.60e-34 4.06e-35 8.12e-36 
24052.47 1.04e-04 1.00e+00 2.29e-06 1.52e-27 1.96e-34 4.96e-35 1.00e-35 
24867.72 1.37e-04 1.00e+00 8.87e-07 5.76e-28 2.28e-34 5.75e-35 1.17e-35 
25698.86 1.90e-04 1.00e+00 3.76e-07 2.40e-27 2.57e-34 6.47e-35 1.33e-35 
26587.16 2.39e-04 1.00e+00 1.64e-07 3.85e-27 2.92e-34 7.33e-35 1.53e-35 
27637.54 3.06e-04 1.00e+00 6.64e-08 4.89e-27 3.44e-34 8.59e-35 1.81e-35 
28986.97 2.46e-04 1.00e+00 2.70e-08 2.26e-26 4.31e-34 1.07e-34 2.29e-35 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 5.50e-18 7.06e-11 6.31e-05 5.47e-01 4.52e-01 8.06e-04 7.50e-10 
999.11 3.05e-19 4.83e-12 8.20e-06 2.09e-01 7.76e-01 1.51e-02 4.62e-07 
1267.34 1.53e-20 2.98e-13 7.75e-07 4.84e-02 8.22e-01 1.29e-01 4.89e-05 
1514.05 1.48e-21 3.25e-14 1.14e-07 1.31e-02 5.99e-01 3.87e-01 7.71e-04 
1808.80 1.52e-22 3.81e-15 1.65e-08 3.10e-03 3.23e-01 6.67e-01 6.28e-03 
1919.29 1.32e-23 3.80e-16 2.14e-09 6.17e-04 1.47e-01 8.26e-01 2.66e-02 
2160.92 5.18e-25 1.86e-17 1.82e-10 9.30e-05 6.08e-02 8.49e-01 9.00e-02 
2292.92 1.08e-25 4.02e-18 3.69e-11 2.53e-05 3.47e-02 8.09e-01 1.56e-01 
2432.98 3.06e-26 1.31e-18 1.56e-11 1.35e-05 2.40e-02 7.70e-01 2.06e-01 
2581.60 1.27e-26 5.92e-19 8.28e-12 8.51e-06 1.86e-02 7.44e-01 2.38e-01 
2739.29 5.59e-27 2.84e-19 4.69e-12 5.55e-06 1.42e-02 6.95e-01 2.91e-01 
2906.62 3.19e-27 1.78e-19 3.45e-12 4.58e-06 1.29e-02 6.82e-01 3.06e-01 
3084.17 2.04e-27 1.23e-19 2.58e-12 3.78e-06 1.17e-02 6.74e-01 3.14e-01 
3272.56 1.17e-27 7.81e-20 1.85e-12 3.06e-06 1.05e-02 6.62e-01 3.28e-01 
3472.46 8.72e-28 6.39e-20 1.69e-12 3.01e-06 1.07e-02 6.80e-01 3.09e-01 
3684.57 5.77e-28 4.73e-20 1.43e-12 2.80e-06 1.05e-02 6.90e-01 2.99e-01 
3909.64 3.39e-28 3.21e-20 1.14e-12 2.51e-06 1.00e-02 7.03e-01 2.87e-01 
4148.46 3.51e-28 3.51e-20 1.28e-12 2.87e-06 1.11e-02 7.37e-01 2.52e-01 
