#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
13528.61 9.87e-15 4.82e-07 1.04e-01 8.96e-01 3.21e-04 
14194.74 5.73e-13 2.00e-05 8.31e-01 1.69e-01 3.33e-07 
14757.77 4.74e-12 1.04e-04 9.91e-01 8.47e-03 2.14e-10 
15240.48 3.53e-11 4.16e-04 9.99e-01 5.20e-04 3.10e-13 
15646.99 3.12e-10 1.68e-03 9.98e-01 3.69e-05 6.77e-16 
15960.30 3.33e-09 7.49e-03 9.93e-01 2.85e-06 2.21e-18 
16187.41 1.95e-08 2.28e-02 9.77e-01 3.30e-07 1.59e-20 
16354.17 6.71e-08 5.40e-02 9.46e-01 5.41e-08 2.36e-22 
16484.18 1.47e-07 8.95e-02 9.11e-01 1.44e-08 8.60e-24 
16593.12 2.53e-07 1.38e-01 8.62e-01 4.62e-09 5.90e-25 
16691.99 4.77e-07 2.20e-01 7.80e-01 1.23e-09 2.90e-26 
16788.59 6.42e-07 2.69e-01 7.31e-01 5.40e-10 4.54e-27 
16888.37 9.97e-07 3.68e-01 6.32e-01 2.08e-10 5.45e-28 
16998.79 1.80e-06 5.16e-01 4.84e-01 4.26e-11 2.08e-29 
17146.37 2.21e-06 5.74e-01 4.26e-01 1.48e-11 1.80e-30 
17415.23 4.34e-06 7.82e-01 2.18e-01 8.23e-13 1.97e-32 
17888.12 8.60e-06 9.42e-01 5.79e-02 7.23e-15 2.48e-32 
18532.37 1.70e-05 9.91e-01 8.97e-03 1.21e-17 2.75e-32 
19260.76 2.68e-05 9.98e-01 1.95e-03 4.94e-20 6.94e-32 
20034.10 4.80e-05 1.00e+00 2.42e-04 9.45e-23 7.47e-32 
20838.00 1.26e-04 1.00e+00 5.01e-05 3.72e-25 4.48e-32 
21647.97 1.26e-04 1.00e+00 1.76e-05 9.26e-27 4.31e-32 
22447.94 8.54e-05 1.00e+00 6.23e-06 3.82e-28 4.23e-31 
23245.88 2.71e-04 1.00e+00 1.74e-06 5.45e-29 5.26e-31 
24052.47 4.70e-04 1.00e+00 8.93e-07 1.17e-28 8.76e-31 
24867.72 3.35e-04 1.00e+00 4.57e-07 2.85e-28 3.42e-30 
25698.86 9.44e-04 9.99e-01 1.52e-07 3.80e-28 2.73e-30 
26587.16 1.12e-03 9.99e-01 5.40e-08 9.81e-28 1.06e-29 
27637.54 1.24e-03 9.99e-01 3.17e-08 4.21e-27 6.30e-29 
28986.97 1.52e-03 9.98e-01 1.39e-08 1.88e-26 9.67e-29 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
440.10 1.93e-22 2.10e-15 9.71e-09 1.32e-03 9.99e-01 
999.11 6.00e-24 7.43e-17 5.71e-10 2.50e-04 1.00e+00 
1267.34 2.36e-25 3.58e-18 4.31e-11 5.36e-05 1.00e+00 
1514.05 4.28e-26 6.86e-19 9.99e-12 2.16e-05 1.00e+00 
1808.80 8.35e-27 1.53e-19 2.78e-12 9.86e-06 1.00e+00 
1919.29 2.52e-27 5.11e-20 1.07e-12 5.39e-06 1.00e+00 
2160.92 8.45e-28 1.79e-20 4.17e-13 2.88e-06 1.00e+00 
2292.92 3.30e-28 7.76e-21 1.94e-13 1.73e-06 1.00e+00 
2432.98 2.26e-28 5.44e-21 1.46e-13 1.44e-06 1.00e+00 
2581.60 1.90e-28 4.47e-21 1.23e-13 1.27e-06 1.00e+00 
2739.29 1.43e-28 3.43e-21 9.94e-14 1.11e-06 1.00e+00 
2906.62 1.20e-28 2.96e-21 8.91e-14 1.04e-06 1.00e+00 
3084.17 1.03e-28 2.62e-21 8.28e-14 9.98e-07 1.00e+00 
3272.56 8.30e-29 2.22e-21 7.56e-14 9.60e-07 1.00e+00 
3472.46 6.95e-29 1.99e-21 7.30e-14 9.64e-07 1.00e+00 
3684.57 5.72e-29 1.78e-21 7.09e-14 9.78e-07 1.00e+00 
3909.64 4.31e-29 1.51e-21 6.81e-14 9.95e-07 1.00e+00 
4148.46 4.11e-29 1.54e-21 7.34e-14 1.07e-06 1.00e+00 
4401.86 6.07e-29 2.17e-21 9.78e-14 1.28e-06 1.00e+00 
4670.75 6.81e-29 2.51e-21 1.14e-13 1.44e-06 1.00e+00 
4956.05 6.00e-29 2.40e-21 1.16e-13 1.49e-06 1.00e+00 
5258.79 4.82e-29 2.12e-21 1.11e-13 1.50e-06 1.00e+00 
5580.02 4.16e-29 2.01e-21 1.14e-13 1.57e-06 1.00e+00 
5920.87 4.33e-29 2.19e-21 1.27e-13 1.72e-06 1.00e+00 
6282.54 4.73e-29 2.51e-21 1.50e-13 1.95e-06 1.00e+00 
