#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] c0 c1 c2 c3 c4
4.4019e+03 9.6004e-29 4.5683e-21 1.5873e-13 1.2563e-06 1.0000e+00
4.6708e+03 8.1334e-29 4.0072e-21 1.4471e-13 1.1959e-06 1.0000e+00
4.9561e+03 4.5298e-29 2.5524e-21 1.0616e-13 1.0188e-06 1.0000e+00
5.2588e+03 2.5945e-29 1.6683e-21 7.9517e-14 8.7897e-07 1.0000e+00
5.5800e+03 1.9358e-29 1.3376e-21 6.8564e-14 8.1575e-07 1.0000e+00
5.9209e+03 1.6601e-29 1.2052e-21 6.4489e-14 7.9494e-07 1.0000e+00
6.2825e+03 1.5265e-29 1.1552e-21 6.3678e-14 7.9726e-07 1.0000e+00
6.6663e+03 1.5749e-29 1.2111e-21 6.6943e-14 8.2657e-07 1.0000e+00
7.0735e+03 1.7379e-29 1.3470e-21 7.3750e-14 8.8139e-07 1.0000e+00
7.5056e+03 1.9032e-29 1.5152e-21 8.3098e-14 9.5953e-07 1.0000e+00
7.9641e+03 2.3470e-29 1.8816e-21 1.0103e-13 1.0921e-06 1.0000e+00
8.4505e+03 3.5664e-29 2.7517e-21 1.3814e-13 1.3249e-06 1.0000e+00
8.9668e+03 6.6258e-29 4.8082e-21 2.1874e-13 1.7583e-06 1.0000e+00
9.5145e+03 1.7532e-28 1.1482e-20 4.4866e-13 2.7300e-06 1.0000e+00
1.0096e+04 8.2113e-28 4.4981e-20 1.3794e-12 5.3775e-06 9.9999e-01
1.0712e+04 8.5239e-27 3.6430e-19 7.9173e-12 1.5353e-05 9.9998e-01
1.1367e+04 4.0622e-25 1.1878e-17 1.4629e-10 8.6049e-05 9.9991e-01
1.2062e+04 1.4416e-22 2.6753e-15 1.3435e-08 1.2083e-03 9.9879e-01
1.2794e+04 1.6101e-19 2.0721e-12 3.2801e-06 2.9378e-02 9.7062e-01
1.3528e+04 1.3462e-16 1.3343e-09 5.9838e-04 4.7245e-01 5.2695e-01
1.4194e+04 2.6306e-14 1.9972e-07 2.0343e-02 9.5857e-01 2.1087e-02
1.4758e+04 4.6352e-12 2.5385e-05 4.2069e-01 5.7919e-01 9.2823e-05
1.5240e+04 2.2590e-10 5.9416e-04 9.8222e-01 1.7186e-02 7.0872e-09
1.5647e+04 9.2021e-09 7.9183e-03 9.9194e-01 1.3827e-04 8.5087e-14
1.5960e+04 6.3828e-07 1.2793e-01 8.7207e-01 5.2265e-07 2.2140e-19
1.6187e+04 2.1995e-05 8.0293e-01 1.9705e-01 2.1256e-10 1.9349e-26
1.6354e+04 1.5987e-04 9.9301e-01 6.8281e-03 7.2066e-15 6.0430e-35
1.6484e+04 1.1026e-03 9.9878e-01 1.1859e-04 4.2896e-20 8.4078e-45
1.6593e+04 6.1364e-03 9.9386e-01 2.3742e-06 3.2801e-25 0.0000e+00
1.6692e+04 2.6480e-02 9.7352e-01 6.6408e-08 6.2576e-30 0.0000e+00
1.6788e+04 5.3652e-02 9.4635e-01 9.1646e-09 1.3769e-32 0.0000e+00
1.6888e+04 8.5744e-02 9.1426e-01 2.2204e-09 1.7269e-34 0.0000e+00
1.6999e+04 1.1876e-01 8.8124e-01 7.7301e-10 6.7036e-36 0.0000e+00
1.7146e+04 1.6579e-01 8.3421e-01 2.4720e-10 2.0787e-37 0.0000e+00
1.7416e+04 3.1769e-01 6.8231e-01 2.2614e-11 1.9335e-40 0.0000e+00
1.7888e+04 6.4250e-01 3.5750e-01 4.1751e-13 4.2039e-45 0.0000e+00
1.8532e+04 8.9754e-01 1.0246e-01 2.8161e-15 0.0000e+00 0.0000e+00
1.9260e+04 9.7442e-01 2.5576e-02 2.0371e-17 0.0000e+00 0.0000e+00
2.0034e+04 9.9242e-01 7.5772e-03 2.7542e-19 0.0000e+00 0.0000e+00
2.0838e+04 9.9775e-01 2.2482e-03 3.9183e-21 0.0000e+00 0.0000e+00
2.1648e+04 9.9920e-01 7.9692e-04 1.0431e-22 0.0000e+00 0.0000e+00
2.2448e+04 9.9970e-01 3.0014e-04 3.1310e-24 0.0000e+00 0.0000e+00
2.3246e+04 9.9987e-01 1.3060e-04 1.4588e-25 0.0000e+00 0.0000e+00
2.4052e+04 9.9994e-01 6.1325e-05 8.9917e-27 0.0000e+00 0.0000e+00
2.4868e+04 9.9997e-01 3.1920e-05 7.9407e-28 0.0000e+00 0.0000e+00
2.5699e+04 9.9998e-01 1.5023e-05 4.9294e-29 0.0000e+00 0.0000e+00
2.6588e+04 9.9999e-01 9.0853e-06 6.2584e-30 0.0000e+00 0.0000e+00
2.7638e+04 1.0000e+00 4.5030e-06 3.4624e-31 0.0000e+00 0.0000e+00
2.8987e+04 1.0000e+00 1.9042e-06 8.3820e-33 0.0000e+00 0.0000e+00
3.0652e+04 1.0000e+00 2.4950e-06 4.7126e-33 0.0000e+00 0.0000e+00
3.2516e+04 9.9999e-01 7.0283e-06 1.8977e-32 0.0000e+00 0.0000e+00
3.4459e+04 9.9994e-01 6.0895e-05 2.6647e-30 0.0000e+00 0.0000e+00
3.6371e+04 9.9987e-01 1.3113e-04 9.3958e-30 0.0000e+00 0.0000e+00
3.8150e+04 9.9982e-01 1.8062e-04 1.3755e-29 0.0000e+00 0.0000e+00
3.9750e+04 9.9976e-01 2.3616e-04 2.1904e-29 0.0000e+00 0.0000e+00
4.1174e+04 9.9964e-01 3.6415e-04 6.1580e-29 0.0000e+00 0.0000e+00
4.2468e+04 9.9997e-01 2.9721e-05 1.2276e-32 0.0000e+00 0.0000e+00
4.3688e+04 9.9993e-01 6.9237e-05 1.1074e-31 0.0000e+00 0.0000e+00
4.4884e+04 1.0000e+00 1.7724e-06 5.5992e-37 0.0000e+00 0.0000e+00
4.6084e+04 9.9968e-01 3.2381e-04 6.2588e-30 0.0000e+00 0.0000e+00
