#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    6.737631E+04   1.0000E-099   1.0000E+000   5.1573E-009   1.5185E-024
    6.867574E+04   1.0000E-099   1.0000E+000   4.8374E-009   1.4025E-024
    6.935606E+04   1.0000E-099   1.0000E+000   4.6458E-009   1.3239E-024
    6.969874E+04   1.0000E-099   1.0000E+000   4.3898E-009   1.2155E-024
    6.987071E+04   1.0000E-099   1.0000E+000   4.1509E-009   1.0796E-024
    6.995686E+04   1.0000E-099   1.0000E+000   3.5475E-009   7.9548E-025
    6.999782E+04   1.0000E-099   1.0000E+000   2.5200E-009   3.8266E-025
    6.999997E+04   1.0000E-099   1.0000E+000   2.3064E-009   3.1047E-025
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.772128E+02   1.0000E-099   7.2494E-013   1.0853E-005   9.9999E-001
    8.825108E+02   1.0000E-099   7.2494E-013   1.0853E-005   9.9999E-001
    8.985975E+02   1.0000E-099   7.2494E-013   1.0853E-005   9.9999E-001
    9.316560E+02   1.0000E-099   7.2495E-013   1.0853E-005   9.9999E-001
    9.893707E+02   1.0000E-099   7.2495E-013   1.0853E-005   9.9999E-001
    1.050609E+03   1.0000E-099   7.2491E-013   1.0853E-005   9.9999E-001
    1.115637E+03   1.0000E-099   7.2477E-013   1.0853E-005   9.9999E-001
    1.184691E+03   1.0000E-099   7.2531E-013   1.0868E-005   9.9999E-001
    1.258018E+03   1.0000E-099   7.2631E-013   1.0898E-005   9.9999E-001
    1.335885E+03   1.0000E-099   7.2890E-013   1.0969E-005   9.9999E-001
    1.418571E+03   1.0000E-099   6.7942E-013   1.0846E-005   9.9999E-001
    1.506375E+03   1.0000E-099   2.9224E-013   8.6192E-006   9.9999E-001
    1.599613E+03   1.0000E-099   2.6328E-013   8.2935E-006   9.9999E-001
    1.698623E+03   1.0000E-099   1.8389E-013   7.3508E-006   9.9999E-001
    1.803761E+03   1.0000E-099   1.7061E-013   7.3086E-006   9.9999E-001
    1.915407E+03   1.0000E-099   1.0430E-013   6.2027E-006   9.9999E-001
    2.033963E+03   1.0000E-099   8.7775E-014   5.8910E-006   9.9999E-001
    2.159857E+03   1.0000E-099   5.7971E-014   5.1272E-006   9.9999E-001
    2.293544E+03   1.0000E-099   3.8016E-014   4.3818E-006   1.0000E+000
    2.435505E+03   1.0000E-099   2.5951E-014   3.7769E-006   1.0000E+000
    2.586253E+03   1.0000E-099   1.6061E-014   3.1755E-006   1.0000E+000
    2.746332E+03   1.0000E-099   1.2415E-014   2.8680E-006   1.0000E+000
    2.916319E+03   1.0000E-099   9.8430E-015   2.6153E-006   1.0000E+000
    3.096828E+03   1.0000E-099   7.6831E-015   2.3252E-006   1.0000E+000
    3.288509E+03   1.0000E-099   6.3221E-015   2.0849E-006   1.0000E+000
    3.492055E+03   1.0000E-099   5.4743E-015   1.8930E-006   1.0000E+000
    3.708199E+03   1.0000E-099   4.6638E-015   1.6886E-006   1.0000E+000
    3.937722E+03   1.0000E-099   3.7994E-015   1.4671E-006   1.0000E+000
    4.181452E+03   1.0000E-099   3.4511E-015   1.3201E-006   1.0000E+000
    4.440267E+03   1.0000E-099   3.7084E-015   1.3632E-006   1.0000E+000
    4.715102E+03   1.0000E-099   3.2410E-015   1.3107E-006   1.0000E+000
    5.006948E+03   1.0000E-099   2.1526E-015   1.0713E-006   1.0000E+000
    5.316859E+03   1.0000E-099   1.8144E-015   9.9366E-007   1.0000E+000
    5.645951E+03   1.0000E-099   1.6513E-015   9.4632E-007   1.0000E+000
    5.995413E+03   1.0000E-099   1.5368E-015   9.0341E-007   1.0000E+000
    6.366506E+03   1.0000E-099   1.4161E-015   8.5058E-007   1.0000E+000
    6.760567E+03   1.0000E-099   1.3554E-015   8.2169E-007   1.0000E+000
    7.179019E+03   1.0000E-099   1.2927E-015   7.8893E-007   1.0000E+000
    7.623372E+03   1.0000E-099   1.1637E-015   7.1935E-007   1.0000E+000
    8.095229E+03   1.0000E-099   1.0951E-015   6.7363E-007   1.0000E+000
    8.596292E+03   1.0000E-099   1.0999E-015   6.5434E-007   1.0000E+000
    9.128368E+03   1.0000E-099   1.1343E-015   6.2551E-007   1.0000E+000
    9.693378E+03   1.0000E-099   1.3013E-015   6.1041E-007   1.0000E+000
    1.029336E+04   1.0000E-099   1.8404E-015   6.4637E-007   1.0000E+000
    1.093048E+04   1.0000E-099   3.4015E-015   7.1376E-007   1.0000E+000
    1.160703E+04   1.0000E-099   9.2516E-015   8.8486E-007   1.0000E+000
    1.232546E+04   1.0000E-099   3.5005E-014   1.2267E-006   1.0000E+000
    1.308836E+04   1.0000E-099   1.1914E-013   1.8976E-006   1.0000E+000
    1.389955E+04   1.0000E-099   5.0021E-013   3.6772E-006   1.0000E+000
    1.474312E+04   1.0000E-099   1.0597E-011   2.1250E-005   9.9998E-001
    1.540367E+04   1.0000E-099   1.1514E-008   1.6972E-003   9.9830E-001
    1.581332E+04   1.0000E-099   5.5165E-006   6.9227E-002   9.3077E-001
    1.611284E+04   1.0000E-099   8.3651E-004   7.9250E-001   2.0667E-001
    1.636570E+04   1.0000E-099   2.5666E-002   9.7245E-001   1.8805E-003
    1.654730E+04   1.0000E-099   1.9535E-001   8.0461E-001   4.7328E-005
    1.669441E+04   1.0000E-099   6.4356E-001   3.5643E-001   9.0386E-007
    1.681682E+04   1.0000E-099   9.4446E-001   5.5538E-002   4.3969E-009
    1.692241E+04   1.0000E-099   9.9364E-001   6.3586E-003   1.5715E-011
