#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    5.565558E+04   1.0000E-099   9.9937E-001   6.2721E-004   4.1565E-020   8.4525E-052
    5.672959E+04   1.0000E-099   9.9941E-001   5.8883E-004   3.8805E-020   7.8940E-052
    5.782432E+04   1.0000E-099   9.9944E-001   5.5511E-004   3.6781E-020   7.5604E-052
    5.894013E+04   1.0000E-099   9.9948E-001   5.2002E-004   3.4899E-020   7.2985E-052
    6.007747E+04   1.0000E-099   9.9952E-001   4.8078E-004   3.2759E-020   6.9859E-052
    6.123675E+04   1.0000E-099   9.9956E-001   4.3604E-004   3.0108E-020   6.5334E-052
    6.241838E+04   1.0000E-099   9.9961E-001   3.9229E-004   2.7344E-020   6.0134E-052
    6.362274E+04   1.0000E-099   9.9966E-001   3.4424E-004   2.4114E-020   5.3482E-052
    6.485024E+04   1.0000E-099   9.9970E-001   3.0200E-004   2.1165E-020   4.7101E-052
    6.610128E+04   1.0000E-099   9.9974E-001   2.5698E-004   1.7995E-020   4.0071E-052
    6.737631E+04   1.0000E-099   9.9977E-001   2.2868E-004   1.5819E-020   3.4859E-052
    6.867574E+04   1.0000E-099   9.9980E-001   2.0433E-004   1.3930E-020   3.0139E-052
    6.935606E+04   1.0000E-099   9.9982E-001   1.8498E-004   1.2318E-020   2.6140E-052
    6.969874E+04   1.0000E-099   9.9982E-001   1.7811E-004   1.1534E-020   2.3752E-052
    6.987071E+04   1.0000E-099   9.9984E-001   1.5741E-004   9.5516E-021   1.8300E-052
    6.995686E+04   1.0000E-099   9.9986E-001   1.3611E-004   7.1139E-021   1.1457E-052
    6.999782E+04   1.0000E-099   9.9989E-001   1.0902E-004   3.8561E-021   4.4365E-053
    6.999997E+04   1.0000E-099   9.9990E-001   1.0459E-004   3.2802E-021   3.5236E-053
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.772128E+02   1.0000E-099   1.4925E-018   1.2352E-011   1.8676E-005   9.9998E-001
    8.825108E+02   1.0000E-099   1.4925E-018   1.2352E-011   1.8676E-005   9.9998E-001
    8.985975E+02   1.0000E-099   1.4925E-018   1.2352E-011   1.8676E-005   9.9998E-001
    9.316560E+02   1.0000E-099   1.4925E-018   1.2352E-011   1.8676E-005   9.9998E-001
    9.893707E+02   1.0000E-099   1.4925E-018   1.2352E-011   1.8676E-005   9.9998E-001
    1.050609E+03   1.0000E-099   1.4924E-018   1.2351E-011   1.8675E-005   9.9998E-001
    1.115637E+03   1.0000E-099   1.4912E-018   1.2343E-011   1.8668E-005   9.9998E-001
    1.184691E+03   1.0000E-099   1.4882E-018   1.2314E-011   1.8644E-005   9.9998E-001
    1.258018E+03   1.0000E-099   1.4811E-018   1.2249E-011   1.8589E-005   9.9998E-001
    1.335885E+03   1.0000E-099   1.4665E-018   1.2110E-011   1.8471E-005   9.9998E-001
    1.418571E+03   1.0000E-099   1.2213E-018   1.0464E-011   1.7118E-005   9.9998E-001
    1.506375E+03   1.0000E-099   1.8741E-019   2.4906E-012   8.3110E-006   9.9999E-001
    1.599613E+03   1.0000E-099   1.5358E-019   2.1535E-012   7.7355E-006   9.9999E-001
    1.698623E+03   1.0000E-099   7.4734E-020   1.2620E-012   5.9577E-006   9.9999E-001
    1.803761E+03   1.0000E-099   6.0570E-020   1.0658E-012   5.5002E-006   9.9999E-001
    1.915407E+03   1.0000E-099   2.2532E-020   5.1231E-013   3.8750E-006   1.0000E+000
    2.033963E+03   1.0000E-099   1.5656E-020   3.8980E-013   3.4092E-006   1.0000E+000
    2.159857E+03   1.0000E-099   6.8304E-021   2.1128E-013   2.5608E-006   1.0000E+000
    2.293544E+03   1.0000E-099   3.0851E-021   1.1878E-013   1.9561E-006   1.0000E+000
    2.435505E+03   1.0000E-099   1.5328E-021   7.1891E-014   1.5469E-006   1.0000E+000
    2.586253E+03   1.0000E-099   6.1206E-022   3.6880E-014   1.1401E-006   1.0000E+000
    2.746332E+03   1.0000E-099   3.8398E-022   2.6434E-014   9.7750E-007   1.0000E+000
    2.916319E+03   1.0000E-099   2.5254E-022   1.9604E-014   8.5166E-007   1.0000E+000
    3.096828E+03   1.0000E-099   1.7097E-022   1.5038E-014   7.4824E-007   1.0000E+000
    3.288509E+03   1.0000E-099   1.3213E-022   1.2786E-014   6.8594E-007   1.0000E+000
    3.492055E+03   1.0000E-099   1.1456E-022   1.1864E-014   6.5290E-007   1.0000E+000
    3.708199E+03   1.0000E-099   9.9765E-023   1.1131E-014   6.2249E-007   1.0000E+000
    3.937722E+03   1.0000E-099   8.2225E-023   1.0102E-014   5.8332E-007   1.0000E+000
    4.181452E+03   1.0000E-099   8.4579E-023   1.0807E-014   5.8986E-007   1.0000E+000
    4.440267E+03   1.0000E-099   9.5303E-023   1.1740E-014   6.1394E-007   1.0000E+000
    4.715102E+03   1.0000E-099   7.1579E-023   9.4724E-015   5.5732E-007   1.0000E+000
    5.006948E+03   1.0000E-099   3.8414E-023   6.2405E-015   4.5287E-007   1.0000E+000
    5.316859E+03   1.0000E-099   2.8835E-023   5.1105E-015   4.1147E-007   1.0000E+000
    5.645951E+03   1.0000E-099   2.5167E-023   4.6742E-015   3.9324E-007   1.0000E+000
    5.995413E+03   1.0000E-099   2.3319E-023   4.4823E-015   3.8349E-007   1.0000E+000
    6.366506E+03   1.0000E-099   2.1861E-023   4.3645E-015   3.7563E-007   1.0000E+000
    6.760567E+03   1.0000E-099   2.1266E-023   4.3315E-015   3.7247E-007   1.0000E+000
    7.179019E+03   1.0000E-099   2.0846E-023   4.3369E-015   3.7046E-007   1.0000E+000
    7.623372E+03   1.0000E-099   2.0071E-023   4.3756E-015   3.6725E-007   1.0000E+000
    8.095229E+03   1.0000E-099   2.0388E-023   4.5591E-015   3.7095E-007   1.0000E+000
    8.596292E+03   1.0000E-099   2.2556E-023   5.0116E-015   3.8567E-007   1.0000E+000
    9.128368E+03   1.0000E-099   2.8400E-023   6.1647E-015   4.2188E-007   1.0000E+000
    9.693378E+03   1.0000E-099   4.6443E-023   9.3079E-015   5.1076E-007   1.0000E+000
    1.029336E+04   1.0000E-099   1.1212E-022   1.8668E-014   7.1797E-007   1.0000E+000
    1.093048E+04   1.0000E-099   5.4929E-022   6.6184E-014   1.3764E-006   1.0000E+000
    1.160703E+04   1.0000E-099   6.6208E-021   4.7927E-013   4.0642E-006   1.0000E+000
    1.232546E+04   1.0000E-099   2.0631E-019   7.8412E-012   2.0927E-005   9.9998E-001
    1.308836E+04   1.0000E-099   4.3082E-018   9.3470E-011   9.3988E-005   9.9991E-001
    1.389955E+04   1.0000E-099   1.5194E-016   1.7857E-009   5.8422E-004   9.9942E-001
    1.474312E+04   1.0000E-099   1.6436E-013   5.6598E-007   2.0232E-002   9.7977E-001
    1.540367E+04   1.0000E-099   1.2291E-008   3.4245E-003   9.7571E-001   2.0862E-002
    1.581332E+04   1.0000E-099   5.5580E-006   1.6551E-001   8.3444E-001   3.8367E-005
    1.611284E+04   1.0000E-099   2.9519E-004   9.3028E-001   6.9425E-002   4.9126E-009
    1.636570E+04   1.0000E-099   4.7477E-003   9.9487E-001   3.8606E-004   7.6394E-015
    1.654730E+04   1.0000E-099   2.8055E-002   9.7194E-001   8.6276E-006   4.0048E-019
    1.669441E+04   1.0000E-099   1.2767E-001   8.7233E-001   2.5605E-007   4.9676E-023
    1.681682E+04   1.0000E-099   4.7761E-001   5.2239E-001   3.5631E-009   1.6933E-027
    1.692241E+04   1.0000E-099   8.4793E-001   1.5207E-001   2.3804E-011   2.5985E-032
    1.702116E+04   1.0000E-099   9.5975E-001   4.0248E-002   2.6346E-013   1.5824E-036
    1.711664E+04   1.0000E-099   9.8551E-001   1.4493E-002   9.2437E-015   1.1704E-039
    1.721561E+04   1.0000E-099   9.9369E-001   6.3083E-003   6.3641E-016   3.7513E-042
    1.732334E+04   1.0000E-099   9.9717E-001   2.8303E-003   5.0856E-017   1.7648E-044
    1.744562E+04   1.0000E-099   9.9870E-001   1.2996E-003   4.5286E-018   1.0793E-046
    1.759425E+04   1.0000E-099   9.9940E-001   5.9818E-004   4.1470E-019   7.1291E-049
    1.788224E+04   1.0000E-099   9.9981E-001   1.8878E-004   1.2465E-020   4.7697E-052
    1.867332E+04   1.0000E-099   9.9997E-001   2.7376E-005   3.5591E-023   9.5140E-056
    1.962851E+04   1.0000E-099   9.9999E-001   9.9170E-006   3.4683E-024   5.8864E-056
    2.067444E+04   1.0000E-099   9.9999E-001   7.5150E-006   8.2578E-024   1.5509E-055
