#NTIMES: 49
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
7964.05 5.7398e-07 2.9806e-02 8.2509e-01 1.4510e-01
8450.53 1.5577e-06 5.5069e-02 8.1574e-01 1.2919e-01
8966.72 5.3896e-06 1.2962e-01 7.6443e-01 1.0594e-01
9514.44 1.3829e-05 2.2853e-01 6.8696e-01 8.4489e-02
10095.62 3.1171e-05 3.3349e-01 6.0182e-01 6.4654e-02
10712.30 5.1441e-05 4.0766e-01 5.4170e-01 5.0591e-02
11366.65 5.9032e-05 4.5229e-01 5.0263e-01 4.5022e-02
12061.10 5.7595e-05 4.9532e-01 4.6329e-01 4.1333e-02
12793.43 6.3654e-05 5.0406e-01 4.5555e-01 4.0325e-02
13528.61 4.0487e-05 5.0626e-01 4.5220e-01 4.1496e-02
14194.74 2.8468e-05 4.7010e-01 4.8093e-01 4.8946e-02
14757.77 2.4479e-05 4.3590e-01 5.1357e-01 5.0507e-02
15240.48 2.4108e-05 4.2140e-01 5.3533e-01 4.3255e-02
15646.99 3.4043e-05 4.2354e-01 5.4459e-01 3.1841e-02
15960.30 6.3677e-05 5.9640e-01 3.8847e-01 1.5061e-02
16187.41 5.7425e-05 5.3189e-01 4.5356e-01 1.4492e-02
16354.17 5.7229e-05 4.8900e-01 4.9737e-01 1.3573e-02
16484.18 2.8717e-05 3.1441e-01 6.6645e-01 1.9110e-02
16593.12 3.4274e-05 4.0613e-01 5.7303e-01 2.0802e-02
16691.99 4.5346e-05 5.5538e-01 4.2786e-01 1.6711e-02
