#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
4401.86 9.93e-29 2.65e-20 1.20e-12 2.15e-06 7.74e-02 8.18e-01 1.04e-01 
4670.75 1.87e-28 4.81e-20 2.07e-12 3.35e-06 1.02e-01 8.25e-01 7.30e-02 
4956.05 1.62e-28 4.93e-20 2.29e-12 3.79e-06 1.11e-01 8.26e-01 6.33e-02 
5258.79 1.45e-28 4.73e-20 2.36e-12 4.07e-06 1.19e-01 8.26e-01 5.47e-02 
5580.02 2.00e-28 6.59e-20 3.33e-12 5.56e-06 1.48e-01 8.13e-01 3.95e-02 
5920.87 2.36e-28 8.68e-20 4.51e-12 7.28e-06 1.74e-01 7.96e-01 2.97e-02 
6282.54 3.22e-28 1.17e-19 6.12e-12 9.54e-06 2.07e-01 7.73e-01 2.06e-02 
6666.30 5.10e-28 1.96e-19 1.01e-11 1.44e-05 2.60e-01 7.27e-01 1.31e-02 
7073.50 1.08e-27 3.87e-19 1.90e-11 2.38e-05 3.42e-01 6.51e-01 6.63e-03 
7505.58 1.55e-27 5.95e-19 2.88e-11 3.36e-05 4.03e-01 5.93e-01 3.96e-03 
7964.05 3.75e-27 1.46e-18 6.63e-11 6.41e-05 5.38e-01 4.60e-01 1.29e-03 
8450.53 1.61e-26 5.86e-18 2.31e-10 1.59e-04 7.34e-01 2.66e-01 2.38e-04 
8966.72 6.83e-26 2.36e-17 7.93e-10 3.70e-04 8.84e-01 1.16e-01 2.71e-05 
9514.44 5.16e-25 1.57e-16 4.04e-09 1.05e-03 9.69e-01 3.00e-02 9.53e-07 
10095.62 8.94e-24 2.38e-15 3.98e-08 4.29e-03 9.92e-01 4.12e-03 9.51e-09 
10712.30 4.90e-22 9.76e-14 9.18e-07 2.91e-02 9.71e-01 2.21e-04 1.69e-11 
11366.65 8.01e-20 1.19e-11 5.20e-05 3.06e-01 6.94e-01 2.66e-06 3.85e-16 
12061.10 8.55e-18 9.76e-10 1.58e-03 9.44e-01 5.47e-02 4.71e-10 3.29e-23 
12793.43 7.54e-16 6.38e-08 3.08e-02 9.69e-01 5.59e-04 3.98e-15 1.05e-32 
13528.61 1.05e-13 5.48e-06 5.31e-01 4.69e-01 8.92e-07 9.64e-22 6.92e-39 
14194.74 1.46e-12 4.98e-05 9.76e-01 2.35e-02 1.43e-10 1.11e-29 1.51e-38 
14757.77 1.00e-11 2.19e-04 9.99e-01 1.16e-03 5.51e-14 8.09e-37 3.28e-38 
15240.48 7.23e-11 8.74e-04 9.99e-01 5.68e-05 2.11e-17 1.53e-36 6.43e-38 
15646.99 5.88e-10 3.48e-03 9.97e-01 3.82e-06 2.73e-20 2.75e-36 1.19e-37 
15960.30 5.21e-09 1.35e-02 9.87e-01 2.87e-07 4.40e-23 4.37e-36 1.94e-37 
16187.41 3.24e-08 4.44e-02 9.56e-01 3.17e-08 2.52e-25 8.27e-36 3.73e-37 
16354.17 1.26e-07 1.13e-01 8.87e-01 2.67e-09 1.11e-28 1.54e-35 7.07e-37 
16484.18 2.07e-07 1.59e-01 8.41e-01 7.96e-09 4.03e-27 2.66e-35 1.23e-36 
16593.12 3.42e-07 2.39e-01 7.61e-01 2.61e-10 7.48e-32 3.80e-35 1.77e-36 
16691.99 5.20e-07 3.23e-01 6.77e-01 1.19e-10 3.79e-32 4.62e-35 2.18e-36 
16788.59 7.05e-07 3.85e-01 6.15e-01 4.94e-11 1.14e-33 5.20e-35 2.46e-36 
16888.37 1.15e-06 5.51e-01 4.49e-01 5.22e-12 9.19e-36 5.67e-35 2.70e-36 
16998.79 1.36e-06 5.99e-01 4.01e-01 3.00e-12 4.07e-36 6.12e-35 2.94e-36 
17146.37 2.22e-06 7.63e-01 2.37e-01 3.51e-13 3.15e-36 6.48e-35 3.12e-36 
17415.23 3.55e-06 9.05e-01 9.47e-02 9.34e-15 3.17e-36 6.46e-35 3.15e-36 
17888.12 6.12e-06 9.78e-01 2.18e-02 4.31e-17 3.05e-36 6.12e-35 3.04e-36 
18532.37 1.07e-05 9.97e-01 3.25e-03 3.35e-20 2.90e-36 5.70e-35 2.90e-36 
19260.76 1.93e-05 9.99e-01 6.01e-04 2.72e-22 3.16e-36 6.10e-35 3.16e-36 
20034.10 2.55e-05 1.00e+00 1.66e-04 3.22e-25 4.11e-36 7.78e-35 4.11e-36 
20838.00 2.70e-05 1.00e+00 3.38e-05 1.42e-35 5.98e-36 1.11e-34 5.98e-36 
21647.97 3.12e-05 1.00e+00 1.49e-05 2.10e-35 8.95e-36 1.64e-34 8.95e-36 
22447.94 6.27e-05 1.00e+00 1.32e-06 3.29e-35 1.41e-35 2.57e-34 1.41e-35 
23245.88 8.32e-05 1.00e+00 1.43e-07 4.91e-35 2.12e-35 3.81e-34 2.12e-35 
24052.47 1.16e-04 1.00e+00 1.44e-07 6.58e-35 2.85e-35 5.08e-34 2.85e-35 
24867.72 1.51e-04 1.00e+00 2.55e-08 8.18e-35 3.56e-35 6.30e-34 3.56e-35 
25698.86 1.47e-04 1.00e+00 1.31e-08 1.04e-34 4.54e-35 7.96e-34 4.54e-35 
26587.16 2.40e-04 1.00e+00 1.73e-09 1.48e-34 6.51e-35 1.13e-33 6.51e-35 
27637.54 2.95e-04 1.00e+00 1.52e-09 2.63e-34 1.16e-34 2.00e-33 1.16e-34 
28986.97 2.42e-04 1.00e+00 1.77e-10 6.83e-34 3.04e-34 5.15e-33 3.04e-34 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.11e-18 1.64e-11 2.28e-05 1.02e-01 8.98e-01 2.00e-04 4.94e-11 
999.11 3.40e-20 7.56e-13 2.01e-06 2.57e-02 9.72e-01 2.51e-03 2.14e-08 
1267.34 1.34e-21 3.80e-14 1.70e-07 5.81e-03 9.72e-01 2.20e-02 2.59e-06 
1514.05 1.44e-22 4.98e-15 3.07e-08 2.05e-03 9.09e-01 8.87e-02 5.99e-05 
1808.80 1.99e-23 7.66e-16 6.37e-09 7.49e-04 7.56e-01 2.43e-01 8.04e-04 
1919.29 2.32e-24 1.10e-16 1.15e-09 2.24e-04 5.24e-01 4.70e-01 5.63e-03 
2160.92 1.01e-25 7.91e-18 1.17e-10 4.44e-05 2.96e-01 6.77e-01 2.73e-02 
2292.92 2.08e-26 1.44e-18 2.40e-11 1.42e-05 1.95e-01 7.49e-01 5.54e-02 
2432.98 6.19e-27 5.46e-19 1.09e-11 8.08e-06 1.45e-01 7.74e-01 8.02e-02 
2581.60 2.57e-27 2.61e-19 5.94e-12 5.29e-06 1.18e-01 7.84e-01 9.79e-02 
2739.29 1.17e-27 1.39e-19 3.54e-12 3.63e-06 9.49e-02 7.78e-01 1.27e-01 
2906.62 6.75e-28 9.48e-20 2.65e-12 3.02e-06 8.70e-02 7.76e-01 1.37e-01 
3084.17 4.29e-28 6.49e-20 1.98e-12 2.51e-06 8.02e-02 7.77e-01 1.42e-01 
3272.56 2.46e-28 4.21e-20 1.43e-12 2.06e-06 7.32e-02 7.76e-01 1.51e-01 
3472.46 1.81e-28 3.46e-20 1.29e-12 2.00e-06 7.41e-02 7.85e-01 1.41e-01 
3684.57 1.20e-28 2.66e-20 1.09e-12 1.87e-06 7.22e-02 7.92e-01 1.36e-01 
3909.64 7.10e-29 1.89e-20 8.81e-13 1.68e-06 6.89e-02 8.02e-01 1.29e-01 
4148.46 7.21e-29 1.99e-20 9.67e-13 1.89e-06 7.46e-02 8.15e-01 1.10e-01 
4401.86 1.34e-28 3.57e-20 1.63e-12 2.84e-06 9.44e-02 8.23e-01 8.26e-02 
4670.75 2.40e-28 6.37e-20 2.78e-12 4.37e-06 1.22e-01 8.19e-01 5.85e-02 
4956.05 2.38e-28 6.65e-20 3.07e-12 4.93e-06 1.35e-01 8.17e-01 4.79e-02 
5258.79 2.00e-28 6.22e-20 3.11e-12 5.23e-06 1.43e-01 8.15e-01 4.26e-02 
5580.02 2.57e-28 8.71e-20 4.46e-12 7.20e-06 1.75e-01 7.94e-01 3.09e-02 
5920.87 3.44e-28 1.13e-19 5.82e-12 9.14e-06 2.05e-01 7.73e-01 2.24e-02 
6282.54 4.22e-28 1.53e-19 8.05e-12 1.21e-05 2.41e-01 7.43e-01 1.62e-02 
6666.30 7.08e-28 2.59e-19 1.33e-11 1.83e-05 3.03e-01 6.88e-01 9.50e-03 
7073.50 1.36e-27 5.02e-19 2.48e-11 2.99e-05 3.88e-01 6.07e-01 5.08e-03 
7505.58 1.98e-27 7.67e-19 3.74e-11 4.20e-05 4.57e-01 5.40e-01 2.70e-03 
7964.05 4.67e-27 1.87e-18 8.56e-11 7.91e-05 5.96e-01 4.04e-01 8.77e-04 
8450.53 2.04e-26 7.90e-18 3.14e-10 2.01e-04 7.89e-01 2.11e-01 1.31e-04 
8966.72 8.85e-26 3.05e-17 1.02e-09 4.41e-04 9.10e-01 8.95e-02 1.41e-05 
9514.44 6.38e-25 2.04e-16 5.18e-09 1.24e-03 9.75e-01 2.38e-02 5.90e-07 
10095.62 1.24e-23 3.32e-15 5.41e-08 5.23e-03 9.92e-01 2.97e-03 3.89e-09 
10712.30 7.41e-22 1.48e-13 1.34e-06 3.70e-02 9.63e-01 1.47e-04 3.81e-12 
11366.65 1.16e-19 1.74e-11 7.20e-05 3.65e-01 6.35e-01 1.42e-06 1.14e-16 
12061.10 1.12e-17 1.30e-09 1.97e-03 9.59e-01 3.88e-02 2.54e-10 1.53e-23 
12793.43 9.78e-16 8.31e-08 3.76e-02 9.62e-01 3.87e-04 1.63e-15 2.42e-33 
13528.61 1.21e-13 6.44e-06 5.79e-01 4.21e-01 8.58e-07 9.12e-22 7.28e-39 
14194.74 1.55e-12 5.36e-05 9.80e-01 1.99e-02 7.90e-11 6.18e-30 1.59e-38 
14757.77 1.11e-11 2.44e-04 9.99e-01 9.04e-04 2.60e-14 8.47e-37 3.45e-38 
15240.48 7.70e-11 9.51e-04 9.99e-01 5.48e-05 2.35e-17 1.60e-36 6.77e-38 
15646.99 6.02e-10 3.55e-03 9.96e-01 3.20e-06 1.47e-20 2.88e-36 1.25e-37 
15960.30 6.28e-09 1.58e-02 9.84e-01 2.63e-07 4.99e-23 4.60e-36 2.04e-37 
16187.41 3.26e-08 4.62e-02 9.54e-01 3.23e-08 2.97e-25 8.70e-36 3.93e-37 
16354.17 1.11e-07 1.06e-01 8.94e-01 6.45e-09 4.60e-27 1.62e-35 7.45e-37 
16484.18 2.27e-07 1.79e-01 8.21e-01 6.86e-10 1.70e-30 2.80e-35 1.30e-36 
16593.12 3.70e-07 2.61e-01 7.39e-01 1.72e-10 3.26e-32 4.00e-35 1.87e-36 
16691.99 6.72e-07 4.06e-01 5.94e-01 3.13e-11 4.86e-34 4.90e-35 2.30e-36 
16788.59 8.46e-07 4.76e-01 5.24e-01 1.50e-11 1.11e-34 5.50e-35 2.61e-36 
16888.37 1.08e-06 5.54e-01 4.46e-01 4.49e-12 1.06e-35 6.00e-35 2.86e-36 
16998.79 1.74e-06 6.68e-01 3.32e-01 1.61e-12 3.14e-36 6.48e-35 3.11e-36 
17146.37 2.12e-06 7.73e-01 2.27e-01 2.65e-13 3.34e-36 6.85e-35 3.32e-36 
17415.23 3.35e-06 8.88e-01 1.12e-01 2.86e-14 3.37e-36 6.85e-35 3.35e-36 
17888.12 6.22e-06 9.72e-01 2.77e-02 2.56e-16 3.24e-36 6.50e-35 3.23e-36 
18532.37 1.15e-05 9.96e-01 4.05e-03 4.80e-19 3.08e-36 6.06e-35 3.08e-36 
19260.76 1.87e-05 9.99e-01 1.14e-03 7.57e-22 3.36e-36 6.48e-35 3.36e-36 
20034.10 2.09e-05 1.00e+00 5.82e-05 1.04e-35 4.37e-36 8.27e-35 4.37e-36 
20838.00 3.53e-05 1.00e+00 7.99e-06 1.51e-35 6.36e-36 1.19e-34 6.36e-36 
21647.97 4.08e-05 1.00e+00 4.17e-06 2.24e-35 9.51e-36 1.76e-34 9.51e-36 
22447.94 5.51e-05 1.00e+00 2.06e-06 3.51e-35 1.50e-35 2.74e-34 1.50e-35 
23245.88 1.04e-04 1.00e+00 2.24e-07 5.23e-35 2.25e-35 4.06e-34 2.25e-35 
24052.47 1.16e-04 1.00e+00 8.78e-08 6.99e-35 3.03e-35 5.41e-34 3.03e-35 
24867.72 7.31e-05 1.00e+00 1.05e-07 8.70e-35 3.79e-35 6.70e-34 3.79e-35 
25698.86 1.95e-04 1.00e+00 1.03e-08 1.10e-34 4.83e-35 8.46e-34 4.83e-35 
26587.16 2.17e-04 1.00e+00 2.33e-09 1.57e-34 6.92e-35 1.20e-33 6.92e-35 
27637.54 2.25e-04 1.00e+00 2.47e-09 2.80e-34 1.24e-34 2.12e-33 1.24e-34 
28986.97 2.15e-04 1.00e+00 1.43e-09 7.25e-34 3.24e-34 5.47e-33 3.24e-34 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.17e-18 1.81e-11 2.64e-05 1.11e-01 8.88e-01 2.50e-04 2.00e-10 
999.11 3.31e-20 6.65e-13 1.89e-06 2.55e-02 9.72e-01 2.28e-03 1.60e-08 
1267.34 1.28e-21 3.39e-14 1.59e-07 5.75e-03 9.73e-01 2.17e-02 2.33e-06 
1514.05 1.58e-22 4.90e-15 3.12e-08 2.13e-03 9.15e-01 8.27e-02 4.97e-05 
1808.80 2.11e-23 7.90e-16 6.79e-09 8.09e-04 7.73e-01 2.25e-01 6.60e-04 
1919.29 3.19e-24 1.29e-16 1.34e-09 2.61e-04 5.72e-01 4.24e-01 3.72e-03 
2160.92 2.29e-25 1.25e-17 1.75e-10 6.40e-05 3.69e-01 6.17e-01 1.34e-02 
2292.92 2.61e-26 1.57e-18 2.57e-11 1.54e-05 2.13e-01 7.41e-01 4.57e-02 
2432.98 8.99e-27 6.63e-19 1.28e-11 9.39e-06 1.66e-01 7.70e-01 6.41e-02 
2581.60 3.41e-27 3.20e-19 7.22e-12 6.29e-06 1.33e-01 7.81e-01 8.54e-02 
2739.29 1.71e-27 1.80e-19 4.50e-12 4.49e-06 1.12e-01 7.84e-01 1.05e-01 
2906.62 1.11e-27 1.29e-19 3.50e-12 3.84e-06 1.04e-01 7.86e-01 1.10e-01 
3084.17 6.42e-28 8.90e-20 2.69e-12 3.28e-06 9.69e-02 7.86e-01 1.17e-01 
3272.56 3.50e-28 5.84e-20 1.99e-12 2.75e-06 8.99e-02 7.87e-01 1.23e-01 
3472.46 2.48e-28 4.73e-20 1.77e-12 2.65e-06 8.99e-02 7.94e-01 1.16e-01 
3684.57 1.68e-28 3.61e-20 1.49e-12 2.45e-06 8.77e-02 8.02e-01 1.10e-01 
3909.64 9.99e-29 2.48e-20 1.16e-12 2.16e-06 8.28e-02 8.12e-01 1.05e-01 
4148.46 9.38e-29 2.53e-20 1.24e-12 2.37e-06 8.79e-02 8.20e-01 9.17e-02 
4401.86 1.72e-28 4.56e-20 2.10e-12 3.57e-06 1.11e-01 8.22e-01 6.69e-02 
4670.75 3.28e-28 8.01e-20 3.48e-12 5.36e-06 1.42e-01 8.11e-01 4.67e-02 
4956.05 3.03e-28 8.40e-20 3.91e-12 6.12e-06 1.56e-01 8.05e-01 3.96e-02 
5258.79 2.45e-28 7.91e-20 4.02e-12 6.58e-06 1.66e-01 7.99e-01 3.43e-02 
5580.02 3.53e-28 1.10e-19 5.59e-12 8.81e-06 2.02e-01 7.74e-01 2.40e-02 
5920.87 4.15e-28 1.40e-19 7.31e-12 1.12e-05 2.32e-01 7.50e-01 1.87e-02 
6282.54 5.29e-28 1.94e-19 1.03e-11 1.51e-05 2.76e-01 7.11e-01 1.23e-02 
6666.30 9.14e-28 3.25e-19 1.67e-11 2.23e-05 3.41e-01 6.52e-01 7.34e-03 
7073.50 1.74e-27 5.79e-19 2.83e-11 3.40e-05 4.28e-01 5.69e-01 3.69e-03 
7505.58 2.54e-27 9.51e-19 4.63e-11 5.03e-05 5.04e-01 4.94e-01 1.92e-03 
7964.05 6.01e-27 2.34e-18 1.07e-10 9.48e-05 6.47e-01 3.53e-01 5.64e-04 
8450.53 2.79e-26 1.02e-17 4.01e-10 2.41e-04 8.32e-01 1.68e-01 6.96e-05 
8966.72 1.16e-25 3.98e-17 1.31e-09 5.27e-04 9.29e-01 7.06e-02 8.04e-06 
9514.44 8.28e-25 2.63e-16 6.56e-09 1.45e-03 9.80e-01 1.86e-02 3.07e-07 
10095.62 1.72e-23 4.64e-15 7.33e-08 6.37e-03 9.91e-01 2.17e-03 1.94e-09 
10712.30 1.10e-21 2.20e-13 1.92e-06 4.63e-02 9.54e-01 1.01e-04 1.45e-12 
11366.65 1.69e-19 2.58e-11 1.01e-04 4.34e-01 5.66e-01 9.88e-07 4.31e-17 
12061.10 1.44e-17 1.69e-09 2.41e-03 9.69e-01 2.86e-02 7.96e-11 1.84e-24 
12793.43 1.23e-15 1.06e-07 4.49e-02 9.55e-01 2.93e-04 8.00e-16 1.36e-33 
13528.61 1.44e-13 7.66e-06 6.36e-01 3.64e-01 3.73e-07 1.61e-22 7.65e-39 
14194.74 1.65e-12 5.74e-05 9.84e-01 1.64e-02 4.68e-11 3.34e-30 1.67e-38 
14757.77 1.16e-11 2.53e-04 9.99e-01 7.77e-04 1.48e-14 8.87e-37 3.62e-38 
15240.48 8.33e-11 1.03e-03 9.99e-01 3.86e-05 8.12e-18 1.68e-36 7.12e-38 
15646.99 6.81e-10 4.01e-03 9.96e-01 2.72e-06 1.14e-20 3.03e-36 1.32e-37 
15960.30 5.81e-09 1.50e-02 9.85e-01 2.67e-07 5.01e-23 4.83e-36 2.15e-37 
16187.41 3.09e-08 4.62e-02 9.54e-01 2.82e-08 1.93e-25 9.14e-36 4.14e-37 
16354.17 1.28e-07 1.19e-01 8.81e-01 2.18e-09 6.92e-29 1.71e-35 7.85e-37 
16484.18 2.54e-07 1.93e-01 8.07e-01 1.49e-09 2.25e-28 2.95e-35 1.37e-36 
16593.12 3.95e-07 2.72e-01 7.28e-01 1.35e-10 2.14e-32 4.23e-35 1.98e-36 
16691.99 4.81e-07 3.24e-01 6.76e-01 7.17e-11 3.66e-33 5.16e-35 2.43e-36 
16788.59 6.92e-07 4.07e-01 5.93e-01 2.90e-11 2.94e-34 5.81e-35 2.76e-36 
16888.37 1.04e-06 5.74e-01 4.26e-01 6.12e-12 1.45e-35 6.35e-35 3.02e-36 
16998.79 1.51e-06 6.54e-01 3.46e-01 1.53e-12 3.32e-36 6.87e-35 3.30e-36 
17146.37 2.37e-06 7.88e-01 2.12e-01 2.69e-13 3.54e-36 7.28e-35 3.52e-36 
17415.23 3.33e-06 8.96e-01 1.04e-01 1.58e-14 3.57e-36 7.27e-35 3.56e-36 
17888.12 5.78e-06 9.75e-01 2.48e-02 7.18e-17 3.45e-36 6.89e-35 3.44e-36 
18532.37 1.12e-05 9.97e-01 3.00e-03 8.58e-20 3.28e-36 6.43e-35 3.28e-36 
19260.76 1.66e-05 1.00e+00 4.36e-04 3.44e-23 3.58e-36 6.89e-35 3.57e-36 
20034.10 1.54e-05 1.00e+00 1.63e-04 1.11e-35 4.64e-36 8.80e-35 4.64e-36 
20838.00 3.04e-05 1.00e+00 1.34e-05 1.60e-35 6.77e-36 1.26e-34 6.76e-36 
21647.97 3.61e-05 1.00e+00 4.87e-06 2.38e-35 1.01e-35 1.87e-34 1.01e-35 
22447.94 4.70e-05 1.00e+00 2.15e-06 3.73e-35 1.59e-35 2.91e-34 1.59e-35 
23245.88 7.53e-05 1.00e+00 3.70e-07 5.56e-35 2.39e-35 4.32e-34 2.39e-35 
24052.47 7.40e-05 1.00e+00 7.44e-07 7.44e-35 3.22e-35 5.76e-34 3.22e-35 
24867.72 7.62e-05 1.00e+00 3.32e-07 9.26e-35 4.02e-35 7.13e-34 4.02e-35 
25698.86 1.62e-04 1.00e+00 8.73e-09 1.18e-34 5.13e-35 9.02e-34 5.13e-35 
26587.16 1.58e-04 1.00e+00 1.32e-08 1.68e-34 7.36e-35 1.28e-33 7.36e-35 
27637.54 1.51e-04 1.00e+00 4.70e-09 2.98e-34 1.32e-34 2.26e-33 1.32e-34 
28986.97 2.60e-04 1.00e+00 1.10e-10 7.72e-34 3.44e-34 5.83e-33 3.44e-34 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 6.69e-19 1.01e-11 1.59e-05 8.21e-02 9.17e-01 3.81e-04 3.22e-10 
999.11 2.14e-20 4.93e-13 1.53e-06 2.23e-02 9.74e-01 3.28e-03 4.56e-08 
1267.34 9.91e-22 2.97e-14 1.48e-07 5.55e-03 9.69e-01 2.53e-02 4.24e-06 
1514.05 1.34e-22 4.50e-15 3.00e-08 2.08e-03 9.06e-01 9.17e-02 7.95e-05 
1808.80 1.86e-23 7.67e-16 6.89e-09 8.28e-04 7.73e-01 2.25e-01 7.21e-04 
1919.29 2.79e-24 1.29e-16 1.40e-09 2.65e-04 5.58e-01 4.37e-01 4.83e-03 
2160.92 2.29e-25 1.58e-17 2.31e-10 7.61e-05 3.69e-01 6.15e-01 1.61e-02 
2292.92 2.43e-26 1.58e-18 2.66e-11 1.58e-05 2.12e-01 7.38e-01 4.99e-02 
2432.98 8.77e-27 7.22e-19 1.44e-11 1.04e-05 1.71e-01 7.63e-01 6.57e-02 
2581.60 4.07e-27 3.78e-19 8.50e-12 7.23e-06 1.45e-01 7.77e-01 7.84e-02 
2739.29 1.99e-27 2.23e-19 5.65e-12 5.45e-06 1.25e-01 7.81e-01 9.44e-02 
2906.62 1.31e-27 1.59e-19 4.38e-12 4.63e-06 1.16e-01 7.82e-01 1.02e-01 
3084.17 8.32e-28 1.13e-19 3.41e-12 4.01e-06 1.11e-01 7.87e-01 1.03e-01 
3272.56 4.87e-28 7.50e-20 2.53e-12 3.38e-06 1.04e-01 7.92e-01 1.04e-01 
3472.46 3.44e-28 6.17e-20 2.29e-12 3.32e-06 1.05e-01 7.99e-01 9.58e-02 
3684.57 2.18e-28 4.72e-20 1.95e-12 3.12e-06 1.03e-01 8.06e-01 9.06e-02 
3909.64 1.19e-28 3.09e-20 1.46e-12 2.67e-06 9.56e-02 8.15e-01 8.96e-02 
4148.46 1.11e-28 3.16e-20 1.58e-12 2.94e-06 1.02e-01 8.22e-01 7.66e-02 
4401.86 2.17e-28 5.62e-20 2.60e-12 4.34e-06 1.27e-01 8.17e-01 5.53e-02 
4670.75 3.84e-28 9.62e-20 4.24e-12 6.38e-06 1.59e-01 8.01e-01 4.05e-02 
4956.05 3.62e-28 1.03e-19 4.86e-12 7.46e-06 1.78e-01 7.90e-01 3.22e-02 
5258.79 3.19e-28 9.72e-20 4.95e-12 7.94e-06 1.89e-01 7.83e-01 2.73e-02 
5580.02 4.18e-28 1.32e-19 6.82e-12 1.05e-05 2.24e-01 7.55e-01 2.05e-02 
5920.87 4.93e-28 1.74e-19 9.23e-12 1.37e-05 2.63e-01 7.22e-01 1.44e-02 
6282.54 6.91e-28 2.41e-19 1.28e-11 1.82e-05 3.10e-01 6.81e-01 9.44e-03 
6666.30 1.10e-27 4.00e-19 2.08e-11 2.68e-05 3.78e-01 6.16e-01 5.71e-03 
