#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           si1           si2           si3           si4           si5
    7.179019E+03    1.0000E-99    5.3171E-23    9.1037E-15    9.9773E-07    1.0000E+00
    7.623372E+03    1.0000E-99    4.9993E-23    8.7878E-15    9.2593E-07    1.0000E+00
    8.095229E+03    1.0000E-99    4.9727E-23    8.8049E-15    8.8166E-07    1.0000E+00
    8.596292E+03    1.0000E-99    5.4004E-23    9.3509E-15    8.6986E-07    1.0000E+00
    9.128368E+03    1.0000E-99    6.5591E-23    1.0762E-14    8.5911E-07    1.0000E+00
    9.693378E+03    1.0000E-99    1.0147E-22    1.4675E-14    8.8774E-07    1.0000E+00
    1.029336E+04    1.0000E-99    2.2852E-22    2.5950E-14    1.0239E-06    1.0000E+00
    1.093048E+04    1.0000E-99    9.8697E-22    7.3602E-14    1.3866E-06    1.0000E+00
    1.160703E+04    1.0000E-99    9.9382E-21    3.9350E-13    2.6427E-06    1.0000E+00
    1.232546E+04    1.0000E-99    2.4267E-19    4.4220E-12    8.7676E-06    9.9999E-01
    1.308836E+04    1.0000E-99    4.2283E-18    4.1099E-11    3.1114E-05    9.9997E-01
    1.389955E+04    1.0000E-99    1.2456E-16    6.2650E-10    1.5715E-04    9.9984E-01
    1.474312E+04    1.0000E-99    1.1077E-13    1.5410E-07    4.0960E-03    9.9590E-01
    1.540367E+04    1.0000E-99    5.6457E-08    5.0252E-03    8.4143E-01    1.5355E-01
    1.581332E+04    1.0000E-99    3.9650E-05    3.0298E-01    6.9658E-01    3.9412E-04
    1.611284E+04    1.0000E-99    1.4987E-03    9.7437E-01    2.4135E-02    3.1400E-08
    1.636570E+04    1.0000E-99    2.8586E-02    9.7133E-01    8.0550E-05    5.0242E-14
    1.654730E+04    1.0000E-99    1.7259E-01    8.2741E-01    1.1089E-06    2.5100E-18
    1.669441E+04    1.0000E-99    5.4497E-01    4.5503E-01    1.4748E-08    2.0973E-22
    1.681682E+04    1.0000E-99    8.9360E-01    1.0640E-01    5.7303E-11    3.1459E-27
    1.692241E+04    1.0000E-99    9.8262E-01    1.7383E-02    1.5305E-13    3.1118E-32
    1.702116E+04    1.0000E-99    9.9616E-01    3.8364E-03    1.0522E-15    1.7802E-36
    1.711664E+04    1.0000E-99    9.9871E-01    1.2899E-03    2.7749E-17    1.3478E-39
    1.721561E+04    1.0000E-99    9.9946E-01    5.4064E-04    1.5523E-18    4.5972E-42
    1.732334E+04    1.0000E-99    9.9976E-01    2.3622E-04    1.0354E-19    2.2856E-44
    1.744562E+04    1.0000E-99    9.9989E-01    1.0635E-04    7.8171E-21    1.4797E-46
    1.759425E+04    1.0000E-99    9.9995E-01    4.8178E-05    6.0953E-22    1.0339E-48
    1.788224E+04    1.0000E-99    9.9999E-01    1.4914E-05    1.4530E-23    7.4766E-52
    1.867332E+04    1.0000E-99    1.0000E+00    2.1061E-06    2.7981E-26    1.7590E-56
    1.962851E+04    1.0000E-99    1.0000E+00    7.5066E-07    1.7125E-27    4.3200E-56
    2.067444E+04    1.0000E-99    1.0000E+00    5.6194E-07    3.5759E-27    2.1457E-55
    2.182447E+04    1.0000E-99    1.0000E+00    5.2914E-07    8.7847E-27    6.6143E-55
    2.306690E+04    1.0000E-99    1.0000E+00    7.6177E-07    3.2353E-26    3.0980E-54
    2.438107E+04    1.0000E-99    1.0000E+00    1.1938E-06    9.5411E-26    1.0010E-53
    2.587845E+04    1.0000E-99    1.0000E+00    1.7564E-06    2.0049E-25    1.8031E-53
    2.749199E+04    1.0000E-99    1.0000E+00    3.1571E-06    4.1153E-25    3.0350E-53
    2.896661E+04    1.0000E-99    1.0000E+00    3.5764E-06    2.8868E-25    1.3184E-53
    3.023928E+04    1.0000E-99    1.0000E+00    2.7972E-06    1.2646E-25    3.0559E-54
    3.138852E+04    1.0000E-99    1.0000E+00    3.2543E-06    1.2635E-25    2.3267E-54
    3.250795E+04    1.0000E-99    1.0000E+00    3.9801E-06    1.4192E-25    2.1938E-54
    3.365620E+04    1.0000E-99    9.9999E-01    5.9599E-06    2.2546E-25    3.3491E-54
    3.486705E+04    1.0000E-99    9.9999E-01    8.0128E-06    2.8742E-25    3.8848E-54
    3.613166E+04    1.0000E-99    9.9999E-01    1.0690E-05    3.7968E-25    4.8009E-54
    3.742115E+04    1.0000E-99    9.9999E-01    1.4019E-05    5.1456E-25    6.2329E-54
    3.871394E+04    1.0000E-99    9.9998E-01    1.7473E-05    6.7056E-25    7.7721E-54
    3.997047E+04    1.0000E-99    9.9998E-01    1.8007E-05    6.0782E-25    6.2139E-54
    4.112379E+04    1.0000E-99    9.9998E-01    1.8824E-05    5.7961E-25    5.3786E-54
    4.218343E+04    1.0000E-99    9.9998E-01    2.1009E-05    6.3170E-25    5.5222E-54
    4.320753E+04    1.0000E-99    9.9998E-01    2.3390E-05    6.7818E-25    5.5638E-54
    4.423621E+04    1.0000E-99    9.9998E-01    2.4945E-05    6.7196E-25    5.0988E-54
    4.529664E+04    1.0000E-99    9.9998E-01    2.4905E-05    6.0763E-25    4.2131E-54
    4.639486E+04    1.0000E-99    9.9998E-01    2.3279E-05    5.1685E-25    3.2478E-54
    4.752261E+04    1.0000E-99    9.9998E-01    2.1172E-05    4.5056E-25    2.5675E-54
    4.867617E+04    1.0000E-99    9.9998E-01    1.9119E-05    4.1153E-25    2.1269E-54
    4.985675E+04    1.0000E-99    9.9998E-01    1.7361E-05    3.9274E-25    1.8391E-54
    5.106564E+04    1.0000E-99    9.9998E-01    1.5975E-05    3.8783E-25    1.6472E-54
    5.230378E+04    1.0000E-99    9.9999E-01    1.4945E-05    3.9218E-25    1.5198E-54
    5.357136E+04    1.0000E-99    9.9999E-01    1.4225E-05    4.0355E-25    1.4453E-54
    5.486695E+04    1.0000E-99    9.9999E-01    1.3781E-05    4.2142E-25    1.4200E-54
    5.618695E+04    1.0000E-99    9.9999E-01    1.3594E-05    4.4706E-25    1.4476E-54
    5.752536E+04    1.0000E-99    9.9999E-01    1.3649E-05    4.8210E-25    1.5327E-54
    5.887450E+04    1.0000E-99    9.9999E-01    1.3889E-05    5.2511E-25    1.6670E-54
