#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8
6.468731e+03 3.677493e-33 3.581398e-24 8.315940e-17 3.097226e-10 2.487390e-05 4.028611e-02 7.428906e-01 2.162144e-01 5.839638e-04 
6.863867e+03 1.054042e-32 1.043250e-23 2.406669e-16 7.986255e-10 5.180274e-05 6.295471e-02 7.914307e-01 1.453355e-01 2.273564e-04 
7.283139e+03 6.312584e-32 6.347849e-23 1.456479e-15 3.879241e-09 1.742132e-04 1.258990e-01 8.075875e-01 6.629976e-02 3.949773e-05 
7.728022e+03 6.965328e-31 6.931841e-22 1.537060e-14 2.936823e-08 7.735533e-04 2.732552e-01 7.065790e-01 1.938906e-02 3.204721e-06 
8.200081e+03 8.763594e-30 8.273323e-21 1.740462e-13 2.218476e-07 3.186761e-03 5.086562e-01 4.841426e-01 4.014094e-03 1.636279e-07 
8.700974e+03 1.885309e-28 1.650379e-19 3.289012e-12 2.352231e-06 1.474182e-02 7.928868e-01 1.920548e-01 3.142181e-04 1.894118e-09 
9.232464e+03 1.069207e-26 8.110179e-18 1.467122e-10 4.374029e-05 8.019053e-02 8.899934e-01 2.976770e-02 4.617031e-06 1.816437e-12 
9.796417e+03 1.671281e-24 9.940954e-16 1.547853e-08 1.307669e-03 4.370017e-01 5.604296e-01 1.260967e-03 8.139573e-09 7.939420e-17 
1.039482e+04 2.626139e-22 1.183205e-13 1.591349e-06 2.539563e-02 9.069867e-01 6.761174e-02 4.328800e-06 4.205120e-13 3.112613e-23 
1.102978e+04 5.849044e-20 1.947702e-11 2.232731e-04 3.693508e-01 6.294402e-01 9.857271e-04 4.833626e-10 1.490467e-19 1.389519e-32 
1.170352e+04 4.518720e-18 1.107625e-09 9.998035e-03 9.547143e-01 3.528718e-02 4.312878e-07 4.538324e-16 9.998035e-29 2.078023e-45 
1.241868e+04 1.781101e-16 3.369651e-08 2.246434e-01 7.750196e-01 3.369651e-04 1.469809e-11 1.189005e-23 5.648176e-40 6.418382e-61 
1.316817e+04 1.094240e-15 1.897905e-07 9.109943e-01 8.900519e-02 3.115182e-07 2.931936e-17 9.031409e-33 3.979056e-53 9.293189e-79 
1.388905e+04 2.131784e-15 3.358565e-07 9.975139e-01 2.485740e-03 6.314907e-11 1.158403e-23 1.166448e-42 4.142901e-67 1.705427e-97 
1.450043e+04 4.662822e-15 6.412739e-07 9.999525e-01 4.689994e-05 5.923631e-15 1.342327e-30 2.461839e-53 3.608524e-82 1.217333e-117 
1.501511e+04 1.885902e-14 1.926171e-06 9.999979e-01 1.416104e-07 8.053675e-21 1.147649e-40 8.322130e-69 5.791934e-104 9.328840e-147 
1.546584e+04 2.056801e-12 5.308661e-05 9.999469e-01 1.073114e-13 5.641977e-35 7.820723e-65 7.788204e-106 5.739533e-156 4.715197e-216 
