#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
21647.97 9.44e-06 8.94e-01 1.06e-01 1.41e-15 1.19e-25 1.33e-32 1.04e-32 
22447.94 1.77e-05 9.55e-01 4.52e-02 8.14e-17 1.40e-25 1.61e-32 1.26e-32 
23245.88 2.14e-05 9.75e-01 2.51e-02 8.37e-18 2.04e-25 1.63e-32 1.29e-32 
24052.47 1.55e-05 9.87e-01 1.33e-02 8.67e-19 1.57e-25 1.16e-32 9.30e-33 
24867.72 1.79e-05 9.93e-01 7.47e-03 1.18e-19 9.76e-26 7.77e-33 6.25e-33 
25698.86 2.52e-05 9.96e-01 3.74e-03 9.51e-21 5.76e-26 5.90e-33 4.78e-33 
26587.16 2.86e-05 9.98e-01 2.24e-03 1.27e-21 8.03e-26 5.46e-33 4.46e-33 
27637.54 3.69e-05 9.99e-01 1.07e-03 1.16e-22 8.88e-26 6.52e-33 5.36e-33 
28986.97 4.17e-05 9.99e-01 7.09e-04 2.90e-23 1.20e-24 1.15e-32 9.51e-33 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 1.04e-19 1.13e-12 6.41e-06 7.92e-01 2.08e-01 1.73e-05 7.44e-13 
999.11 7.57e-21 1.07e-13 9.38e-07 2.45e-01 7.54e-01 1.48e-03 6.61e-09 
1267.34 2.15e-22 3.84e-15 4.88e-08 2.88e-02 9.47e-01 2.43e-02 1.80e-06 
1514.05 1.71e-23 3.53e-16 5.55e-09 5.43e-03 8.68e-01 1.27e-01 6.64e-05 
1808.80 1.42e-24 3.38e-17 6.63e-10 1.04e-03 6.06e-01 3.92e-01 1.25e-03 
1919.29 1.25e-25 3.45e-18 8.05e-11 1.86e-04 3.07e-01 6.84e-01 9.36e-03 
2160.92 6.57e-27 2.29e-19 6.67e-12 2.46e-05 1.13e-01 8.40e-01 4.66e-02 
2292.92 8.52e-28 3.03e-20 1.04e-12 6.14e-06 5.90e-02 8.46e-01 9.51e-02 
2432.98 2.66e-28 1.09e-20 4.23e-13 2.89e-06 3.95e-02 8.25e-01 1.36e-01 
2581.60 1.15e-28 5.17e-21 2.19e-13 1.69e-06 2.99e-02 8.05e-01 1.65e-01 
2739.29 5.23e-29 2.57e-21 1.17e-13 9.86e-07 2.18e-02 7.66e-01 2.12e-01 
2906.62 3.29e-29 1.78e-21 8.74e-14 7.82e-07 1.93e-02 7.53e-01 2.28e-01 
3084.17 2.16e-29 1.27e-21 6.76e-14 6.66e-07 1.78e-02 7.46e-01 2.36e-01 
3272.56 9.73e-30 8.85e-22 5.22e-14 5.74e-07 1.64e-02 7.37e-01 2.47e-01 
3472.46 6.87e-30 8.61e-22 5.53e-14 6.58e-07 1.79e-02 7.55e-01 2.28e-01 
