#NTIMES 50
#NSTAGES 5
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
5920.87 2.0112e-08 2.3466e-03 4.1932e-01 4.2801e-01 1.5033e-01
6282.54 1.0860e-08 1.5483e-03 3.8389e-01 4.4961e-01 1.6494e-01
6666.30 9.2901e-09 1.3882e-03 3.7150e-01 4.5607e-01 1.7105e-01
7073.50 8.5865e-09 1.3288e-03 3.6750e-01 4.5445e-01 1.7672e-01
7505.58 8.1179e-09 1.2571e-03 3.5145e-01 4.5922e-01 1.8808e-01
7964.05 1.0248e-08 1.5337e-03 3.5061e-01 4.5585e-01 1.9200e-01
8450.53 2.5075e-08 2.8269e-03 3.7647e-01 4.3808e-01 1.8262e-01
8966.72 7.7930e-08 6.6898e-03 3.9786e-01 4.1931e-01 1.7614e-01
9514.44 2.0196e-07 1.2501e-02 4.1121e-01 4.0526e-01 1.7103e-01
10095.62 6.0421e-07 2.3541e-02 4.2920e-01 3.8802e-01 1.5924e-01
10712.30 1.3175e-06 3.5426e-02 4.4479e-01 3.7211e-01 1.4768e-01
11366.65 2.5173e-06 4.7079e-02 4.4593e-01 3.6341e-01 1.4358e-01
12061.10 3.1744e-06 5.5862e-02 4.3739e-01 3.6173e-01 1.4501e-01
12793.43 3.6250e-06 5.9578e-02 4.3059e-01 3.6214e-01 1.4769e-01
13528.61 3.4851e-06 5.6151e-02 4.2600e-01 3.6523e-01 1.5261e-01
14194.74 2.5283e-06 4.3522e-02 4.2980e-01 3.7129e-01 1.5538e-01
14757.77 2.1681e-06 4.4076e-02 4.0186e-01 3.8305e-01 1.7102e-01
15240.48 1.9636e-06 3.8331e-02 4.4766e-01 3.7260e-01 1.4141e-01
15646.99 4.1405e-06 6.1226e-02 5.0924e-01 3.2933e-01 1.0020e-01
15960.30 6.6747e-06 7.2542e-02 6.1820e-01 2.5332e-01 5.5938e-02
16187.41 1.1292e-05 9.6033e-02 6.2492e-01 2.3160e-01 4.7437e-02
16354.17 5.4520e-06 6.1155e-02 6.4047e-01 2.5057e-01 4.7801e-02
16484.18 2.5270e-06 4.1549e-02 5.9494e-01 3.0849e-01 5.5017e-02
16593.12 2.1703e-06 3.1865e-02 5.7376e-01 3.3127e-01 6.3104e-02
16691.99 3.0856e-06 5.4626e-02 5.7357e-01 3.0282e-01 6.8982e-02
16788.59 1.8489e-06 2.4576e-02 5.1127e-01 3.9395e-01 7.0199e-02
16888.37 8.4070e-07 1.9961e-02 4.8865e-01 4.0536e-01 8.6025e-02
16998.79 6.0610e-07 1.6032e-02 5.5846e-01 3.4073e-01 8.4779e-02
17146.37 3.5223e-07 9.5044e-03 4.5242e-01 4.4967e-01 8.8401e-02
17415.23 4.0390e-07 1.3021e-02 4.4937e-01 4.3759e-01 1.0002e-01
17888.12 5.7715e-08 3.2629e-03 3.6780e-01 4.8937e-01 1.3956e-01
18532.37 3.5413e-08 2.4160e-03 2.9739e-01 5.3683e-01 1.6337e-01
19260.76 5.1224e-08 3.9462e-03 2.8669e-01 5.2335e-01 1.8601e-01
20034.10 3.5017e-08 2.3773e-03 3.2898e-01 4.6760e-01 2.0104e-01
20838.00 1.6854e-08 1.2325e-03 2.2367e-01 5.1261e-01 2.6249e-01
21647.97 2.5000e-08 1.6040e-03 2.3605e-01 4.6997e-01 2.9237e-01
22447.94 1.5343e-08 1.1436e-03 1.7775e-01 4.8090e-01 3.4021e-01
23245.88 1.1043e-08 9.1638e-04 1.7597e-01 4.4559e-01 3.7753e-01
24052.47 8.3381e-09 7.6158e-04 1.1244e-01 4.0710e-01 4.7969e-01
24867.72 1.3839e-08 1.5657e-03 1.1758e-01 3.7839e-01 5.0247e-01
25698.86 1.0580e-08 1.6248e-03 7.8505e-02 3.3990e-01 5.7997e-01
26587.16 2.4619e-08 3.4390e-03 6.0574e-02 3.1533e-01 6.2066e-01
27637.54 5.8298e-09 8.0728e-04 4.0073e-02 3.1446e-01 6.4466e-01
28986.97 1.6219e-08 1.8930e-03 3.1777e-02 2.3863e-01 7.2770e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
1060.83 2.2817e-04 5.1319e-01 3.6803e-01 1.0062e-01 1.7933e-02
1919.29 2.3791e-04 5.4578e-01 3.4784e-01 9.0619e-02 1.5522e-02
2581.60 1.0830e-04 4.3311e-01 4.1199e-01 1.2911e-01 2.5682e-02
3084.17 5.5095e-05 2.9977e-01 4.8146e-01 1.7846e-01 4.0243e-02
3472.46 1.9203e-05 1.6369e-01 5.4129e-01 2.3584e-01 5.9151e-02
3909.64 4.0883e-06 6.8615e-02 5.4449e-01 3.0052e-01 8.6365e-02
4148.46 3.4148e-06 6.9513e-02 5.2938e-01 3.0862e-01 9.2484e-02
4670.75 2.8798e-06 6.9215e-02 5.3516e-01 3.0477e-01 9.0855e-02
4956.05 1.2834e-06 4.5930e-02 5.1588e-01 3.3317e-01 1.0502e-01
5258.79 3.2984e-07 1.8036e-02 4.9222e-01 3.6852e-01 1.2122e-01
5580.02 6.7605e-08 5.7216e-03 4.5494e-01 4.0346e-01 1.3588e-01
5920.87 2.1136e-08 2.3922e-03 4.2224e-01 4.2461e-01 1.5075e-01
6282.54 1.1692e-08 1.5880e-03 3.8530e-01 4.4813e-01 1.6498e-01
6666.30 9.7414e-09 1.4126e-03 3.7416e-01 4.5329e-01 1.7114e-01
7073.50 9.2442e-09 1.3689e-03 3.6886e-01 4.5398e-01 1.7580e-01
7505.58 7.5819e-09 1.1556e-03 3.4767e-01 4.6332e-01 1.8785e-01
7964.05 1.0517e-08 1.5161e-03 3.5058e-01 4.5508e-01 1.9282e-01
8450.53 2.4982e-08 2.7979e-03 3.7776e-01 4.3668e-01 1.8275e-01
8966.72 7.6162e-08 6.2807e-03 3.9584e-01 4.2156e-01 1.7632e-01
9514.44 2.0195e-07 1.2298e-02 4.0966e-01 4.0660e-01 1.7144e-01
10095.62 6.1318e-07 2.2814e-02 4.2836e-01 3.8781e-01 1.6101e-01
10712.30 1.3478e-06 3.4780e-02 4.4440e-01 3.7282e-01 1.4800e-01
11366.65 2.7094e-06 5.3313e-02 4.4090e-01 3.6218e-01 1.4361e-01
12061.10 3.4679e-06 5.5826e-02 4.4079e-01 3.5985e-01 1.4352e-01
12793.43 3.3300e-06 4.9899e-02 4.4387e-01 3.6143e-01 1.4480e-01
13528.61 3.4008e-06 5.4064e-02 4.3573e-01 3.6190e-01 1.4831e-01
14194.74 2.9927e-06 5.3184e-02 4.1591e-01 3.7244e-01 1.5846e-01
14757.77 2.5869e-06 5.3996e-02 3.9614e-01 3.8240e-01 1.6746e-01
15240.48 1.9059e-06 3.6628e-02 4.5617e-01 3.6855e-01 1.3865e-01
15646.99 3.6223e-06 5.3308e-02 5.4004e-01 3.1708e-01 8.9566e-02
15960.30 7.1592e-06 7.0657e-02 6.0376e-01 2.6728e-01 5.8295e-02
16187.41 1.2125e-05 9.0720e-02 6.1606e-01 2.4494e-01 4.8271e-02
16354.17 6.8056e-06 5.6832e-02 6.2466e-01 2.7298e-01 4.5519e-02
16484.18 3.4466e-06 4.2348e-02 6.3491e-01 2.7383e-01 4.8900e-02
16593.12 2.0741e-06 2.7271e-02 6.6419e-01 2.5744e-01 5.1101e-02
16691.99 1.5769e-06 2.9462e-02 5.8281e-01 3.2443e-01 6.3294e-02
16788.59 1.1161e-06 1.5371e-02 5.2464e-01 3.7995e-01 8.0040e-02
16888.37 9.4053e-07 2.6190e-02 4.8510e-01 4.0096e-01 8.7748e-02
16998.79 1.1119e-06 2.1802e-02 5.3502e-01 3.5507e-01 8.8105e-02
17146.37 8.1834e-07 2.7381e-02 4.9019e-01 3.9121e-01 9.1228e-02
17415.23 2.6510e-07 8.5550e-03 4.1699e-01 4.6784e-01 1.0662e-01
17888.12 8.2438e-08 5.1593e-03 3.9858e-01 4.6027e-01 1.3599e-01
18532.37 4.1030e-08 2.8661e-03 3.1934e-01 5.1625e-01 1.6155e-01
19260.76 1.6340e-08 1.5820e-03 2.3978e-01 5.5905e-01 1.9959e-01
20034.10 1.0189e-08 9.3401e-04 2.0128e-01 5.7421e-01 2.2357e-01
20838.00 1.5850e-08 9.8531e-04 1.5465e-01 5.9470e-01 2.4967e-01
21647.97 1.2437e-08 7.5287e-04 1.6312e-01 5.5169e-01 2.8444e-01
