#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    1.093048E+04   1.0000E-099   1.7038E-015   4.0317E-007   1.0000E+000
    1.160703E+04   1.0000E-099   5.9250E-015   7.8575E-007   1.0000E+000
    1.232546E+04   1.0000E-099   3.1588E-014   1.9918E-006   1.0000E+000
    1.308836E+04   1.0000E-099   1.4050E-013   4.6672E-006   1.0000E+000
    1.389955E+04   1.0000E-099   7.8727E-013   1.2929E-005   9.9999E-001
    1.474312E+04   1.0000E-099   2.5294E-011   1.0490E-004   9.9990E-001
    1.540367E+04   1.0000E-099   4.3824E-008   1.1582E-002   9.8842E-001
    1.581332E+04   1.0000E-099   1.5765E-005   3.9718E-001   6.0280E-001
    1.611284E+04   1.0000E-099   3.9511E-004   9.7898E-001   2.0630E-002
    1.636570E+04   1.0000E-099   6.2198E-003   9.9369E-001   9.0620E-005
    1.654730E+04   1.0000E-099   3.5983E-002   9.6401E-001   1.6294E-006
    1.669441E+04   1.0000E-099   1.5477E-001   8.4523E-001   3.7526E-008
    1.681682E+04   1.0000E-099   5.2088E-001   4.7912E-001   3.7330E-010
    1.692241E+04   1.0000E-099   8.6152E-001   1.3848E-001   1.8154E-012
    1.702116E+04   1.0000E-099   9.6149E-001   3.8507E-002   1.5866E-014
    1.711664E+04   1.0000E-099   9.8543E-001   1.4565E-002   4.7009E-016
    1.721561E+04   1.0000E-099   9.9339E-001   6.6113E-003   2.8367E-017
    1.732334E+04   1.0000E-099   9.9691E-001   3.0877E-003   2.0088E-018
    1.744562E+04   1.0000E-099   9.9853E-001   1.4740E-003   1.5976E-019
    1.759425E+04   1.0000E-099   9.9929E-001   7.0535E-004   1.3106E-020
    1.788224E+04   1.0000E-099   9.9976E-001   2.3568E-004   3.3664E-022
    1.867332E+04   1.0000E-099   9.9996E-001   3.7719E-005   7.3857E-025
    1.962851E+04   1.0000E-099   9.9999E-001   1.4538E-005   6.4868E-026
    2.067444E+04   1.0000E-099   9.9999E-001   1.1345E-005   1.6053E-025
    2.182447E+04   1.0000E-099   9.9999E-001   1.0996E-005   4.0438E-025
    2.306690E+04   1.0000E-099   9.9998E-001   1.6028E-005   1.4659E-024
    2.438107E+04   1.0000E-099   9.9997E-001   2.5438E-005   4.6029E-024
    2.587845E+04   1.0000E-099   9.9996E-001   3.8501E-005   9.9585E-024
    2.749199E+04   1.0000E-099   9.9993E-001   7.2403E-005   2.4611E-023
    2.896661E+04   1.0000E-099   9.9991E-001   8.7179E-005   2.5129E-023
    3.023928E+04   1.0000E-099   9.9993E-001   7.1528E-005   1.6721E-023
    3.138852E+04   1.0000E-099   9.9991E-001   8.6819E-005   2.5751E-023
    3.250795E+04   1.0000E-099   9.9989E-001   1.0835E-004   3.7366E-023
    3.365620E+04   1.0000E-099   9.9983E-001   1.6730E-004   7.1099E-023
    3.486705E+04   1.0000E-099   9.9976E-001   2.3513E-004   1.1123E-022
    3.613166E+04   1.0000E-099   9.9967E-001   3.3000E-004   1.7943E-022
    3.742115E+04   1.0000E-099   9.9954E-001   4.6277E-004   2.9742E-022
    3.871394E+04   1.0000E-099   9.9938E-001   6.2246E-004   4.8125E-022
    3.997047E+04   1.0000E-099   9.9930E-001   6.9838E-004   5.7787E-022
    4.112379E+04   1.0000E-099   9.9921E-001   7.9296E-004   7.2848E-022
    4.218343E+04   1.0000E-099   9.9904E-001   9.6476E-004   1.0443E-021
    4.320753E+04   1.0000E-099   9.9881E-001   1.1865E-003   1.5012E-021
    4.423621E+04   1.0000E-099   9.9858E-001   1.4190E-003   2.0047E-021
    4.529664E+04   1.0000E-099   9.9839E-001   1.6062E-003   2.3933E-021
    4.639486E+04   1.0000E-099   9.9830E-001   1.7014E-003   2.5505E-021
    4.752261E+04   1.0000E-099   9.9826E-001   1.7366E-003   2.5769E-021
    4.867617E+04   1.0000E-099   9.9828E-001   1.7233E-003   2.5134E-021
    4.985675E+04   1.0000E-099   9.9833E-001   1.6705E-003   2.3784E-021
    5.106564E+04   1.0000E-099   9.9841E-001   1.5894E-003   2.1920E-021
    5.230378E+04   1.0000E-099   9.9851E-001   1.4920E-003   1.9830E-021
    5.357136E+04   1.0000E-099   9.9861E-001   1.3890E-003   1.7814E-021
    5.486695E+04   1.0000E-099   9.9871E-001   1.2928E-003   1.6131E-021
    5.618695E+04   1.0000E-099   9.9878E-001   1.2161E-003   1.4972E-021
    5.752536E+04   1.0000E-099   9.9883E-001   1.1690E-003   1.4437E-021
    5.887450E+04   1.0000E-099   9.9885E-001   1.1503E-003   1.4430E-021
    6.022291E+04   1.0000E-099   9.9885E-001   1.1463E-003   1.4665E-021
    6.155592E+04   1.0000E-099   9.9886E-001   1.1412E-003   1.4847E-021
    6.285824E+04   1.0000E-099   9.9888E-001   1.1188E-003   1.4713E-021
    6.411280E+04   1.0000E-099   9.9892E-001   1.0806E-003   1.4277E-021
    6.529403E+04   1.0000E-099   9.9896E-001   1.0392E-003   1.3744E-021
    6.638404E+04   1.0000E-099   9.9901E-001   9.9056E-004   1.3069E-021
    6.736672E+04   1.0000E-099   9.9905E-001   9.4805E-004   1.2393E-021
    6.821143E+04   1.0000E-099   9.9913E-001   8.6627E-004   1.1214E-021
    6.893337E+04   1.0000E-099   9.9918E-001   8.1647E-004   1.0439E-021
    6.953439E+04   1.0000E-099   9.9926E-001   7.4184E-004   9.2885E-022
    6.977430E+04   1.0000E-099   9.9932E-001   6.7622E-004   8.1346E-022
    6.989457E+04   1.0000E-099   9.9938E-001   6.1925E-004   6.9682E-022
    6.995478E+04   1.0000E-099   9.9943E-001   5.6595E-004   5.6290E-022
