#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    6.123675E+04   1.0000E-099   1.0000E+000   3.1570E-006   6.1441E-026   7.6405E-057   1.1239E-077   1.9249E-108   2.3576E-129
    6.241838E+04   1.0000E-099   1.0000E+000   3.0089E-006   5.8536E-026   7.3105E-057   1.0833E-077   1.8634E-108   2.3086E-129
    6.362274E+04   1.0000E-099   1.0000E+000   2.8396E-006   5.5051E-026   6.9363E-057   1.0346E-077   1.7950E-108   2.2511E-129
    6.485024E+04   1.0000E-099   1.0000E+000   2.6800E-006   5.1338E-026   6.5952E-057   9.8440E-078   1.7400E-108   2.2004E-129
    6.610128E+04   1.0000E-099   1.0000E+000   2.4621E-006   4.6941E-026   6.1171E-057   9.2254E-078   1.6517E-108   2.1309E-129
    6.737631E+04   1.0000E-099   1.0000E+000   2.3147E-006   4.2713E-026   5.8134E-057   8.6271E-078   1.6100E-108   2.0670E-129
    6.867574E+04   1.0000E-099   1.0000E+000   2.0600E-006   3.7396E-026   5.1860E-057   7.6951E-078   1.4603E-108   1.9016E-129
    6.935606E+04   1.0000E-099   1.0000E+000   2.0216E-006   3.5281E-026   4.9691E-057   7.1736E-078   1.3816E-108   1.7776E-129
    6.969874E+04   1.0000E-099   1.0000E+000   1.9036E-006   3.2317E-026   4.4834E-057   6.4051E-078   1.2152E-108   1.5744E-129
    6.987071E+04   1.0000E-099   1.0000E+000   1.7694E-006   2.8032E-026   3.9592E-057   5.4113E-078   1.0457E-108   1.3184E-129
    6.995686E+04   1.0000E-099   1.0000E+000   1.5076E-006   2.0356E-026   3.2161E-057   3.8568E-078   8.3417E-109   9.3673E-130
    6.999782E+04   1.0000E-099   1.0000E+000   1.0658E-006   9.7513E-027   2.1864E-057   1.8298E-078   5.6196E-109   4.4591E-130
    6.999997E+04   1.0000E-099   1.0000E+000   9.7763E-007   8.0416E-027   2.0000E-057   1.5107E-078   5.1467E-109   3.6909E-130
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    8.772128E+02   1.0000E-099   3.7461E-027   2.9670E-020   7.4978E-014   1.3429E-008   1.8737E-004   1.1369E-001   8.8612E-001
    8.825108E+02   1.0000E-099   3.7461E-027   2.9670E-020   7.4978E-014   1.3429E-008   1.8737E-004   1.1369E-001   8.8612E-001
    8.985975E+02   1.0000E-099   3.7462E-027   2.9670E-020   7.4978E-014   1.3429E-008   1.8737E-004   1.1369E-001   8.8612E-001
    9.316560E+02   1.0000E-099   3.7463E-027   2.9670E-020   7.4980E-014   1.3429E-008   1.8738E-004   1.1369E-001   8.8612E-001
    9.893707E+02   1.0000E-099   3.7463E-027   2.9671E-020   7.4980E-014   1.3429E-008   1.8738E-004   1.1369E-001   8.8612E-001
    1.050609E+03   1.0000E-099   3.7446E-027   2.9658E-020   7.4953E-014   1.3425E-008   1.8733E-004   1.1368E-001   8.8613E-001
