#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
#vel_mid[km/s] si0 si1 si2 si3
440.10 1.5053e-04 9.2092e-01 7.6437e-02 2.4876e-03
886.22 2.6172e-04 9.1586e-01 8.1391e-02 2.4919e-03
906.14 5.4004e-04 9.3267e-01 6.4629e-02 2.1634e-03
944.43 3.1734e-04 9.2373e-01 7.3486e-02 2.4709e-03
999.11 2.9779e-04 9.2913e-01 6.8237e-02 2.3351e-03
1060.83 2.3906e-04 9.2707e-01 7.0310e-02 2.3851e-03
1125.62 2.6904e-04 9.2743e-01 7.0030e-02 2.2740e-03
1194.38 3.3650e-04 9.3150e-01 6.6100e-02 2.0596e-03
1267.34 3.2801e-04 9.3031e-01 6.7112e-02 2.2544e-03
1344.75 2.6250e-04 9.2407e-01 7.3250e-02 2.4168e-03
1426.89 2.4578e-04 9.2560e-01 7.1810e-02 2.3443e-03
1514.05 2.4511e-04 9.3531e-01 6.2537e-02 1.9094e-03
1606.54 2.8126e-04 9.3206e-01 6.5610e-02 2.0525e-03
1704.67 2.5679e-04 9.3224e-01 6.5447e-02 2.0605e-03
1808.80 1.9828e-04 9.3312e-01 6.4718e-02 1.9636e-03
1919.29 2.1679e-04 9.3468e-01 6.3095e-02 2.0047e-03
2036.53 1.8140e-04 9.3442e-01 6.3428e-02 1.9679e-03
2160.92 1.9877e-04 9.2865e-01 6.8962e-02 2.1908e-03
2292.92 1.8935e-04 9.2390e-01 7.3414e-02 2.4933e-03
2432.98 1.5503e-04 9.1562e-01 8.1252e-02 2.9723e-03
2581.60 1.4584e-04 9.0594e-01 9.0354e-02 3.5631e-03
2739.29 1.2485e-04 8.8976e-01 1.0554e-01 4.5789e-03
2906.62 1.1354e-04 8.7902e-01 1.1545e-01 5.4142e-03
3084.17 1.0123e-04 8.5487e-01 1.3792e-01 7.1137e-03
3272.56 7.0908e-05 8.2106e-01 1.6906e-01 9.8141e-03
3472.46 5.4779e-05 7.7746e-01 2.0880e-01 1.3685e-02
3684.57 3.6091e-05 7.2347e-01 2.5706e-01 1.9429e-02
3909.64 2.5402e-05 6.4596e-01 3.2599e-01 2.8032e-02
4148.46 2.3778e-05 6.5644e-01 3.1480e-01 2.8740e-02
4401.86 2.3689e-05 6.9184e-01 2.8385e-01 2.4293e-02
4670.75 1.9240e-05 6.7234e-01 3.0126e-01 2.6385e-02
4956.05 1.0210e-05 5.8878e-01 3.7376e-01 3.7448e-02
5258.79 3.8082e-06 3.7852e-01 5.5309e-01 6.8388e-02
5580.02 1.0707e-06 1.6347e-01 7.2873e-01 1.0780e-01
5920.87 3.8019e-07 7.8374e-02 7.8720e-01 1.3442e-01
6282.54 2.2483e-07 5.7439e-02 7.9124e-01 1.5132e-01
6666.30 1.7368e-07 4.7463e-02 7.9378e-01 1.5876e-01
7073.50 1.7585e-07 4.9344e-02 7.8715e-01 1.6351e-01
7505.58 1.7690e-07 5.1357e-02 7.7835e-01 1.7029e-01
7964.05 2.3330e-07 6.3195e-02 7.7507e-01 1.6174e-01
8450.53 4.7495e-07 1.0278e-01 7.5157e-01 1.4565e-01
8966.72 1.4303e-06 2.3053e-01 6.5725e-01 1.1222e-01
9514.44 3.4626e-06 3.8068e-01 5.3537e-01 8.3938e-02
10095.62 7.3521e-06 5.2045e-01 4.2092e-01 5.8621e-02
10712.30 1.2743e-05 5.9993e-01 3.5479e-01 4.5267e-02
11366.65 1.9832e-05 6.5706e-01 3.0570e-01 3.7219e-02
12061.10 2.4373e-05 6.8310e-01 2.8199e-01 3.4882e-02
12793.43 2.4614e-05 6.8097e-01 2.8281e-01 3.6192e-02
13528.61 2.2882e-05 6.7810e-01 2.8476e-01 3.7114e-02
14194.74 1.9957e-05 6.6022e-01 2.9877e-01 4.0995e-02
14757.77 1.6786e-05 6.2944e-01 3.2476e-01 4.5779e-02
15240.48 1.8630e-05 6.5865e-01 3.0480e-01 3.6525e-02
15646.99 2.5743e-05 7.4354e-01 2.3638e-01 2.0056e-02
15960.30 4.2889e-05 7.7532e-01 2.1311e-01 1.1520e-02
16187.41 4.6709e-05 7.5346e-01 2.3609e-01 1.0402e-02
16354.17 4.5743e-05 7.3878e-01 2.5063e-01 1.0546e-02
16484.18 4.0660e-05 7.3300e-01 2.5519e-01 1.1769e-02
16593.12 3.5411e-05 6.6694e-01 3.1648e-01 1.6551e-02
16691.99 2.8283e-05 6.7253e-01 3.0685e-01 2.0592e-02
16788.59 2.3590e-05 5.9102e-01 3.8624e-01 2.2708e-02
16888.37 1.9882e-05 5.2757e-01 4.4327e-01 2.9140e-02
16998.79 1.8219e-05 5.1990e-01 4.5026e-01 2.9824e-02
17146.37 1.6255e-05 5.1293e-01 4.5484e-01 3.2214e-02
17415.23 1.1624e-05 4.2602e-01 5.3146e-01 4.2513e-02
17888.12 6.6265e-06 2.8408e-01 6.3546e-01 8.0451e-02
18532.37 5.7126e-06 2.7887e-01 6.3627e-01 8.4849e-02
