#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
4148.46 4.45e-20 9.73e-12 5.08e-05 2.30e-01 7.70e-01 
4401.86 8.93e-20 1.88e-11 8.24e-05 2.92e-01 7.08e-01 
4670.75 1.71e-19 3.59e-11 1.34e-04 3.68e-01 6.32e-01 
4956.05 1.90e-19 4.48e-11 1.63e-04 4.11e-01 5.89e-01 
5258.79 1.94e-19 5.10e-11 1.86e-04 4.40e-01 5.59e-01 
5580.02 2.87e-19 7.95e-11 2.63e-04 5.11e-01 4.88e-01 
5920.87 3.73e-19 1.14e-10 3.49e-04 5.81e-01 4.19e-01 
6282.54 5.80e-19 1.83e-10 4.91e-04 6.53e-01 3.46e-01 
6666.30 1.04e-18 3.41e-10 7.61e-04 7.48e-01 2.51e-01 
7073.50 2.16e-18 7.32e-10 1.27e-03 8.36e-01 1.63e-01 
7505.58 4.25e-18 1.50e-09 1.99e-03 9.00e-01 9.85e-02 
7964.05 1.22e-17 4.43e-09 3.91e-03 9.53e-01 4.27e-02 
8450.53 5.85e-17 2.11e-08 1.02e-02 9.78e-01 1.22e-02 
8966.72 2.99e-16 1.13e-07 2.83e-02 9.69e-01 2.88e-03 
9514.44 3.25e-15 1.20e-06 1.14e-01 8.86e-01 3.78e-04 
10095.62 6.35e-14 2.23e-05 5.13e-01 4.87e-01 1.01e-05 
10712.30 7.92e-13 2.80e-04 9.47e-01 5.28e-02 2.22e-08 
11366.65 1.19e-11 4.25e-03 9.95e-01 1.03e-03 9.52e-13 
12061.10 3.47e-10 1.35e-01 8.65e-01 1.62e-06 6.52e-18 
12793.43 2.06e-09 9.07e-01 9.34e-02 2.65e-10 2.38e-24 
13528.61 2.23e-09 9.99e-01 6.96e-04 7.45e-16 3.15e-25 
14194.74 2.12e-09 1.00e+00 1.82e-06 4.42e-22 9.18e-26 
14757.77 2.14e-09 1.00e+00 1.88e-08 3.54e-25 8.81e-26 
15240.48 2.78e-09 1.00e+00 3.71e-10 1.59e-25 3.44e-26 
15646.99 4.68e-09 1.00e+00 1.02e-11 5.48e-26 9.97e-27 
15960.30 9.28e-09 1.00e+00 3.36e-13 1.44e-26 1.98e-27 
16187.41 1.37e-08 1.00e+00 1.69e-14 1.01e-26 2.24e-27 
16354.17 1.79e-08 1.00e+00 1.37e-15 8.60e-27 2.11e-27 
16484.18 1.96e-08 1.00e+00 2.35e-16 8.00e-27 1.37e-27 
16593.12 1.99e-08 1.00e+00 4.89e-17 8.40e-27 9.03e-28 
16691.99 2.17e-08 1.00e+00 7.37e-18 5.47e-27 1.72e-27 
16788.59 2.11e-08 1.00e+00 2.56e-18 5.98e-27 7.46e-28 
16888.37 2.19e-08 1.00e+00 7.36e-19 1.25e-26 2.01e-27 
16998.79 2.85e-08 1.00e+00 9.98e-20 4.33e-27 8.07e-28 
17146.37 2.56e-08 1.00e+00 3.06e-20 7.26e-27 8.18e-28 
17415.23 3.22e-08 1.00e+00 1.18e-21 7.41e-27 6.27e-28 
17888.12 4.30e-08 1.00e+00 6.79e-24 1.33e-27 1.20e-28 
18532.37 6.68e-08 1.00e+00 2.62e-26 3.47e-28 1.95e-29 
19260.76 9.03e-08 1.00e+00 7.38e-27 1.41e-28 6.40e-30 
20034.10 7.37e-08 1.00e+00 7.70e-27 1.58e-28 5.99e-30 
20838.00 8.73e-08 1.00e+00 6.38e-27 9.66e-29 2.43e-30 
21647.97 1.17e-07 1.00e+00 5.08e-27 6.51e-29 1.46e-30 
22447.94 1.18e-07 1.00e+00 5.62e-27 6.88e-29 1.13e-30 
23245.88 1.49e-07 1.00e+00 5.61e-27 5.92e-29 4.43e-31 
