#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
6.8960e+04 9.9693e-01 3.0662e-03 2.7880e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 9.9663e-01 3.3717e-03 3.2685e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 9.9649e-01 3.5109e-03 3.4934e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 9.9645e-01 3.5472e-03 3.5406e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 9.9639e-01 3.6063e-03 3.6333e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 9.9658e-01 3.4224e-03 3.2558e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 9.9599e-01 4.0143e-03 4.4606e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 9.9035e-01 9.6504e-03 2.5925e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
4.4010e+02 1.7236e-42 9.6648e-34 4.2446e-25 3.1143e-17 2.6199e-10 7.4667e-05 9.9993e-01
8.8623e+02 4.6474e-31 3.1285e-24 1.6627e-17 1.5041e-11 1.5793e-06 5.7312e-03 9.9427e-01
9.0614e+02 4.7319e-31 3.1829e-24 1.6894e-17 1.5244e-11 1.5954e-06 5.7634e-03 9.9423e-01
9.4442e+02 4.7403e-31 3.1882e-24 1.6919e-17 1.5264e-11 1.5969e-06 5.7664e-03 9.9423e-01
9.9911e+02 4.7518e-31 3.1955e-24 1.6955e-17 1.5291e-11 1.5991e-06 5.7707e-03 9.9423e-01
1.0608e+03 4.6821e-31 3.1524e-24 1.6752e-17 1.5140e-11 1.5875e-06 5.7479e-03 9.9425e-01
1.1257e+03 4.6367e-31 3.1211e-24 1.6588e-17 1.5010e-11 1.5768e-06 5.7259e-03 9.9427e-01
1.1944e+03 4.3157e-31 2.9137e-24 1.5564e-17 1.4224e-11 1.5138e-06 5.5983e-03 9.9440e-01
1.2673e+03 3.2871e-31 2.2465e-24 1.2242e-17 1.1617e-11 1.2991e-06 5.1449e-03 9.9485e-01
1.3448e+03 1.0274e-31 7.4403e-25 4.4325e-18 4.9471e-12 6.8282e-07 3.6107e-03 9.9639e-01
1.4269e+03 1.0806e-32 8.7738e-26 6.2174e-19 9.4935e-13 1.9698e-07 1.8240e-03 9.9818e-01
1.5140e+03 1.0021e-33 9.3266e-27 8.0269e-20 1.7103e-13 5.4499e-08 9.0467e-04 9.9910e-01
1.6065e+03 1.3874e-34 1.4765e-27 1.5170e-20 4.2815e-14 1.9448e-08 5.1825e-04 9.9948e-01
1.7047e+03 2.5487e-35 3.0325e-28 3.6164e-21 1.2969e-14 7.9884e-09 3.2089e-04 9.9968e-01
1.8088e+03 4.2880e-36 5.7485e-29 8.0307e-22 3.7050e-15 3.1442e-09 1.9474e-04 9.9981e-01
1.9193e+03 6.1125e-37 9.4689e-30 1.5902e-22 9.6916e-16 1.1657e-09 1.1506e-04 9.9988e-01
2.0365e+03 7.8116e-38 1.4221e-30 2.9211e-23 2.3933e-16 4.1578e-10 6.6960e-05 9.9993e-01
2.1609e+03 9.2528e-39 2.0172e-31 5.1593e-24 5.7623e-17 1.4639e-10 3.8958e-05 9.9996e-01
2.2929e+03 1.0400e-39 2.7710e-32 8.9855e-25 1.3839e-17 5.1806e-11 2.2890e-05 9.9998e-01
2.4330e+03 1.2766e-40 4.1255e-33 1.6812e-25 3.5249e-18 1.9152e-11 1.3843e-05 9.9999e-01
2.5816e+03 2.0892e-41 7.9630e-34 3.9494e-26 1.0801e-18 8.0991e-12 9.0160e-06 9.9999e-01
2.7393e+03 5.0839e-42 2.2153e-34 1.2860e-26 4.3332e-19 4.1771e-12 6.5111e-06 9.9999e-01
2.9067e+03 1.7881e-42 8.7198e-35 5.7469e-27 2.2679e-19 2.6272e-12 5.1919e-06 9.9999e-01
3.0842e+03 8.6180e-43 4.6683e-35 3.4320e-27 1.5231e-19 1.9979e-12 4.5353e-06 1.0000e+00
3.2726e+03 5.9976e-43 3.5521e-35 2.8371e-27 1.3479e-19 1.8698e-12 4.3744e-06 1.0000e+00
3.4725e+03 5.8855e-43 3.7329e-35 3.1444e-27 1.5246e-19 2.1000e-12 4.6112e-06 1.0000e+00
3.6846e+03 7.5250e-43 5.0901e-35 4.4619e-27 2.1348e-19 2.7773e-12 5.2763e-06 9.9999e-01
3.9097e+03 1.0159e-42 7.5338e-35 7.0020e-27 3.3066e-19 4.0057e-12 6.3330e-06 9.9999e-01
4.1484e+03 1.6998e-42 1.3023e-34 1.2176e-26 5.4446e-19 5.9496e-12 7.7513e-06 9.9999e-01
4.4019e+03 2.8320e-42 2.0920e-34 1.8659e-26 7.7622e-19 7.7360e-12 8.8642e-06 9.9999e-01
4.6708e+03 2.1482e-42 1.6395e-34 1.5150e-26 6.5759e-19 6.8759e-12 8.3497e-06 9.9999e-01
4.9561e+03 8.4919e-43 7.3824e-35 7.8116e-27 3.9320e-19 4.8161e-12 6.9779e-06 9.9999e-01
5.2588e+03 3.5733e-43 3.5340e-35 4.2703e-27 2.4735e-19 3.5077e-12 5.9503e-06 9.9999e-01
5.5800e+03 2.2981e-43 2.4338e-35 3.1607e-27 1.9702e-19 3.0099e-12 5.5113e-06 9.9999e-01
5.9209e+03 1.9058e-43 2.1335e-35 2.9079e-27 1.8805e-19 2.9532e-12 5.4657e-06 9.9999e-01
6.2825e+03 1.8217e-43 2.1497e-35 3.0479e-27 2.0067e-19 3.1540e-12 5.6632e-06 9.9999e-01
6.6663e+03 2.1160e-43 2.5451e-35 3.6578e-27 2.3811e-19 3.6283e-12 6.0957e-06 9.9999e-01
7.0735e+03 2.7886e-43 3.4326e-35 4.9557e-27 3.1327e-19 4.5135e-12 6.8376e-06 9.9999e-01
7.5056e+03 3.9096e-43 5.0164e-35 7.4010e-27 4.5408e-19 6.1005e-12 8.0322e-06 9.9999e-01
7.9641e+03 6.7683e-43 8.9293e-35 1.3181e-26 7.6102e-19 9.1773e-12 9.9980e-06 9.9999e-01
8.4505e+03 1.6423e-42 2.1299e-34 3.0035e-26 1.5475e-18 1.5815e-11 1.3375e-05 9.9999e-01
8.9668e+03 5.9443e-42 7.4647e-34 9.7912e-26 4.2659e-18 3.4334e-11 2.0312e-05 9.9998e-01
9.5145e+03 4.3098e-41 5.0857e-33 5.9112e-25 1.9814e-17 1.1067e-10 3.8375e-05 9.9996e-01
1.0096e+04 9.1117e-40 9.4866e-32 8.9406e-24 1.9818e-16 6.3396e-10 9.9734e-05 9.9990e-01
1.0712e+04 9.2928e-38 8.1108e-30 5.6011e-22 6.6174e-15 9.1046e-09 4.3529e-04 9.9956e-01
1.1367e+04 1.7513e-34 1.1423e-26 4.6555e-19 1.9394e-12 6.7878e-07 4.7955e-03 9.9520e-01
1.2062e+04 1.3658e-29 6.1196e-22 1.1072e-14 9.3544e-09 4.1634e-04 1.6179e-01 8.3780e-01
1.2794e+04 7.5628e-25 2.4451e-17 1.6220e-10 2.0101e-05 7.6976e-02 8.7308e-01 4.9928e-02
1.3528e+04 2.6396e-21 6.7129e-14 1.4975e-07 2.5538e-03 7.8641e-01 2.1093e-01 1.0603e-04
1.4194e+04 2.4963e-18 5.0038e-11 3.0175e-05 5.3972e-02 9.4281e-01 3.1920e-03 6.8500e-09
1.4758e+04 3.2316e-15 4.9189e-08 5.7443e-03 6.6085e-01 3.3340e-01 4.5031e-06 1.0521e-14
