#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
1.118693E+04 5.621989E+37 1.626016E+38 1.808671E+38 1.477890E+38
1.116258E+04 5.653493E+37 1.636974E+38 1.840371E+38 1.495683E+38
1.113834E+04 5.686735E+37 1.649304E+38 1.869150E+38 1.508772E+38
1.111420E+04 5.723599E+37 1.661644E+38 1.895119E+38 1.509547E+38
1.109016E+04 5.763492E+37 1.673897E+38 1.918125E+38 1.520997E+38
1.106623E+04 5.802985E+37 1.686944E+38 1.937726E+38 1.524701E+38
1.104240E+04 5.842969E+37 1.701513E+38 1.955876E+38 1.518494E+38
1.101868E+04 5.885163E+37 1.716909E+38 1.970525E+38 1.504787E+38
1.099505E+04 5.935922E+37 1.731861E+38 1.986283E+38 1.488980E+38
1.097153E+04 5.985665E+37 1.746137E+38 2.000067E+38 1.499352E+38
1.094811E+04 6.034374E+37 1.759846E+38 2.016467E+38 1.559528E+38
1.092478E+04 6.094513E+37 1.773005E+38 2.034381E+38 1.657615E+38
1.090156E+04 6.160924E+37 1.785785E+38 2.049503E+38 1.701113E+38
1.087843E+04 6.229533E+37 1.798332E+38 2.065513E+38 1.714252E+38
1.085541E+04 6.293823E+37 1.810789E+38 2.079038E+38 1.727477E+38
1.083248E+04 6.354112E+37 1.823187E+38 2.093074E+38 1.739258E+38
1.080964E+04 6.411030E+37 1.835446E+38 2.109454E+38 1.760617E+38
1.078690E+04 6.465373E+37 1.847478E+38 2.125358E+38 1.777505E+38
1.076426E+04 6.516908E+37 1.859672E+38 2.141553E+38 1.788559E+38
1.074172E+04 6.565730E+37 1.871885E+38 2.156718E+38 1.802060E+38
1.071926E+04 6.613265E+37 1.884006E+38 2.171531E+38 1.811310E+38
1.069690E+04 6.660212E+37 1.896169E+38 2.185972E+38 1.825676E+38
1.067464E+04 6.705524E+37 1.908290E+38 2.198363E+38 1.841047E+38
1.065246E+04 6.750182E+37 1.920619E+38 2.209680E+38 1.855713E+38
1.063038E+04 6.794397E+37 1.933238E+38 2.222598E+38 1.869335E+38
1.060839E+04 6.838438E+37 1.945852E+38 2.238249E+38 1.884881E+38
1.058649E+04 6.882434E+37 1.958586E+38 2.255146E+38 1.895357E+38
1.056468E+04 6.926341E+37 1.971310E+38 2.274596E+38 1.906282E+38
1.054296E+04 6.970747E+37 1.984098E+38 2.293945E+38 1.920939E+38
1.052133E+04 7.017067E+37 1.996703E+38 2.314201E+38 1.933802E+38
1.049979E+04 7.064635E+37 2.009446E+38 2.334711E+38 1.949586E+38
1.047834E+04 7.111935E+37 2.022233E+38 2.353203E+38 1.969956E+38
1.045697E+04 7.158915E+37 2.035119E+38 2.370536E+38 1.980552E+38
1.043569E+04 7.206222E+37 2.048207E+38 2.390367E+38 1.989230E+38
1.041450E+04 7.253082E+37 2.061256E+38 2.407593E+38 1.990381E+38
1.039339E+04 7.300740E+37 2.074323E+38 2.423476E+38 2.005451E+38
1.037237E+04 7.348101E+37 2.087806E+38 2.440434E+38 2.016344E+38
1.035143E+04 7.395613E+37 2.101531E+38 2.457923E+38 2.021800E+38
1.033058E+04 7.442347E+37 2.115337E+38 2.473387E+38 2.029517E+38
1.030981E+04 7.489957E+37 2.129048E+38 2.489598E+38 2.038159E+38
1.028912E+04 7.537646E+37 2.142591E+38 2.507172E+38 2.048608E+38
1.026852E+04 7.585573E+37 2.155988E+38 2.525465E+38 2.056625E+38
1.024800E+04 7.635509E+37 2.169369E+38 2.543923E+38 2.064220E+38
1.022756E+04 7.686698E+37 2.182815E+38 2.563981E+38 2.066276E+38
1.020721E+04 7.737070E+37 2.196352E+38 2.582259E+38 2.077999E+38
1.018693E+04 7.787461E+37 2.209966E+38 2.601557E+38 2.093210E+38
1.016673E+04 7.837647E+37 2.223535E+38 2.621057E+38 2.115522E+38
1.014662E+04 7.887925E+37 2.237123E+38 2.639871E+38 2.132973E+38
1.012658E+04 7.938329E+37 2.250897E+38 2.658701E+38 2.145656E+38
1.010662E+04 7.988208E+37 2.264704E+38 2.675096E+38 2.159476E+38
1.008675E+04 8.038099E+37 2.278719E+38 2.692185E+38 2.169769E+38
1.006695E+04 8.088393E+37 2.292731E+38 2.709822E+38 2.175224E+38
1.004722E+04 8.138389E+37 2.306696E+38 2.726519E+38 2.190702E+38
1.002758E+04 8.189153E+37 2.320792E+38 2.744931E+38 2.212661E+38
1.000801E+04 8.239437E+37 2.334904E+38 2.765522E+38 2.226788E+38
