#NTIMES: 110 
#TIMES[d]: 2.04 2.11 2.19 2.28 2.36 2.45 2.54 2.64 2.74 2.84 2.95 3.06 3.17 3.29 3.41 3.54 3.68 3.81 3.96 4.11 4.26 4.42 4.59 4.76 4.94 5.12 5.32 5.52 5.72 5.94 6.16 6.39 6.63 6.88 7.14 7.41 7.69 7.98 8.28 8.59 8.91 9.25 9.59 9.95 10.33 10.71 11.12 11.54 11.97 12.42 12.88 13.37 13.87 14.39 14.93 15.49 16.08 16.68 17.31 17.96 18.63 19.33 20.06 20.81 21.59 22.41 23.25 24.12 25.03 25.97 26.94 27.96 29.01 30.10 31.23 32.40 33.62 34.88 36.19 37.55 38.96 40.43 41.95 43.52 45.16 46.86 48.62 50.44 52.34 54.30 56.35 58.46 60.66 62.94 65.30 67.76 70.30 72.94 75.69 78.53 81.48 84.54 87.72 91.01 94.43 97.98 101.66 105.48 109.45 113.56 117.83 
#NSTAGES: 5 
#
#TIME: 2.04 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
29750.00 3500.00 2.10e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30250.00 3500.00 1.80e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30750.00 3500.00 1.54e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31250.00 3500.00 1.32e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31750.00 3500.00 1.13e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32250.00 3500.00 9.59e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32750.00 3500.00 8.15e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33250.00 3500.00 6.92e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33750.00 3500.00 5.88e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34250.00 3500.00 4.98e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34750.00 3500.00 4.22e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35250.00 3500.00 3.57e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35750.00 3500.00 3.02e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36250.00 3500.00 2.55e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36750.00 3500.00 2.16e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37250.00 3500.00 1.83e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37750.00 3500.00 1.54e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38250.00 3500.00 1.31e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38750.00 3500.00 1.10e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39250.00 3500.00 9.34e+06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39750.00 3500.00 7.90e+06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#
#TIME: 2.11 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
750.00 108790.00 2.22e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 103733.00 1.88e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
