#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.036523E+04   1.0000E-099   2.7199E-015   6.2353E-008   8.2938E-003   9.8025E-001   1.1457E-002
    1.047433E+04   1.0000E-099   1.3064E-014   2.2767E-007   1.8398E-002   9.7782E-001   3.7820E-003
    1.058087E+04   1.0000E-099   6.6088E-014   8.6660E-007   4.1519E-002   9.5732E-001   1.1622E-003
    1.068358E+04   1.0000E-099   3.4430E-013   3.3665E-006   9.3534E-002   9.0613E-001   3.2915E-004
    1.078178E+04   1.0000E-099   1.7848E-012   1.2897E-005   2.0289E-001   7.9701E-001   8.2046E-005
    1.087424E+04   1.0000E-099   8.4986E-012   4.5127E-005   3.9350E-001   6.0644E-001   1.6786E-005
    1.096142E+04   1.0000E-099   3.4236E-011   1.3307E-004   6.3062E-001   3.6925E-001   2.6054E-006
    1.104427E+04   1.0000E-099   1.1348E-010   3.2300E-004   8.2112E-001   1.7856E-001   3.0788E-007
    1.116962E+04   1.0000E-099   5.7877E-010   1.0151E-003   9.5630E-001   4.2682E-002   7.5657E-009
    1.128592E+04   1.0000E-099   2.7140E-009   2.9081E-003   9.8836E-001   8.7330E-003   1.4838E-010
    1.138719E+04   1.0000E-099   1.2695E-008   8.1569E-003   9.9009E-001   1.7482E-003   2.8782E-012
    1.148357E+04   1.0000E-099   7.0177E-008   2.5243E-002   9.7446E-001   2.9298E-004   3.6800E-014
    1.157588E+04   1.0000E-099   4.4979E-007   8.4993E-002   9.1497E-001   3.8444E-005   2.6983E-016
    1.165789E+04   1.0000E-099   2.6335E-006   2.5876E-001   7.4123E-001   4.0190E-006   1.3501E-018
    1.172968E+04   1.0000E-099   1.1030E-005   5.6880E-001   4.3119E-001   2.9667E-007   4.4969E-021
    1.179602E+04   1.0000E-099   3.0718E-005   8.3300E-001   1.6697E-001   1.4584E-008   1.7934E-023
    1.185624E+04   1.0000E-099   6.5297E-005   9.4639E-001   5.3541E-002   6.6980E-010   2.8277E-024
    1.191139E+04   1.0000E-099   1.2601E-004   9.8343E-001   1.6441E-002   3.2178E-011   8.7422E-025
    1.196310E+04   1.0000E-099   2.3747E-004   9.9481E-001   4.9480E-003   1.5435E-012   2.6269E-025
    1.200903E+04   1.0000E-099   4.3036E-004   9.9800E-001   1.5727E-003   8.6221E-014   8.3033E-026
    1.204957E+04   1.0000E-099   7.4962E-004   9.9872E-001   5.3510E-004   5.7324E-015   2.8138E-026
    1.208724E+04   1.0000E-099   1.2831E-003   9.9853E-001   1.8697E-004   4.0702E-016   9.8378E-027
    1.211780E+04   1.0000E-099   2.0066E-003   9.9792E-001   7.7430E-005   4.4200E-017   4.0991E-027
    1.214029E+04   1.0000E-099   2.7990E-003   9.9716E-001   3.9981E-005   8.3502E-018   2.1345E-027
    1.215784E+04   1.0000E-099   3.6323E-003   9.9634E-001   2.3766E-005   2.2479E-018   1.2800E-027
    1.217298E+04   1.0000E-099   4.5432E-003   9.9544E-001   1.5181E-005   7.2530E-019   8.2470E-028
    1.218654E+04   1.0000E-099   5.5453E-003   9.9444E-001   1.0173E-005   2.6417E-019   5.5711E-028
    1.220016E+04   1.0000E-099   6.7686E-003   9.9322E-001   6.8140E-006   9.6123E-020   3.7612E-028
    1.221368E+04   1.0000E-099   8.2345E-003   9.9176E-001   4.5927E-006   3.5569E-020   2.5540E-028
    1.222859E+04   1.0000E-099   1.0184E-002   9.8981E-001   2.9933E-006   1.2123E-020   1.6769E-028
    1.224457E+04   1.0000E-099   1.2734E-002   9.8726E-001   1.9071E-006   3.9273E-021   1.0754E-028
    1.225965E+04   1.0000E-099   1.5659E-002   9.8434E-001   1.2556E-006   1.4015E-021   7.1166E-029
    1.227256E+04   1.0000E-099   1.8585E-002   9.8141E-001   8.8722E-007   6.1123E-022   5.0466E-029
    1.228514E+04   1.0000E-099   2.1842E-002   9.7816E-001   6.3875E-007   2.9244E-022   3.6437E-029
    1.229683E+04   1.0000E-099   2.5300E-002   9.7470E-001   4.7317E-007   1.6064E-022   2.7054E-029
    1.232733E+04   1.0000E-099   3.5570E-002   9.6443E-001   2.3431E-007   6.2779E-023   1.3466E-029
    1.289197E+04   1.0000E-099   7.0998E-001   2.9002E-001   1.5350E-011   1.4398E-023   1.1425E-033
    1.402569E+04   1.0000E-099   9.9520E-001   4.8010E-003   2.7477E-017   2.6653E-025   2.3660E-039
    1.518573E+04   1.0000E-099   9.9986E-001   1.3620E-004   2.0174E-021   7.8573E-027   1.8280E-043
    1.632859E+04   1.0000E-099   9.9999E-001   7.3052E-006   1.5777E-021   4.4463E-028   1.5221E-043
    1.745157E+04   1.0000E-099   1.0000E+000   9.6593E-007   1.6321E-021   6.1283E-029   1.6529E-043
    1.855827E+04   1.0000E-099   1.0000E+000   2.6299E-007   1.6885E-021   1.7349E-029   1.7876E-043
    1.963325E+04   1.0000E-099   1.0000E+000   1.1275E-007   1.7432E-021   7.7114E-030   1.9206E-043
    2.068109E+04   1.0000E-099   1.0000E+000   6.4353E-008   1.7929E-021   4.5462E-030   2.0456E-043
    2.170537E+04   1.0000E-099   1.0000E+000   4.4565E-008   1.8388E-021   3.2422E-030   2.1638E-043
    2.269952E+04   1.0000E-099   1.0000E+000   3.5993E-008   1.8830E-021   2.6906E-030   2.2789E-043
    2.366536E+04   1.0000E-099   1.0000E+000   3.2242E-008   1.9264E-021   2.4716E-030   2.3928E-043
    2.460914E+04   1.0000E-099   1.0000E+000   3.1073E-008   1.9697E-021   2.4386E-030   2.5067E-043
    2.553354E+04   1.0000E-099   1.0000E+000   3.1293E-008   2.0127E-021   2.5097E-030   2.6200E-043
    2.644080E+04   1.0000E-099   1.0000E+000   3.2239E-008   2.0549E-021   2.6372E-030   2.7313E-043
    2.733350E+04   1.0000E-099   1.0000E+000   3.3251E-008   2.0952E-021   2.7673E-030   2.8375E-043
    2.821284E+04   1.0000E-099   1.0000E+000   3.3715E-008   2.1333E-021   2.8465E-030   2.9371E-043
    2.908138E+04   1.0000E-099   1.0000E+000   3.2865E-008   2.1705E-021   2.8074E-030   3.0329E-043
    2.994295E+04   1.0000E-099   1.0000E+000   3.0932E-008   2.2106E-021   2.6706E-030   3.1348E-043
    3.079959E+04   1.0000E-099   1.0000E+000   2.7681E-008   2.2595E-021   2.4199E-030   3.2600E-043
    3.165298E+04   1.0000E-099   1.0000E+000   2.4532E-008   2.3213E-021   2.1832E-030   3.4247E-043
    3.250461E+04   1.0000E-099   1.0000E+000   2.1439E-008   2.3951E-021   1.9566E-030   3.6351E-043
    3.335585E+04   1.0000E-099   1.0000E+000   1.9793E-008   2.4702E-021   1.8611E-030   3.8666E-043
    3.420806E+04   1.0000E-099   1.0000E+000   1.7963E-008   2.5335E-021   1.7339E-030   4.0748E-043
    3.506257E+04   1.0000E-099   1.0000E+000   1.6972E-008   2.5835E-021   1.6726E-030   4.2458E-043
    3.592077E+04   1.0000E-099   1.0000E+000   1.5512E-008   2.6340E-021   1.5699E-030   4.4358E-043
    3.678416E+04   1.0000E-099   1.0000E+000   1.4866E-008   2.6790E-021   1.5477E-030   4.6176E-043
    3.765440E+04   1.0000E-099   1.0000E+000   1.4255E-008   2.7144E-021   1.5153E-030   4.7613E-043
    3.853330E+04   1.0000E-099   1.0000E+000   1.5678E-008   2.7454E-021   1.6983E-030   4.8887E-043
    3.942287E+04   1.0000E-099   1.0000E+000   2.0763E-008   2.7706E-021   2.2732E-030   4.9839E-043
    4.030996E+04   1.0000E-099   1.0000E+000   2.5494E-008   2.7626E-021   2.7977E-030   4.9316E-043
    4.032500E+04   1.0000E-099   1.0000E+000   1.4620E-008   1.4016E-021   1.2339E-030   1.7048E-043
#TIME:     2.050
#NVEL: 111
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   7.4201E-031   7.8846E-022   1.1172E-013   2.9836E-006   1.0000E+000
    1.037120E+03   1.0000E-099   7.2913E-031   7.7812E-022   1.1073E-013   2.9704E-006   1.0000E+000
    1.061360E+03   1.0000E-099   7.1012E-031   7.6335E-022   1.0939E-013   2.9528E-006   1.0000E+000
    1.109839E+03   1.0000E-099   6.9148E-031   7.5107E-022   1.0855E-013   2.9439E-006   1.0000E+000
    1.213017E+03   1.0000E-099   7.0493E-031   7.7353E-022   1.1208E-013   3.0015E-006   1.0000E+000
    1.325723E+03   1.0000E-099   7.5315E-031   8.2980E-022   1.1944E-013   3.1132E-006   1.0000E+000
    1.448902E+03   1.0000E-099   8.2296E-031   9.0845E-022   1.2938E-013   3.2587E-006   1.0000E+000
    1.583526E+03   1.0000E-099   9.1291E-031   1.0088E-021   1.4182E-013   3.4345E-006   1.0000E+000
    1.730658E+03   1.0000E-099   1.0272E-030   1.1358E-021   1.5728E-013   3.6446E-006   1.0000E+000
    1.891461E+03   1.0000E-099   1.1724E-030   1.2966E-021   1.7655E-013   3.8953E-006   1.0000E+000
    2.067205E+03   1.0000E-099   1.3613E-030   1.5049E-021   2.0098E-013   4.1982E-006   1.0000E+000
    2.259278E+03   1.0000E-099   1.6106E-030   1.7785E-021   2.3241E-013   4.5671E-006   1.0000E+000
    2.469197E+03   1.0000E-099   1.9510E-030   2.1496E-021   2.7392E-013   5.0253E-006   9.9999E-001
    2.698621E+03   1.0000E-099   2.4245E-030   2.6621E-021   3.2967E-013   5.5995E-006   9.9999E-001
    2.949361E+03   1.0000E-099   3.1032E-030   3.3900E-021   4.0636E-013   6.3300E-006   9.9999E-001
    3.223399E+03   1.0000E-099   4.1134E-030   4.4612E-021   5.1520E-013   7.2787E-006   9.9999E-001
