#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8
5.625029e+03 1.544744e-37 5.509131e-28 7.819412e-20 1.476392e-12 1.092257e-06 1.099092e-02 6.055943e-01 3.827684e-01 6.452382e-04 
5.875027e+03 3.488916e-37 1.261377e-27 1.804098e-19 3.265268e-12 2.132115e-06 1.714638e-02 6.933102e-01 2.892520e-01 2.892520e-04 
6.125024e+03 7.657564e-37 2.812651e-27 4.064525e-19 7.023499e-12 4.032008e-06 2.601296e-02 7.641306e-01 2.097295e-01 1.229112e-04 
6.375019e+03 1.772122e-36 6.598891e-27 9.525819e-19 1.557480e-11 7.751923e-06 3.938048e-02 8.177658e-01 1.427986e-01 4.736301e-05 
6.625017e+03 4.482951e-36 1.675310e-26 2.396060e-18 3.671382e-11 1.547777e-05 5.970827e-02 8.502148e-01 9.004548e-02 1.592221e-05 
6.875017e+03 1.145549e-35 4.271899e-26 6.057170e-18 8.586304e-11 3.060465e-05 8.905102e-02 8.565050e-01 5.440826e-02 5.079521e-06 
7.125017e+03 3.870542e-35 1.408118e-25 1.932897e-17 2.445803e-10 6.909987e-05 1.408118e-01 8.310981e-01 2.801988e-02 1.192032e-06 
7.375020e+03 1.734368e-34 6.059515e-25 7.836972e-17 8.510252e-10 1.799003e-04 2.340319e-01 7.540729e-01 1.171506e-02 1.904034e-07 
7.625021e+03 9.304922e-34 3.064421e-24 3.690952e-16 3.318756e-09 4.962625e-04 3.846034e-01 6.110232e-01 3.877051e-03 2.078099e-08 
7.875023e+03 5.405582e-33 1.650698e-23 1.813954e-15 1.324186e-08 1.342326e-03 5.768373e-01 4.208372e-01 9.831629e-04 1.538233e-09 
8.125025e+03 4.082622e-32 1.128320e-22 1.093867e-14 6.072254e-08 3.742404e-03 7.794880e-01 2.166201e-01 1.494377e-04 5.167876e-11 
8.375030e+03 3.534961e-31 8.539803e-22 7.090624e-14 2.825898e-07 9.885469e-03 9.057367e-01 8.436290e-02 1.469881e-05 9.367905e-13 
8.625034e+03 3.618433e-30 7.503956e-21 5.151021e-13 1.411761e-06 2.607307e-02 9.475335e-01 2.639103e-02 1.004767e-06 9.856892e-15 
8.875032e+03 4.218144e-29 7.377803e-20 4.147052e-12 7.527886e-06 6.888056e-02 9.242001e-01 6.911753e-03 5.023857e-08 6.524695e-17 
9.125029e+03 5.584963e-28 8.203225e-19 3.703398e-11 4.280809e-05 1.811877e-01 8.173359e-01 1.433573e-03 1.702368e-09 2.379333e-19 
9.375026e+03 7.717491e-27 9.458086e-18 3.378802e-10 2.354923e-04 4.261898e-01 5.733725e-01 2.022162e-04 3.199623e-11 3.788354e-22 
9.625020e+03 8.632174e-26 8.799789e-17 2.447179e-09 9.973094e-04 7.291254e-01 2.698602e-01 1.709673e-05 3.151163e-13 2.648318e-25 
9.875013e+03 8.473240e-25 7.128281e-16 1.513079e-08 3.384813e-03 9.145719e-01 8.204248e-02 7.935256e-07 1.367375e-15 6.321306e-29 
1.012500e+04 8.720840e-24 6.009059e-15 9.398785e-08 1.084712e-02 9.706942e-01 1.845860e-02 2.234137e-08 2.850451e-18 5.423561e-33 
1.037500e+04 9.620337e-23 5.373522e-14 6.066879e-07 3.445121e-02 9.620337e-01 3.514457e-03 4.723499e-10 3.813467e-21 2.461420e-37 
1.062501e+04 1.577221e-21 6.904300e-13 5.225732e-06 1.254176e-01 8.741224e-01 4.547970e-04 4.452957e-12 1.380860e-24 1.634229e-42 
1.087502e+04 2.441664e-20 8.439245e-12 4.117886e-05 3.904725e-01 6.094472e-01 3.914414e-05 2.276949e-14 2.092855e-28 3.303998e-48 
1.112502e+04 2.946007e-19 7.944818e-11 2.366208e-04 7.788115e-01 2.209506e-01 1.303765e-06 2.977348e-17 4.826438e-33 5.359226e-55 
1.137501e+04 2.887995e-18 6.078542e-10 1.028676e-03 9.626651e-01 3.630623e-02 1.254215e-08 5.858505e-21 7.508788e-39 2.186625e-63 
1.162501e+04 3.298883e-17 5.315476e-09 4.614053e-03 9.918569e-01 3.529038e-03 4.378418e-11 2.082352e-25 8.932192e-46 2.350865e-73 
1.187501e+04 1.487909e-15 1.487909e-07 4.299919e-02 9.569026e-01 9.801086e-05 8.763645e-15 4.518328e-32 4.258968e-56 3.644693e-88 
1.212501e+04 1.449426e-13 7.696567e-06 4.977488e-01 5.022431e-01 4.117944e-07 4.539289e-20 1.999984e-41 1.865153e-70 1.157294e-108 
1.237501e+04 4.543775e-10 2.548947e-03 9.974141e-01 3.698744e-05 4.183598e-18 1.593092e-40 2.826007e-75 1.101311e-120 5.735131e-179 
1.262501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.287501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.312501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.337501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.362501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.387500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.412500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.437500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.462500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.487500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.512500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.537500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.562501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.587500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.612500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.637500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.662500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.687500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.712500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.737501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.762501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.787501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.812500e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.837501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.862501e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
