#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
3.975e+09 5.521295e-07 9.992835e-01 7.159158e-04 1.763629e-23 1.634987e-61 3.314503e-128
4.025e+09 4.646029e-07 9.991490e-01 8.505582e-04 2.489716e-23 2.742569e-61 6.606359e-128
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
2.500e+07 3.191913e-40 1.202771e-30 1.491475e-21 4.363798e-13 2.331993e-05 9.999767e-01
7.500e+07 1.971927e-39 6.488871e-30 6.333253e-21 1.290657e-12 4.203897e-05 9.999580e-01
1.250e+08 2.939633e-39 9.994616e-30 9.591386e-21 1.814825e-12 5.141248e-05 9.999486e-01
1.750e+08 4.831373e-39 1.685906e-29 1.573168e-20 2.721005e-12 6.547284e-05 9.999345e-01
2.250e+08 8.192359e-39 2.932512e-29 2.656528e-20 4.190732e-12 8.504410e-05 9.999150e-01
2.750e+08 1.295048e-38 4.801526e-29 4.277282e-20 6.258606e-12 1.090003e-04 9.998910e-01
3.250e+08 2.168874e-38 8.297113e-29 7.228150e-20 9.738874e-12 1.434459e-04 9.998566e-01
3.750e+08 3.790571e-38 1.492969e-28 1.267987e-19 1.566474e-11 1.928901e-04 9.998071e-01
4.250e+08 7.254798e-38 2.921949e-28 2.396810e-19 2.680605e-11 2.693382e-04 9.997307e-01
4.750e+08 1.424637e-37 5.866358e-28 4.647235e-19 4.701004e-11 3.820636e-04 9.996179e-01
5.250e+08 2.907601e-37 1.222484e-27 9.338160e-19 8.515316e-11 5.527987e-04 9.994472e-01
5.750e+08 6.284909e-37 2.689889e-27 1.973844e-18 1.611513e-10 8.208455e-04 9.991792e-01
6.250e+08 1.467325e-36 6.363421e-27 4.459619e-18 3.226210e-10 1.259431e-03 9.987406e-01
6.750e+08 4.943586e-36 2.103499e-26 1.349560e-17 8.145477e-10 2.208102e-03 9.977919e-01
7.250e+08 3.893622e-35 1.491866e-25 7.876830e-17 3.432130e-09 5.176150e-03 9.948238e-01
7.750e+08 7.061297e-34 2.246529e-24 8.844493e-16 2.410699e-08 1.614702e-02 9.838530e-01
8.250e+08 3.549678e-32 8.629489e-23 2.275183e-14 3.237323e-07 7.146034e-02 9.285393e-01
8.750e+08 4.559271e-30 7.893080e-21 1.256260e-12 7.493128e-06 3.748533e-01 6.251392e-01
9.250e+08 6.692666e-28 7.702431e-19 6.593115e-11 1.248004e-04 8.968222e-01 1.030530e-01
9.750e+08 1.643724e-25 1.144540e-16 4.417455e-09 1.778580e-03 9.948215e-01 3.399907e-03
1.025e+09 1.677935e-22 6.605446e-14 9.241163e-07 4.750551e-02 9.524615e-01 3.211259e-05
1.075e+09 3.953478e-19 8.101933e-11 2.829272e-04 8.261647e-01 1.735523e-01 9.450617e-09
1.125e+09 1.989817e-16 2.162379e-08 1.326927e-02 9.860997e-01 6.310078e-04 7.673247e-15
1.175e+09 5.305672e-13 2.177030e-05 8.114746e-01 1.885036e-01 1.578696e-08 3.029174e-25
1.225e+09 2.562768e-09 9.578656e-03 9.904193e-01 2.002129e-06 3.328268e-21 1.006286e-49
1.275e+09 9.030877e-08 1.154386e-01 8.845613e-01 9.420083e-09 5.009141e-27 5.505687e-61
1.325e+09 7.934396e-07 4.781333e-01 5.218659e-01 9.572827e-11 9.275685e-32 5.095933e-70
1.375e+09 3.010672e-06 8.612318e-01 1.387652e-01 4.645038e-13 8.850496e-37 2.705687e-79
1.425e+09 9.286139e-06 9.840047e-01 1.598601e-02 5.122252e-16 7.568742e-43 3.229074e-90
1.475e+09 2.071200e-05 9.973371e-01 2.642217e-03 2.130879e-18 1.076525e-47 6.472952e-99
1.525e+09 6.066518e-05 9.996983e-01 2.410434e-04 1.560325e-21 4.719844e-54 2.695547e-110
1.575e+09 1.606664e-04 9.998129e-01 2.639263e-05 1.914185e-24 5.668039e-60 6.480288e-121
1.625e+09 2.246404e-04 9.997645e-01 1.087622e-05 1.175898e-25 1.749201e-62 1.771750e-125
1.675e+09 1.988316e-04 9.997895e-01 1.170945e-05 1.246749e-25 1.660377e-62 1.293278e-125
1.725e+09 2.348252e-04 9.997583e-01 6.871544e-06 2.182254e-26 4.202660e-64 1.491475e-128
1.775e+09 3.441995e-04 9.996533e-01 2.548216e-06 9.735369e-28 6.762843e-67 1.267415e-133
1.825e+09 1.840347e-04 9.998080e-01 7.961406e-06 2.450595e-26 3.779477e-64 7.922020e-129
1.875e+09 4.336636e-04 9.995653e-01 1.078090e-06 5.448012e-29 1.442655e-69 1.416525e-138
1.925e+09 8.927459e-04 9.991071e-01 1.877916e-07 2.485169e-31 2.267362e-74 3.018574e-147
1.975e+09 3.528467e-04 9.996460e-01 1.159521e-06 4.922320e-29 8.406351e-70 3.492005e-139
2.025e+09 2.789202e-04 9.997195e-01 1.591282e-06 1.077338e-28 3.446298e-69 3.465764e-138
2.075e+09 2.561603e-04 9.997423e-01 1.586727e-06 9.102245e-29 2.072692e-69 1.123799e-138
2.125e+09 1.284858e-04 9.998659e-01 5.656448e-06 3.385501e-27 2.538259e-66 2.833508e-133
2.175e+09 1.286168e-04 9.998667e-01 4.701923e-06 1.665390e-27 5.136851e-67 1.320974e-134
2.225e+09 6.212918e-05 9.999199e-01 1.794604e-05 7.513769e-26 9.183128e-64 6.442818e-129
2.275e+09 5.069230e-05 9.999265e-01 2.285238e-05 1.307548e-25 2.355303e-63 2.747526e-128
2.325e+09 5.184171e-05 9.999300e-01 1.817879e-05 5.650692e-26 3.677132e-64 8.082945e-130
2.375e+09 8.667170e-05 9.999081e-01 5.179555e-06 1.164656e-27 1.264603e-67 4.469296e-136
2.425e+09 7.870788e-05 9.999160e-01 5.279701e-06 1.049027e-27 8.638320e-68 1.814294e-136
2.475e+09 7.445691e-05 9.999206e-01 4.940487e-06 7.331093e-28 3.541879e-68 2.970103e-137
2.525e+09 3.368181e-05 9.999448e-01 2.152490e-05 4.878571e-26 1.377975e-64 5.747745e-131
2.575e+09 2.414821e-05 9.999401e-01 3.579751e-05 1.867844e-25 1.719974e-63 4.074096e-129
2.625e+09 4.050464e-05 9.999493e-01 1.018823e-05 3.855717e-27 5.963966e-67 2.301253e-135
