#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    6.696793E+03    1.0000E-99    4.1805E-22    5.2268E-14    1.4558E-06    1.0000E+00
    7.079796E+03    1.0000E-99    4.7681E-22    6.1810E-14    1.6347E-06    1.0000E+00
    7.407135E+03    1.0000E-99    7.0719E-22    8.7646E-14    2.0010E-06    1.0000E+00
    7.692817E+03    1.0000E-99    1.1806E-21    1.3550E-13    2.5564E-06    1.0000E+00
    7.943790E+03    1.0000E-99    2.1438E-21    2.2304E-13    3.3744E-06    1.0000E+00
    8.178255E+03    1.0000E-99    4.2353E-21    3.9277E-13    4.6220E-06    1.0000E+00
    8.396906E+03    1.0000E-99    8.9745E-21    7.3234E-13    6.5376E-06    9.9999E-01
    8.600030E+03    1.0000E-99    2.0176E-20    1.4330E-12    9.5042E-06    9.9999E-01
    8.794946E+03    1.0000E-99    4.8708E-20    2.9738E-12    1.4288E-05    9.9999E-01
    8.979615E+03    1.0000E-99    1.2442E-19    6.4633E-12    2.2061E-05    9.9998E-01
    9.145090E+03    1.0000E-99    3.1566E-19    1.3957E-11    3.3966E-05    9.9997E-01
    9.307344E+03    1.0000E-99    8.6122E-19    3.1961E-11    5.4098E-05    9.9995E-01
    9.467105E+03    1.0000E-99    2.5562E-18    7.8301E-11    8.9585E-05    9.9991E-01
    9.611352E+03    1.0000E-99    7.5266E-18    1.9007E-10    1.4774E-04    9.9985E-01
    9.749622E+03    1.0000E-99    2.3549E-17    4.8280E-10    2.5016E-04    9.9975E-01
    9.884725E+03    1.0000E-99    8.0880E-17    1.3152E-09    4.4081E-04    9.9956E-01
    1.001128E+04    1.0000E-99    2.9047E-16    3.6895E-09    7.8998E-04    9.9921E-01
    1.013294E+04    1.0000E-99    1.1199E-15    1.0891E-08    1.4573E-03    9.9854E-01
    1.025192E+04    1.0000E-99    4.7153E-15    3.4305E-08    2.7905E-03    9.9721E-01
    1.036523E+04    1.0000E-99    2.0715E-14    1.1124E-07    5.4350E-03    9.9456E-01
    1.047433E+04    1.0000E-99    9.5886E-14    3.7412E-07    1.0807E-02    9.8919E-01
    1.058087E+04    1.0000E-99    4.7689E-13    1.3245E-06    2.2088E-02    9.7791E-01
    1.068358E+04    1.0000E-99    2.5105E-12    4.8718E-06    4.5921E-02    9.5407E-01
    1.078178E+04    1.0000E-99    1.3834E-11    1.8413E-05    9.5874E-02    9.0411E-01
    1.087424E+04    1.0000E-99    7.6598E-11    6.8889E-05    1.9416E-01    8.0577E-01
    1.096142E+04    1.0000E-99    4.0150E-10    2.4090E-04    3.6059E-01    6.3917E-01
    1.104427E+04    1.0000E-99    1.8393E-09    7.3085E-04    5.7400E-01    4.2527E-01
    1.116962E+04    1.0000E-99    1.4489E-08    2.9929E-03    8.4270E-01    1.5431E-01
    1.128592E+04    1.0000E-99    9.1541E-08    9.6403E-03    9.4903E-01    4.1334E-02
    1.138719E+04    1.0000E-99    5.3459E-07    2.8160E-02    9.6189E-01    9.9502E-03
    1.148357E+04    1.0000E-99    3.5815E-06    8.6492E-02    9.1158E-01    1.9235E-03
