#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
2.202500E+04 6.312900E-14 3.087688E-05 9.999691E-01 1.891445E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.207500E+04 6.326536E-14 3.102851E-05 9.999690E-01 1.844482E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.212500E+04 6.328238E-14 3.115020E-05 9.999688E-01 1.794788E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.217500E+04 6.374427E-14 3.142459E-05 9.999686E-01 1.703096E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.222500E+04 6.407203E-14 3.165292E-05 9.999683E-01 1.630340E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.227500E+04 6.389532E-14 3.170373E-05 9.999683E-01 1.612843E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.232500E+04 6.433409E-14 3.197641E-05 9.999680E-01 1.528631E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.237500E+04 6.458204E-14 3.216775E-05 9.999678E-01 1.485348E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.242500E+04 6.509081E-14 3.246557E-05 9.999675E-01 1.404109E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.247500E+04 6.489661E-14 3.251632E-05 9.999675E-01 1.385450E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252500E+04 6.501018E-14 3.266934E-05 9.999673E-01 1.349478E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.257500E+04 6.469141E-14 3.268820E-05 9.999673E-01 1.327803E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.262500E+04 6.470841E-14 3.280312E-05 9.999672E-01 1.305701E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.267500E+04 6.472053E-14 3.292335E-05 9.999671E-01 1.277288E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.272500E+04 6.488164E-14 3.311918E-05 9.999669E-01 1.215915E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.277500E+04 6.506819E-14 3.330820E-05 9.999667E-01 1.172188E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.282500E+04 6.503909E-14 3.344372E-05 9.999666E-01 1.122432E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.287500E+04 6.525579E-14 3.366008E-05 9.999663E-01 1.067046E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.292500E+04 6.516490E-14 3.374953E-05 9.999663E-01 1.046730E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.297500E+04 6.487422E-14 3.377579E-05 9.999662E-01 1.031108E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.302500E+04 6.473375E-14 3.384041E-05 9.999662E-01 1.020231E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.307500E+04 6.443417E-14 3.385739E-05 9.999661E-01 1.009946E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.312500E+04 6.429215E-14 3.394326E-05 9.999661E-01 9.815253E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.317500E+04 6.438958E-14 3.412055E-05 9.999659E-01 9.383443E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.322500E+04 6.481846E-14 3.442880E-05 9.999656E-01 8.749504E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.327500E+04 6.439882E-14 3.440498E-05 9.999656E-01 8.695102E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.332500E+04 6.452720E-14 3.459248E-05 9.999654E-01 8.321975E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.337500E+04 6.411346E-14 3.458401E-05 9.999654E-01 8.176988E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.342500E+04 6.388805E-14 3.463385E-05 9.999654E-01 8.023364E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.347500E+04 6.342154E-14 3.459356E-05 9.999654E-01 7.974766E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.352500E+04 6.345560E-14 3.474725E-05 9.999653E-01 7.671192E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.357500E+04 6.350953E-14 3.492975E-05 9.999651E-01 7.248869E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.362500E+04 6.297684E-14 3.486572E-05 9.999651E-01 7.215088E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.367500E+04 6.267393E-14 3.489198E-05 9.999651E-01 7.069621E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.372500E+04 6.234946E-14 3.490958E-05 9.999651E-01 6.935419E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.377500E+04 6.234322E-14 3.504311E-05 9.999650E-01 6.718299E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.382500E+04 6.206240E-14 3.508241E-05 9.999649E-01 6.545513E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.387500E+04 6.161661E-14 3.507046E-05 9.999649E-01 6.369077E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.392500E+04 6.137741E-14 3.511523E-05 9.999649E-01 6.239258E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.397500E+04 6.092085E-14 3.506759E-05 9.999649E-01 6.221451E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.402500E+04 6.061530E-14 3.510039E-05 9.999649E-01 6.044215E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.407500E+04 6.042939E-14 3.517026E-05 9.999648E-01 5.878947E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.412500E+04 5.979720E-14 3.506590E-05 9.999649E-01 5.845356E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.417500E+04 5.969467E-14 3.517300E-05 9.999648E-01 5.637742E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.422500E+04 5.961241E-14 3.528558E-05 9.999647E-01 5.443098E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.427500E+04 5.968662E-14 3.546343E-05 9.999645E-01 5.204298E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.432500E+04 5.924007E-14 3.543447E-05 9.999646E-01 5.106204E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.437500E+04 5.893591E-14 3.545702E-05 9.999645E-01 4.990912E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.442500E+04 5.834442E-14 3.535820E-05 9.999646E-01 4.970574E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.447500E+04 5.810700E-14 3.541947E-05 9.999646E-01 4.791026E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.452500E+04 5.819979E-14 3.561923E-05 9.999644E-01 4.528274E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.457500E+04 5.765888E-14 3.553798E-05 9.999645E-01 4.497088E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.462500E+04 5.680022E-14 3.532071E-05 9.999647E-01 4.552239E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.467500E+04 5.647398E-14 3.533021E-05 9.999647E-01 4.453066E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.472500E+04 5.651975E-14 3.552557E-05 9.999645E-01 4.167814E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.477500E+04 5.616878E-14 3.551850E-05 9.999645E-01 4.099602E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.482500E+04 5.598886E-14 3.559666E-05 9.999644E-01 3.954054E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.487500E+04 5.573885E-14 3.564908E-05 9.999644E-01 3.814417E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.492500E+04 5.533001E-14 3.562684E-05 9.999644E-01 3.730108E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.497500E+04 5.523406E-14 3.573959E-05 9.999643E-01 3.582962E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.502500E+04 5.440888E-14 3.552787E-05 9.999645E-01 3.603849E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.507500E+04 5.411320E-14 3.554602E-05 9.999645E-01 3.518236E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.512500E+04 5.389316E-14 3.559757E-05 9.999644E-01 3.417361E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.517500E+04 5.337839E-14 3.551493E-05 9.999645E-01 3.383438E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.522500E+04 5.318855E-14 3.559642E-05 9.999644E-01 3.235174E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.527500E+04 5.244259E-14 3.541841E-05 9.999646E-01 3.216505E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.532500E+04 5.220304E-14 3.546831E-05 9.999645E-01 3.103191E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.537500E+04 5.172017E-14 3.538614E-05 9.999646E-01 3.086477E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.542500E+04 5.149875E-14 3.544113E-05 9.999646E-01 2.978799E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.547500E+04 5.081975E-14 3.528292E-05 9.999647E-01 2.956170E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.552500E+04 5.053576E-14 3.530045E-05 9.999647E-01 2.878796E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.557500E+04 4.941319E-14 3.490837E-05 9.999651E-01 2.984438E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.562500E+04 4.919155E-14 3.495431E-05 9.999650E-01 2.890131E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.567500E+04 4.853874E-14 3.479320E-05 9.999652E-01 2.876007E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.572500E+04 4.833459E-14 3.485126E-05 9.999651E-01 2.769505E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.577500E+04 4.817508E-14 3.493624E-05 9.999651E-01 2.647487E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.582500E+04 4.818367E-14 3.510725E-05 9.999649E-01 2.495384E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.587500E+04 4.792964E-14 3.514765E-05 9.999649E-01 2.397032E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.592500E+04 4.722986E-14 3.495323E-05 9.999650E-01 2.396698E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.597500E+04 4.659912E-14 3.477827E-05 9.999652E-01 2.408724E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.602500E+04 4.590653E-14 3.458436E-05 9.999654E-01 2.401146E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.607500E+04 4.554954E-14 3.455184E-05 9.999654E-01 2.351216E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.612500E+04 4.530079E-14 3.457989E-05 9.999654E-01 2.273317E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.617500E+04 4.439291E-14 3.425324E-05 9.999657E-01 2.327733E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.622500E+04 4.422257E-14 3.432668E-05 9.999657E-01 2.224037E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.627500E+04 4.373381E-14 3.422047E-05 9.999658E-01 2.196449E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.632500E+04 4.328357E-14 3.413735E-05 9.999659E-01 2.154561E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.637500E+04 4.299183E-14 3.412930E-05 9.999659E-01 2.102378E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.642500E+04 4.278016E-14 3.417640E-05 9.999658E-01 2.017088E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.647500E+04 4.216779E-14 3.399471E-05 9.999660E-01 2.013486E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.652500E+04 4.173163E-14 3.392123E-05 9.999661E-01 1.958254E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
