#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ca1           ca2           ca3           ca4           ca5
    1.518573E+04    1.0000E-99    3.6319E-01    6.3681E-01    1.0035E-21    7.0911E-23
    1.632859E+04    1.0000E-99    8.0811E-01    1.9189E-01    5.0885E-22    2.3729E-23
    1.745157E+04    1.0000E-99    9.4538E-01    5.4624E-02    3.3456E-22    7.2602E-24
    1.855827E+04    1.0000E-99    9.7755E-01    2.2449E-02    2.9744E-22    3.1588E-24
    1.963325E+04    1.0000E-99    9.8760E-01    1.2404E-02    2.9076E-22    1.8323E-24
    2.068109E+04    1.0000E-99    9.9172E-01    8.2809E-03    2.9169E-22    1.2769E-24
    2.170537E+04    1.0000E-99    9.9380E-01    6.2046E-03    2.9494E-22    9.9480E-25
    2.269952E+04    1.0000E-99    9.9487E-01    5.1257E-03    2.9940E-22    8.5197E-25
    2.366536E+04    1.0000E-99    9.9543E-01    4.5674E-03    3.0450E-22    7.8540E-25
    2.460914E+04    1.0000E-99    9.9562E-01    4.3776E-03    3.1009E-22    7.7734E-25
    2.553354E+04    1.0000E-99    9.9556E-01    4.4446E-03    3.1594E-22    8.1354E-25
    2.644080E+04    1.0000E-99    9.9527E-01    4.7265E-03    3.2186E-22    8.8984E-25
    2.733350E+04    1.0000E-99    9.9488E-01    5.1215E-03    3.2743E-22    9.8972E-25
    2.821284E+04    1.0000E-99    9.9443E-01    5.5744E-03    3.3243E-22    1.1031E-24
    2.908138E+04    1.0000E-99    9.9409E-01    5.9110E-03    3.3667E-22    1.1949E-24
    2.994295E+04    1.0000E-99    9.9393E-01    6.0695E-03    3.4073E-22    1.2495E-24
    3.079959E+04    1.0000E-99    9.9401E-01    5.9854E-03    3.4580E-22    1.2514E-24
    3.165298E+04    1.0000E-99    9.9420E-01    5.8022E-03    3.5354E-22    1.2280E-24
    3.250461E+04    1.0000E-99    9.9438E-01    5.6170E-03    3.6493E-22    1.2004E-24
    3.335585E+04    1.0000E-99    9.9450E-01    5.5032E-03    3.7842E-22    1.1835E-24
    3.420806E+04    1.0000E-99    9.9457E-01    5.4251E-03    3.9054E-22    1.1741E-24
    3.506257E+04    1.0000E-99    9.9460E-01    5.4029E-03    4.0006E-22    1.1749E-24
    3.592077E+04    1.0000E-99    9.9405E-01    5.9474E-03    4.1259E-22    1.2984E-24
    3.678416E+04    1.0000E-99    9.9297E-01    7.0322E-03    4.2570E-22    1.5362E-24
    3.765440E+04    1.0000E-99    9.9133E-01    8.6664E-03    4.3705E-22    1.9053E-24
    3.853330E+04    1.0000E-99    9.8852E-01    1.1481E-02    4.4952E-22    2.5248E-24
    3.942287E+04    1.0000E-99    9.8380E-01    1.6198E-02    4.6345E-22    3.5594E-24
    4.030996E+04    1.0000E-99    9.7697E-01    2.3030E-02    4.7634E-22    4.8931E-24
    4.032500E+04    1.0000E-99    9.9741E-01    2.5935E-03    2.3952E-22    1.4907E-25
#TIME:     2.050
#NVEL: 111
#vel_mid[km/s]           ca1           ca2           ca3           ca4           ca5
    1.025000E+03    1.0000E-99    5.3340E-22    2.4351E-15    2.2746E-07    1.0000E+00
    1.037120E+03    1.0000E-99    5.2717E-22    2.4139E-15    2.2647E-07    1.0000E+00
    1.061360E+03    1.0000E-99    5.1800E-22    2.3825E-15    2.2501E-07    1.0000E+00
    1.109839E+03    1.0000E-99    5.0928E-22    2.3526E-15    2.2367E-07    1.0000E+00
    1.213017E+03    1.0000E-99    5.1764E-22    2.3815E-15    2.2534E-07    1.0000E+00
    1.325723E+03    1.0000E-99    5.4344E-22    2.4703E-15    2.2994E-07    1.0000E+00
    1.448902E+03    1.0000E-99    5.7943E-22    2.5933E-15    2.3615E-07    1.0000E+00
    1.583526E+03    1.0000E-99    6.2422E-22    2.7450E-15    2.4366E-07    1.0000E+00
    1.730658E+03    1.0000E-99    6.7903E-22    2.9286E-15    2.5256E-07    1.0000E+00
    1.891461E+03    1.0000E-99    7.4578E-22    3.1498E-15    2.6305E-07    1.0000E+00
    2.067205E+03    1.0000E-99    8.2852E-22    3.4207E-15    2.7556E-07    1.0000E+00
    2.259278E+03    1.0000E-99    9.3196E-22    3.7551E-15    2.9055E-07    1.0000E+00
    2.469197E+03    1.0000E-99    1.0647E-21    4.1782E-15    3.0887E-07    1.0000E+00
    2.698621E+03    1.0000E-99    1.2368E-21    4.7186E-15    3.3136E-07    1.0000E+00
    2.949361E+03    1.0000E-99    1.4641E-21    5.4218E-15    3.5933E-07    1.0000E+00
    3.223399E+03    1.0000E-99    1.7723E-21    6.3602E-15    3.9474E-07    1.0000E+00
    3.522899E+03    1.0000E-99    2.2009E-21    7.6440E-15    4.4032E-07    1.0000E+00
    3.850227E+03    1.0000E-99    2.8150E-21    9.4548E-15    5.0019E-07    1.0000E+00
    4.207968E+03    1.0000E-99    3.7260E-21    1.2101E-14    5.8070E-07    1.0000E+00
    4.598949E+03    1.0000E-99    5.1330E-21    1.6133E-14    6.9196E-07    1.0000E+00
    5.026257E+03    1.0000E-99    7.4067E-21    2.2581E-14    8.5059E-07    1.0000E+00
    5.322738E+03    1.0000E-99    9.6584E-21    2.8928E-14    9.9097E-07    1.0000E+00
    5.636785E+03    1.0000E-99    1.2909E-20    3.8083E-14    1.1746E-06    1.0000E+00
    5.969249E+03    1.0000E-99    1.7735E-20    5.1697E-14    1.4199E-06    1.0000E+00
    6.324633E+03    1.0000E-99    2.5236E-20    7.2990E-14    1.7604E-06    1.0000E+00
    6.696793E+03    1.0000E-99    4.0848E-20    1.1589E-13    2.3491E-06    1.0000E+00
    7.079796E+03    1.0000E-99    7.5348E-20    2.0716E-13    3.3597E-06    1.0000E+00
    7.407135E+03    1.0000E-99    1.5290E-19    3.9898E-13    4.9800E-06    1.0000E+00
    7.692817E+03    1.0000E-99    3.2754E-19    8.0654E-13    7.5556E-06    9.9999E-01
    7.943790E+03    1.0000E-99    7.4652E-19    1.7248E-12    1.1800E-05    9.9999E-01
    8.178255E+03    1.0000E-99    1.8554E-18    4.0120E-12    1.9296E-05    9.9998E-01
    8.396906E+03    1.0000E-99    4.9521E-18    1.0035E-11    3.2826E-05    9.9997E-01
    8.600030E+03    1.0000E-99    1.3991E-17    2.6650E-11    5.7661E-05    9.9994E-01
    8.794946E+03    1.0000E-99    4.2613E-17    7.6574E-11    1.0575E-04    9.9989E-01
    8.979615E+03    1.0000E-99    1.3704E-16    2.3350E-10    2.0026E-04    9.9980E-01
    9.145090E+03    1.0000E-99    4.3171E-16    7.0297E-10    3.7583E-04    9.9962E-01
    9.307344E+03    1.0000E-99    1.4746E-15    2.3028E-09    7.3904E-04    9.9926E-01
    9.467105E+03    1.0000E-99    5.5541E-15    8.3441E-09    1.5371E-03    9.9846E-01
    9.611352E+03    1.0000E-99    2.0723E-14    3.0122E-08    3.1862E-03    9.9681E-01
    9.749622E+03    1.0000E-99    8.3282E-14    1.1724E-07    6.8812E-03    9.9312E-01
    9.884725E+03    1.0000E-99    3.7326E-13    5.0762E-07    1.5735E-02    9.8426E-01
    1.001128E+04    1.0000E-99    1.7372E-12    2.2775E-06    3.6487E-02    9.6351E-01
    1.013294E+04    1.0000E-99    8.4405E-12    1.0645E-05    8.5370E-02    9.1462E-01
    1.025192E+04    1.0000E-99    4.1480E-11    5.0305E-05    1.9441E-01    8.0554E-01
