#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] temp[K] ne[/cm^3] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
7.875023e+03 5.385690e+04 2.669597e+12 1.279906e-35 2.703820e-26 6.127678e-18 8.787414e-11 2.600957e-05 7.185695e-02 8.978445e-01 3.027102e-02 1.557635e-06 
8.125025e+03 5.154713e+04 2.476327e+12 5.865106e-35 1.200950e-25 2.531073e-17 3.107110e-10 6.894991e-05 1.237607e-01 8.623102e-01 1.385980e-02 2.862730e-07 
8.375030e+03 4.913305e+04 2.295399e+12 2.984883e-34 5.906705e-25 1.141402e-16 1.177137e-09 1.902337e-04 2.123051e-01 7.819553e-01 5.549360e-03 4.225081e-08 
8.625034e+03 4.658698e+04 2.128053e+12 1.790138e-33 3.359715e-24 5.873090e-16 4.949809e-09 5.514036e-04 3.590535e-01 6.386024e-01 1.792703e-03 4.385582e-09 
8.875032e+03 4.403134e+04 1.980494e+12 1.342256e-32 2.352934e-23 3.602730e-15 2.343369e-08 1.673835e-03 5.706980e-01 4.272264e-01 4.017204e-04 2.582488e-10 
9.125029e+03 4.151542e+04 1.856095e+12 1.150984e-31 1.845613e-22 2.390816e-14 1.150984e-07 4.846248e-03 7.794382e-01 2.156580e-01 5.734727e-05 7.955924e-12 
9.375026e+03 3.895113e+04 1.745322e+12 1.443025e-30 2.029578e-21 2.117821e-13 6.851772e-07 1.479360e-02 9.135697e-01 7.163217e-02 3.887862e-06 7.786105e-14 
9.625020e+03 3.638897e+04 1.635530e+12 2.571571e-29 3.094027e-20 2.490149e-12 4.973512e-06 4.756388e-02 9.363502e-01 1.608080e-02 1.295963e-07 2.551215e-16 
9.875013e+03 3.397411e+04 1.517218e+12 6.377538e-28 6.468386e-19 3.861045e-11 4.387964e-05 1.626181e-01 8.348942e-01 2.443814e-03 2.107676e-09 2.752698e-19 
1.012500e+04 3.162877e+04 1.391825e+12 1.896513e-26 1.584586e-17 6.750088e-10 3.955227e-04 4.816144e-01 5.177979e-01 1.921467e-04 1.215265e-11 6.662749e-23 
1.037500e+04 2.929099e+04 1.260389e+12 5.088991e-25 3.451357e-16 9.861020e-09 2.623736e-03 8.540347e-01 1.433370e-01 4.543113e-06 1.292498e-14 1.634112e-27 
