#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 
7250.00 8.16e-25 3.55e-16 7.43e-08 1.64e-02 9.84e-01 
7750.00 8.65e-24 3.39e-15 6.25e-07 5.25e-02 9.48e-01 
8250.00 1.50e-22 5.37e-14 8.53e-06 2.14e-01 7.86e-01 
8750.00 2.33e-21 7.97e-13 1.09e-04 6.53e-01 3.47e-01 
9250.00 2.30e-20 7.37e-12 8.31e-04 9.37e-01 6.20e-02 
9750.00 2.94e-19 8.29e-11 6.76e-03 9.87e-01 6.40e-03 
10250.00 5.92e-18 1.49e-09 8.09e-02 9.19e-01 2.79e-04 
10750.00 7.67e-17 1.85e-08 6.46e-01 3.54e-01 4.43e-06 
11250.00 1.92e-16 4.69e-08 9.85e-01 1.53e-02 5.97e-10 
11750.00 3.57e-16 9.33e-08 1.00e+00 1.39e-04 1.14e-14 
12250.00 7.09e-16 1.95e-07 1.00e+00 1.10e-06 1.86e-19 
12750.00 1.29e-15 3.59e-07 1.00e+00 2.14e-08 1.25e-23 
13250.00 2.32e-15 6.24e-07 1.00e+00 1.11e-09 1.23e-26 
13750.00 4.32e-15 1.10e-06 1.00e+00 6.10e-11 1.40e-29 
14250.00 8.77e-15 2.03e-06 1.00e+00 3.29e-12 1.54e-32 
14750.00 1.93e-14 3.88e-06 1.00e+00 1.71e-13 1.45e-35 
15250.00 3.81e-14 6.85e-06 1.00e+00 1.12e-14 2.50e-38 
15750.00 7.50e-14 1.20e-05 1.00e+00 6.48e-16 2.45e-39 
16250.00 1.38e-13 2.03e-05 1.00e+00 6.06e-17 2.91e-39 
16750.00 2.56e-13 3.41e-05 1.00e+00 1.03e-17 3.46e-39 
17250.00 4.66e-13 5.71e-05 1.00e+00 4.94e-19 4.11e-39 
17750.00 7.81e-13 9.05e-05 1.00e+00 1.57e-20 4.88e-39 
18250.00 1.35e-12 1.43e-04 1.00e+00 1.30e-21 5.80e-39 
18750.00 1.94e-12 2.04e-04 1.00e+00 1.35e-22 6.90e-39 
19250.00 2.83e-12 2.86e-04 1.00e+00 1.52e-23 8.20e-39 
19750.00 4.22e-12 4.31e-04 1.00e+00 1.66e-24 9.74e-39 
20250.00 5.33e-12 5.53e-04 9.99e-01 1.96e-25 1.16e-38 
20750.00 7.73e-12 8.07e-04 9.99e-01 2.66e-26 1.38e-38 
21250.00 8.04e-12 8.38e-04 9.99e-01 5.79e-27 1.64e-38 
21750.00 1.36e-11 1.29e-03 9.99e-01 1.58e-27 1.94e-38 
