#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
30250.00 5.9717e-09 2.2584e-03 1.8997e-01 8.0777e-01
30750.00 6.4753e-09 3.6166e-03 1.6825e-01 8.2813e-01
31250.00 2.3776e-09 2.7138e-03 1.4884e-01 8.4845e-01
31750.00 2.6927e-10 2.7500e-04 1.3096e-01 8.6876e-01
32250.00 1.3048e-10 1.5956e-04 1.1417e-01 8.8567e-01
32750.00 4.0151e-10 4.4667e-04 9.9939e-02 8.9961e-01
33250.00 5.5602e-10 7.4036e-04 8.7157e-02 9.1210e-01
33750.00 5.1259e-10 5.7138e-04 7.5744e-02 9.2368e-01
34250.00 6.5632e-11 1.2054e-04 6.5556e-02 9.3432e-01
34750.00 6.4924e-10 1.1558e-03 5.6959e-02 9.4189e-01
35250.00 1.6574e-11 4.8737e-05 4.8196e-02 9.5175e-01
35750.00 1.8787e-11 3.9542e-05 4.0989e-02 9.5897e-01
36250.00 3.1054e-11 6.1367e-05 3.6258e-02 9.6368e-01
36750.00 8.8736e-12 2.2275e-05 3.1780e-02 9.6820e-01
37250.00 6.7200e-11 2.2114e-04 2.8213e-02 9.7157e-01
37750.00 3.6244e-12 1.6181e-05 2.4105e-02 9.7588e-01
38250.00 4.0702e-12 1.9231e-05 2.1296e-02 9.7868e-01
38750.00 1.1155e-11 5.8285e-05 1.8558e-02 9.8138e-01
39250.00 9.9978e-13 4.8422e-06 1.5617e-02 9.8438e-01
39750.00 6.2980e-12 4.4944e-05 1.3902e-02 9.8605e-01
40250.00 1.0117e-12 8.6522e-06 1.1992e-02 9.8800e-01
#TIME: 204.93
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 6.1164e-08 2.2792e-02 7.5274e-01 2.2446e-01
7250.00 9.0384e-08 3.4013e-02 7.6075e-01 2.0524e-01
7750.00 2.0639e-07 6.9206e-02 7.5647e-01 1.7432e-01
8250.00 7.0546e-07 1.7353e-01 6.8983e-01 1.3664e-01
8750.00 1.9572e-06 3.2712e-01 5.7048e-01 1.0239e-01
9250.00 3.8647e-06 4.6936e-01 4.5456e-01 7.6080e-02
9750.00 4.7963e-06 5.0599e-01 4.2913e-01 6.4881e-02
10250.00 7.3729e-06 5.4905e-01 3.9721e-01 5.3733e-02
10750.00 1.0311e-05 6.2669e-01 3.3115e-01 4.2148e-02
11250.00 1.3064e-05 6.4344e-01 3.2020e-01 3.6349e-02
11750.00 1.4286e-05 6.7285e-01 2.9511e-01 3.2023e-02
12250.00 1.3587e-05 6.5310e-01 3.1372e-01 3.3166e-02
12750.00 1.3740e-05 6.4463e-01 3.1964e-01 3.5723e-02
13250.00 1.2531e-05 6.4202e-01 3.1917e-01 3.8801e-02
13750.00 1.1045e-05 6.2885e-01 3.2778e-01 4.3362e-02
14250.00 1.0639e-05 5.6332e-01 3.8480e-01 5.1879e-02
14750.00 8.8684e-06 5.7169e-01 3.7377e-01 5.4535e-02
15250.00 8.2938e-06 5.7154e-01 3.7096e-01 5.7492e-02
15750.00 8.4962e-06 5.3579e-01 3.9631e-01 6.7895e-02
16250.00 4.8254e-06 4.3473e-01 4.8135e-01 8.3917e-02
16750.00 4.9195e-06 3.9474e-01 5.1420e-01 9.1051e-02
17250.00 5.4575e-06 4.7996e-01 4.3539e-01 8.4646e-02
17750.00 3.9398e-06 3.6635e-01 5.2127e-01 1.1237e-01
18250.00 5.7298e-06 4.3631e-01 4.5905e-01 1.0463e-01
18750.00 4.0281e-06 4.4458e-01 4.3069e-01 1.2473e-01
19250.00 3.7432e-06 2.8111e-01 5.7468e-01 1.4420e-01
19750.00 5.1201e-06 3.9642e-01 4.5382e-01 1.4976e-01
20250.00 2.8934e-06 2.6142e-01 5.5235e-01 1.8623e-01
20750.00 2.2568e-06 2.2756e-01 5.6674e-01 2.0569e-01
21250.00 3.9616e-06 3.1639e-01 4.8019e-01 2.0341e-01
21750.00 3.1348e-06 2.5081e-01 5.1563e-01 2.3355e-01
22250.00 2.0701e-06 1.6880e-01 5.7553e-01 2.5567e-01
22750.00 2.9046e-06 2.9152e-01 4.4473e-01 2.6375e-01
23250.00 1.2772e-06 1.1287e-01 5.5543e-01 3.3169e-01
23750.00 1.5943e-06 2.0147e-01 4.6500e-01 3.3353e-01
24250.00 1.2506e-06 2.0692e-01 4.3545e-01 3.5763e-01
24750.00 1.2739e-06 1.7011e-01 4.3022e-01 3.9967e-01
25250.00 7.8005e-07 1.4437e-01 4.2063e-01 4.3500e-01
25750.00 6.6872e-07 1.1166e-01 4.0011e-01 4.8823e-01
26250.00 5.2585e-07 9.4507e-02 3.8052e-01 5.2497e-01
26750.00 2.6397e-07 6.8464e-02 3.6060e-01 5.7094e-01
27250.00 1.4365e-07 4.3515e-02 3.3972e-01 6.1677e-01
27750.00 1.4290e-07 3.6122e-02 3.1043e-01 6.5345e-01
28250.00 1.8004e-08 7.2313e-03 2.9781e-01 6.9496e-01
28750.00 4.5856e-09 2.1469e-03 2.7146e-01 7.2640e-01
29250.00 7.3389e-09 3.3895e-03 2.4176e-01 7.5485e-01
29750.00 3.8749e-09 1.8961e-03 2.0945e-01 7.8865e-01
30250.00 1.6296e-08 8.2159e-03 1.8324e-01 8.0854e-01
30750.00 1.0895e-09 7.7983e-04 1.6987e-01 8.2935e-01
31250.00 4.6430e-09 4.0461e-03 1.4945e-01 8.4650e-01
31750.00 1.6908e-09 1.5476e-03 1.3159e-01 8.6686e-01
32250.00 1.6104e-09 1.7016e-03 1.1527e-01 8.8303e-01
32750.00 8.8392e-10 9.9128e-04 1.0057e-01 8.9844e-01
33250.00 4.8881e-10 7.8592e-04 8.8085e-02 9.1113e-01
33750.00 1.9823e-10 3.2568e-04 7.6099e-02 9.2358e-01
34250.00 6.3888e-11 9.2745e-05 6.5866e-02 9.3404e-01
34750.00 6.3988e-11 1.6555e-04 5.6886e-02 9.4295e-01
35250.00 4.5820e-11 1.1756e-04 4.8756e-02 9.5113e-01
35750.00 1.5826e-10 3.0973e-04 4.1837e-02 9.5785e-01
36250.00 1.3844e-11 4.8644e-05 3.6236e-02 9.6372e-01
36750.00 1.4020e-11 6.7352e-05 3.1126e-02 9.6881e-01
37250.00 5.4532e-12 2.0825e-05 2.7737e-02 9.7224e-01
37750.00 4.0138e-12 1.2480e-05 2.4498e-02 9.7549e-01
38250.00 3.0037e-12 1.4696e-05 2.1293e-02 9.7869e-01
38750.00 4.6118e-12 2.1263e-05 1.8616e-02 9.8136e-01
39250.00 5.2100e-12 2.0154e-05 1.6209e-02 9.8377e-01
39750.00 5.9722e-12 3.0983e-05 1.4216e-02 9.8575e-01
