#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
36250.00 3.50e+03 2.45e-16 4.87e+06 4.54e+06 
36750.00 3.50e+03 2.06e-16 4.09e+06 3.82e+06 
37250.00 3.50e+03 1.73e-16 3.43e+06 3.22e+06 
37750.00 3.50e+03 1.46e-16 2.89e+06 2.71e+06 
38250.00 3.50e+03 1.23e-16 2.43e+06 2.28e+06 
38750.00 3.50e+03 1.03e-16 2.05e+06 1.92e+06 
39250.00 3.50e+03 8.69e-17 1.72e+06 1.61e+06 
39750.00 3.50e+03 7.31e-17 1.45e+06 1.36e+06 
40250.00 3.50e+03 6.15e-17 1.21e+06 1.14e+06 
#TIME: 4.31 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
250.00 1.40e+05 5.56e-11 2.19e+12 5.31e+11 
750.00 1.40e+05 4.79e-11 1.90e+12 4.58e+11 
1250.00 1.40e+05 4.06e-11 1.61e+12 3.88e+11 
1750.00 1.40e+05 3.43e-11 1.36e+12 3.28e+11 
2250.00 1.33e+05 2.89e-11 1.14e+12 2.76e+11 
2750.00 1.22e+05 2.43e-11 9.46e+11 2.33e+11 
3250.00 1.13e+05 2.05e-11 7.90e+11 1.96e+11 
3750.00 1.04e+05 1.73e-11 6.61e+11 1.65e+11 
4250.00 9.62e+04 1.45e-11 5.53e+11 1.39e+11 
4750.00 8.86e+04 1.22e-11 4.63e+11 1.17e+11 
5250.00 8.17e+04 1.03e-11 3.88e+11 9.84e+10 
5750.00 7.55e+04 8.66e-12 3.24e+11 8.28e+10 
6250.00 6.98e+04 7.29e-12 2.69e+11 6.97e+10 
6750.00 4.63e+04 6.13e-12 2.42e+11 5.89e+10 
7250.00 4.19e+04 5.16e-12 2.10e+11 5.18e+10 
7750.00 3.80e+04 4.34e-12 1.90e+11 4.74e+10 
8250.00 3.57e+04 3.65e-12 1.75e+11 4.42e+10 
8750.00 3.54e+04 3.07e-12 1.61e+11 4.12e+10 
9250.00 3.46e+04 2.59e-12 1.44e+11 3.81e+10 
9750.00 3.13e+04 2.18e-12 1.29e+11 3.46e+10 
10250.00 2.63e+04 1.83e-12 1.10e+11 3.09e+10 
10750.00 2.24e+04 1.54e-12 8.73e+10 2.71e+10 
11250.00 1.99e+04 1.30e-12 6.76e+10 2.35e+10 
11750.00 1.78e+04 1.09e-12 5.21e+10 2.01e+10 
12250.00 1.61e+04 9.18e-13 3.81e+10 1.70e+10 
12750.00 1.48e+04 7.73e-13 2.86e+10 1.43e+10 
13250.00 1.37e+04 6.50e-13 2.28e+10 1.21e+10 
13750.00 1.28e+04 5.47e-13 1.81e+10 1.01e+10 
14250.00 1.16e+04 4.60e-13 1.46e+10 8.53e+09 
14750.00 1.09e+04 3.87e-13 1.21e+10 7.18e+09 
15250.00 1.02e+04 3.26e-13 1.01e+10 6.04e+09 
15750.00 9.54e+03 2.74e-13 8.47e+09 5.08e+09 
16250.00 9.08e+03 2.31e-13 7.10e+09 4.28e+09 
16750.00 8.87e+03 1.94e-13 5.93e+09 3.60e+09 
17250.00 8.13e+03 1.63e-13 4.92e+09 3.03e+09 
17750.00 8.09e+03 1.37e-13 4.04e+09 2.55e+09 
18250.00 7.47e+03 1.16e-13 3.28e+09 2.14e+09 
18750.00 7.51e+03 9.72e-14 2.63e+09 1.80e+09 
19250.00 7.32e+03 8.18e-14 2.10e+09 1.52e+09 
19750.00 7.23e+03 6.88e-14 1.67e+09 1.28e+09 
20250.00 6.92e+03 5.79e-14 1.32e+09 1.07e+09 
20750.00 7.13e+03 4.87e-14 1.12e+09 9.04e+08 
21250.00 6.42e+03 4.10e-14 9.04e+08 7.60e+08 
21750.00 6.24e+03 3.45e-14 7.27e+08 6.40e+08 
22250.00 7.24e+03 2.90e-14 5.97e+08 5.38e+08 
22750.00 4.80e+03 2.44e-14 4.95e+08 4.53e+08 
23250.00 6.57e+03 2.05e-14 4.15e+08 3.81e+08 
23750.00 5.23e+03 1.73e-14 3.48e+08 3.21e+08 
24250.00 5.24e+03 1.45e-14 2.92e+08 2.70e+08 
24750.00 7.68e+03 1.22e-14 2.52e+08 2.27e+08 
25250.00 5.26e+03 1.03e-14 2.06e+08 1.91e+08 
25750.00 5.14e+03 8.66e-15 1.73e+08 1.61e+08 
26250.00 5.33e+03 7.29e-15 1.46e+08 1.35e+08 
26750.00 5.07e+03 6.13e-15 1.22e+08 1.14e+08 
27250.00 5.70e+03 5.16e-15 1.03e+08 9.57e+07 
27750.00 4.66e+03 4.34e-15 8.66e+07 8.05e+07 
28250.00 4.70e+03 3.65e-15 7.28e+07 6.77e+07 
28750.00 4.65e+03 3.07e-15 6.13e+07 5.70e+07 
29250.00 4.51e+03 2.59e-15 5.16e+07 4.80e+07 
29750.00 5.94e+03 2.18e-15 4.34e+07 4.03e+07 
30250.00 4.43e+03 1.83e-15 3.65e+07 3.39e+07 
30750.00 4.22e+03 1.54e-15 3.07e+07 2.86e+07 
31250.00 4.58e+03 1.30e-15 2.58e+07 2.40e+07 
31750.00 3.87e+03 1.09e-15 2.17e+07 2.02e+07 
32250.00 3.70e+03 9.18e-16 1.83e+07 1.70e+07 
32750.00 3.72e+03 7.72e-16 1.54e+07 1.43e+07 
33250.00 3.97e+03 6.50e-16 1.29e+07 1.20e+07 
33750.00 3.74e+03 5.46e-16 1.09e+07 1.01e+07 
34250.00 4.35e+03 4.60e-16 9.16e+06 8.52e+06 
34750.00 4.24e+03 3.87e-16 7.69e+06 7.17e+06 
35250.00 5.46e+03 3.25e-16 6.49e+06 6.03e+06 
35750.00 3.50e+03 2.74e-16 5.39e+06 5.08e+06 
36250.00 3.60e+03 2.30e-16 4.55e+06 4.27e+06 
36750.00 3.50e+03 1.94e-16 3.80e+06 3.59e+06 
37250.00 3.50e+03 1.63e-16 3.17e+06 3.02e+06 
37750.00 3.50e+03 1.37e-16 2.64e+06 2.54e+06 
38250.00 3.50e+03 1.15e-16 2.22e+06 2.14e+06 
38750.00 3.50e+03 9.72e-17 1.86e+06 1.80e+06 
39250.00 3.50e+03 8.17e-17 1.56e+06 1.52e+06 
39750.00 3.50e+03 6.88e-17 1.36e+06 1.28e+06 
40250.00 3.50e+03 5.79e-17 1.14e+06 1.07e+06 
#TIME: 4.40 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
250.00 1.40e+05 5.22e-11 2.06e+12 5.00e+11 
750.00 1.40e+05 4.51e-11 1.78e+12 4.31e+11 
1250.00 1.40e+05 3.82e-11 1.52e+12 3.65e+11 
1750.00 1.40e+05 3.22e-11 1.28e+12 3.08e+11 
2250.00 1.30e+05 2.72e-11 1.07e+12 2.60e+11 
2750.00 1.20e+05 2.29e-11 8.89e+11 2.19e+11 
3250.00 1.11e+05 1.93e-11 7.42e+11 1.84e+11 
3750.00 1.02e+05 1.62e-11 6.21e+11 1.55e+11 
4250.00 9.41e+04 1.37e-11 5.20e+11 1.31e+11 
4750.00 8.70e+04 1.15e-11 4.35e+11 1.10e+11 
5250.00 8.04e+04 9.68e-12 3.64e+11 9.25e+10 
5750.00 7.45e+04 8.14e-12 3.04e+11 7.79e+10 
6250.00 6.88e+04 6.85e-12 2.52e+11 6.55e+10 
6750.00 4.53e+04 5.77e-12 2.27e+11 5.54e+10 
7250.00 4.10e+04 4.85e-12 1.97e+11 4.87e+10 
7750.00 3.72e+04 4.08e-12 1.78e+11 4.45e+10 
8250.00 3.52e+04 3.44e-12 1.65e+11 4.15e+10 
8750.00 3.52e+04 2.89e-12 1.50e+11 3.88e+10 
9250.00 3.41e+04 2.43e-12 1.35e+11 3.58e+10 
9750.00 3.06e+04 2.05e-12 1.20e+11 3.25e+10 
