#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
40250.00 5.38e-07 1.00e+00 2.19e-06 1.73e-24 3.07e-26 
#TIME: 4.22 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6750.00 3.32e-29 3.98e-21 3.61e-13 4.32e-06 1.00e+00 
7250.00 1.13e-28 1.26e-20 1.01e-12 8.12e-06 1.00e+00 
7750.00 6.09e-28 6.20e-20 4.03e-12 1.89e-05 1.00e+00 
8250.00 4.53e-27 4.23e-19 2.15e-11 5.21e-05 1.00e+00 
8750.00 4.54e-26 4.03e-18 1.55e-10 1.73e-04 1.00e+00 
9250.00 7.99e-25 6.67e-17 1.76e-09 7.42e-04 9.99e-01 
9750.00 4.07e-23 2.99e-15 4.42e-08 4.95e-03 9.95e-01 
10250.00 5.33e-21 3.43e-13 2.36e-06 5.03e-02 9.50e-01 
10750.00 7.76e-19 4.62e-11 1.35e-04 4.37e-01 5.63e-01 
11250.00 4.09e-17 2.27e-09 2.50e-03 9.40e-01 5.72e-02 
11750.00 3.23e-15 1.46e-07 4.49e-02 9.54e-01 9.81e-04 
12250.00 1.92e-13 6.24e-06 4.97e-01 5.03e-01 6.01e-06 
12750.00 1.35e-12 3.26e-05 9.13e-01 8.74e-02 3.48e-08 
13250.00 4.61e-12 8.37e-05 9.85e-01 1.47e-02 4.43e-10 
13750.00 1.49e-11 2.02e-04 9.98e-01 2.17e-03 5.20e-12 
14250.00 5.02e-11 5.00e-04 9.99e-01 3.23e-04 6.28e-14 
14750.00 1.72e-10 1.24e-03 9.99e-01 4.59e-05 7.04e-16 
15250.00 5.37e-10 2.93e-03 9.97e-01 7.99e-06 1.23e-17 
15750.00 1.57e-09 6.59e-03 9.93e-01 1.41e-06 2.19e-19 
16250.00 4.17e-09 1.41e-02 9.86e-01 2.65e-07 4.65e-21 
16750.00 1.15e-08 3.13e-02 9.69e-01 5.12e-08 9.70e-23 
17250.00 2.82e-08 5.82e-02 9.42e-01 9.04e-09 1.79e-24 
17750.00 6.84e-08 1.15e-01 8.85e-01 1.69e-09 3.94e-26 
18250.00 1.48e-07 2.08e-01 7.92e-01 3.02e-10 8.06e-28 
18750.00 2.44e-07 3.06e-01 6.94e-01 7.15e-11 2.81e-29 
19250.00 3.91e-07 4.60e-01 5.40e-01 1.27e-11 7.46e-31 
19750.00 6.19e-07 5.94e-01 4.06e-01 2.81e-12 8.85e-32 
20250.00 8.12e-07 7.21e-01 2.79e-01 5.32e-13 6.63e-32 
20750.00 1.05e-06 8.17e-01 1.83e-01 9.70e-14 7.69e-32 
21250.00 1.15e-06 8.77e-01 1.23e-01 2.43e-14 1.06e-31 
21750.00 1.26e-06 8.11e-01 1.89e-01 1.12e-14 2.03e-31 
22250.00 1.91e-06 9.27e-01 7.30e-02 1.17e-15 1.22e-31 
22750.00 1.97e-06 9.67e-01 3.27e-02 1.69e-16 1.28e-31 
23250.00 1.19e-06 9.73e-01 2.67e-02 1.05e-16 6.97e-31 
23750.00 1.24e-06 9.82e-01 1.80e-02 3.91e-17 9.12e-31 
24250.00 9.71e-07 9.86e-01 1.44e-02 9.51e-18 2.93e-31 
24750.00 7.54e-07 9.90e-01 9.71e-03 2.95e-18 1.22e-30 
25250.00 6.31e-07 9.13e-01 8.71e-02 1.36e-17 1.69e-29 
25750.00 8.89e-07 9.96e-01 4.50e-03 2.35e-19 1.30e-30 
26250.00 9.02e-07 9.97e-01 3.13e-03 5.97e-20 9.91e-31 
26750.00 7.39e-07 9.97e-01 2.58e-03 2.88e-20 2.44e-30 
27250.00 7.88e-07 9.98e-01 1.90e-03 9.14e-21 4.74e-30 
27750.00 5.17e-07 9.98e-01 1.97e-03 2.15e-20 1.71e-29 
28250.00 3.91e-07 9.98e-01 1.85e-03 2.31e-20 9.27e-29 
