#NTIMES: 50
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 81
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
4250.00 7.9914e+03 1.3510e-16 4.0382e+06 1.4321e+06
4750.00 8.2948e+03 1.1371e-16 3.4691e+06 1.2054e+06
5250.00 8.6254e+03 9.5702e-17 2.9667e+06 1.0144e+06
5750.00 9.0031e+03 8.0540e-17 2.5494e+06 8.5379e+05
6250.00 9.4174e+03 6.7777e-17 2.1861e+06 7.1843e+05
6750.00 9.7467e+03 5.7035e-17 1.8680e+06 6.0705e+05
7250.00 9.6462e+03 4.7994e-17 1.6001e+06 5.3144e+05
7750.00 9.0613e+03 4.0386e-17 1.3686e+06 4.8325e+05
8250.00 8.3350e+03 3.3983e-17 1.1727e+06 4.4744e+05
8750.00 7.6429e+03 2.8595e-17 9.7756e+05 4.1479e+05
9250.00 7.0024e+03 2.4062e-17 8.0226e+05 3.8087e+05
9750.00 6.4550e+03 2.0246e-17 6.5252e+05 3.4464e+05
10250.00 5.9754e+03 1.7035e-17 5.3243e+05 3.0683e+05
10750.00 5.6018e+03 1.4334e-17 4.3469e+05 2.6897e+05
11250.00 5.2979e+03 1.2061e-17 3.5792e+05 2.3256e+05
11750.00 5.0891e+03 1.0148e-17 2.9753e+05 1.9874e+05
12250.00 4.9919e+03 8.5388e-18 2.4876e+05 1.6824e+05
12750.00 4.9962e+03 7.1845e-18 2.1236e+05 1.4164e+05
13250.00 4.9658e+03 6.0450e-18 1.8021e+05 1.1919e+05
13750.00 4.9592e+03 5.0864e-18 1.5377e+05 1.0028e+05
14250.00 4.9329e+03 4.2797e-18 1.3153e+05 8.4370e+04
14750.00 4.9621e+03 3.6008e-18 1.1435e+05 7.0988e+04
15250.00 5.0729e+03 3.0297e-18 9.5840e+04 5.9728e+04
15750.00 5.0869e+03 2.5492e-18 8.1986e+04 5.0261e+04
16250.00 5.1049e+03 2.1448e-18 7.1035e+04 4.2278e+04
16750.00 5.0267e+03 1.8046e-18 6.1355e+04 3.5576e+04
17250.00 5.1313e+03 1.5184e-18 5.2831e+04 2.9935e+04
17750.00 5.0380e+03 1.2776e-18 4.4137e+04 2.5187e+04
18250.00 5.1480e+03 1.0749e-18 3.8819e+04 2.1193e+04
18750.00 5.2141e+03 9.0443e-19 3.2878e+04 1.7831e+04
19250.00 5.3371e+03 7.6097e-19 2.8322e+04 1.5003e+04
19750.00 5.4046e+03 6.4027e-19 2.3320e+04 1.2623e+04
20250.00 5.3927e+03 5.3871e-19 2.0233e+04 1.0621e+04
20750.00 5.1505e+03 4.5326e-19 1.8030e+04 8.9358e+03
21250.00 5.6494e+03 3.8136e-19 1.5330e+04 7.5177e+03
21750.00 5.7392e+03 3.2088e-19 1.3492e+04 6.3260e+03
22250.00 5.8592e+03 2.6999e-19 1.1564e+04 5.3228e+03
22750.00 6.0115e+03 2.2714e-19 9.8437e+03 4.4785e+03
23250.00 6.0752e+03 1.9111e-19 8.1605e+03 3.7680e+03
23750.00 6.4818e+03 1.6080e-19 7.2252e+03 3.1700e+03
24250.00 6.7936e+03 1.3530e-19 6.2271e+03 2.6673e+03
24750.00 7.1946e+03 1.1384e-19 5.3217e+03 2.2444e+03
25250.00 7.9182e+03 9.5779e-20 4.5446e+03 1.8883e+03
25750.00 8.5580e+03 8.0587e-20 3.8867e+03 1.5888e+03
26250.00 9.1564e+03 6.7803e-20 3.3747e+03 1.3368e+03
26750.00 1.0039e+04 5.7047e-20 2.8863e+03 1.1247e+03
27250.00 1.0931e+04 4.7998e-20 2.4437e+03 9.4623e+02
27750.00 1.1692e+04 4.0384e-20 2.0914e+03 7.9624e+02
28250.00 1.2516e+04 3.3978e-20 1.7804e+03 6.6986e+02
28750.00 1.3258e+04 2.8589e-20 1.5205e+03 5.6364e+02
29250.00 1.4072e+04 2.4055e-20 1.2990e+03 4.7418e+02
29750.00 1.4992e+04 2.0239e-20 1.1030e+03 3.9900e+02
30250.00 1.5930e+04 1.7028e-20 9.3508e+02 3.3567e+02
30750.00 1.6978e+04 1.4327e-20 7.9207e+02 2.8245e+02
31250.00 1.8053e+04 1.2054e-20 6.7148e+02 2.3769e+02
31750.00 1.9066e+04 1.0142e-20 5.6909e+02 2.0000e+02
32250.00 2.0181e+04 8.5332e-21 4.8203e+02 1.6822e+02
32750.00 2.1377e+04 7.1797e-21 4.0789e+02 1.4155e+02
33250.00 2.2616e+04 6.0407e-21 3.4488e+02 1.1910e+02
33750.00 2.3890e+04 5.0825e-21 2.9144e+02 1.0020e+02
34250.00 2.5187e+04 4.2762e-21 2.4624e+02 8.4300e+01
34750.00 2.6561e+04 3.5979e-21 2.0788e+02 7.0934e+01
35250.00 2.7967e+04 3.0272e-21 1.7539e+02 5.9682e+01
35750.00 2.9422e+04 2.5471e-21 1.4799e+02 5.0218e+01
36250.00 3.0000e+04 2.1430e-21 1.2486e+02 4.2253e+01
36750.00 3.0000e+04 1.8030e-21 1.0521e+02 3.5552e+01
37250.00 3.0000e+04 1.5170e-21 8.8671e+01 2.9907e+01
37750.00 3.0000e+04 1.2764e-21 7.4713e+01 2.5167e+01
38250.00 3.0000e+04 1.0739e-21 6.2942e+01 2.1177e+01
38750.00 3.0000e+04 9.0355e-22 5.3025e+01 1.7817e+01
39250.00 3.0000e+04 7.6023e-22 4.4656e+01 1.4988e+01
39750.00 3.0000e+04 6.3963e-22 3.7607e+01 1.2611e+01
40250.00 3.0000e+04 5.3817e-22 3.1666e+01 1.0610e+01
#TIME: 207.87
#NVEL: 81
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
250.00 6.0117e+03 4.9502e-16 1.1806e+07 5.2478e+06
750.00 6.2039e+03 4.2713e-16 1.0553e+07 4.5289e+06
1250.00 6.4843e+03 3.6197e-16 9.3467e+06 3.8375e+06
