#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.362500E+04 1.045302E-06 9.786996E-01 2.129939E-02 5.137456E-11 2.625081E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.367500E+04 1.050336E-06 9.792429E-01 2.075609E-02 4.792756E-11 2.302176E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.372500E+04 1.042843E-06 9.792575E-01 2.074146E-02 4.775618E-11 2.283960E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.377500E+04 1.039734E-06 9.794511E-01 2.054787E-02 4.652796E-11 2.173292E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.382500E+04 1.028735E-06 9.793232E-01 2.067576E-02 4.716770E-11 2.224233E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.387500E+04 1.029779E-06 9.796951E-01 2.030382E-02 4.488161E-11 2.023156E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.392500E+04 1.029878E-06 9.800262E-01 1.997274E-02 4.287714E-11 1.852803E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.397500E+04 1.022158E-06 9.800223E-01 1.997669E-02 4.283816E-11 1.848177E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.402500E+04 1.010207E-06 9.798586E-01 2.014038E-02 4.361598E-11 1.904951E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.407500E+04 1.016016E-06 9.804097E-01 1.958925E-02 4.050444E-11 1.657329E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.412500E+04 1.012393E-06 9.805812E-01 1.941779E-02 3.947853E-11 1.575791E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.417500E+04 1.006345E-06 9.806515E-01 1.934751E-02 3.900421E-11 1.536899E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.422500E+04 1.009634E-06 9.810845E-01 1.891444E-02 3.670582E-11 1.370558E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.427500E+04 1.002837E-06 9.811309E-01 1.886805E-02 3.634891E-11 1.341185E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.432500E+04 9.933075E-07 9.810604E-01 1.893863E-02 3.659957E-11 1.354799E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.437500E+04 9.840999E-07 9.809891E-01 1.900996E-02 3.688883E-11 1.372861E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.442500E+04 9.863167E-07 9.813941E-01 1.860496E-02 3.475189E-11 1.223661E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.447500E+04 9.794590E-07 9.814271E-01 1.857196E-02 3.448500E-11 1.202533E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.452500E+04 9.739580E-07 9.815096E-01 1.848944E-02 3.399768E-11 1.168205E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.457500E+04 9.776075E-07 9.819522E-01 1.804684E-02 3.183279E-11 1.030659E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.462500E+04 9.695119E-07 9.819243E-01 1.807476E-02 3.189761E-11 1.033006E-27 0.000000E+00 0.000000E+00 0.000000E+00
2.467500E+04 9.698526E-07 9.822345E-01 1.776450E-02 3.039919E-11 9.415241E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.472500E+04 9.640366E-07 9.823055E-01 1.769354E-02 2.998285E-11 9.144841E-28 0.000000E+00 0.000000E+00 0.000000E+00
