#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
37250.00 1.3130e-10 1.6219e-04 5.4389e-02 9.4545e-01
37750.00 9.0065e-11 1.2901e-04 4.7668e-02 9.5220e-01
38250.00 6.0278e-11 8.8098e-05 4.1649e-02 9.5826e-01
38750.00 2.6694e-11 4.8886e-05 3.6221e-02 9.6373e-01
39250.00 2.5968e-11 5.0661e-05 3.1745e-02 9.6820e-01
39750.00 2.3146e-11 4.5145e-05 2.7716e-02 9.7224e-01
40250.00 1.4102e-11 2.8471e-05 2.4082e-02 9.7589e-01
#TIME: 204.93
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 1.4887e-08 5.4324e-03 6.8369e-01 3.1088e-01
7250.00 1.9485e-08 7.0346e-03 7.0777e-01 2.8520e-01
7750.00 4.0701e-08 1.1668e-02 7.6739e-01 2.2094e-01
8250.00 1.9181e-07 3.3266e-02 7.9207e-01 1.7466e-01
8750.00 1.4590e-06 1.2484e-01 7.4390e-01 1.3126e-01
9250.00 4.9236e-06 2.3268e-01 6.7028e-01 9.7027e-02
9750.00 1.0538e-05 3.1503e-01 6.0653e-01 7.8430e-02
10250.00 1.6316e-05 3.8055e-01 5.5544e-01 6.3990e-02
10750.00 1.8318e-05 4.4684e-01 5.0212e-01 5.1024e-02
11250.00 1.8963e-05 4.9110e-01 4.6614e-01 4.2744e-02
11750.00 1.6217e-05 5.0979e-01 4.5124e-01 3.8947e-02
12250.00 1.1880e-05 4.8939e-01 4.6907e-01 4.1531e-02
12750.00 1.0147e-05 5.0853e-01 4.5027e-01 4.1186e-02
13250.00 9.0915e-06 4.8463e-01 4.6890e-01 4.6459e-02
13750.00 9.6762e-06 4.6663e-01 4.8260e-01 5.0762e-02
14250.00 7.5771e-06 4.1271e-01 5.2807e-01 5.9219e-02
14750.00 7.7496e-06 4.0762e-01 5.3097e-01 6.1400e-02
15250.00 7.4894e-06 4.1349e-01 5.1869e-01 6.7810e-02
15750.00 6.1526e-06 3.8900e-01 5.3545e-01 7.5539e-02
16250.00 5.4714e-06 3.6536e-01 5.5207e-01 8.2564e-02
16750.00 4.5123e-06 3.0289e-01 6.0391e-01 9.3203e-02
17250.00 5.0475e-06 3.4249e-01 5.6958e-01 8.7925e-02
17750.00 4.2999e-06 3.0326e-01 5.9092e-01 1.0581e-01
18250.00 4.1790e-06 3.0294e-01 5.8420e-01 1.1286e-01
18750.00 4.0683e-06 3.1631e-01 5.7159e-01 1.1210e-01
19250.00 3.4817e-06 2.9518e-01 5.7645e-01 1.2837e-01
19750.00 2.6218e-06 2.3793e-01 5.9906e-01 1.6301e-01
20250.00 2.4143e-06 2.3395e-01 5.9825e-01 1.6780e-01
20750.00 1.4323e-06 1.4679e-01 6.4445e-01 2.0876e-01
21250.00 1.7551e-06 2.1833e-01 5.8864e-01 1.9304e-01
21750.00 1.6884e-06 2.1585e-01 5.8478e-01 1.9937e-01
22250.00 1.3740e-06 1.9679e-01 5.8479e-01 2.1842e-01
22750.00 1.1920e-06 1.7184e-01 5.8126e-01 2.4689e-01
23250.00 8.3674e-07 1.3141e-01 5.8115e-01 2.8744e-01
23750.00 8.2648e-07 1.3509e-01 5.6736e-01 2.9755e-01
24250.00 7.7484e-07 1.2249e-01 5.5955e-01 3.1796e-01
24750.00 4.5707e-07 9.2452e-02 5.5538e-01 3.5216e-01
25250.00 4.0019e-07 8.4360e-02 5.2105e-01 3.9459e-01
25750.00 1.9138e-07 4.5563e-02 5.1308e-01 4.4136e-01
26250.00 4.5312e-08 1.0770e-02 5.1101e-01 4.7822e-01
26750.00 3.4613e-08 8.9112e-03 4.8963e-01 5.0146e-01
27250.00 2.5748e-08 6.8203e-03 4.4276e-01 5.5042e-01
27750.00 1.8544e-08 5.3944e-03 4.0961e-01 5.8500e-01
28250.00 2.7745e-08 8.4513e-03 3.7699e-01 6.1456e-01
28750.00 6.8698e-08 2.1660e-02 3.4553e-01 6.3281e-01
29250.00 9.5745e-09 3.0323e-03 3.3530e-01 6.6167e-01
29750.00 1.0522e-08 3.4398e-03 3.0572e-01 6.9084e-01
30250.00 3.3863e-08 1.0858e-02 2.6606e-01 7.2308e-01
30750.00 2.6368e-08 8.7260e-03 2.4956e-01 7.4172e-01
31250.00 1.9306e-08 6.9632e-03 2.2537e-01 7.6767e-01
31750.00 1.2919e-08 4.9887e-03 2.0333e-01 7.9169e-01
32250.00 9.5286e-09 3.8398e-03 1.8256e-01 8.1360e-01
32750.00 5.9882e-09 2.7378e-03 1.6331e-01 8.3395e-01
33250.00 3.8653e-09 2.0078e-03 1.4575e-01 8.5224e-01
33750.00 2.5624e-09 1.5152e-03 1.2988e-01 8.6860e-01
34250.00 1.3763e-09 9.0113e-04 1.1554e-01 8.8356e-01
34750.00 1.0999e-09 7.6284e-04 1.0258e-01 8.9666e-01
35250.00 8.6080e-10 6.6130e-04 9.0941e-02 9.0840e-01
35750.00 5.4077e-10 4.8077e-04 8.0580e-02 9.1894e-01
36250.00 7.7694e-11 1.1003e-04 6.9853e-02 9.3004e-01
36750.00 1.5250e-10 1.7664e-04 6.2231e-02 9.3759e-01
37250.00 1.0329e-10 1.2512e-04 5.4568e-02 9.4531e-01
37750.00 9.8266e-11 1.2612e-04 4.7962e-02 9.5191e-01
38250.00 9.5052e-11 1.2950e-04 4.2072e-02 9.5780e-01
38750.00 2.5945e-11 5.1906e-05 3.6482e-02 9.6347e-01
39250.00 3.5108e-11 6.0032e-05 3.2002e-02 9.6794e-01
39750.00 2.0439e-11 3.9115e-05 2.7850e-02 9.7211e-01
40250.00 1.3193e-11 2.9884e-05 2.4252e-02 9.7572e-01
#TIME: 207.87
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 1.3727e-08 5.0404e-03 6.7884e-01 3.1612e-01
7250.00 1.7552e-08 6.3275e-03 7.0476e-01 2.8891e-01
7750.00 4.4599e-08 1.2496e-02 7.5707e-01 2.3043e-01
8250.00 1.9401e-07 3.3984e-02 7.9325e-01 1.7277e-01
8750.00 1.3282e-06 1.1996e-01 7.5071e-01 1.2932e-01
9250.00 5.0090e-06 2.3636e-01 6.6492e-01 9.8707e-02
9750.00 1.0541e-05 3.1311e-01 6.0917e-01 7.7711e-02
10250.00 1.6092e-05 3.7834e-01 5.5775e-01 6.3896e-02
10750.00 1.9304e-05 4.4516e-01 5.0411e-01 5.0710e-02
11250.00 1.8667e-05 4.8853e-01 4.6736e-01 4.4089e-02
11750.00 1.5949e-05 5.2076e-01 4.4012e-01 3.9101e-02
12250.00 1.2752e-05 5.0887e-01 4.5108e-01 4.0042e-02
12750.00 1.0983e-05 4.9068e-01 4.6707e-01 4.2230e-02
13250.00 9.7527e-06 4.7692e-01 4.7718e-01 4.5892e-02
13750.00 9.3703e-06 4.6537e-01 4.8236e-01 5.2263e-02
14250.00 8.1195e-06 4.3122e-01 5.1238e-01 5.6399e-02
14750.00 7.6389e-06 4.1839e-01 5.2304e-01 5.8570e-02
15250.00 7.2632e-06 4.0367e-01 5.2981e-01 6.6504e-02
15750.00 5.6525e-06 3.5610e-01 5.6562e-01 7.8275e-02
16250.00 6.9471e-06 4.1290e-01 5.1377e-01 7.3321e-02
16750.00 4.4560e-06 2.7055e-01 6.3217e-01 9.7277e-02
17250.00 5.2147e-06 3.2428e-01 5.8006e-01 9.5651e-02
17750.00 5.4961e-06 3.5171e-01 5.5575e-01 9.2537e-02
18250.00 3.1889e-06 2.2688e-01 6.4894e-01 1.2418e-01
18750.00 3.3866e-06 2.5957e-01 6.1133e-01 1.2910e-01
19250.00 1.7311e-06 1.3655e-01 7.1610e-01 1.4734e-01
19750.00 3.4639e-06 2.8166e-01 5.7656e-01 1.4178e-01
20250.00 2.3683e-06 2.1687e-01 6.1011e-01 1.7302e-01
20750.00 2.3204e-06 2.3225e-01 5.9633e-01 1.7142e-01
21250.00 2.0761e-06 2.2469e-01 5.8377e-01 1.9154e-01
21750.00 1.8435e-06 2.1083e-01 5.8556e-01 2.0360e-01
22250.00 1.3059e-06 1.4992e-01 6.1711e-01 2.3297e-01
22750.00 1.0307e-06 1.3069e-01 6.1293e-01 2.5638e-01
23250.00 1.0869e-06 1.5450e-01 5.7888e-01 2.6662e-01
23750.00 6.9947e-07 1.1613e-01 5.8862e-01 2.9525e-01
24250.00 6.7664e-07 1.2135e-01 5.5837e-01 3.2028e-01
24750.00 5.3165e-07 1.0201e-01 5.4163e-01 3.5635e-01
25250.00 2.2975e-07 4.4397e-02 5.4873e-01 4.0687e-01
25750.00 5.0419e-08 1.2463e-02 5.5285e-01 4.3469e-01
26250.00 2.3980e-07 5.8488e-02 4.7512e-01 4.6639e-01
26750.00 2.0415e-07 5.0945e-02 4.5727e-01 4.9178e-01
27250.00 1.4931e-07 4.0045e-02 4.2479e-01 5.3516e-01
27750.00 1.1321e-07 3.3112e-02 3.9983e-01 5.6706e-01
28250.00 8.2561e-08 2.6506e-02 3.7112e-01 6.0237e-01
28750.00 6.5752e-08 2.2176e-02 3.4773e-01 6.3010e-01
29250.00 5.1088e-08 1.7424e-02 3.1908e-01 6.6350e-01
29750.00 1.6375e-08 6.0408e-03 2.9737e-01 6.9659e-01
30250.00 6.3570e-09 2.3721e-03 2.7988e-01 7.1775e-01
30750.00 5.0307e-09 2.0205e-03 2.5321e-01 7.4477e-01
31250.00 1.1193e-08 4.1501e-03 2.2769e-01 7.6816e-01
