#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Fe0 Fe1 Fe2 Fe3 Fe4 Fe5
3.125e+09 7.056959e-06 9.997841e-01 2.088265e-04 5.951098e-23 9.680873e-65 1.106471e-127
3.175e+09 5.950132e-06 9.997464e-01 2.476531e-04 8.370087e-23 1.614812e-64 2.188881e-127
3.225e+09 5.015838e-06 9.997012e-01 2.937567e-04 1.177707e-22 2.695212e-64 4.333677e-127
3.275e+09 4.227123e-06 9.996472e-01 3.485294e-04 1.657923e-22 4.501891e-64 8.588828e-127
3.325e+09 3.561608e-06 9.995828e-01 4.136016e-04 2.334951e-22 7.524527e-64 1.703683e-126
3.375e+09 3.000291e-06 9.995061e-01 4.909059e-04 3.289601e-22 1.258329e-63 3.381841e-126
3.425e+09 2.526968e-06 9.994147e-01 5.827502e-04 4.636084e-22 2.105358e-63 6.717519e-126
3.475e+09 2.127919e-06 9.993060e-01 6.918830e-04 6.535804e-22 3.524286e-63 1.335216e-125
3.525e+09 1.791626e-06 9.991767e-01 8.215387e-04 9.216074e-22 5.901599e-63 2.655227e-125
3.575e+09 1.508324e-06 9.990229e-01 9.755445e-04 1.299723e-21 9.884633e-63 5.281757e-125
3.625e+09 1.269591e-06 9.988402e-01 1.158561e-03 1.833470e-21 1.656284e-62 1.051245e-124
3.675e+09 1.068537e-06 9.986230e-01 1.375956e-03 2.586661e-21 2.775750e-62 2.092808e-124
3.725e+09 8.992687e-07 9.983650e-01 1.634105e-03 3.649243e-21 4.651911e-62 4.166469e-124
3.775e+09 7.566877e-07 9.980584e-01 1.940823e-03 5.149300e-21 7.798593e-62 8.298365e-124
3.825e+09 6.366608e-07 9.976943e-01 2.305035e-03 7.265908e-21 1.307399e-61 1.652853e-123
3.875e+09 5.355946e-07 9.972618e-01 2.737619e-03 1.025342e-20 2.192152e-61 3.292917e-123
3.925e+09 4.505331e-07 9.967484e-01 3.251136e-03 1.446828e-20 3.675400e-61 6.559949e-123
3.975e+09 3.789361e-07 9.961389e-01 3.860686e-03 2.041462e-20 6.162032e-61 1.306817e-122
4.025e+09 3.186765e-07 9.954156e-01 4.584053e-03 2.880229e-20 1.033023e-60 2.603164e-122
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Fe0 Fe1 Fe2 Fe3 Fe4 Fe5
2.500e+07 1.897187e-40 8.209340e-31 1.081570e-21 3.171716e-13 1.514629e-05 9.999849e-01
7.500e+07 1.108283e-39 4.243087e-30 4.434548e-21 9.078623e-13 2.670580e-05 9.999733e-01
1.250e+08 1.607486e-39 6.399459e-30 6.600772e-21 1.256431e-12 3.232837e-05 9.999677e-01
1.750e+08 2.562739e-39 1.054513e-29 1.061944e-20 1.850939e-12 4.071569e-05 9.999593e-01
2.250e+08 4.209846e-39 1.790007e-29 1.757279e-20 2.798989e-12 5.228584e-05 9.999477e-01
2.750e+08 6.454663e-39 2.862611e-29 2.774299e-20 4.106964e-12 6.628083e-05 9.999337e-01
3.250e+08 1.046641e-38 4.824742e-29 4.591026e-20 6.272171e-12 8.620854e-05 9.999138e-01
3.750e+08 1.768648e-38 8.458050e-29 7.877952e-20 9.892246e-12 1.144909e-04 9.998855e-01
4.250e+08 3.264567e-38 1.609432e-28 1.453816e-19 1.657051e-11 1.576986e-04 9.998423e-01
4.750e+08 6.176427e-38 3.138895e-28 2.749371e-19 2.842241e-11 2.205110e-04 9.997795e-01
5.250e+08 1.212925e-37 6.347090e-28 5.381914e-19 5.029970e-11 3.142349e-04 9.996858e-01
5.750e+08 2.518299e-37 1.353152e-27 1.106480e-18 9.287028e-11 4.590760e-04 9.995409e-01
6.250e+08 5.634781e-37 3.095754e-27 2.426759e-18 1.810676e-10 6.921268e-04 9.993079e-01
6.750e+08 1.803049e-36 9.824429e-27 7.079594e-18 4.424722e-10 1.187485e-03 9.988125e-01
7.250e+08 1.324735e-35 6.593097e-26 3.928964e-17 1.782712e-09 2.702715e-03 9.972973e-01
7.750e+08 2.208056e-34 9.283320e-25 4.145502e-16 1.185591e-08 8.143006e-03 9.918570e-01
8.250e+08 1.016944e-32 3.336229e-23 1.002340e-14 1.513285e-07 3.517695e-02 9.648229e-01
8.750e+08 1.361591e-30 3.260106e-21 5.935503e-13 3.823154e-06 2.086940e-01 7.913022e-01
9.250e+08 2.803452e-28 4.579757e-19 4.499234e-11 9.460642e-05 7.758337e-01 2.240717e-01
9.750e+08 6.968324e-26 7.049077e-17 3.140942e-09 1.470047e-03 9.887878e-01 9.742121e-03
1.025e+09 6.199961e-23 3.594104e-14 5.898164e-07 3.787294e-02 9.620131e-01 1.134168e-04
1.075e+09 1.491514e-19 4.481495e-11 1.909155e-04 7.846794e-01 2.151296e-01 5.517085e-08
1.125e+09 6.273145e-17 9.754978e-09 7.839826e-03 9.913756e-01 7.845404e-04 7.047085e-14
1.175e+09 2.029497e-13 1.144873e-05 6.354374e-01 3.645511e-01 2.792909e-08 9.072727e-24
1.225e+09 9.909064e-10 4.912344e-03 9.950750e-01 1.262180e-05 6.417491e-21 2.163392e-47
1.275e+09 3.254665e-08 5.519499e-02 9.448049e-01 1.005054e-07 9.060063e-27 2.733519e-58
1.325e+09 3.353262e-07 2.694808e-01 7.305189e-01 1.945501e-09 1.977887e-31 6.135003e-67
1.375e+09 1.799724e-06 6.922155e-01 3.077827e-01 2.164094e-11 2.688216e-36 9.461595e-76
1.425e+09 6.603882e-06 9.519300e-01 4.806338e-02 4.894962e-14 2.762953e-42 3.022300e-86
1.475e+09 1.497220e-05 9.910176e-01 8.967439e-03 3.188999e-16 4.033099e-47 1.172220e-94
1.525e+09 4.347117e-05 9.990264e-01 9.301471e-04 4.057145e-19 1.777545e-53 1.117128e-105
1.575e+09 1.136055e-04 9.997720e-01 1.143574e-04 8.312683e-22 2.136753e-59 5.813355e-116
1.625e+09 1.578616e-04 9.997925e-01 4.961736e-05 6.416952e-23 6.597325e-62 2.242697e-120
1.675e+09 1.396470e-04 9.998067e-01 5.365940e-05 6.940994e-23 6.262517e-62 1.687160e-120
1.725e+09 1.642481e-04 9.998032e-01 3.258778e-05 1.414318e-23 1.585759e-63 2.446868e-123
1.775e+09 2.391133e-04 9.997481e-01 1.279460e-05 8.124133e-25 2.553841e-66 3.044561e-128
1.825e+09 1.285797e-04 9.998333e-01 3.809827e-05 1.653099e-23 1.426208e-63 1.380572e-123
1.875e+09 2.991640e-04 9.996951e-01 5.742026e-06 5.902473e-26 5.453421e-69 5.045643e-133
1.925e+09 6.090609e-04 9.993898e-01 1.101415e-06 4.121167e-28 8.589652e-74 2.044319e-141
1.975e+09 2.430455e-04 9.997507e-01 6.253469e-06 5.636865e-26 3.178374e-69 1.352406e-133
2.025e+09 1.922924e-04 9.997992e-01 8.516608e-06 1.192766e-25 1.302798e-68 1.275562e-132
2.075e+09 1.764278e-04 9.998150e-01 8.562606e-06 1.045251e-25 7.836527e-69 4.370645e-133
2.125e+09 8.906288e-05 9.998820e-01 2.890456e-05 3.054673e-24 9.587051e-66 7.658224e-128
2.175e+09 8.897099e-05 9.998866e-01 2.444452e-05 1.621752e-24 1.940756e-66 4.005803e-129
2.225e+09 4.327085e-05 9.998686e-01 8.809665e-05 5.676561e-23 3.466190e-63 1.332103e-123
2.275e+09 3.531988e-05 9.998529e-01 1.117786e-04 9.722751e-23 8.889508e-63 5.546319e-123
2.325e+09 3.603752e-05 9.998733e-01 9.065476e-05 4.577391e-23 1.388242e-63 1.856658e-124
2.375e+09 5.975578e-05 9.999126e-01 2.769051e-05 1.283466e-24 4.780104e-67 1.633484e-130
2.425e+09 5.421847e-05 9.999174e-01 2.843113e-05 1.193712e-24 3.265655e-67 6.959915e-131
2.475e+09 5.122096e-05 9.999219e-01 2.691068e-05 8.775405e-25 1.339278e-67 1.229858e-131
2.525e+09 2.334444e-05 9.998666e-01 1.100091e-04 4.406186e-23 5.204166e-64 1.555852e-125
2.575e+09 1.676888e-05 9.998033e-01 1.799521e-04 1.568141e-22 6.493744e-63 9.877372e-124
2.625e+09 2.789880e-05 9.999172e-01 5.489787e-05 4.400183e-24 2.254587e-66 8.866645e-130
2.675e+09 1.322962e-05 9.997807e-01 2.060377e-04 1.717880e-22 5.039959e-63 4.296060e-124
2.725e+09 1.496304e-05 9.998488e-01 1.361874e-04 4.487484e-23 2.200603e-64 1.601898e-126
2.775e+09 1.748521e-05 9.998982e-01 8.427345e-05 9.685214e-24 6.347716e-66 2.920849e-129
2.825e+09 7.306327e-06 9.995881e-01 4.046228e-04 7.653416e-22 6.482679e-62 1.925608e-122
2.875e+09 2.920987e-05 9.999493e-01 2.147677e-05 1.388101e-25 4.084254e-70 1.172124e-136
2.925e+09 6.964128e-06 9.996750e-01 3.179946e-04 2.836363e-22 4.820171e-63 1.474520e-124
2.975e+09 7.186855e-06 9.997403e-01 2.525068e-04 1.257479e-22 6.618890e-64 3.959373e-126
3.025e+09 6.828540e-06 9.997569e-01 2.362372e-04 8.937514e-23 2.522569e-64 6.164901e-127
3.075e+09 2.547724e-05 9.999602e-01 1.435672e-05 2.386379e-26 3.653238e-72 1.565818e-140
3.125e+09 6.534871e-06 9.998093e-01 1.841375e-04 3.232880e-23 1.778399e-65 4.303269e-129
3.175e+09 2.608299e-05 9.999642e-01 9.758653e-06 5.800858e-27 1.084606e-73 2.452945e-143
3.225e+09 1.026574e-05 9.999363e-01 5.343996e-05 6.778577e-25 2.631509e-69 7.307379e-136
3.275e+09 1.092671e-06 9.962135e-01 3.785457e-03 1.230821e-19 4.932331e-58 1.527121e-116
3.325e+09 2.775090e-06 9.994841e-01 5.131314e-04 3.386345e-22 1.154611e-63 2.558845e-126
3.375e+09 1.164941e-06 9.976029e-01 2.395970e-03 2.446442e-20 9.549852e-60 1.155515e-119
3.425e+09 1.517042e-06 9.987909e-01 1.207535e-03 2.936614e-21 7.805031e-62 2.419889e-123
3.475e+09 3.639027e-06 9.998150e-01 1.813730e-04 1.083777e-23 3.429355e-67 1.191070e-132
3.525e+09 1.779453e-05 9.999758e-01 6.427106e-06 6.095872e-28 1.697331e-76 8.961195e-149
3.575e+09 8.115478e-06 9.999657e-01 2.619542e-05 3.038101e-26 6.499342e-73 1.108366e-142
3.625e+09 1.324752e-06 9.991907e-01 8.079468e-04 5.073656e-22 7.084707e-64 3.329477e-127
3.675e+09 4.640661e-06 9.999383e-01 5.703887e-05 2.124356e-25 2.795225e-71 4.871472e-140
3.725e+09 2.235446e-06 9.997921e-01 2.056197e-04 7.341689e-24 4.754912e-68 1.464004e-134
3.775e+09 9.423147e-07 9.990423e-01 9.567861e-04 5.256068e-22 3.867440e-64 6.446862e-128
3.825e+09 1.873369e-06 9.997896e-01 2.085018e-04 5.658529e-24 1.719883e-68 1.705197e-135
3.875e+09 1.616020e-05 9.999815e-01 2.380903e-06 1.212504e-29 7.162825e-81 6.421422e-157
3.925e+09 3.686561e-06 9.999575e-01 3.881636e-05 3.308124e-26 1.608757e-73 2.493511e-144
3.975e+09 6.145309e-05 9.999384e-01 1.127862e-07 1.301618e-33 1.076866e-89 2.535134e-172
4.025e+09 2.260190e-04 9.997740e-01 6.218140e-09 2.334665e-37 5.510270e-98 9.113157e-187
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Fe0 Fe1 Fe2 Fe3 Fe4 Fe5
2.500e+07 1.745995e-40 8.687340e-31 1.240980e-21 3.681676e-13 1.663083e-05 9.999834e-01
7.500e+07 1.112752e-39 4.875914e-30 5.479596e-21 1.123383e-12 3.075828e-05 9.999692e-01
1.250e+08 1.782745e-39 8.057518e-30 8.828738e-21 1.656703e-12 3.877860e-05 9.999612e-01
1.750e+08 2.824733e-39 1.323625e-29 1.421236e-20 2.455424e-12 4.926662e-05 9.999507e-01
2.250e+08 4.757132e-39 2.303237e-29 2.409365e-20 3.802475e-12 6.440998e-05 9.999356e-01
2.750e+08 7.366103e-39 3.724648e-29 3.851985e-20 5.662559e-12 8.262297e-05 9.999174e-01
3.250e+08 1.263093e-38 6.617824e-29 6.688117e-20 9.017360e-12 1.103706e-04 9.998896e-01
3.750e+08 2.244624e-38 1.217089e-28 1.199604e-19 1.479073e-11 1.502383e-04 9.998498e-01
4.250e+08 4.270672e-38 2.386464e-28 2.280017e-19 2.548302e-11 2.106486e-04 9.997894e-01
4.750e+08 8.366562e-38 4.816198e-28 4.457627e-19 4.507959e-11 3.001323e-04 9.996999e-01
5.250e+08 1.764772e-37 1.041965e-27 9.285221e-19 8.412689e-11 4.411982e-04 9.995588e-01
5.750e+08 3.692808e-37 2.243348e-27 1.933807e-18 1.576232e-10 6.501069e-04 9.993499e-01
6.250e+08 8.803792e-37 5.453270e-27 4.489864e-18 3.226513e-10 1.007774e-03 9.989922e-01
6.750e+08 2.944637e-36 1.808243e-26 1.368260e-17 8.194138e-10 1.766713e-03 9.982333e-01
7.250e+08 2.237701e-35 1.257354e-25 7.890395e-17 3.417564e-09 4.096698e-03 9.959033e-01
7.750e+08 4.485488e-34 2.109891e-24 9.793687e-16 2.592115e-08 1.327344e-02 9.867265e-01
8.250e+08 2.585392e-32 9.406369e-23 2.894292e-14 3.874671e-07 6.210050e-02 9.378991e-01
8.750e+08 3.778247e-30 1.003512e-20 1.855909e-12 1.011966e-05 3.496419e-01 6.503480e-01
9.250e+08 7.856241e-28 1.377510e-18 1.303852e-10 2.068388e-04 8.988348e-01 1.009583e-01
9.750e+08 1.881967e-25 2.068208e-16 8.840220e-09 2.987370e-03 9.935519e-01 3.460703e-03
1.025e+09 1.243268e-22 8.125390e-14 1.332249e-06 6.608047e-02 9.338726e-01 4.562402e-05
1.075e+09 1.168838e-19 4.303351e-11 2.069346e-04 8.215176e-01 1.782754e-01 3.025583e-08
1.125e+09 2.372448e-17 4.975641e-09 5.506050e-03 9.933179e-01 1.176094e-03 1.648127e-13
1.175e+09 1.710316e-14 1.646489e-06 2.430705e-01 7.569269e-01 8.961949e-07 1.079105e-20
